”,なに！？俺が守れだと！？やれやれ、勝手なことを言ってくれる！。いや、だから私はクリスティーナでも助手でもないといっとろう――……え？。これがシュタインズ・ゲートの選択だよ
ダル,……オカリン、その人だｒ……え、もしかして牧瀬紅莉栖さん……？
紅莉栖,あ、こんにちは。牧瀬紅莉栖と申します。この……えーと
岡部,未来ガジェット研究所、だ助手よ。さっさと覚えてもらわねば困る！
紅莉栖,だから助手じゃないって言ってるじゃないですか！あなた、この研究所のメンバーの方ですか？
ダル,キ…………キターーーーーーーーーーーーーッッ！！
紅莉栖,ひゃぁあッ！？
ダル,来た！２人目の女子ラボメン来た！これで勝つる！
紅莉栖,えっ、なっ
ダル,僕、橋田至って言います！君に一生萌え萌え☆キュン！結婚してくれーーーーーーーッッ！！
紅莉栖,はぁぁあッ！？
岡部,初対面からフルスロットル過ぎるだろ！もう少し出力を落とせHENTAIめ！
ダル,あでっ！
紅莉栖,岡部さん……なに、この人
岡部,ラボメンきってのHENTAI……HENTAIの中のHENTAI。ラボメンNo.002橋田至、通称ダルだ。役職はスーパーハカーハッカー！
紅莉栖,は、はぁ……
ダル,妄言が目立つのはオカリンもだろうが！厨二病に言動をとやかく言われる筋合いはないお！
岡部,あれは厨二病ではないと何度言ったら！凶気のマッドサイエンティスト鳳凰院凶真の崇高なる(ry
ダル,はいはい厨二乙厨二乙。牧瀬氏も気を付けろよ。オカリンは街中でも平気で妄言吐くからな。不用意にとなりに居ると同じ目で見られるぜ
紅莉栖,あぁ、さっきもケータイ耳に当ててエルプサイ……なんちゃらとかやってましたね
ダル,うへあーもう洗礼受けてたんかよ！オカリンこそフルスロットル過ぎんだろ、自重しろ自重！
岡部,お、ま、え、が、言うな！！
紅莉栖,……なんだか、スゴいところに来ちゃったなぁ。……
ダル,……牧瀬氏？どしたん？
紅莉栖,……へ、あ、いえ！なんでもないですよ、なんでも。橋田さんって、岡部さんと仲良いですよね？
ダル,……おおっとぉ、メシマズの予感！
紅莉栖,どうなんですか？。ほんとですかっ！？じゃあ
ダルクリ,岡部さんのこといろいろ教えて下さい！
紅莉栖,……えっ、どうして……
ダル,はぁ……オカリンのこのフラグメイカーっぷりはなんなん？マジ爆発しろ……
紅莉栖,魔法使いってなん……はッ！！
ダル,んん～～？牧瀬氏牧瀬氏ぃ、いま何を想像したのかな。ちょっと僕に教えてくれん？
紅莉栖,い、言うかHENTAI！
ダル,牧瀬氏ってさ、男のスラングにもけっこう通じてるよな。あれなん？ムッツリなん？エロ知識蓄えまくりなん？
紅莉栖,ムッツリじゃないです！あんまりナメたこと言ってるとマジぶっころしょ！
ダル,……え？
紅莉栖,……はッ！
ダル,今の、ブロント語……？牧瀬氏まさかブロンティ
紅莉栖,ち、ちがう！マジぶっ殺しますよって言おうとしたのが噛んで縮んじゃったんです！そんなことでブロンティスト認定する浅はかさは愚かしい！
ダル,……牧瀬氏……
紅莉栖,……orz。そうですよー私はブロンティストですよーそれどころかねらーですよー＠ちゃん無いと生きてけないレベルのガチねらーですよー
ダル,ま、牧瀬氏そんな落ち込まんと。ネラーでもブロンティストでもいいじゃん。なんか僕、親近感湧いたし
紅莉栖,……親近感？
ダル,うん。やっぱ大学飛び級の才媛っていうとちょっと腰が引けてたとこがあったんだけどさ
紅莉栖,腰が引けてる状態であれだけHENTAIを連発してたのかよ！
ダル,庶民的なとこを見れたから安心したお。牧瀬氏も同じ人間なんだ、って。……牧瀬氏？
紅莉栖,いえ、なんでも。それで、岡部さんの話に戻りますけど……
ダル,だから、牧瀬氏からどんどんアプローチしてけば、オカリン程度すぐ陥落できると思うお
紅莉栖,……なるほど、ありがとうございます橋田さん
ダル,いえいえ。ところで牧瀬氏はどうしてオカリンが好きなん？参考にするんでヨロ！
紅莉栖,……何それ。岡部さんを真似ることで私に好かれたいってこと？何言ってんのこのピザ。自重しろ。……詳しくは、色々あってちょっと言えません。ただ、岡部さんは危ないところを助けてくれたんです
ダル,へぇー、さすがオカリンてば主人公体質。じゃああれか、るか氏と同じパターンか
紅莉栖,漆原さん？漆原さんも彼に助けられたんですか？
ダル,うん。るか氏の巫女さん衣装をコスと勘違いしたカメ子がるか氏に言い寄ってて、そこをオカリンに撃退されたんだよ
紅莉栖,ふぅーん……
ダル,おお？女豹の目になったお今。３次元こえー！
紅莉栖,は、はぁ！？な、なにを言ってるんですか
ダル,るか氏が恋敵になるかもって心配したんしょ？
紅莉栖,な、なんなのよコイツ！ズケズケと……！
ダル,大丈夫大丈夫。だが男だ
紅莉栖,……は？。……う、そ……
ダル,マジ。るか氏男の子。正確に言えば男の娘
紅莉栖,いやそれ口頭じゃ何言ってるか分かんないですから
ダル,さすが牧瀬氏お見事なご指摘。ねらーの称号は伊達じゃないっすなー
紅莉栖,う、うっさい！……漆原さんが男……か
ダル,信じらんないのも無理ないお。こんど確認させてもらったら？
紅莉栖,だ、誰が確認なんてするもんですかこのHENTAI！。う、UZEEEEEEEEEEEEEEEEEEEEEE！！。む、む、胸だって男の人を触るのは抵抗ありますよ！当然でしょ！？
ダル,ほっほぉん。ま、そういうことにしといてやるお
紅莉栖,こんのHENTAIキモオタピザ野郎がぁぁ……！
岡部,おい助手
紅莉栖,はいはい助手ですよ
岡部,……え
紅莉栖,え、ってなんですか
岡部,……い、いやなんでもない
紅莉栖,岡部さん？
岡部,ク、クリスティーナ
紅莉栖,だからなんですか？
岡部,え、あ……。いやいいんだ。なんでもない……
紅莉栖,はぁ、そうですか。変なの。……。ぃよし！やったぜ！橋田さんの読み通り！。橋田さんGJ！ありがとう！ちょびっとだけ株を上げておくわ！ホントにちょびっとだけど！。どうして話してくれないんですか
岡部,……すまんな。あぁ……まぁ、頑張れ。……ごめんな紅莉栖。言うわけにはいかないんだ。SG紅莉栖には、助手やクリスティーナと呼ばれても嫌がらないという新たなキャラクターが発生している。不用意にRSを喚起すれば、この世界線の彼女がどうなるか分からない……。俺の身勝手で、今のお前を消すかもしれんような愚は犯せないんだ……
紅莉栖,……はぁ
ダル,最近、牧瀬氏ため息多いっすなぁ
紅莉栖,ちょっとねー……
ダル,オカリン絡み？
紅莉栖,うぐ。なんで分かんのよあんた……まぁそうなんだけど。ねぇ橋田
ダル,ん？
紅莉栖,記憶にないことが口から飛び出しちゃったことってない？
ダル,記憶にないこと？例えば？デジャブ的な？。ほむ
紅莉栖,でも、その決まりを決めた覚えなんてないのよ。なのに、現在のAさんのあにBさんはうんで答えた
ダル,ん……んん？なんぞそれ、偶然Bさんはうんと答えたんじゃなくて？
紅莉栖,違うわ。ある種の確信を持って、しっかりと受け応えた
ダル,イミフ。そんなこと有り得るん？
紅莉栖,……有り得ないわよね。初めて訪れる場所に既視感を覚えることはあっても、初めての問答に流暢に応えたなんてケース、聞いたことないわ
ダル,……それが、オカリンとあったわけか。どっちが答えたん？
紅莉栖,私
ダル,オカリンと昔会ったことがあって、その時の定番の問答だったってことは？
紅莉栖,過去の面識の有無は既に調べたわ。皆無。アキバが初対面よ
ダル,どこかで聞いていて、それが印象に残っていた可能性
紅莉栖,伝聞での記憶のような漠然としたものではなかった。こう来たらこう返す。すらりと出て来たわ
ダル,……ふぅむ、オカリンには？
紅莉栖,もちろん聞いたわよ。聞いたけど教えてくれなかったの
ダル,……最近のオカリンはなんか秘密主義だからなぁ。ラボメンバッヂも8人分あって、しかも8人目は7年後にどうこうとか
紅莉栖,……なにそれ。詳しく聞かせて。どうしてこの程度のことに気付かなかった！？まるで、発想そのものが何者かにシールされていたみたい……！
ダル,オカリンに未来視の能力でもあるってか？ないない(笑)いつもの厨二病っしょ
紅莉栖,カッコワライ言うな！そうでもなきゃ辻褄が合わないでしょ！
ダル,いやぁ……だって、あのオカリンだぞ？
紅莉栖,あ、あの岡部だけど。とりあえずこの材料だけ持ってもう一回話を付けてくる！
ダル,……僕も行こかな
紅莉栖,橋田も？
ダル,盛り上がってる牧瀬氏見てたら僕もなんか気になってきた。行くお
紅莉栖,……ん、分かった。着いてきなさい！
岡部,……言えない
紅莉栖,ど、どうしてよ岡部。どうして言えないの？どうしてそんなにも頑ななの……？
ダル,……
岡部,すまん……言えないものは言えないんだ。すまん……！
紅莉栖,……ッ！
ダル,……なぁオカリン
岡部,……なんだ
ダル,オカリンが黙ってるのって、もしかして牧瀬氏を守るためとか？
岡部,ッ……そうだ。さすがは我が右腕だな。知られてしまっては……マズいんだ
ダル,……ぉｋ、分かった。……牧瀬氏
紅莉栖,……なによ
ダル,ほい
紅莉栖,きゃッ！？つ、冷たいわよばか！……あ、ドクペ
ダル,ん
紅莉栖,……ありがと。ふぅ、やっぱり知的飲料はネ申ね。脳が澄んでいくのが分かるわ
ダル,そうかお。じゃあちょうどいいな。牧瀬氏、もうオカリンにバッヂのこととか聞くのやめれ
紅莉栖,……なんでよ。どうしてやめなきゃいけないの。ていうかどうして橋田にそんなこと
ダル,オカリン、血が滲むほど唇噛みしめて、黙んなきゃいけない理由があるっぽい。何を隠そう、牧瀬氏のために
紅莉栖,……私のため？
ダル,あいつからは言えないみたいだから、とりあえず右腕であるところの僕が牧瀬氏のための理由があるってことだけ伝えますた
紅莉栖,……ふん
ダル,この秘密を暴かないと、牧瀬氏に何か不利益でもあるん？
紅莉栖,私の沽券に関わる
ダル,んじゃ今回だけは自分を曲げて、納得してやれお。オカリンのためにさ
紅莉栖,……
ダル,あいつに助けられた借りがあるんしょ？だから、今回のでおあいこってことにしたらいいんじゃね
紅莉栖,……なんなの橋田。あんたって岡部の女房役だったわけ。キショクわる
ダル,いや普通に友達だし。友達が困ってたから斟酌してやっただけだお
紅莉栖,……ともだち
ダル,そんなETみたいなイントネーションで返さんでも……。こういうのが友達ってもんだろ？……まさか牧瀬氏
紅莉栖,違うわよ？ぼっちじゃないわよ？アメリカで友達一人も居ないからネットに娯楽を求めに逃げたとか全然そんなことないから
ダル,……牧瀬氏……
紅莉栖,……orz
ダル,……
紅莉栖,まだ納得はいってないわ。岡部の秘密を暴いてやりたい。でも……私のためなんでしょ？そんな理由、初めてよ、卑怯よ……
ダル,なぁ、牧瀬氏
紅莉栖,なに
ダル,オカリンの秘密は聞きたがったけど、僕には聞かんの？
紅莉栖,……は？橋田？あんたもなんか秘密あんの？
ダル,あるかもよ？
紅莉栖,あってもどうでもいいわ。興味ない
ダル,へぇ、それっておかしくね？なんでもかんでも興味あるんだろ？
紅莉栖,……あ
ダル,な？
紅莉栖,……。……
ダル,こっちではそんな気ぃ張らなくていいんじゃね。ラボでぼーっと、まゆ氏の隣で洋書読んでればいいと思う
紅莉栖,……
ダル,でー、オカリンは例によって例のごとく厨二電波飛ばしまくって、僕はスルー安定でエロゲしてて
紅莉栖,エロゲは要らない
ダル,えぇー？僕はラボにエロゲをしに来てると言っても過言ではないと言うのに
紅莉栖,あはは、橋田のHENTAI
ダル,褒め言葉です(ｷﾘｯ
紅莉栖,HENTAI。ドHENTAーI。……ありがと
