事務所の皆さんもとても良い人たちばかりです。この前お母さんが,皆さんと食べてね
ほたる,すいません…お待たせしました
モバＰ,以降Ｐ表記でしてー
ほたる,はい、メールや電話でもいいかな、って思ったんですけど…この前のライブの写真も送りたかったので
Ｐ,昨今の若者はすぐメール、ラインとお手軽な手段に走るのにほたるは偉いなぁ
ほたる,そ、そんな事ないです…
Ｐ,さてと、それじゃあ行くか
ほたる,は、はい…。えっと…あの、プロデューサー…
Ｐ,うん？
ほたる,色々とご迷惑をお掛けしてしまいますが、今日は１日よろしくお願いします…！
Ｐ,何を大袈裟な。ただ２人で出掛けるだけじゃないか
ほたる,そ、それはそうですけど…私のせいで一体どんな事が起きるかと思うと…
Ｐ,ほたるは心配性だなあ。何も起きやしないって
ほたる,だ、だといいんですけど…。…
Ｐ,どうした？
ほたる,…ブーツの紐が切れました
Ｐ,まさかキン肉マンの身になにかが…
未央,およ？プロデューサーは？
ちひろ,今日はお休みですよ
凛,あれ、プロデューサーの次のオフってもっと先じゃなかったっけ
未央,何でしぶりんがプロデューサーのスケジュール把握してるのさ
凛,別に。大した事じゃないよ？
卯月,じゃあプロデューサーさんの昨日の晩御飯知ってますか？
凛,カルボナーラうどん
卯月,正解です！
未央,何で知ってるのか、どうして正解だとわかるのか…どっちからツッコむべきだろ
ちひろ,確かにオフはまだまだ先ですけど、今日はとある事情で急遽休んでもらいました
凛,事情？
ちひろ,はい
未央,ちなみにその事情って聞いてもノープロブレム？
ちひろ,別に構いませんよ？
卯月,教えてください！何でもしまむら！
ちひろ,デートです
未央,なーんだ、デートかぁ
卯月,デートなんですね！
凛,ふーん
凛未央卯月,…
凛,ふーーーーーーーーーーーーーーーん？
未央,ストーップしぶりん！アイドルとしても女の子としても完全にアウトな顔だよそれ！
卯月,落ち着いてください凛ちゃん！まずは話を聞きましょう！
ちひろ,卯月ちゃん。そう言いながらどうしてデスクを持ち上げてるの？一生のお願いだから私の上に振り下ろさないでね？
凛,…どういうこと？プロデューサーは大事なアイドル達をほったらかして仕事を休んでまでデートしてるってこと？
未央,いやいや、だから事情があるんでしょ？ねぇちひろさん
ちひろ,ええ、まあ。ですから卯月ちゃん、とりあえずデスクを下して？あ、私の上にじゃなくて、あったところに
卯月,はいっ！
ちひろ,あら良いお返事
凛,…で、ちひろさん。プロデューサーのデート…相手は誰？事務所の娘？
ちひろ,そうですよ
未央,おおぅ、マジですか…
凛,…誰だ？まゆ…は、さっき会ったし。ありす…は今日は収録…乃々は…
卯月,あ、ここにいます！
乃々,ひぃぃっ！も、もりくぼは関係ないんですけど！もりくぼは関係ないんですけど！
未央,容疑者が多すぎて検討つかないね
卯月,無駄に女たらしですね！
凛,ちひろさんは知ってるの？プロデューサーの相手
ちひろ,知ってますけど、聞いてどうするんですか？。忠告しておきますけど、邪魔しないほうがいいと思いますよ？
凛,で、誰？
卯月,邪魔する気満々ですね！
未央,そりゃ仕事ほっぽってデートしてる、なんて言われたらねぇ…
凛,ちひろさん教えて。誰なの？
ちひろ,ほたるちゃんですよ
凛,
未央,あ
卯月,あー
乃々,あ、あの…そろそろ下して貰えるともりくぼはとても嬉しいんですけど…というか森久保を片手で持ち上げてる卯月さんパワフルなんですけど！？
凛,…ああ、もうそんな時期
