高木,では君達、お先に失礼するよ
小鳥,律子さん、二人っきりになっちゃうんで、くれぐれも気をつけて！
P,お、音無さん！何言ってるんですか！
律子,大丈夫ですよ小鳥さん、ふふふ
小鳥,ふふっ♪雨も本降りになってきたみたいなんで、気をつけて帰ってくださいね～
P,はい、お疲れ様でした！
律子,お疲れ様です！
P,雨、本当に結構降ってるな
律子,そうですね
P,何打ち込んでるんだ？
律子,来週の上方エリアでのフェスに竜宮小町と対決予定アイドルのデータを入力してるんです
P,結構強豪なんだって？
律子,ええ、上方エリアでトップ3に入る実力派アイドルらしいですよ
P,あのさ
律子,はい？
P,無理するなよ？
律子,いきなりどうしたんです？
P,俺も765プロに入ってそれなりに経つけどさ、律子の頑張りを結構間近で見てきたよ
律子,はぁ
P,毎日遅くまで、仕事してるのも見てきた
律子,それはお互い様じゃないですか～
P,そうだけどさ、でも…律子は凄いよ、破竹の勢いで成長する竜宮小町をちゃんとサポートしてケアして
律子,普通だと思うんですけどねぇ
P,普通だと思っても中々出来るもんじゃないと思うよ
律子,それはプロデューサーだって同じ姿勢で接している事じゃないですか
P,俺はまだまだだよ、新しいユニットのサポートも満足に出来ていない、特に精神的な部分はね
律子,女心は難しいですか？
P,本当に難しいよ
律子,でもプロデューサーの頑張りも私、知ってますよ
P,え？
律子,先日も、春香がテストだっていうのに勉強の分からない所を一緒に考えていたり
P,結局俺も一緒に考え込んで、春香の助けにならなかったけどな
律子,歌のレッスンで、千早が納得出来ないって言って何度も何度もテイク重ねて、それでも終わるまで付き合って
P,千早は本当に微妙な違和感を感じて何度もリテイクしてたな、俺には等しく素晴らしい歌声に聴こえたけどな
律子,オフの日に、美希の買い物に付き合って一日中振り回されたり
P,お…おい、何で知ってるんだよそれ…
律子,次の日に美希が事務所内で、そりゃあ大きい声で皆に自慢してましたからね、ハニーとお買い物に行ってきたの！って
P,あいつ…
律子,ふふっ、まだまだありますよ、貴音とロケ収録終わりにラーメン食べ歩きの旅に無理やり連れ回されたとか
P,うわっ！そんな事まで知ってるのか！？
律子,二十郎系のラーメンを5軒はしごしたって聞きましたけど
P,ああ…帰った後は胃もたれ、胸焼け、腹痛…色々な箇所の痛みと戦ったなぁ
律子,まだ終わりませんよ？響がペットショップ行きたいって言って、連れていったんですって？
P,ああ、どうしても見たいイグアナがいるとかで…えーっと確か
律子,サンエステバントゲオイグアナ
P,え？もう一回いいかな？
律子,サンエステバントゲオイグアナ
P,早口で3回言って？
律子,いいません！！…もう、話を戻すと響が最近イグアナに夢中で色々調べてあげてるとか？
P,そりゃあ、興味持ってる事に対して資料を提供してあげる事はいい勉強にも繋がるしな
律子,あと、雪歩にプレゼントを買いたいので一緒に選んで欲しいって言われて雑貨屋さんに一緒に行ったとか
P,いや雪歩が俺と一緒にプレゼント選んで欲しいなんて珍しい事もあるもんだなぁなんて思ったよ
律子,何買ったんです？
P,何だっけなぁ…白タキシード簡単変身キット…だったか？
律子,誰宛のプレゼントか、簡単に判る内容ですけど…何で簡易的なモノなんでしょうか
P,さぁ…自分が着せたい時にすぐ着せられると思ってるのかな？はは
律子,やよいも言ってましたね、特売のタイムセールが被ってたんで分担して買い物を手伝ったとか
P,ああ、あれも貴重な体験だったな、効率よく回らないと激戦だからすぐ無くなっちゃうんだよな
律子,色々やってますね…それに真の作詞の手伝いもしたとか？
P,最初は全然手伝わせてくれなかったなぁ、恥ずかしいですから！とか言って、だけど一生懸命だからどうしても協力したくてさ
律子,あ、一番大変だったろうなーと思ったのは、真美と亜美の二人と狩りのゲームを徹夜で付き合わされた話ですかね
P,いやーあれはしんどい！何回も同じ敵を倒させられるのは苦痛だった！
律子,何度も？
P,ナントカの宝玉が出ないから何度も倒したり、捕獲したりするんだけどそれがドロップ確立5％だよ！兄ちゃん！とか途方も無い確率を言ったりするし
律子,うわぁ…
P,もうあのゲームは見たくもないね…倒し方は１から１００まで頭に入ったけど
律子,あずささんとは？何処か行ったんですか？
P,え？何処か行った前提？…一緒にご飯行きませんか～？と誘われた所は大体たどり着かなかったかな、あはは
律子,で、たどり着かなくてどうするんです？
P,歩き回って結局、俺の知ってるお店で食べるとかになっちゃうかな
律子,…そんなに一緒にご飯食べに行ってるんです？
P,いや～…2、３回ぐらいじゃないかな？
律子,ふ～ん…
P,はは…そういや、伊織がこの前俺にただひたすらに愚痴を言い続けて、言い続けた挙句に何でアンタにこんな事言わなきゃならないのよっ！って言ってた
律子,竜宮小町の？
P,いや？律子の
律子,はぁ！？私が何をしたって…
P,小姑みたいでうるさいって
律子,ダンスレッスンの量、倍にするわ…
P,まぁまぁ、伊織も伊織で色々考えてるんだろ
律子,でもプロデューサー、本当にみんなの色々なサポートを行ってますね
P,結果的にそうなってるだけだと思うんだけどな
律子,それで、みんなのやる気に繋がってくれればいいとは思いますけどね
P,…お、そんな話してる内に、日付変わっちゃったな
律子,え？あ、本当だ
P,よし…んじゃ渡しちゃおうかな
律子,何です？
P,律子、これ
律子,え？え？何ですかこれ？
P,開けてごらん
ﾊﾟｶ律子,ゆ、ゆび、指輪！？
P,律子、誕生日おめでとう
律子,え？え？え？あ、あの！え！？///
P,そんでさ、結婚して欲しいんだ
律子,な！ななななななななな！何言ってるんですかー！！？///
P,いや、俺達付き合ってるの知ってるのって社長と音無さんだけだろ？
律子,そうですけど！他のアイドル達のモチベーションとか色々…あるじゃないですかっ！
P,何時かはバレる事じゃないか、遅かれ早かれ
律子,他の皆に影響が出なきゃいいですけど…
P,それは俺から皆に説明するよ、もう一回改めて聞く
律子,はい
P,俺と、結婚して下さい
律子,…はいっ！
P,何で泣くのさ
律子,だって…嬉し…い…ですよ…
P,生涯、律子のサポート、いやプロデュースの方がしっくり来るか？していけるんだから楽しみだよ
律子,プロデュースはおかしくないですか？ふふっ
P,ありがとな
律子,こちらこそ、末永くよろしくお願いします
P,さて、今日は帰るか！一緒に飯でも食べるか？
律子,みんなお店しまっちゃってるんじゃないですか？
P,その時はその時だな、今日は記念日だし！あ、どっかでケーキも買えるといいな！
律子,ケーキこそ買えませんよ、この時間じゃ
P,そうかもしれないな、まぁその場合は後日な
律子,ありがとうございます、本当に
P,明日からまた頑張れるよ、こんな幸せな日はない
律子,それはこっちのセリフです！
P,一緒に頑張っていこうな
律子,こちらこそ、プロデューサー殿
