モバP(以下Pにゃあ),アハハハハッ！おもしれー！
加蓮,プロデューサーYouTubeでそればかり見てるね
奈緒,下品だぞ
P,いや面白くね？俺は好きだよ
奈緒,プロデューサーの笑いのツボが小学校レベルだな……
P,奈緒は何が望みだ？俺のイチモツか？
奈緒,やめろ！破廉恥な！///
P,アーハハハハハッ！
凛,ただいま
P,ハハハハッ！
凛,プロデューサーすごい笑ってるね。何見てるの？
加蓮,こないだのM-1のどぶろっくのネタだよ。プロデューサーあれからスマホで毎回見てるの
凛,どぶろっく…？もしかして芸人さんの？
加蓮,そうそう。プロデューサーどぶろっくのネタの大きなイチモツをくださいっていうのすっごくハマってるの
凛,イチモツ…？
奈緒,なぁ凛、プロデューサー子供みたいだろ？そんなのでゲラゲラ笑ってるんだぞ
凛,うーん……よくわからないけど見て見ていい？
P,見る？すっげぇ面白いんだ。ほれ見ろよ見ろよ
凛,うん。………
P,アーハハハハハッ！ｷｭ-ｲ!ｷｭ-ｲ!
凛,………終わったね
P,な？おもしれーだろ？
奈緒,凛笑ってすらなかったぞ
P,え？そうなん？
加蓮,プロデューサーが笑いすぎて気づいてないからね
P,凛はあんまりこういうネタ好きじゃないのかー
奈緒,いや凛のキャラ的にそうだろ
凛,ねぇプロデューサー
P,なんだ？凛も俺のイチモツ
凛,イチモツって何？
P加蓮奈緒,……え？
凛,さっきからずっと大きなイチモツをくださいって言ってるけどさ。ずーと気になってたんだよね。イチモツってなんだろうって
P,あのー凛？マジで言ってんのか？
凛,本当にわからないよ？。加蓮はさっきプロデューサーがこの動画見て笑ってるのがなんだか嫌というか……変な感じ、汚いもの見てるみたいな目で見てたし。なんでだろうって思って
加蓮,凛？ネタの意味がわからないとかじゃなくて？
凛,なんか病気の母親助けるのにイチモツ？が必要なんだけどギター弾いてる人が怒ってるからなんかよくわからないんだけど。イチモツって病気の母親助けるのに必要なんじゃないの？
奈緒,いやいらねーよ！親子でそんなことしねーよ！
凛,？病気の治療法でイチモツがいるんじゃないの？
P,いやいらないからね？
凛,加蓮もイチモツっていうので病気治したの？
加蓮,そんなもんで治さないよ！い…それは薬とかそんなんじゃないから！
凛,イチモツは薬じゃないんだね。じゃあなんでこの人イチモツなんてものが必要なの？
P,いや……その…
凛,？
P,加蓮、奈緒、耳を貸せ
加蓮,何？
奈緒,なんだ？
P,一旦ここは離れて屋上に行こう。凛のイチモツ知らない説について話すぞ
加蓮奈緒,わかった(よ)
凛,三人ともどうしたの？
P,す、すまん俺タバコ吸ってくるわ！
加蓮,ごめん凛、ちょっと席外すね！
奈緒,あ、ごめん！電話来たから屋上行ってくる！
凛,え？どうしたのみんな急に……って言っちゃった……。……みんなどうしたんだろ？
P,凛ってさ……そういうのに疎い？というか下ネタを知らないんか？
奈緒,いや、いくらなんでもそれはないだろ……凛だってそういう年頃だし…
加蓮,あの反応じゃ下ネタ知らないって感じだね。笑わずにただまじめに見てたからさ
奈緒,なんか凛って純粋なんだな……
P,もしかして下ネタ知らないどころかエッチな事知らないパターンじゃね？赤ちゃんはキスしたら出来るとかコウノトリが運んできてくれるみたいな感覚じゃね？
奈緒,凛はかぐや様じゃないんだぞ……
加蓮,花屋さんやってるし雄しべと雌しべが云々ぐらいは理解できてるんじゃないの？
P,まぁともかくどうする？説明するか？
奈緒,説明ったって……どう説明するんだ？
