ガヴリール,……～～つぅ！
ハニエル,ガヴお姉ちゃん大丈夫！？どこか痛いの！？
ガヴ,ううん、大丈夫だよ……心が軋む音がしただけだから。なんでこの子はたまに私の心をクリティカルストライクするのかな？こんなキラキラした笑顔でそんなこと姉に聞く？何？いじめ？趣味？
ハニエル,お姉ちゃん？ごめんなさい？痛いの痛いのとんでけ～！
ガヴ,ハニエル……その純情さがもう、私には痛いんだよ……
ハニエル,泣かないでガヴお姉ちゃん！？
ガヴ,えっと、ハニエルはその……せっくす……って何か知ってる？
ハニエル,子作り！
ガヴ,知ってるのに聞いたのかぁ……。最近の天界は性の乱れが激しいのか？ゆとりなのか？政府が悪いのか？家庭の問題だってすぐ甘えんなよもう！
ハニエル,ねぇねぇ？ガヴお姉ちゃんはもう“おとな”だからしたことあるよね？
ガヴ,……ないよ……一応そういうことになってると思うよ……
ハニエル,一応？
ガヴ,私もまだ子供だからね
ハニエル,そうなの？残念
ガヴ,ごめんね……処女を守ってるロリ天使高校生の姉でごめんね……
ゼルエル,さあて！！今日も張り切って出掛けるかな！！行ってきまぁす！！
ガヴ,ハニエル、ゼルエル姉さんならしたことあるかもよ？
ハニエル,ほんと！？ゼルお姉ちゃんまって～～！！
ゼルエル,ないぞ！？
ハニエル,ふぇ！？
ガヴ,へぇ～そうなんだぁ……
ゼルエル,――っ！？///。しまった！！謀られた！！天使である以上は婚前の純潔を守るのは当然だろう！？だが！なんだこの気恥ずかしさは？ニヤつく奴の顔をブっとばしてやりたいが理由がないッ！？
ガヴ,姉さんのこういうとこ観れるからハニエルはやっぱり好き♡
ハニエル,そっかぁ……わたしも早くしてみたかったんだけど、お姉ちゃんたちがまだならダメかなぁ？
ゼル・ガヴ,絶対だめ！！！！！
ハニエル,ふぇっ！？
ゼル・ガヴ,あ……
ハニエル,うぇ……ひっく……ごめん……なさい……ぐすっ
ゼルエル,！？ハニエル！別に怒ったわけじゃないんだ。泣かないで！
ガヴ,そうそう！ごめんね？びっくりさせちゃったね？
ハニエル,ひっく……本当？怒ってない？
ゼルエル,あぁ、可愛い妹を怒るわけがないだろう
ガヴ,姉さん、私、しこたま説教されたことあるんだけどスパンキングされて土下座させられたことあるんだけど
ハニエル,でも……お姉ちゃんたち絶対ダメって……セックスって悪いことなの？
ゼルエル,いや、そういうことではないよ？大切なことだ
ハニエル,大切なことなのにゼルお姉ちゃんはしないの？
ゼルエル,じ……時期がくれば私も……するよ？たぶん……///
ガヴ,恥ずかしがってるゼルエル姉さん超可愛い
ハニエル,よくわかんない……
ゼルエル,うむ……そうだな、きっちり話しておくべきだな？よくお聞き、ハニエル
ハニエル,はぁい！
ガヴ,ゼル姉さんのショータイムはっじまっるよ～♪
ゼルエル,良いか？……せっ……す……というものはな？
ガヴ,せんせー聞こえませーん
ゼルエル,静かにしてたら聞こえます！///んんっ……性交というものはだ！
ガヴ,oh……
ゼルエル,神は自らを模してお造りになられた存在に男女を設け！各々に過不足を与えた！それは不完全性を互いに認め合い助け合うべきだという神の御心に他ならん！
ハニエル,わ～♪
ガヴ,なんだこれ？街頭演説？得票率低すぎて供託金ボッシュートされちゃうぞ？
ゼルエル,つまり互いを補い合うという行為において、それは極めて神聖であるが故に時にはその濫用をさける必要もあるのだ！わかったか？ハニエル？
ハニエル,わかんない……
ガヴ,ですよねー
ハニエル,でもセックスってすっごく気持ちいいんだよね？
ゼルエル,知りゃないよぅ！したことにゃいもん！
ガヴ,ちょっと姉さん！？ガチ泣きしないでよ！？ってかハニエル！？なんでそんなこと知ってるの？誰かがそんなこと言ったの？
ハニエル,ラフィお姉ちゃん
ガヴ,よし、もう二度とラフィとハニエルを会わせない！私は今！ここに！神に誓おう！決して私はこの約束を違えない！あのバカ今度やったらサターニャと縫い合わせてやる！
ゼルエル,ラフィエルは大人なんだなぁ～……
扉,ノックノック
ゼルエル,む！？客か？はいはいどちら様？
ガヴ,おいっちに！さんっし！
ハニエル,ガヴお姉ちゃん？なんで準備運動してるの？
ガヴ,撃滅するためだよ♪
タプリス,こんにちわ！天真先輩いますか？
ガヴ,な～んだ……犠牲者おかわりか
ゼルエル,あぁタプリスか……
タプリス,えっと……お姉さん大丈夫ですか？なんだか元気ないですけど
ガヴ,ほっといてやって？
ハニエル,タプちゃん！
タプリス,わぁっ♪ハニエルちゃん、こんにちわ♪
ハニエル,こんにちは！ねぇねぇタプちゃん！聞きたいことがあるの！
タプリス,え！？私！？えっと、答えられるかな……？
ハニエル,セックスってしたことある？
ガヴ,確定クリティカルってチートだよな
タプリス,せせせせ！？え！？せっく！？あぁ！FXですね！？ありますよ！///
ガヴ,お前なんでFXやってんだよ
ゼルエル,えふえっくすってなんだろうか……///
ハニエル,したことあるの！？気持ちよかった！？
タプリス,はいとっても！！！！！
ガヴ,タプリス！落ち着け！？ハニエルこれ違うからね！？
タプリス,結構儲かっちゃったりもするんですよ！？ちょっと痛い時もありますけど！！
ハニエル,儲かる？痛い？
ガヴ,おいこら！やめろおぉぉぉ！
タプリス,だってぇ！天真先輩！私どうすればいいんですかぁ！
ガヴ,普通にノーでよかったろ……
タプリス,でもそのうち先輩とする予定がああああ！！？
ガヴ,ねーよ！？うちの家族の前で変なこと言うんじゃねえ！！！
ゼルエル,いやまぁ……ガヴ……そのなんだ、昔はともかく最近はそういうのも寛大だぞ？
ガヴ,姉さん！？真に受けないでよ！？
ハニエル,女の子同士……そういうのもあるのかぁ……
ガヴ,ないからね！？ハニエル！？
ゼルエル,愚か者！まずは全てを受け止めるのが天使の本分！否定から入るな！全くお前は――
ガヴ,姉さん！？今説教するとこじゃないでしょ！？
ラフィエル,……＾ワ＾
ガヴ,――！？え？ラフィ……おま……いつの間に？
ラフィ,タプちゃんの後ろにずっといましたよ～♪
タプリス,いましたよ？
ガヴ,……そっかぁー……いらっしゃい♪
ラフィ,お邪魔します～♪
ガヴ,ねぇラフィエル
ラフィ,はい？……え？ガヴちゃん？なんで弓出すんですか？
ガヴ,お前は覚悟してる天使……だよな？他の天使の純潔を汚すってことは……逆にお前の純潔も汚されるかもしれないっていう危険を常に覚悟している天使ってことだよな？
ラフィ,ガヴちゃん！？落ち着いて！？何を言ってるかわかりません！
ガヴ,ラフィ……二度同じことを言わせんな……一度でいいことを二度言わなきゃなんねーってことは……ラフィの頭が悪いってことだ
ゼルエル,落ち着け！ガヴリール！
ガヴ,姉さんどいて！そいつ殺せない！
タプリス,なんで！？どうして天真先輩が白羽先輩を！？
ゼルエル,いい加減にしろ！ハニエルが見てるんだぞ！
ハニエル,ガヴお姉ちゃん……？
ガヴ,うぐ！？うぅ……
ラフィ,なんだか困っちゃったことになっていますね！
ガヴ,ねぇ……ラフィのせいじゃないよね？信じていいんだよね？いつも通り私を助けてくれるよね？
ラフィ,お任せあれですよ！
ガヴ,あっ……信頼できるけど信用できないってこういうことなんだな……勉強になるなぁ……
ゼルエル,ラフィエルはその……したこと……あるのか？
ラフィ,え？なにをですか？
ハニエル,セックス！
タプリス,力強い！
ガヴ,ハニエル？大声で言わないで……ね？
ラフィ,ありますんよ～
ガヴ,あり？
ゼルエル,ま？
タプリス,すん？
ハニエル,よ！
ゼルエル,え？あるのか？ないのか？
ラフィ,私は純情純潔純白天使ですよ？ゼルエルさん♪
ガヴ,あ？てめぇちょっと表出ろや
ラフィ,ハニちゃん？そういうことはあんまり人の前で言っちゃだめですよ？
ハニエル,どうして～？
ラフィ,ん～……ハニちゃんおしっこしてるとこ人に見られたいですか？
ハニエル,いや！///
ラフィ,そういうことなんですよ～
ゼル・ガヴ,どういうこと？
タプリス,そういうことなんだ！///
ラフィ,セックスっていうのはエッチなことなんですよ
ハニエル,え！？そうなの！？恥ずかしい……///
ガヴ,ん？
ゼルエル,……？
タプリス,わかりますよ！ハニエルちゃん！その気持ち！
ガヴ,私にはさっぱりわかんねーんだけど……当たり前じゃね？
ラフィ,エッチなのはいけないこと……ではないんですが恥ずかしいですよね？詳しくするとちょっと難しい話になるんですが……
ハニエル,じゃあまたお部屋で教えて！
ラフィ,わかりました～♪
ガヴ,え？ちょ……ラフィ？
ラフィ,d(＾ワ＾)
ガヴ,…………姉さん？
ゼルエル,なんだ？
ガヴ,正しさってなに……？
ゼルエル,やめて
タプリス,あ、おみやげに豆持ってきたんですけど食べません？
ゼルエル,いただこうか……
ガヴ,……私も
ゼルエル,…………
ガヴ,…………
タプリス,…………
