宮尾美也,以下美也
高坂海美,以下海美
美也,はい～、いい材料を使って、味にこだわって作りましたからね～
所恵美,以下恵美
大神環,以下環
美也,環ちゃんはとっても楽しい盛り付けのアイディアを出してくれたんですよ～
田中琴葉,以下琴葉
恵美,その代り物凄く高いんだけどね、アタシ達の小遣いじゃとても手が出ないよ…
琴葉,まぁ、元々良いお値段の物にロイヤリティが乗って倍近くになってるからね…
美也,このメニューはみんなで食べられるようにいっぱい詰め込みましたからね～。はい、これが試作品です。バスケットに詰めてあるので、みんなでお外にいって食べるのがおすすめですよ～
琴葉,このコラボカフェに来る人でわざわざ外で食べる人はいないと思うけど…
海美,でもすっごい美味しいよこのサンドイッチ！三人分はあるけど一人で食べきれそうなくらい！
恵美,本当だね！串付きの唐翌揚げも美味しいしこれ一つで大満足だよ！
琴葉,でも、ランチBOXならスープも欲しい所よね、しじみ汁とか…
美也,あ、それならドリンクメニューに琴葉の乾杯しじみ汁がありますよ～
琴葉,なるほど、それならバッチリだね！
海美,うんうん！ピクニックの時にスープがあると贅沢な感じがしていいよね！
恵美,ドリンクメニューな事には突っ込まない方向なんだね…
環,そうそう！みんなこっちのカレーも食べてみてよ！
恵美,環、このカレーすっごく赤いんだけど…灼熱カレーって言うくらいだし滅茶苦茶辛いんじゃ…
琴葉,ま、まぁ、問題点があったら指摘するのも試食係の仕事だし…南無三！。辛っ……くない？
海美,本当？こんなに赤いのに…あ、ほんとだ！全然辛くないや…
恵美,確かに、美味しいけどなんというかお子様カレーだね。
環,どう？たまきが味見して味を調整してもらったんだ！
美也,メンバーが食べられない料理を出すわけには行きませんからね～
琴葉,なるほど、そういう考えだったんだね…でも、この見た目で全く辛くないのは不思議な気分…
恵美,まあ、美味しかったからいいじゃん！次に行こう！
海美,えーっと、ドリンクメニューはさっきのしじみ汁に私のカプチーノと恵美のカクテルだね。
琴葉,海美のカプチーノはともかく、恵美のドリンクバーごちゃまぜカクテルって美味しいの…？
美也,コーラをベースにカルピスとメロンソーダとオレンジジュースとCCレモンを混ぜてますね～
恵美,どれどれ…おっ！なかなかいけるじゃん！アタシとしてはもっと冒険してもいいと思うけどねー。
琴葉,いや、まあ美味しいんだけどさ…これを800円で売るのは凄いぼったくり感が…。まあ、値段の事は置いとこう…次はみんなの絵が入ったカプチーノ、だけど…
海美,環のこぶんにめぐみぃのリップ…えーっと、このクリーチャーは？
美也,鯛エビさんですよ～、可愛くかけた自信作です～
海美,いや、せめてみんなの顔を書こうよ…後で私がデザインしなおすね。
美也,そうですか～、では次はデザートメニューですね～
環,まずはこれ！たまきの自信作、環の泥団子だぞ！すっごい綺麗でしょ！？
恵美,泥団子…泥団子！？
琴葉,いや、流石に泥団子風の何かだとは思うけど、本物の泥団子にしか見えない…
環,くふふ…どっちだと思う？
恵美,流石に、食べ物じゃない物は出さないだろうから…せーので食べるよ…
海美,せーの！……よ、よかった、きな粉をまぶしたおまんじゅうだ…
琴葉,環の泥団子風まんじゅうって名前にしましょう、そう言われないと食べる勇気が出ないから…
環,そう？せっかく綺麗にてきたのにちょっと残念だぞ…
恵美,まぁまぁ、気を取り直して最後のメニューに行こうよ、琴葉のメニューは…
美也,はい、琴葉が夜な夜なこっそり食べるパフェですよ～
琴葉,えっ、何そのメニューちょっと待って！
恵美,おっ、結構豪華なパフェじゃん！
美也,はい、琴葉さんが食べている物よりちょっと豪華にしてみましたからね～
海美,おお～！カチューシャ型のウエハースにパフェに刺さっている串はデストレイピア？凝ってるねー！
美也,串にさしている雪見大福は琴葉さんがいつもパフェに乗せてるんですよ～？
琴葉,待って！待って待って！なんで美也ちゃんがそんな事まで知ってるの！？
美也,そらさんに教えて貰ったんですよ？これがその映像です～。と言った映像をもらったのでそこから考案しました～
琴葉,待って！私のメニューだけ名前がおかしいよね！なんで一人だけ秘密が暴露されてるの！？
美也,こっちに琴葉が起き抜けにいきなり食べるアフォガートも出す予定ですよ～
琴葉,だからなんで私だけ公開処刑されてるの！？しじみ汁と同じで琴葉のパフェでいいでしょ！？
Welcome!ドリンク,灼熱少女Ver
購入価格2000円毎にブロマイド,全6種類
