大変申し訳ありませんがこのSSはKBTIT,タクヤ
佐倉,野崎くーーん！
野崎,佐倉か
佐倉,今日は部活ないからアシスタントに行けるよ！
野崎,……すまない、実は今日は用事があるんだ
佐倉,よ、用事？
野崎,今日は漫画家の久保帯人さんに会いに行くんだ
佐倉,……久保帯人？
野崎,俺と同じ少女ロマンスでBLEACHという少女漫画を書いている
佐倉,どんな漫画なの？
野崎,霊が見える男子高校生と女の死神の恋愛漫画だ
佐倉,へぇ〜死神かぁ〜……なんだか面白そうだね！
野崎,ああ、連載も10年以上続いてる
佐倉,そんなに！？
野崎,それにこの漫画を語る上で欠かせないのが……
佐倉,欠かせないのが……？
野崎,……ポエムだ
佐倉,ポエム？
野崎,そうだな……まずはこれを見てくれ
佐倉,どれどれ……。！！！
野崎,……どう思った？
佐倉,な、なんだかよく分からないけど……もの凄くオサレって感じた！！
野崎,そうだろう？ほかにも……
佐倉,こ、こんなにたくさん……！！
野崎,ああ、恋しよっにはこんなにたくさんの名言がないからな……。どう思いながらポエムを書いているのか、名言はどうやって生まれるのかを色々聞こうと思ってな
佐倉,そっか……いい話が聞けるといいね！
野崎,ああ、じゃあ行ってくる、また明日
佐倉,うん！じゃあね！
瀬尾,いやー、今日も部活大変だったなー
若松,いや、先輩は部員じゃないでしょ……
瀬尾,なー若、どっかで食おーぜ！
若松,！！……よし。この辺に……知り合いがバーやってるんですよ
瀬尾,バー？
若松,折角だし今日はそこで済ませません？ご馳走も作ってくれると思いますよ
瀬尾,マジで！？行く行く！！
若松,じゃあ行きましょう！！。罠にはまりましたね先輩……バーで働いてるタクヤさんと俺は知り合いだと知らずに……。タクヤさんには事前に浪漫学園の制服を来た先輩が来るからその人に睡眠薬入りのアイスティーを飲ませるように言ってる……。そして完全に眠りについた先輩に……復讐してやるんだ！！
KBTIT,若松くんと若松くんの先輩来ないなー……。もしかして……SMバーだから来ないとか？。いや、そんなことはない……SMバーって書いてあると敬遠されるから一本線を加えたから大丈夫なはず……。そんで田所くんからもらった睡眠薬を使って眠らせれば……終わり！！。……ん？外に制服を着た男が……
野崎,……
KBTIT,浪漫学園の制服を着ている……てことは彼かな？。そういえば先輩は男か女か聞いてなかったけど……まあ彼だろ。呼んでこようか
野崎,えーと……確か久保さんと待ち合わせしている場所は……ここか。……ドルエム……随分と変わった名前だな。とりあえずこの入口の前で待っていよう。ん？
KBTIT,来いホイ
野崎,！！あ、あなたは……。このサングラス、神の色、間違いない……！！。あなたが……久保帯人さんですか！？
KBTIT,いや、俺は……。いや、待てよ。もし若松くんがこいつに俺のことを話してるとしたら……。ドジな若松くんのことだ、うっかり口を滑らせてるかもしれない。ここで本名をバラしちゃうと怪しまれるからな……。……どうも
野崎,！
KBTIT,本物の久保帯人です
野崎,や、やっぱりあなたが……！！。まさかバーを営んでいたとは……どっちが本業なんですか？
KBTIT,ま、漫画家だね……あと副業でギター弾いたりしてるよ
野崎,す、凄い……そんなにマルチに働いてるからこそ様々なアイデアが生まれるんですね！！
KBTIT,ま、まあね。若松くん中々来ねえな……まあいいや、もう寝かせるか。とりあえず飲もう。アイスティーでいい？
野崎,は、はい！！
KBTIT,かしこまりっ！。はい、じゃあ卍解〜
野崎,こ、ここで自分の漫画の用語を使って来るとは……匠の技！！。ば、卍解！。……ん？なんか眠くなってきて……。……
KBTIT,意外と早く寝たな〜。みなさま、ご無沙汰しております。悶絶少年専属調教師のタクヤと申します。今回調教するのはゆづきっ人違い。果たしてこの少年は私の調教に耐えることができるのでしょうか？
野崎,うーん……っは！！。確か俺は……アイスティーを飲んでいたら眠くなって……そしたら……。……！！！。な……どうして俺は裸になって……動けないようになっているんだ！？
KBTIT,お前を芸術品に仕立て上げてやるんだよ
野崎,久保さん……？
KBTIT,よし、噛まずに言えた
野崎,あの……久保さん……芸術品とは……それより取材は……？
KBTIT,ちょっと眠ってろ
野崎,それに手が塞がってるとメモがとれないのですが……これじゃ取材が……
KBTIT,取材取材って言うんじゃねえよガキのクセにオオン！？
野崎,！！す、すみません……
KBTIT,……とりあえず雰囲気出すためにBGMでも流すか
野崎,！！これは……瀬尾の歌声！？
KBTIT,ん？このBGM知ってんの？
野崎,はい、俺の友達の友達の声です……久保さんは瀬尾とはどういう関係なんですか？
KBTIT,ん？瀬尾ってこいつのことじゃないの？ていうか名前聞いてなかった。君さ……名前は？
野崎,！！そういえばまだ名乗っていなかった……なんたる無礼を！。そうか……それに怒って久保さんは俺にこんなことを……。……夢野咲子と申します
KBTIT,……ウッソだろお前
若松,あ、ここです！ここのバーです！
瀬尾,へーここかー……いいじゃん
若松,良かった……ちゃんと怪しまれないように名前を変えてる。じゃあ入りましょう
瀬尾,おー
若松,タクヤさん、こんにちはー！
瀬尾,誰もいねえじゃん
若松,あれ、おかしいですね……
瀬尾,あれ、なんで私の歌が流れてんの
若松,zzz……
瀬尾,若も寝ちゃったし……
若松,zzz……
瀬尾,……おっ、飲み物あんじゃーん！！いただきぃ！！。……うわぁ、これビールだったぁ///
若松,zzz……
瀬尾,うぃ〜///。……ん？///。……
若松,zzz……
瀬尾,……
KBTIT,……ん？誰か来た音がしたな……そういえば店開けっぱなしだった
野崎,ほかの従業員はいないんですか？
KBTIT,店長は別の子を調教しに行ってるよ
野崎,調教！？
KBTIT,とりあえず対応しなきゃいけないからちょっと待ってろ
野崎,は、はい……。俺にこんな格好をさせたり、調教という言葉を発したり……久保さん、謎の多い男だ
KBTIT,……誰もいねえな……気のせいか
若松,うーん……はっ！！。そうだ……俺、確かローレライさんの歌声を聴いてて……それで……。……って、なんで俺は裸になっているんだ！？
瀬尾,若〜///
若松,瀬尾先輩！？ちょっと、これどういうことですか！？
瀬尾,暴れんなよ……暴れんなよ……///
若松,裸で身体が縛られてたら誰でも暴れますって！！
瀬尾,たまにはこんな風にお前にいたずらしようと思ってなー///
若松,度が過ぎてますよ！！今すぐ離してください！！
瀬尾,私も脱ぐぞぉ〜///
若松,先輩！？何してんですか！まずいですよ！！
瀬尾,若〜///
若松,ちょ、先輩……む、胸が……///。先輩、良く見たら顔が赤い……きっとビールを飲んだんだ
瀬尾,何恥ずかしがってんだよぉ〜、私達、そういう関係だろぉ？///
若松,違いますよ！！！
瀬尾,……若
若松,……？
瀬尾,お前のことが好きだったんだよ！///
若松,！！？。
瀬尾,ご馳走様〜///
野崎,誰かいましたか？
KBTIT,誰もいなかったよ
野崎,そうですか……ところでいつ開放してくれるんですか？
KBTIT,結局、この人は瀬尾じゃないんだよな、だったら開放するか……。……いや
野崎,？
KBTIT,やっぱり調教するわ
野崎,！？
KBTIT,お前、結構俺の好みなんだよね
野崎,く、久保さん……？
KBTIT,鞭で調教しなきゃ
野崎,うっ！！
KBTIT,気持ちいいか？気持ちいいだろ！foriPhone？
野崎,く、久保さん！！何するんですか！？
KBTIT,久保さんだとふざけんじゃねえよお前！！久保先生だろぉ！？
久保帯人,いやー、打ち合わせが思ってたより伸びちゃった。きっと夢野ちゃん、怒ってるだろうな……。……とりあえず早く＄Mバー平野に行かなきゃね。おっ、ここか。……ん？店員もいない。……ん？あっちの扉から声が……行ってみよう
KBTIT,全然ゆるケツじゃんお前
野崎,怨！！アオン！！！
KBTIT,じゃあ次はこれだな
野崎,！！それは……
KBTIT,髪なんか必要ねえんだよ！
野崎,や、やめてください！！
KBTIT・野崎,！！
久保帯人,……助けに来たぜ
KBTIT,クソ……店を閉めておけば良かった
野崎,あ、あのサングラス、髪の色……。あなたが……本物の久保帯人先生ですか！？
久保帯人,……ああ。君は？
野崎,夢野です！！夢野咲子です！！
久保帯人,君が……まさか男だったとはね
野崎,た、助けてください！！
久保帯人,……おい
KBTIT,？
久保帯人,才能も無く、努力もせず、そのくせ与えられるものに不平を言って、努力する人間の足しか引っ張れないような奴は、目を瞑ってどっか隅っこに挟まって、口だけ開けて雨と埃だけ食って辛うじて生きてろ
KBTIT,！！！
野崎,な、なんてオサレなんだ……
KBTIT,わ、分かった……こいつは開放する
野崎,ど、どうも……
久保帯人,帰ろう……ここにいるとバカがうつる
KBTIT,お待ちしてナス！！開き直り
久保帯人,失せろ
KBTIT,！！！
野崎,オサレだ……
久保帯人,ごめんな、俺があそこを集合場所にしていなければ君もこんなことにはなんなかったのに……
野崎,き、気にしないでください！！元はと言えば人違いをした俺が……
久保帯人,とりあえずお互い謝るのは置いといて……色々と俺に聞きたいことがあるんだろう？
野崎,は、はいっ！
久保帯人,なんでも聞いていいよ
野崎,じゃあまずは……久保さんって背景全然書かないですよね？実は俺も……
KBTIT,ちっくしょー、折角いい男掴まえたのになぁ……もう許さねえからなぁ。それにしても……若松くん達まだこねえのかな。……ん？屋上で声が……行かなきゃ。！！
若松,
瀬尾,起きろよ若〜……ん？
KBTIT,……これマジ？
瀬尾,……オラァ！！///
KBTIT,ぐはぁ！？。
瀬尾,……あれ、なんで私こんなところにいるんだっけ？
若松,
瀬尾,おい若、何顔を赤らめて気絶してるんだよ
KBTIT,
瀬尾,ほら、早く帰ろーぜ。サングラスかけた変な変態もいるしさ
若松,
瀬尾,……ったく、しょーがねーな。私がおぶってやるよ。若ーーーー！バスケしよーーぜーーー！
若松,は、はい！一緒にやりましょう！！
瀬尾,……ん？なんだよ、いつもは嫌がるのに珍しいな
若松,そ、そうですかね……？ところで先輩
瀬尾,なんだよ？
若松,昨日のこと……本当に何も覚えてないんですか？
瀬尾,うん、バーに入ってビール飲んでから全然。気づいたらバーの屋上にいた
若松,そ、そうですか……。昨日のあの一件から……俺は先輩を……
瀬尾,……ん？私の顔になんかついてる？
若松,な、なんでもないです！///。女性としてとしか見れなくなった……///
瀬尾,変なやつ
宮前,それで……久保先生の話から何かヒントは見つかりましたか？
野崎,はい！今日はその成果を見せたいと思います！！
宮前,どれどれ……
野崎,どうですか！？
宮前,成長してねえ……
