ちょっとウザいモバＰ(以降Ｐ表記),ペース上げるぞ芳乃！
芳乃,あっ、あっあ、そ、そなたっ、少し、加減してくださいー
Ｐ,悪いな芳乃、もう我慢できないんだ…辛抱してくれ！
芳乃,そんな、ご無体な…あっ、あっ…
Ｐ,スピード上げるぞ芳乃っ！ひとっ走り付き合えよ！
芳乃,だっ、だめですそなたぁ…！私、こわれてしまいますー…。ご、後生です、後生ですから…せめて、もう少し優しく…！
Ｐ,そう言いながらこの手の動きは何なんだよ…芳乃は案外口先だけだなぁ。もっと激しくしたほうがいいのかな…？
芳乃,だ、だめです、本当に壊れてしまいますゆえ…あっ、あ、あっ！
Ｐ,なんだ、全然余裕でついてこれるじゃないか芳乃…本当はこれぐらいが好きなんだろ？
芳乃,意地悪を言わないでください…せ、精一杯なのでしてー…。そなたっ、そなたっ！こわれてしまいます…壊れてしまいます…！
Ｐ,大丈夫だって、これぐらい…
芳乃,で、ですが、もしもこのような姿を見つかってしまったら…！
Ｐ,今日はしばらく誰も戻ってこないから安心しな…それよりほら、こっちに集中したほうが良いと思うぞ？
芳乃,ひぅっ！い、いきなり勢いを増すのはだめなのでしてー…！
Ｐ,芳乃っ！芳乃！。芳乃っ！ラストスパートいくぞ！
芳乃,そなた、そなたっ！もう無理です、無理ですのでー…
乃々,そ、そこまでなんでふけどっ！！。２人とも事務所で何をやってるんですか！。や、やるのは勝手なんですけど！？もうちよっと時と場所を考えて欲しいんですけど！？。そもそも、そんな大きな声で………って
Ｐ,え？あ、いたのか森久保。お疲れー
芳乃,お疲れ様なのですー
乃々,…お２人とも、何をしているんですか？
Ｐ,見てわからないか？これ
乃々,…杵なんですけど
芳乃,乃々殿－、これ見てくださいー、これー
乃々,…臼なんですけど
Ｐ,おう、本格的だろ。以前仕事した和菓子屋さんが古くなったものを譲ってくれてなあ。でも確かに事務所でやる事じゃあ無いよな。ごめんな森久保
芳乃,すいませんなのでー
乃々,……。……も。餅つきなんですけど！！？
芳乃,そなたはー、早く食したいとは言え急ぎすぎなのでー。合いの手を入れる私の事も、お考えくださいましー
Ｐ,すまんすまん、餅つきなんて子供の頃以来だしテンション上がっちまってたわ。それに芳乃も全然余裕で付いてきてた気がするんだけど
乃々,
Ｐ,ん、どうした森久保。そんな鳩がマキシマムドライブ食らったような顔して。…あ、くれぐれもこれは千川とかちひろさんとか緑の銭ゲバには内緒な？
乃々,……ま…、…
Ｐ,…ま？
乃々,紛らわしいんですけど！？
Ｐ,よいさっ、ほいさっ
芳乃,ほー、ほー、ほーっ
Ｐ,えっさ、ほいさっ
芳乃,ほー、ほー
乃々,…何にせよ事務所の中でする事ではないと思うんですけど…
Ｐ,んー、本当は屋上でやろうかと思ったんだけどさ。臼持って上がるの面倒臭くてなあ…。幸い今日はしばらく事務所に誰も居ないし、もうココでやっちまおうって思い立ったわけさね
芳乃,給湯室にー、もち米も蒸篭もありましたのでー
乃々,何でそんな取り揃えられてるんですか…この事務所突っ込みどころが盛り沢山なんですけど…
Ｐ,まあまあ、そう怒らないでくれよ森久保。ほら、つき立ての餅食べさせてやるからさ
芳乃,そなたーそなたー、またスピードアップしてますのでー
乃々,うぅ…もりくぼはただ静かに机の下で過ごしていたいだけなんですけど…
Ｐ,若いうちからそんな吉良吉影みたいなライフスタイル目指さなくても。そうだ、森久保もやってみるか？
乃々,え？い、いいんですけど…もりくぼにお構いなく、どうぞどうぞお２人でペッタンしててください…
Ｐ,遠慮せんでも。やったことないだろ？どうせペンと手羽先ぐらいしか持った事ないだろ森久保は
乃々,そんな訳あるかなんですけど。お箸ぐらい持ちますけど
芳乃,論点はー、それでよろしいのでー？
Ｐ,何事もチャレンジだ。幸子だって色んなことに挑戦してるじゃないか
乃々,あ、あれはプロデューサーさんが変なお仕事ばっかり取ってくるだけなんですけど…。な、なんなんですか、新年早々あのお仕事は…
Ｐ,え？ああ確か英雄の魂を１５個集める
乃々,意味不明すぎなんですけど。どこからそんなお仕事取ってくるのか一度ちょっと聞いてみたかったんですけど
Ｐ,うーん、個人的には前にやった黄金の果実を取ってくる
芳乃,そなたはー、幸子殿に対する愛情が歪みすぎてますゆえー
Ｐ,そうかなぁ……あ、そういう訳で森久保。餅つこうぜ餅
乃々,静かにしててほしいんですけど、そっとしてほしいんですけど。構ってほしいときは机の下からちょっぴりはみ出すんですけど
Ｐ,中々出来る経験じゃないんだぞ？ほらほら、普段年老いたセキセイインコばりに動かないんだからやってみなって
乃々,ご、強引なんですけど……って、重っ！杵って結構重いんですけど！も、持ち上げられないんですけど…！
Ｐ,よーし、ひと餅つこうぜ！
芳乃,ぶぉぉー
乃々,持ち上げらんねえって言ってるんですけど！？。ふんにゅにゅにゅにゅ…！
Ｐ,おおぅ、すんげぇフラフラしてるぞ大丈夫か森久保
乃々,だ、だい、じょうぶに…見えます、か…！
Ｐ,メルヘンデビューをノリノリで歌って踊る時子を目撃したときのような気分だ
乃々,そ、そん、な、衝撃映像…怖いんですけど…！？
Ｐ,この前の忘年会で実際あった話だけどな
乃々,まさかの実話なんですか…！
芳乃,ほーっ
Ｐ,おお、ようやく一回か。ほら森久保、振り上げてー
乃々,む…むぅ～りぃ～…！
Ｐ,んー…やっぱり森久保の腕力じゃ無理か…レッスン不足だぞ？
乃々,も、餅をつくためにレッスンしているんじゃないです…
Ｐ,よし、んじゃ芳乃と交代だ。今度は森久保が餅を返す役な
乃々,あぅぅ…、ま、まだやらされるんですかいぢめですか、いぢめですね訴えます………目で
Ｐ,芳乃ー、はい杵。やれるか？
芳乃,お任せくださいー。ではー、まいりますー。ほーっ。ほーっ、ほーっ、ほーっ。合いの手がー無いのでしてー？
Ｐ,なんだろ、オトモアイルーみたいだな芳乃
乃々,もう少しだけ、この生き辛い世の中でも頑張れそうな気がして来たんですけど…
芳乃,乃々殿はー、何故私を拝んでいるのですー？
乃々,うぅ…なんて古典的なオチなんですか、アレですか、純真なもりくぼをいぢめるのがそんなに楽しいんですか…
芳乃,ほー、ほー
Ｐ,そりゃあ凄ぇ楽し……って、勝手に誤解したのは森久保だろ？
芳乃,ほー、ほー、ほーっ
乃々,そ、それはそうですけど……。…。やっぱり、もりくぼがいるのを知っててワザと紛らわしいこと言ってたんですね…
Ｐ,…ソンナコトナイヨ？
芳乃,ほー、ほー、そいやー
乃々,しらばっくれるならもっと上手くやってほしいんですけど。白目剥きながらトボけないでほしいんですけど
芳乃,ほー、ほーっ
芳乃２,はいー、はいー
Ｐ,いやあ、どこで餅つこうかと場所探してるときに事務所に誰もいないなぁ、って思い出してさ。一応確認してみたら森久保が寝てるだけだったから。よし、やっちまえ、と
芳乃,ほー、ほー、えいやぁー
芳乃２,はいー、はいー、でしてー
乃々,やっちまえじゃないです。もりくぼがいたんなら遠慮して欲しかったんですけど…。しかも、あんな悪趣味な…
Ｐ,ははっ、森久保は耳年魔だなぁ
芳乃,お年頃なのでー
芳乃２,よきかなよきかなー
乃々,やっぱりいぢめじゃないですかいぢめなんですね、もりくぼはやっぱりいぢめられる運命なんですね。あとさり気なく芳乃さん分身するのやめてほしいんですけど！？
芳乃,いえいえー、これはただの残像でしてー
芳乃２,飛んで、突いて、お餅を返して、とー、少々急いで行っておりますだけなのですー
芳乃３,乃々殿も起きられた事ですし、お茶を淹れてまいりますー
Ｐ,おー、頼むなー
乃々,増えてるんですけど！
Ｐ,残像だってば。３人ぐらいまでなら木場さんや東郷さん、泰葉だって出来るぞ？
乃々,どこのテニスの王子様ですか。分身なのにそこに忍ドルさんの名前が挙がらない事についてもりくぼは触れていいんでしょうか
Ｐ,触れてやるな。本人も実は気にしてるんだから、某浜口あやめナントカさんも
乃々,特に理由の無い悪意が忍ドルさんに容赦なく降り注いでるんですけど！？
芳乃４,まーまー、乃々殿、お茶請けは如何ですー？
芳乃５,そなたーそなたー、あんこが炊き上がりましたー
芳乃６,ただいま戻りましたのでー。きなこ、買えましたー
乃々,めっちゃ増えてるんですけど！芳乃さんワールドなんですけど！？
Ｐ,残像だってば。なぁ？
芳乃ズ,でしてー
乃々,めっちゃエコーかかるんですけど！もりくぼ一人じゃ突っ込みきれないんですけどぉ！
Ｐ,まあまあ落ち着け森久保
Ｐ２,ほら、歌舞伎揚げ食うか？
乃々,あなたまで増えてどうするんですけど！？
Ｐ,ははっ、いくらスタドリで強化されてるとは言え俺みたいな一般人じゃ２人までが精一杯だよ
乃々,分身できる時点で一般人を名乗っちゃいけない類の人種なんですけど
芳乃,そなたー、お餅の用意が出来ましたのでー
芳乃５,お餅のお供も、準備完了なのですー
芳乃３,お茶が入りましてー
乃々,右も左も芳乃さんです…もう、これもりくぼいらないじゃないですか。もう全部芳乃さんでいいんじゃないですか
Ｐ,そんな事あるわけ無いだろ。森久保には森久保にしか無い魅力があるだろう？
乃々,うぅ…そ、そうやってもりくぼを丸め込むのがプロデューサーさんの手口なのは知ってますけど…
芳乃,そう言いながら嬉しそうなのでー
Ｐ,さて、じゃあ準備できたことだし。早速実食といくか。芳乃、森久保、まゆ
芳乃,おー
乃々,あ、一人に戻りました…。って、もりくぼも当たり前のように頭数に入れられてるんですね………食べますけど
まゆ,はぁい
乃々,ひゃあっ！い、いつの間に来たんですかビックリしたんですけど！
まゆ,Ｐさんがいるところが、まゆの居場所ですからぁ…あ、立てますか乃々ちゃん
乃々,心底ビックリなんですけど…気配も無く後ろに立たないで欲しいんですけど…もりくぼの心臓はガラスハートなので…
まゆ,ごめんなさい。でもＰさんは流石ですねぇ…どこにいたってまゆに気づいてくれるんですから…うふっ。やっぱりまゆとＰさんは切っても切れない糸で繋がっているんですねぇ…
Ｐ,…ごめん。本当にいるとは思わなかった。冗談のつもりだったんだけど…
まゆ,
Ｐ,あっ！も、もちろんまゆも食べるだろ？ほら泣くな膨れるな！
まゆ,な、泣いてません…ぐすっ、いいんです、まゆは信じてますから…運命の紅い糸を信じてますから…
Ｐ,よーし準備出来た。食べるぞー
芳乃,はいー
まゆ,うふふ…新年早々Ｐさんとご飯…
乃々,もりくぼ達もいますけど…
芳乃,そなたー、お腹空いたのでー
Ｐ,はいはい待ちなさい。新年会とかでも一応挨拶はしたけど改めて今年もよろしく、という事で…。じゃあまゆ。今年の抱負といただきますの音頭をライブ中の輝子風によろしく
まゆ,えっ？あ、えっ？な、何ですかその無茶振り！
芳乃,まゆ殿ー、早くー、お早くー
乃々,うぅ…ホカホカのお餅を目の前にしてお預けですか、いぢめですね、いぢめですよね…
Ｐ,さぁまゆ。お腹を空かせた子供たちが待ってるぞ！
まゆ,う～…、い、いいです、これもＰさんからの愛の試練……佐久間まゆ、頑張ります！
Ｐ,堂々と某島村さんの持ちネタをパクりましたな
まゆ,…すぅ～…。ヒャッハァー！！今年こそＰさんをモノにし
Ｐ,いただきまーす
芳乃,ますー
乃々,い、いただきます…
まゆ,うわぁぁあああん！！。…
Ｐ,悪かったってまゆ…ちょっとしたお茶目なジョークのつもりだったんだよ
まゆ,ぷいっ
芳乃,かの者は時々ー、闇深き所業を行いますゆえー
乃々,えげつないんですけど…やっぱりプロデューサーさんドＳなんですか…怖いんですけど
Ｐ,そこの２人やめなさい。俺への風評被害は幾らでも受けるがまゆをポンコツだのへちょいだの言うのは止めてさしあげろ
芳乃,徹頭徹尾そなたに申しておりますー
乃々,まるで呼吸をするようにアイドルをおちょくるプロデューサーさんなんですけど…
Ｐ,ごめんなさい。…ほらまゆ。機嫌直してくれよー…
まゆ,いいえ、まゆはとてもとても傷つきました。Ｐさんの愛に応えようと、まゆはＰさんの為ならばと…輝子ちゃんだろうとウサミンだろうと世界レベルだろうとまゆは何でもやる所存ですよぉ？。なのに、なのにあんな仕打ち…ボケ殺しなんてあんまりです…
芳乃,あーあー、泣ーかせたー、泣ーかせたー
乃々,せーんかわにー、言ってやろー…
Ｐ,やめろ物理的にも社会的にも消されかねん
芳乃,そなたは一度ー、痛い思いをするべきなのかもしれませんー
乃々,よ、芳乃さん…そこの砂糖醤油取ってもらえませんか…？
芳乃,ほー
Ｐ,まゆー…機嫌直してくれー
まゆ,くすん、くすん…
Ｐ,まーゆー
まゆ,Ｐさぁん、次はきなこをお願いしますねぇ？
Ｐ,はいよろこんでー
まゆ,あーん
Ｐ,美味いか？
まゆ,最高ですよぉ
乃々,さっきまでスネてたのにもうデレッデレなんですけど…
芳乃,かの者のお膝の上はー、かくも抗い難い力が働くゆえー、仕方ないかと
Ｐ,アイドルを膝の乗せて食べさせてるなんて光景、ちひろさんや早苗さんにでも見られたら一発アウトだけどな
まゆ,合意の上なら大丈夫ですよぉ。あ、次はあんこお願いします
Ｐ,はいはい。よく噛めよー？詰まらせたら掃除機で吸引ってのは都市伝説だからな。去年は幸子が喉に詰まらせて大変だったしなぁ
まゆ,はあい、気をつけ…んぐ、もふ、あふっ、ひをふひぇまひゅぅ
Ｐ,お返事は口の中のものを飲み込んでからな
乃々,もりくぼは知ってます…去年の餅つきで喉にお餅を詰まらせた幸子さんの末路を…。人の手では届かないと判断したプロデューサーさんが迷い無くヒョウ君を幸子さんの口に突っ込んだあの光景を、もりくぼは生涯忘れられません…
まゆ,はぁ…Ｐさんのお膝の上で、Ｐさんの手から頂くお餅は格別です
芳乃,そなたーそなたー、次は私をー、わーたーくーしーをー
Ｐ,おぉう、揺らすな引っ張るな。餅が落ちる、コタツの上に落ちる！
まゆ,ダメですよぉ、ここは今まゆの特等席なんですからぁ
芳乃,むむぅ～
乃々,炊き立てあんこがめっちゃ美味しいんですけど…！
まゆ,それにしても、いっぱい種類がありますねぇ…
Ｐ,調子こいて餅つきすぎちまったからなぁ。４人でも食べきれるかどうか
芳乃,私としてはー、やはりお醤油が好きですー
Ｐ,わかる。砂糖醤油に浸して海苔巻くともう…無敵だよな
まゆ,まゆはあんこも好きですよぉ？この甘さ控えめの、熱々の出来立ての粒餡がたまりません…
Ｐ,小豆も余ってたからあんこも作ってみておいて正解だったな。森久保ー、ちゃんと食べてるかー？
乃々,っ！お、お構いなく……もりくぼのことはこたつの片隅に置かれた物言わぬオブジェだとでも思っていてください…
Ｐ,お、森久保はきなこ派か？きなこも確かに良いよなぁ。食べてる最中にクシャミとかしたら大惨事だけど
乃々,一人静かに生きていきたいという、もりくぼの儚い願いは無視されるんですね…うぅ…
Ｐ,他にも定番どころで言えば大根おろしに納豆、黒ごまも用意してあるからな
芳乃,ああー、大根おろしがー、大根おろしが染み渡りますー
まゆ,納豆も合いますよねぇ…不思議です
Ｐ,まあ、餅もざっくり言えば結局もち米、米の一種だからご飯に合うものは当然餅にも合うんだよ。…と、言うわけで他にも色々用意してあるから持って来るわ。まゆ、一旦降りてくれ
まゆ,絶対に嫌です
Ｐ,じゃ、このまま行くな
まゆ,えぇっ？あ、ああっ、あっ、あっ…！Ｐさん？Ｐさんっ！？
芳乃,ほー…
乃々,お姫様抱っこで持ってかれたんですけど…
Ｐ,お待たせ欠食児童達よ
まゆ,お餅の追加を持ってきましたよぉ
芳乃,戻ってきましてー
乃々,お姫様抱っこで行ったのに肩車で戻ってきたんですけど…何があったんですか別に聞かないですけど
芳乃,それはまたー、たくさん持ってまいりましたのでー
Ｐ,これでようやく半分ってところだわ。みんな沢山食べろよー
まゆ,あんまり食べ過ぎると太っちゃいますよぉ？
Ｐ,どいつもこいつも痩せ過ぎな娘ばっかりだから多少三村するぐらいで丁度いいんだよ。あとまゆ、そろそろ降りてくれないと頚椎がヤバい
まゆ,そんなぁ、ここはもうまゆの特等席です
芳乃,私の席ですー
Ｐ,俺の肩は俺のものだと思いますよ。あ、こら芳乃膝に乗るな
乃々,肩にまゆさん、お膝に芳乃さん…何なんですかこの光景…ブレーメンの音楽隊ですか。…って美味！美味しいんですけどっ、お餅に明太子って合うんですけど！
Ｐ,他にもあるぞー？ほら、チーズとケチャップでピザ風。葱味噌を塗ってオーブンで焼いた田楽風なんてのもあるからな
芳乃,ほふー、ほふーっ。つき立てお餅が焼かれて表面パリパリなのですー
まゆ,Ｐさぁん…まゆも食べたいですよぉ
Ｐ,なら降りなさいな
まゆ,そんなぁ…
乃々,たまらないんですけどっ！マジたまらないんですけどっ！この黒糖バターお餅やめられなくなるんですけどっ！
まゆ,うぅ…仕方ないです、まゆもお餅食べたいので今だけ降りますねぇ…
Ｐ,今だけって言うか普通年頃の娘がオッサンの肩に乗りなさんな
芳乃,でしてー
Ｐ,言ってる側から今度はお前が乗るんかい
乃々,あー、あぁぁ～……、何ですかこれ反則じゃないですか、誰ですか熱々お餅に栗きんとん塗ったのは…
Ｐ,揚げ餅作ったぞー
芳乃,ほわぁー、サクサク、トロトロですー
Ｐ,白だしで雑煮も作ってみたぞー
乃々,身体にジワッと染み渡るんですけど…優しい味なんですけど…いぢめですか？いぢめですよね
Ｐ,甘く煮た油揚げで餅巾着も作ってみたぞー
まゆ,結婚してください
芳乃,ほふぅー、お腹ぽんぽんになりましたー
まゆ,沢山食べちゃいましたねぇ……明日からレッスン頑張らないといけませんねぇ
乃々,もりくぼはもう一生分のお餅食べた気がするんですけど…
Ｐ,みんな良く食べたなぁ
まゆ,はぁい、美味しくて沢山食べちゃいましたよぉ
乃々,もりくぼはもう思い残す事は無いです…このままお餅の海に沈んで余生を過ごします…
Ｐ,翌日バリッバリになるぞ、その海
芳乃,そなたー、そなたー、その土鍋は何なのですー？
Ｐ,んー、お汁粉作ったんだけど流石にもうみんな満腹だよなぁ…
まゆ,お汁粉…食べたいですけど、ちょっとお腹が苦しいです…
乃々,こ、これ以上お餅入らないです…森久保のお腹破裂します、パーンっていきます…
芳乃,でもでもー、とても良い匂いがしますー
Ｐ,あ、こら熱いから危ないっての
まゆ,…やっぱり頂きます
乃々,うぅ、もりくぼも1杯頂きます…
Ｐ,えっ？ああ、無理しないでいいんだぞ？
まゆ,この甘くて香ばしい、蕩けるような匂いを嗅いでしまったら…
乃々,あ、抗えないんですけど…もりくぼ絶対太っちゃいます、ポヨポヨになっちゃいます…もりくぼじゃなくてもちくぼになっちゃうんですけど…
まゆ,ふわぁぁぁ…なんですかぁ、なんですかぁこれ…
