モバP(以下P),生ハムの原木と同棲するというのが
P,ここ最近話題になっているらしい。せっかくなので。俺も買ってみることにした。～～♪
朋,P、なんだか最近ご機嫌よね
P,おっ、そう見えるか？
朋,そりゃ鼻歌歌いながら仕事してたら流石に分かるわよ
P,マジか、気を付けないと
朋,それで、何かいいことでもあった？
P,まあそんなところだ
朋,今日の運勢が1位だったとか！
P,確か今日はそんなによくなかった気がするな…
朋,大丈夫？パワースポット巡り行っとく？
P,いや仕事残ってるから
朋,じゃ、終わったら行きましょ！
P,終わったらな
朋,あれ？何の話だっけ
P,いいことがあった的な
朋,それよそれ！何があったの？
P,まあ大したことじゃないんだけど。実は(生ハムの原木と)同棲を始めたんだ
朋,。えっ同棲ってあれよね、あの寝食とか共にしたりするやつよね？
P,朋？
朋,いやいやPに限ってそんなこと
P,とーもー
朋,あーでも最近周りの子もPと仲いいしなぁ…
P,ふーじーとーもー！
朋,あちょっとまってちかいちかい
P,あ、はい
朋,で、同棲…してるって話だけど
P,ああ
朋,マジ？
P,マジだ
朋,マジかぁ……。いつの間にか、そんな子がいたとはねぇ……
P,まあ始めたのは最近だけどな
朋,そーなんだー……
P,最初は結構不安だったんだけど、慣れてみると意外といいんだこれが
朋,ふーん……
P,ちょっとした安心感あるしな
朋,なにそれ
P,嫌なことあっても家に帰れば待っててくれるし
朋,夫婦かなにか？
P,なによりさ
朋,うん？
P,時々自宅で(肴として)よろしくやってるしな！
朋,。えっとその。なんか堂々ととんでもないことを言われたわ。いやそれどころじゃないんだけど。なんかもう頭ぐしゃぐしゃよ
P,朋！？。朋、大丈夫か？立てるか？
朋,うん、大丈夫
P,いやすまん…まさかそんなになるとは
朋,いいわ、ちょっとショックだっただけよ。いい？絶対に幸せになるのよ！
P,ああうん…どうしたいきなり
朋,あと！出来ればでいいから同棲相手を紹介してよね？
P,ん？それは全然構わないぞ
朋,え、いいの？
P,むしろダメな理由あるか？
朋,だってほらその、相手が一般の人とかだったら悪いじゃない？
P,一般の人？ああ、ないない。だって俺が同棲してんの。ハムの原木だもん
朋,………はむ？
P,ハム
朋,………プリ〇とか伊〇とかの？
P,ハム
朋,…………
P,…………
朋,………………
P,………………
朋,……よ
P,よ？
朋,よかったぁ……。Pが誰かのものになってなくって………
P,あ、やばいすきおいおい大丈夫か？。というわけで朋と同棲することになりました
朋,なったわ！！
ちひろ,何言ってんだこいつら
