モバＰ,どうしたんだ？めったなことを言って
光,だって、アタシは必殺技を持ってないんだ
Ｐ,必殺技……ああ、そういうこと
光,ライダーも戦隊も、ヒーローはみんなカッコイイ必殺技を持ってる。でも、アタシにはそれがない
Ｐ,気にするな。光はアイドルでもあるんだから
光,それでも理想はヒーローなんだ！それにアイドルが必殺技を持ってても良いはずだし。襲い掛かってくる痴漢悪漢を倒せるぞ！
Ｐ,必ずヤる必要はないだろ
光,ライバルのアイドルたちを一網打尽！
Ｐ,それはヒーローとしてどうなんだ
光,今だってほら、必殺技を持っていればうだうだ言うプロデューサーを
Ｐ,今の発言はヒーローでもアイドルのそれでもないからな
光,もういい。アタシは必殺技を習得する。そしてヒーローへの道を一歩進むんだ！
Ｐ,あ、こら待て！――どこ行く気なんだ、あいつ
光,仲間との決別……うん、ヒーローっぽい。しかしどうしようか。必殺技を覚えるにしても、一人じゃ限界がある。事務所をうろついてれば誰かに会えるかな。人がいないってわけでもないし
珠美,あれ、光ちゃんじゃないですか。こんにちわ
光,あ、珠ちゃん。こんにちわ！
珠美,こら、珠美は年上なんですから、きちんとさん付けしなさい
光,珠さん？
珠美,……なんだか面妖な響きですね。やっぱり大目に見ましょう
光,――そうだ、珠ちゃんは剣士だよな！？なら必殺技とか持ってる？
珠美,ひ、必殺？珠美は確かに剣士ではありますが、必殺技はちょっと……
光,ああ、そうなんだ。……そうだよな、剣士とヒーローは違うもんな
珠美,ち、違いますよ。剣士の一撃は全てが必殺のそれなのです！決してヒーローに劣ってるわけではありませぬ！
光,本当！？今見せれる技とかある？
珠美,もちろんです。突きなら壁に打つことができますし、竹刀も持ち歩いておりますから、お見せします！。では、まいりまする……！
光,おお、構えが堂に入っててカッコイイ
珠美,突きぃ！――って、うわぁ！
光,か、壁に穴が空いた！
珠美,ち、力を入れ過ぎちゃった！？ど、どどどどうしよ！
光,珠ちゃん――いや、珠美さん。剣士って凄いんだな。アタシじゃ壁に穴を空けるなんてできないぜ！
珠美,珠美は別に空けたくて空けたんじゃないよ！
ちひろ,珠美ちゃん
珠美,ち、ちひろさん！？誤解です、これは剣士の誇りを賭けて
ちひろ,言い訳は剣士らしくないですよ。仮眠室にいらっしゃい
珠美,助けて、光ちゃん――
光,やっぱり武器があった方が迫力があるんだ……。必殺技の参考になったな。珠美さんにお礼を言わなくちゃ。珠美さん、ありがとうって、あれ？いない……。これはもしかして、剣士は多くを語らないってやつか！。カッコイイぜ、珠美さん！
比奈,どうしたんスか、この壁の穴……
光,あ、比奈さん。こんにちわ！
比奈,こんにちわっス。それでこの穴はいったい？
光,珠美さんの剣士の証だ
比奈,珠美ちゃんの？あー……、アトミックファイアーブレード、みたいな感じっスかね
光,おお、カッコイイ名前だな！
比奈,珠美ちゃんもやんちゃな所があるんっスねー
光,そうだ、比奈さんは必殺技とか持ってる？
比奈,……必殺技っスか。そうでスね、〆切間近のときの不眠不休とか――
光,え、それって比奈さんが死ぬ技なんじゃないのか！？
比奈,死ぬ気でやりまスけど、死ぬことはないっスよ
光,体は大切にしなきゃダメだ！
比奈,でも、自分の体を犠牲にして撃つ必殺技って、なんか憧れないっスか
光,それは……分かる。けど犠牲の仕方に問題があると思うんだ
比奈,まあ確かに、心配をかけることをしちゃいけないっスね。今後は気をつけまスよ
光,そうしてくれると嬉しいぜ！……それにしても、自分を犠牲にしてっていうのはカッコイイかも
比奈,そうっスよね。ヒーローが正義のために自分を犠牲に、しかし現れる新たな敵――くぅ、燃える展開っスね！。こうしちゃいられないっス、さっそくネームを描かないと。感謝しまスよ、光ちゃん。それじゃ私は行きまスね
光,どういたしまして。体は大切にだぜ！。……あれ、いつから漫画の話になってたんだ？。必殺技は自分を犠牲にしつつ武器で、か。でも、ヒーローの武器ってなんだ？。やっぱりバイクか！それとも己の体？合体できる武器なんかも……
まゆ,武器といえば包丁ですよぉ。こんにちわ、光ちゃん。ところで、さっきから武器がどうとか言ってますけど、もしもそれでＰさんを手に入れる気なら……
光,プロデューサー？んー……、武器で脅すのはヒーローじゃないな。欲しいなら正面からだ！
まゆ,宣戦布告ですかぁ？うふ、まゆはいつでも受けますよ……
光,いやいや、今のは言葉のあやってやつだ。プロデューサーは物じゃないしな
まゆ,……そう。光ちゃんは良い子ですね
光,ああ、アタシはヒーローだからな！
まゆ,Ｐさんに手を出さない間は、まゆも悪役になりませんよぉ……
光,悪役？なんの話だろ。ところで、まゆさんは必殺技を持ってたりする？
まゆ,必殺技、ですか。そうですね、Ｐさんがいき過ぎたことをするなら、それも考えておきましょうか……
光,さすがに、まゆさんは持ってないか。どっちかっていうと、守られる側だもんな
まゆ,まゆから言えることは、一撃で戦闘不能にすること、だけですね
光,一撃必殺だな！
まゆ,抵抗されると面倒ですから、ね。動けなくすれば、後の処理も楽ですし……。あ、そろそろＰさんの喉が乾いてるころね……。うふ、それじゃあ、まゆは行きますね
光,ありがとう。またね、まゆさん！。……なんだろ。まゆさんのアドバイスは実践しない方が良い気がする。必殺技、奥が深いんだな。あれ……なんで必殺技のことを訊いて回ってるんだっけ？。確かヒーローになるために必殺技を習得しようとして……。――って、結局習得してないじゃないか！。やっぱりアタシは、ヒーローになれないのか……
麗奈,あら、南条じゃない。相変わらずチビね
光,麗奈か……
麗奈,なによ、張り合いのない返事ね。このレイナサマが話しかけてるんだから、もっとなんとか言ったらどうなの！
光,……なあ、アタシってヒーローになれないのか？
麗奈,はぁ？あんたはアイドルでしょ。違うの？
光,アイドルだけど、いつかはヒーローに、でも、必殺技を持ってないアタシじゃヒーローには……
麗奈,――うっとしいわね！ヒーローじゃないからなんだって言うのよ！？
光,え、えっと、それは……弱い人を助けれなかったり……
麗奈,そいつはヒーローじゃなきゃ、助けちゃいけないわけ？
光,……違う
麗奈,アタシはライダーでいう怪人じゃないけど、勝つためならなんだってするわ。これはおかしいこと？
光,麗奈がそういうことをするのは、別におかしいことじゃないな
麗奈,そうよ、アタシは怪人だのアイドルだのの肩書きの前に、レイナサマなの！えっと……あー、つまりはそういうことよ！
光,アタシはヒーローやアイドルである前にアタシ……。――そうだ、アタシはアタシだな。アイドルでもヒーローでも、誰かの力になれば良いんだ！。ありがとう、麗奈。アタシは目が覚めたぜ！
麗奈,アタシの美学のおかげね。レイナサマに感謝しなさい、アーッハッハッハッ……ゲオゲホ……！
光,本当にありがとう。これで本当のヒーローに近づけた気がするんだ！
麗奈,ゲホッ……あっそ、アタシはもう行くわ。レイナサマは忙しいんだから
光,うん。今度一緒に特撮を見よう
麗奈,見ないわよ、そんなガキっぽいの！
光,な、ガキなんかじゃない――って、逃げ足が速い……。……麗奈のおかげで、ヒーローへの道が開いた気がする。必殺技を持って無くても、誰かを助けたい気持ちがあれば、アイドルでもヒーローになれるんだ。よし、今日からは新生ヒーロー南条光だ。夢と希望を届けてみせる！。……でも、必殺技もできれば欲しいかも
麗奈,クックック――アーッハッハッハッ…ゲオゲホ…！
Ｐ,随分ご機嫌だな。……大丈夫か？
麗奈,ゲホッゲホッ……。大丈夫だけど、少し背中を擦りなさい！
Ｐ,はいはい。それで、どうしてそんなにご機嫌なんだ？
麗奈,さっき、南条がアタシに相談を持ちかけたのよ
Ｐ,光が？もしかして、ヒーローになれない、とかどうとか
麗奈,そうよ。そしてこのレイナサマは、見事にその悩みを解決してあげたわ！
Ｐ,お前のことだから、てっきり突っぱねたのかと思ったが……。偉いぞ、麗奈
麗奈,もちろん単に解決したわけじゃないわ
Ｐ,そうなのか？
麗奈,ええ、アタシなりの考えを答えたフリをして、実は思いつきの適当な答えをしてやったわ！
Ｐ,……麗奈
麗奈,いい気味だわ。南条ったら憑き物が落ちたような顔して……アーッハッハッハッ！
Ｐ,まったく……。まあ、悩みを解決したなら良いか。今日も元気にお仕事だ
麗奈,今日もアタシの伝説が始めるわ！
Ｐ,笑い話にならなければいいけどな
麗奈,そんな口をきけるのも今の内よ！アーッハッハッハッ…ゲオゲホ…！
珠美,あれは珠美の、いや剣士としての技を披露しなければならなくてですね……
ちひろ,はい
珠美,決して事務所に風穴を開けるつもりなどなくて……
ちひろ,それで
珠美,その、普段剣道の腕を披露する機会がなくて、舞い上がってしまったというか……
ちひろ,そうですか
珠美,う、うう……
ちひろ,なんでしょう？
珠美,すみませんでした……
ちひろ,だから言ったでしょう、いい訳は剣士らしくないって。……修理代は珠美ちゃんのお給金から引いておきますからね
珠美,な、なんで珠美がこのような目にぃー！
