藤居朋,あたしのカード達、今日もありがと！
朋,あたしの海ちゃん、ちょっと来てー。海ちゃん、疲れたよー。予約もリピーターも増えてきたわ。上々ね。うーん、海ちゃんは優しいけどそうじゃない。やり直し。そうね、まだまだがんばらないと！
和久井留美,藤居さん、入っていいかしら
朋,留美さん、どうしたの？
留美,お疲れ様
朋,今日は終わりよね？あっ、お客さん来ちゃった？
留美,違うわ。それにしても、あなたの一人で話す癖は慣れないわ
朋,そう？
留美,最初はまだお客様がいたかと勘違いしたもの
朋,安心して。あくまで、トレーニングみたいなものだから
留美,頭の中で会話してる、とか言っていたけれど
朋,自問自答みたいなものだから、おかしくなったわけじゃないのよ？
留美,信じてるわ
朋,それに、もう一人の自分と話すよりも、こっちの方が面白いじゃない
留美,それも聞いたわ
朋,話したかしら？
留美,最初にね
朋,本当は霊界と話したいとかも？
留美,それは初耳。それで、仕事の話をしていいかしら
朋,この話は興味ないんだ
留美,話すと長そうだもの
朋,わかったわ。明日の予約が変わったの？
留美,予約も勤務時間も変更はないわ。中抜け時間が長いけど、お願いね
朋,うん、問題ないわ
留美,話は来月のこと
朋,まだシフトが出てないわね
留美,来月から勤務時間増やして貰えるかしら
朋,ホント？
留美,本当よ
朋,やったわ！
留美,あら、意外と喜ぶのね
朋,占い師としては、一人でも多く幸せにしないとでしょ？
留美,変な所はあるけれど、あなたにも占い師なのね
朋,変かしら？
留美,変な所もあるだけ。来月のシフト、こんな感じでどうかしら
朋,ふむふむ……
留美,藤居さんの評判はいいわよ。上もそれは把握してるわ
朋,お客さんがそう思ってくれるなら、嬉しいわね
留美,初めて会った時はどうかと思ったけれど
朋,留美さんも信じてなかった？
留美,得体の知れないの若造が来たら、誰でも驚くわ
朋,ミステリアスな美少女？
留美,都合のいい耳をしてるのね
朋,冗談だってば。シフト表、ありがと
留美,受けてもらえるかしら
朋,もっと増やしてもいいわ。まだ、ダメ？
留美,段階というものがあるの
朋,それなら、あたしの個室は？
留美,残念ながら
朋,礼さんのお部屋もいいけど、やっぱり自分の部屋が欲しいわ！
