池袋晶葉,もしもし、ああ、私だ。完成したぞ
晶葉,ああ……、確かに。だが、もう一度確認するが……。“アロマディフューザー”を“20個”でいいんだな？ホントに？聞き間違いではなく？。まあ、それでいいならいいんだが……。いったいどういう意味が……？。ああ、ちひろに……。プレゼント……ということか？……なるほど、蒸すのか。……。蒸す！？。い、いや、まあいいさ、時間を見つけて取りに来てくれ。では切るぞ……ああ、気にするな……お疲れ様。？？？。ま、まあいいか。気にしないでおこう……。しかし、作り終わったら暇になってしまったな……。何か適当に機械でもいじるか……。？。空いてるぞー
佐城雪美,おじゃま……します……
晶葉,おお！雪美か！珍しいな！
雪美,……
晶葉,ど、どうした？
雪美,機械……いっぱいで……すごい……
晶葉,はっはっは！そうだろう
雪美,自爆スイッチは……どこ？
晶葉,普通最初にそれ探すか！？。おっと、立たせっぱなしも悪いな。そこの椅子に座ってくれ
雪美,ありがとう……
晶葉,それで、どうしたんだ？
雪美,……えっと、これ……
晶葉,お、タブレットじゃないか、どうしたんだ？
雪美,ありすから……レッスン中だけ……うばっ……貸りた……
晶葉,奪ったって言おうとしなかったか？
雪美,でも、使い方……わからなくて……
晶葉,な、なるほど、それで来たというわけか、良い判断だ。……で、タブレットで何がしたいんだ？
雪美,ペロ……
晶葉,ああ、写真を撮るのか？動画も撮影できるぞ？
雪美,ペロを……乗せて……運びたい……
晶葉,アナログ
雪美,ユキミジョーク……ふふっ……
晶葉,……奪ったのもジョークなんだよな？
雪美,今日は……いい……天気……
晶葉,露骨
雪美,ロコツ……？
晶葉,“あからさま”ということだ
雪美,あかしやさんま……？
晶葉,わざとだな？そうなんだな？。話をもとに戻そうか
雪美,……
晶葉,ええと……
雪美,ちひろを蒸すと……運勢が……あがる……
晶葉,その会話の時はまだいなかっただろう！？
雪美,タブレットの……話を……
晶葉,何事もなかったように戻すのもやめてくれ……
雪美,動画……見たい……
晶葉,な、なるほど。ちょっと貸してくれ
雪美,……
晶葉,……よし、Yootubeは開いたぞ。どんな動画が見たいんだ？
雪美,XJAPAN
晶葉,何か嫌なことがあったなら相談に乗るぞ？
雪美,晶葉は……普段……どんなのを見てる……？
晶葉,私か？以前はあまり使ってなかったが、最近は他のアイドルのライブ映像とかを参考に見ることはあるな
雪美,幸子……とか……？
晶葉,あれを参考にできるアイドルはいない
雪美,XJAPAN……とか……？
晶葉,いつから雪美の中で幸子とXJAPANは同格になったんだ
雪美,クールタチバナ
晶葉,貸してくれた人を煽るとはいい性格してるな
雪美,じゃあ……誰……
晶葉,そいつら以外なら大体は頷いてたと思うんだが
雪美,あ……
晶葉,どうした？
雪美,ありすの履歴……見れる……？
晶葉,う……、他人のを見るのはあまりいい趣味とは言えないが……
雪美,ちょっとだけ……！
晶葉,うーむ……
雪美,フレデリカにしか……言わないから……
晶葉,それ社内にスピーカーで放送するのと一緒なんだが。じゃあ少しだけ……
雪美,……
晶葉,えっと、文香のライブや曲の動画に……いや、クール系のアイドルのやつが多いのか
雪美,……
晶葉,後は料理の動画もあるな、勉強中か
雪美,本当に……？
晶葉,疑うな
雪美,あ……
晶葉,ん？お、フレデリカのライブ映像もけっこう見てるんだな。まあ、割と一緒にいるのを見るし、仲が良いんだろう
雪美,フレデリカ……面白い……
晶葉,あー、周りで見てる分にはな
雪美,この前……いなくなったペロ……見つけてくれた……
晶葉,ほう、いいことだな
雪美,……ありすが
晶葉,じゃあフレデリカどこ行った！？
雪美,あ……そろそろ、返さなきゃ……
晶葉,おっと、もうそんな時間か
雪美,晶葉……ありがとう……
晶葉,なぁに、お安いご用さ
雪美,さよならしるぶぷれ……
晶葉,完全に悪影響じゃないか。～♪。ん？入っていいぞー
雪美,こんにちは……
晶葉,おお、また雪美か！座ってくれ
雪美,……ありがとう……
晶葉,また何かあったのか？
雪美,昨日、あのあと……
晶葉,ああ、雪美が帰った後か
雪美,ありすとフレデリカが……話してる時に、……“ありすはフレデリカの動画をよく見てるの？”って言ったら……
晶葉,エグイことするな
雪美,“人の履歴を見て言いふらすなんてダメです！！！しかも当事者の前でなんて！！！”って……
晶葉,ぐうの音も出ない
雪美,前置きは……このくらいに……
晶葉,いつかありすに蹴られるからな？
雪美,今日は……また別の用があって……
晶葉,そ、そうなのか
雪美,えっと……
晶葉,どうした？なんでも言ってくれ
雪美,油田が欲しい……
晶葉,私が神龍かなにかに見えてるのか？
雪美,ユキミジョーク……ふふっ……
晶葉,その1日1回のノルマみたいなのやめてくれ
雪美,作ってほしい……ものが……あって……
晶葉,マトモなものなんだろうな……
雪美,……
晶葉,黙るタイミングに悪意がないか！？
雪美,……アキアキさん、今日は何を……作るの……？
晶葉,誰！？というかそれを雪美がリクエストするんじゃないのか！？
雪美,ふふふ、葉ロリ……、今日はね……
晶葉,一人二役！？しかも葉ロリて！！
雪美,PlayStation5
晶葉,やめろ！大企業にケンカを売るな！
雪美,大丈夫……S〇NYは……優しい……
晶葉,それ伏せ字の意味ないからな！？
雪美,本当は……、服についた……ネコの毛を……掃除できる機械が欲しい……
晶葉,結局めちゃくちゃマトモなリクエストじゃないか……
雪美,……できそう……？
晶葉,ハンディ掃除機の先端を改良すればできるだろう。どこよりもいいものを作ってみせるさ！
雪美,まさかそれが……最期の言葉になろうとは……
晶葉,不吉なナレーションを入れないでくれ！！！
ｺﾝｺﾝｶﾞﾁｬ雪美,こんにちは……
晶葉,おおう！？座るまでの一連の動作が早すぎないか！？
雪美,時短で……エコ……
晶葉,環境より私の心臓に気を遣ってほしかったが
雪美,昨日の……できた……？
晶葉,当然だ！
雪美,楽しみにしてた……。アロマディフューザー……
晶葉,そっち！！？？。って、またユキミジョークか！
雪美,……
晶葉,え？
雪美,サジョーク……
晶葉,いったい！何が！違うんだ！！！。ほら、コレだ
雪美,すごい……！
晶葉,壊れたら直すから教えてくれ
雪美,折れたら……？
晶葉,え？……いや、直すから教えてくれ
雪美,水没したら……？
晶葉,い、いや、直すが……
雪美,窓から落としたら……？
晶葉,そんなに雑に扱う予定なのか！？
雪美,爆発したら……？
晶葉,しない！！！
雪美,ふふふ……晶葉……やさしい……ね
晶葉,ま、まあ、そう言ってもらえるなら何よりだが……
雪美,次は……別荘がほしい……
晶葉,いい加減にしてくれ！！！
