*短めあんおし,おしあん
マリー,…
押田,…
安藤,…
マリー,…あら。ねぇ押田
押田,はい、マリー様
マリー,今日は何日だったかしら？
押田,えっと…今日は2月の5日ですね
マリー,ふーん…
押田,どうされました？練習試合は月末の予定ですが
安藤,…
マリー,…バレンタイン
押田,マリー様？
マリー,…もうすぐバレンタインじゃない！
押田,え？
マリー,私、2人からチョコレートが欲しいわ！
押田,…
安藤,…ふーっ、終わったー…。隊長。例の書類、ここに置いとくぞ
マリー,えぇ。あとで確認するわ
押田,…あの、マリー様？
マリー,何かしら？
押田,お言葉ですが、その…バレンタインのチョコレートは、そもそも男性に贈るもので…
マリー,？
安藤,ん？なんの話だ？
押田,キミには関係…いや、あるか…
安藤,…フーン、そういえばもうすぐバレンタインだな
押田,キミからも説明してくれ。バレンタインのチョコレートは、そもそも女性が想いを寄せる男性に…
マリー,そうなのかしら？
安藤,…あぁ、温室育ちのお嬢様は、教科書に書いてあることしか知らないか
押田,な、なんだと！？
安藤,今どき、バレンタインをそんな考え方してるヤツの方が少ないっての。女同士で贈りあったり、自分へのご褒美って用意するヤツもいるぞ
押田,…そ、そうなのか？
マリー,あら？そうなの？
押田,マリー様！？知らずに話していたんですか！？
マリー,バレンタインだし、チョコレートが欲しかっただけよ
押田,えぇ…
マリー,チョコレートー。ちょーこーれーいーとー
押田,わ、わかりました！わかりましたから！
安藤,っつーか隊長、ケーキ食べながら平気でチョコレートの話できるのかよ…
マリー,…あ、そうだ。貴女達もチョコレートを交換したらどうかしら？
安藤,…え？
押田,わ、私が安藤と、ですか？
マリー,そうよ。いつまでもいがみあっていないで、こんな日くらいはお互いを思いやってもいいんじゃないかしら？
押田,…
安藤,…
押田,ちょっ、何だその顔は！
マリー,ほら、すぐそうやって…
押田,そ、それは安藤が…
安藤,ほら、お前の大好きな隊長の命令だぞ？
押田,ぐぬぬ…！
マリー,うふふ、そうね。命令ね
押田,…わ、わかった！そこまで言うのなら仕方がない！。14日を楽しみに待っていろ！腰を抜かすほど美味しいチョコレートを用意してやる！
安藤,あー、ハイハイ。…。ふぁぁ…。…うー、昨日はちょっと夜更かししすぎたか…。さて、隊長は…おっと
押田,…ん、安藤
安藤,よぅ、隊長見なかったか？
押田,いや、見てないな。キミこそ見ていないのか。…あぁ、ちょうどいいからキミには今渡しておくか
安藤,ん？
押田,ほら、チョコレートだ
安藤,…え？
押田,今日はバレンタインだろう？マリー様も言っていたじゃないか
安藤,お前、コレ…
押田,か、勘違いするな。マリー様が言うから、キミにも渡しているだけだ！。キミのような下賤な受験組が、私からチョコレートをもらえるだけありがたいと思え！
安藤,お、おぅ…。…なぁ押田。コレ…
押田,あぁ、わざわざ学園艦の外から取り寄せたんだ。キミのような庶民には一生縁がないような高級品だぞ。しっかり味わえ
安藤,…店で買ったヤツそのままだよな？
押田,？どういう意味だ？
安藤,あ、いや…。…
押田,？安藤？
安藤,…どうしよ。…私の、手作りなんだけど…。…うわっ、凄い出しづらい…。コレどっちだ？私が気合入れ過ぎたか？。それともコイツが手を抜いてるっていうか、軽く見てるって考えるべきか？。…。いやいやいやそうじゃないだろ！。私が手作り、コイツが店買いってのはもう事実なんだから、それはもうどうしようもないじゃないか！。…。…いや、でもこの温度差はマジで出しにくい…。でも、わざわざ用意したわけだし、渡さないわけにも…。…。え…ここで手作りのコレ渡したらどうなるんだ
押田,妄想
安藤,
押田,
安藤,だークソ！考えただけでイライラしてくる！！。わざわざ手作りのチョコレートまで用意して、なんで私がイライラしなきゃならないんだ！
押田,あ、安藤？
安藤,何だ！
押田,ま、まだ何も言っていないだろう！
安藤,あ、いや…
押田,全く野蛮な…！
安藤,で、何だ？
押田,自分だけ受け取るというのは、アンフェアだとは思わないのか？
安藤,…ハァ、仕方ないか…。ハイハイ、分かってますよ…っと。ほら
押田,…あ、あぁ。正直、安藤のことだから用意していないんじゃないかとも思っていたけど…
安藤,何だよ？
押田,い、いや。なんでもない
安藤,また何か失礼な事考えてないか？
押田,な、何でもないと言っているだろう！。…ん？
安藤,？
押田,見たことのない包装だな…どこで買ったんだ？
安藤,あぁ、ソレ。私が作ったんだ
押田,…えっ？。…き、キミが作ったのか？コレを？
安藤,何か文句でもあるのか？
押田,あ、いや…。…。…どうしよ。私…何でこんな手を抜いたことを…。安藤はわざわざ作ってきたのに、私はこれだけ…？。普通は、バレンタインのチョコレートは手作りするものなのか…？。でも、チョコレートなんて作ったことないし…。…いや、安藤はこうして作ってきてくれたんだし、言い訳は良くないな…。…。私は…私はせいぜい、学園艦の外からチョコレートを取り寄せる手続きをしたくらいで…。…。え…私、これをマリー様に渡そうとしてたのか…？。安藤は手作りで、私はほんのちょっと高級なだけのチョコレートを…。というか、この程度ならマリー様も食べた事ありそうだし…。…
安藤,さっきから何を考え込んでるんだ？
押田,あ…。ありが、とう…
安藤,…お、おぅ。なんだ今日のコイツは…また突っかかってくるかと思ったが…
押田,…これ、キミが作ったんだろう？
安藤,そうだけど
押田,…
安藤,何か調子狂うな…
押田,…これ、私にも作れるかな？
安藤,え？
押田,…頼む。チョコレートの作り方、私にも教えてくれないか？
安藤,はぁ？
押田,私が間違っていた…私は、何でこんなつまらないものを…
安藤,いや、つまらないってことは…
押田,私は、こんな心の通っていないモノをプレゼントしたくない。頼む。キミと同じものでいいから、チョコレートの作り方を教えてくれ
安藤,な、何だコイツ今日…ずいぶんグイグイ来るな…。…一応言っておくけど、チョコレートってそんなにすぐにはできないぞ
押田,えっ？
安藤,チョコレートを用意して、溶かして固めて…とにかく時間がかかるんだ。今から取り掛かっても、完成するのは明日とか…
押田,それは…。いや、でも…私は…
安藤,何だ、手作りじゃないのを気にしてるのか？
押田,と、当然だろう！キミはこれほど手間をかけてくれたのに、私はこんな浅ましいことを…
安藤,…あのな、私はこれでも十分だと思うぞ
押田,え？
安藤,わざわざ隊長のためにチョコレートを選んで、学園艦に取り寄せたんだろ？
押田,…それは、そうだが…
安藤,そうやって自分のために何かしてくれたってだけで、気持ちは十分伝わってるさ。…現に私も、お前からこうしてチョコレートを受け取って悪い気はしてないしな
押田,そ、そうか…？そうかな…
安藤,…ちえっ、私もなんでこんな恥ずかしい事言ってるんだか…
押田,…あの…安藤、私は…
安藤,ん？。…あぁ、チョコレートの催促か？
押田,執務室か…よしっ
安藤,おいおい、チョコレート渡すだけでそんなに気合を入れることか？
押田,キミと違って緊張するんだ！ガサツな受験組と一緒にするな！
安藤,いつもの調子が戻ってきたな。じゃあ行くか
押田,…ちょ、ちょっと待て！まだキミからはハッキリ聞いてなかったぞ！
安藤,ん？
押田,…あるだろう、言う事…！
安藤,…！。あぁ…チョコレート、ありがとうな
押田,…え、えへへぇ…
安藤,うわっ、気持ち悪っ。言うんじゃなかった
押田,何だと！？キミはそうやっていつもいつも…！
安藤,あーわかったわかった。さっさと行くぞ
押田,あ、おい！まだ話は終わってないぞ！！
こういう,なかよくケンカしな
