モバP,あれ、おかしいな。リモコンが壊れているのかな
千川ちひろ,どうしました？
P,ちひろさん。事務所のテレビのリモコンが壊れちゃったみたいで……
ちひろ,そうなんですか、どこが調子悪いんですか？
P,ええ、TOKYOMXテレビが見れないんですよ
ちひろ,MXってチャンネル何番でしたっけ？
P,確か……
凛卯月未央,ただいまー！
P,ああ、これだ、9チャンです！
渋谷凛,はい？
島村卯月,え？
本田未央,ん？あれ、プロデューサー。どうしたの？
P,ああ、3人ともレッスンお疲れさま。いや、テレビのリモコンが壊れちゃって。9チャンネルが映らなかったんだ
凛,なんだ……
卯月,？
ちひろ,……困りましたね。しばらくは+－ボタンでチャンネル回さないといけないみたいです
P,他の番号はいいんですどね。9チャンだけがね……
凛,……
未央,……
P,3人ともレッスンお疲れさま。凛はこれから帰るんだったな
凛,え、ああ。うん。今日は夜に家の用事があって。その前に、お母さんと買い物にも行くから……。じゃあ、お先に
他,お疲れ様ー！。……
未央,しぶりんの様子、なんか変じゃなかった？
ちひろ,……確かにちょっとおかしかったです
P,レッスンの時もあんな感じだったのか？
卯月,いえ、レッスンの時は何事もなかったです。というより、部屋に入ってくるとき、プロデューサーさんの言葉に変に反応したというか……
ちひろ,言葉？
未央,9チャンって言葉に反応していたよね
卯月,はい
P,9チャン……？きゅーちゃん……
ちひろ,きゅーちゃん……
未央,きゅーちゃん……
卯月,きゅーちゃん……
P,うーん。思い当たるところは……皆なさそうだね。とりあえず思いつく限り、ホワイトボードに書いてみよう
ちひろ,私たちが言ったのはこの意味ですよね
P,はい。テレビの9番のチャンネルという意味ですね
卯月,でも、9チャンネルと言ったときには凛ちゃん、小声でなんだ……
ちひろ,では、テレビの9番のチャンネルというより、きゅーちゃんという言葉に意味があるみたいですね
未央,うーん、きゅーちゃんにトラウマがあるのか……
P,俺が思いつくのはこれですね
ちひろ,私もそっちを思いつきました
P,凛って漫画読んでいたっけ
卯月,奈緒ちゃんからかりた漫画は読んでいたみたいですけど、少女漫画が主だったような
未央,そうそう。どっちかっていうと、かれんが昔のアニメ見ているみたいだけど、でも二人がアニメの話をしたところ見たことがないし…
ちひろ,高橋尚子選手とかどうですか？
未央,誰？
卯月,何の選手ですか？
ちひろ,えっ
未央,えっ
卯月,えっ
P,じゃあ、違うな
未央,私が思いつくのはこれかな
P,きゅうりのお漬物だな。あれはごはんのおかずでもおいしいぞ
未央,そうなんだ！よくお父さんが晩酌で食べているのを見るよ
ちひろ,でも、凛ちゃんときゅうりのお漬物って接点ありますか？
未央,うーん……
卯月,あっ！？もしかしたら、これと関係あるかもしれません
未央,……なにこれ？
卯月,茨城県の牛久市観光協会のマスコットキャラクターです！
P,知らんわ！
ちひろ,でも、きゅうりと何の関係があるんですか？
卯月,きゅうりをもった河童のキャラクターなんです。牛久市は河童の地としても知られています
未央,へぇ、そうなんだ
P,いやいや、きゅうりもマスコットも違うだろ！
ちひろ,なんで高橋選手は知らなくて、牛久市観光協会のマスコットキャラクターは知っているのかしら……。わからないままですね
未央,かみやんとかれんにもきいてみる？
P,うーん、でもあの様子だとあんま広げない方が良いなあ。あの反応は、ちょっと心配だけど
未央,だよね……
卯月,でも、何があったんでしょう
凛,ごめん。忘れ物しちゃって……
他,あ……
凛,ん？。このホワイトボードに書かれているの、何？
P,ああ、いや……その、さっき、皆が妙に凛の反応がおかしくて。それで妙にきゅーちゃんという言葉に反応していたのが気になったんだ……
凛,あ……
未央,あの、ごめんね、しぶりん！
卯月,ごめんなさい、凛ちゃん！
凛,え、あ……
ちひろ,ごめんなさい。でも、どうしても気になって、心配になってしまったんです
P,俺も悪かった。でも、みんな、お前のことが心配で気になってしまって、妙な詮索をしたつもりはないんだ
凛,いや、あの、その……。あだ名……
未央,へっ？
凛,私のあだ名だったの。きゅーちゃんって。中学生の頃の
卯月,なんで、きゅーちゃんなんですか？
凛,それはね、字にすると……。……こうなの
ちひろ,9ちゃん？
凛,うん
女子友達A,あたしねー、こないだの日曜、渋谷駅前に行ってきたんだ！
女子友達B,へえ、どこいったの！？
友達A,109！
友達B,いいなあ！
凛,ねえ、何の話？
友達A,あっ、渋谷さん！
友達B,そうだ。渋谷さんの苗字も渋谷だね！
凛,？
友達B,渋谷さん。渋谷イチマルキューだから、今日から9ちゃんね！
凛,え？
友達A,あっ、いいね！かわいい！9ちゃん！
凛,……ということがあったの
未央,あー……
凛,中学の頃のあだ名はずっと9ちゃんだった。一気に広まって、いきなりみんなに呼ばれたから、戸惑っちゃって……
卯月,それは大変でしたね……
凛,うん。正直困った。でもね……この際だから言うけど、いちばんきつかったのは……
クラスメート男子A,俺、こないだお父さんと一緒にお台場のフジテレビいってきたんだ！
男子B,すげー！
男子C,俺も汐留の日本テレビいってきた！
男子B,いいなあ！
男子A,……なあ、NHKってどこにあるの？
男子B,なんだ、いきなり
男子C,おれ知ってるー！渋谷にあるんだぜ
男子A、男子B,へぇー！
凛,ねえ、掃除してよ
男子A,うっせーぞ、渋谷。おまえはNHKでも放送してろよ
男子B,そうだぞ、NHKは黙ってろ
男子C,NHKはニュースでもやってろよ
女子A,あー、渋谷さんを泣かしたー！
女子B,ちょっと男子。いい加減にしてよ、渋谷さん泣いちゃったじゃない！
男子A,うるせえよ。やーい、NHK！
P,そうだったのか
未央,……ねえ
凛,ん？
未央,もしかして、しぶりんって呼ばれるのも嫌だった？ごめんね
