人望の無さに定評のある主任,以後貴虎表記
貴虎,ふぅ…取り敢えずはこれで一段落、といったところか。…。復興作業も随分進んだな。市民も大分戻ってきた。…だが、それでもかつての沢芽市にはまだ程遠い…。…嘆いていても始まらない。つまらん愚痴など零している暇など私には無いのだからな。…とは言え流石に腹が減ったな。思えば朝からコーヒー程度しか口にしていなかったか。だがまだ仕事が残っている。ゆっくり食事を取っている余裕も無いな。また牛丼でも食べるとするか。だがここからだといつもの店は少し遠いな…。…いい機会だ。今日は別の店を探してみるとしよう。…む？何だ、この匂いは…。鼻腔を刺激する濃厚な油の風味…この店からか？…ラーメン屋のようだが。…思えばこういった店は今までほとんど入ったことが無かったな。よし、丁度良い機会だ。行ってみるとしよう。フッ、ここは自動ドアだな。そうそう同じ轍を踏む私ではない
店員,一名か
貴虎,あ、ああ
店員,カウンターとテーブルがあるが、どうする
貴虎,そうだな…混んでいる事だ、１人なのでカウンターで構わない
店員,了解した。こっちに来るといい。メニューはそこだ。決まったら呼べ。それが人間のルールだろう
貴虎,ああ、では少し考えさせてもらおうか
店員,ごゆっくり。決まったか？
貴虎,すまない、まだ決め手に欠けているところだ…。こってりラーメンでいきたいのだが、何かオススメのセットメニューを教えて貰えないだろうか
店員,そうだな。個人的な意見で構わないのなら、これだな
貴虎,明太子丼、こんなものまであるのか！
店員,ここのこってりは他のラーメン屋ではなかなか味わえない濃さだ。そこに明太子の辛味がアクセントとなり味が引き締まる上に箸休めにもなる。一度、試してみる価値はある組み合わせだ
貴虎,成る程な…、確かに興味を引かれる。ではこってりラーメン、明太子丼とのセットで頼む
店員,量はどうする？
貴虎,そうだな…腹も空いている、大で頼もう
店員,了解した。しばしマッテローヨ。こってりラーメン大盛り、明太子丼セット、お待たせだ
貴虎,おお、これか…。確かに名の通りこってりとしていそうなスープだ…明らかにカロリーと油に満ち満ちていそうだが、不思議な魅力があるな。いただきます
店員,ﾀﾍﾞﾃｲｰﾖ
貴虎,…っ！。…おっと、私としたことが、明太子丼のほうをすっかり忘れていたな。…っ！これは、素晴らしい…！
店員,茶のお代わりを入れよう
貴虎,…はふ、もふっ……ん、すまない…。君の言った通りだ。これは、試す価値のある組み合わせだったよ
店員,それは何よりだ。多少品が無いかもしれんが、茶碗にスープを入れて雑炊のようにして食べる客も少なくないぞ
貴虎,…っ！ぐっ、そ、それは確かに魅力的では在るが、遠慮しておこう…
店員,好きにするがいい。こってりならば後はそこの辛味噌、辛子ニンニクを混ぜるのもオススメだ
貴虎,…この明太子丼に、スープをかけるのか…。いや、流石に外食でそのような真似は…ノブレス・オブリージュ、高貴な者は高貴な振る舞いを忘れてはならない…！。…美味い！。…堪らんなっ！。ご馳走様。実に美味かった
店員,何よりだ。また来るといい
貴虎,ああ、是非また立ち寄らせてもらおう。今度は唐揚げや餃子も試してみたい。私だ、呉島だ。…ああ、そうだ。…わかった、ではそのように手配しておく。な、何だこの行列は……！そ、それほどの人気店だというのか？
客,最後尾はここだ。並ぶなら順序を守るのが人間のルールだろう
貴虎,いや、私は……。…そうだな、折角だ。何事も試してみなければわからんな
客,初心者か。ここは並のラーメン屋ではないぞ
貴虎,フフ、見くびらないで貰おう。私は既にこってりラーメンを制覇している
客,そうか。…席が空いたようだ、店には入れるぞ
貴虎,ほぅ、随分客の回転率が良いのだな。ニンニクヤサイアブラマシマシだ！！
ロイミュ飯イン中華街とどっちにするか迷ったけどこの前生まれて初めて,天下一品
こってり系って食べた直後は,もうしばらくいいや
