頭皮が気になる年頃のモバP(以後P表記),只今戻りました
P,…よし、今日は誰もﾀﾞﾝｿﾝしてないな。って、誰もいないのか？。まあいいや、俺も昼飯にしようかな。さて、社畜らしくちゃっちゃと食って仕事に戻るとしますか。では、いただきま聞いてましてー？。ぐぇっ。お、おぅ…すまなんだ。無視していた訳ではないのだよ。まあ、何と言うか。心の準備にまだ時間が必要だったんだよ
時子,ほー？
P,どうした時子、新手の精神攻撃か？だとしたら安心しろ、効果は抜群だ
時子,これはこれは異な事をー
P,異なのはお前な。どうした、普段のヤンチャなお前はどこいった
時子,そう申されましてもー。わたくしとしても、目が覚めたらこうなっていた訳でしてー。そなたー？
P,おう、取り合えず降りてくれ。話を聞こう
時子,はいー
P,…要するに、お前は芳乃で目が覚めたら時子の体と入れ替わっていたと？
時子,あまりに面妖なる話でしてー、信じてもらえないとは思いますがー
P,いや信じるよ。芳乃が信じてくれというなら、誰が何と言おうが俺は信じる
時子(芳乃),そなたぁ…
P,ドッキリだとしても時子がこんな事する筈ないしな
時子(芳乃),そなたぁ…
P,さてと、ならまずは…
？…もしもP,ああ、事情は聞いた今日は休んで良いぞむしろ元に戻るまで休んでいてくれ部屋でゆっくりしていてくれお大事にな
時子(芳乃),そなたー？
P,時子入り芳乃のほうに連絡しておいた。この有様じゃ両方仕事出来ないだろ。幸いしばらくレッスンぐらいしか予定はないしな
時子(芳乃),そなたー、電話が鳴っているのでしてー
P,ああ、今の扱われ方がよほど不服だったらしい。だが出ない
時子(芳乃),意地悪はよろしくないのでしてー
P,芳乃ボイスでアァン？
時子(芳乃),それは大袈裟なのでしてー
P,芳乃は自分の神力…もとい魅力をもう少し自覚した方がいい。とりあえず元凶を突き止めるぞ。こんな事をしでかすのは志希か、一ノ瀬か、もしくは志希ぐらいなもんだろうけどな
時子(芳乃),選択の余地がないのでしてー
P,志希のスケジュールは、と…。あれ、ボードに書いてねぇ。参ったな…ちひろさんに聞かないと分からんぞ
時子(芳乃),まあまあ、急いては事を仕損じると言いましてー
P,うん、椅子の上に正座してお茶を啜る時子はあまり直視出来ないからね。早く解決したいんだよ
？,賑やかだと思ったら戻ってたんですね、プロデューサーさん
P,あれ、出掛けてたと思ったら休憩室にいたんですね、ちひろさん
ちひろ,ええ、ちょっとお昼を取っていたもので
P,…そうですか
ちひろ,えっと…何かあったんですか？
P,ええ、ちょっと宇宙の法則が乱れてしまいまして…
ちひろ,ごめんなさい。その説明の説明をお願いします
P,ようするにこういう事です
時子(芳乃),ほー
ちひろ,。…なるほど。時子さんと芳乃さんが入れ替わってしまった、と
P,ある意味凄まじい視覚の暴力です。今頃芳乃ボディの時子が何かやらかしてるんじゃないかと思うだけで…
時子(芳乃),そなたー、顔色が悪いのでしてー
P,すまない大丈夫だ。埼玉県民はこれぐらいでへこたれない。で、こんな事やらかしそうな容疑者筆頭ハスハス星人を問い詰めたいんで志希のスケジュールを聞きたいんですけど…
ちひろ,え、えーっと…志希さ、志希ちゃんのスケジュールですか？
P,…いや、やっぱりいいや。質問を変えよう。お前と入れ替わったちひろさんは、今どこだ？
ちひろ,！
ちひろ？,な、何ですかいきなり…私は私ですよ。事務員千川ちひろじゃないですか
P,本物のちひろさんなら２言目にはスタドリを売りつけてきたりガチャを回させようとしてくる筈だ
ちひろ？,そ、そんなの…毎回必ず課金させようとするとは限らないじゃないですか
P,鬼と悪魔すら避けて通る通称346のカネゴン。演技力はまだまだだな。レッスン不足だな、橘さん
ちひろ？,ありすですっ
P,…
ちひろ？,あっ
P,やれやれ、マヌケは見付かったようだぜ
ちひろ(ありす),…いつ気付いたんですか？
P,お前が休憩室から出てきた時から、かな
ちひろ(ありす),会った瞬間からじゃないですか。…ヤマ勘の可能性があるので納得の出来る論理的な説明をお願いできますか？。愛の力ですか？
P,論理どこ行った。論理戻って来い。説明も何も、アレを見れば一目瞭然だろ
ちひろ(ありす),アレ…？
P,この事務所でランチにイチゴパスタを啜る人物は橘さんしかいないだろ
ちひろ(ありす),意義有りっ！私以外にもイチゴパスタを愛する人はこの事務所にいます！。まず柚さんとかっ！
P,本人の前では絶対言うなよ。長いリハビリの末にようやく目のハイライト戻ったんだから
ちひろ(ありす),あ、あと巴さんとかっ！
P,巴もあれから禁断症状に苦しむようになってるじゃねえか。ついさっきまで普通にしていた娘が、いきなりチャンネル変えたようにイチゴパスタァァアアア！！。その度にワカメで縛って、村上さん家のお若い衆に巴を預けて回復を待つ。俺がどんな気持ちでそれを繰り返しているか分かるか？
ちひろ(ありす),
P,で、悪魔超人センカワは今どこに居るか知らないか？
ちひろ(ありす),…ちひろさんなら、私の体で学校にいきました。折角の機会なので小学生気分を楽しみたい、だそうです
P,コナン気分かあのカネゴン
ちひろ(ありす),仕事は終わらせてあるそうなので。あ、これ皆さんのスケジュールです
P,…まあ、仕事ほったらかして逃げなかっただけ良しとしよう。志希の今日の予定は…お、あったあった。よし、ちょっとハスハス狩ってくるから留守番頼むぞ、ちりす
ちひろ(ありす),ちょっ、何ですかその呼び方
時子(芳乃),わたくしも参りましてー
P,へい、タクシー。○○の撮影スタジオまで。フルスロットルで。この調子だと他にも入れ替わってる娘がいそうだな…
時子(芳乃),真、面妖なのでしてー
P,それは四条さんのネタだからやめなさい。志希はこの時間だと丁度収録中だ。番組中なら逃げられまい
時子(芳乃),でしてー
P,…着いたぞ。待ってろハスハスお前の罪を数えさせてやるからな！
スタッフ1,お疲れ様でしたー
スタッフ2,またよろしくお願いしますね
スタッフ3,ｼｷﾆｬﾝ!ｼｷﾆｬﾝ!
志希,にゃーっはっは！こちらこそーまたヨロシクー♪。…。ふぅ…。よかった…無事に終わって。一時はどうなるかと思ったけど
志希？,…ちゃんと志希さんらしく振舞えてたよね？
