モバP(以下P),……は？
愛海・志希,あたし達……結婚します！
P,いや二回言わなくていいから
愛海,大事な事だから………
志希,キミには先に伝えておこうって…
P,とりあえずその手と鼻を止めて説明しろよ
愛海,ふぅ……新人の子は二人だけかな？
七海,未知の領域なのれす………
心,…ころす………絶対ころす…☆
愛海,私の揉手真拳も来る所まで来たね。止めようとしてきた卯月先輩はさながらゴッド・リーが如く華麗に揉み倒したし
卯月,
愛海,七海ちゃんはさばおり君で抵抗してきたけど難無く揉めた。乃々ちゃんはついでに揉んでおいた
乃々,むーりぃー……
愛海,そして難敵かと思われた心さんはちょろかった。主に足腰が。ここまで来たら私を止められるのはSNEさんかKYRさんぐらいだね……。ふふ…この騒ぎを聞きつけてやってくる他のお山達も楽しみ…クク……HAHAHAHAHAHA１!!!。！。誰！？
志希,この一ノ瀬志希にゃんがね！にゃーっはっは！
愛海,な、なんだってーッ
志希,先輩の好きにはさせないよっ！揉むなら……
愛海,もらったッッ！。なッ、なんだコイツ？何故抵抗しない……？。……ッ！？。こッこいつ………嗅いでやがるッ！私を！私のにほいをッッ
志希,ふふーん…そっちが揉むなら私は嗅ぐよ！にゃーっはっは！
P,こわい
愛海,win-winの関係ってヤツ？
志希,利害関係が一致したんだよねーあつみんナイススメル☆
P,何なんだよお前ら…こわいわ
愛海,そんな事ないでしょーこのおかげであの時期から私が他の子に登頂する回数が減ってたの気づかなかった？
P,お前の揉み周期なんて把握してねえ
愛海,はぁ……ダメだねプロデューサー、プロデューサーならアイドルの事は常に把握していなきゃ
P,調子乗んな。……まあ確かに週7で聴こえてた卯月の悲鳴も週6位になってるな
愛海,ふふん
P,誇る事じゃない……で、結婚だって？
志希,うん、あつみんと結婚します
P,しきしっているか。どうせいどうしではけっこんできない
志希,にゃっ、にゃんだってー……って、それくらい知ってる～
P,じゃあどうすんだよ
愛海,そこはほら、私達アイドルじゃん？
P,はあ
愛海,結構海外のお仕事もあるしぃー海外行けばいいと思わない！？
志希,ひゃーあつみん完璧…えらい
愛海,もっと褒めてしきにゃん…
P,(こわい)。で、でもほら親にはなんて言うんだよ。それに、アイドルが結婚なんてなあ
愛海,のんのんプロデューサー
P,今日のお前最高にキテるな
愛海,女の子同士だからね、ファンの皆も逆に安心するんじゃないかな。それに新しいでしょ？
P,…
愛海,レ〇アイドル
P,それだけは言わないでいたのに
志希,それにあたし達の愛は本物だからね～。あつみん妹みたいでかわいいし～
愛海,しきにゃんみたいな美人さんそんなにいないし～
P,(愛海が黙っていれば可愛いという風潮、一理ある)
愛海,もう姉妹プレイも済ませたよ☆
P,おお、もう…
他のアイドルからは,愛海の興味が志希にいった
