喜多見柚,ねぇねぇPサン
モバP,お、どうした柚？
柚,次の日曜ってアタシOFFだよね？
P,そうだけど、何かあるのか？
柚,あのね、Pサンも予定ないんだったら、どこかで一緒に遊んだりできないカナーって
P,ああなるほど。ちょっと待ってな……うん、日曜は1日大丈夫だぞ
柚,ホント？やったー！どこに行こうかなー
P,おいおい、気が早いな
柚,よーし、日曜はPサンを独り占めしちゃうぞー♪
佐久間まゆ,ちょっと待ってください！！！！！！
柚,！？
まゆ,いまPさんを独り占めだなんていう聞き捨てならないワードが聞こえましたよぉ
P,いやいや、そんな大層な事じゃないって……今度の日曜に柚とどこかに遊びに行くっていうだけだよ
まゆ,！！それって、でででデートじゃないですか！そんなの駄目です！
柚,で、デートって……別にそんなつもりじゃないんだケド……
まゆ,Pさんと二人っきりでお出かけなんて、そんなのデートと同じようなものです！絶対ダメです！
P,そんな事言われてもなあ……
まゆ,Pさんが許しても、まゆが許しませんよぉ
柚,アタシとPサンが何したって勝手じゃないの？
まゆ,そ、それは……
P,ド正論はやめて差し上げろ
まゆ,うぅ……と、とにかく、駄目ったら駄目なんです！どうしてもって言うなら……
柚,なら？
まゆ,だったら、まゆが代わりに柚ちゃんとデートします！！
P,……ん？
柚,……アレ？
まゆ,………………
柚,ごめーん、待った？
まゆ,もう、遅かったじゃないですかぁ
柚,ゴメンゴメン、ちょっと寝坊して……
まゆ,仕方ないですねぇ……それじゃ、行きましょうか
柚,うん
まゆ,……でも、本当によかったんですか？Pさんの代わりにまゆがデートする、だなんて
柚,まゆチャンが自分で言い出した事じゃん
まゆ,それはそうなんですけど、半分出まかせだったのに乗ってくるとは思わなかったので
柚,出まかせだったの！？
まゆ,本気であんな事言わないですよぉ
柚,わりと目が本気だった気がするんだけどなぁ……
まゆ,どうかしましたか？
柚,いや、別に……。でもまあ、柚的にはまあ誰かと遊びに行けたらオッケーかなって。Pサンと遊びに行きたい気持ちはあったけどね
まゆ,なら良いですけど
柚,……それに
まゆ,？
柚,それに、まゆチャンにもちょっと興味あったし。あんまり話したこと無かったから、折角だし仲良くなれたらなって
まゆ,……そうですかぁ。それはちょっと、嬉しいかも
柚,えへへ、なんか改まって言うと照れちゃうね
まゆ,うふふっ。それじゃあ、今日は一緒に楽しみましょうね♪
柚,うんっ♪。やっぱり遊びの定番といえばコレだよね！
まゆ,まゆ、あまりカラオケって来たことないです……
柚,えっ、そうなの！？
まゆ,どうしましょう……何を歌ったらいいかな……
柚,別になんでもいいんだよー。まゆチャンがライブで歌ったことある曲とかどう？
まゆ,なるほど……それじゃあ、ちょっとしんみりした曲ですけどいいですか？
柚,全然いいよー！はいこれ、ヨロシク！
まゆ,この機械で曲を選ぶんですね。えーっと、曲名は……。～♪。……ふぅ。どうでしたか？
柚,すっごい上手かったよ！ホレちゃいそうなくらい！
まゆ,うふふ、ありがとうございます。それじゃ、柚ちゃんもどうぞ
柚,ありがとっ。よーし、テンションあげていこー！コールお願いね！
まゆ,えっ、コールですか！？
柚,～♪
まゆ,はいっ、はいっ
柚,せーのっ、イエーイ♪
まゆ,いえーい♪
柚,かわいい。……ありがとー！それじゃ、次はまゆチャンどうぞ！
まゆ,コールって楽しいですね……それじゃあ、まゆも明るい曲を歌おうかな……
柚,よーし、じゃあ柚はタンバリンで盛り上げちゃうぞー♪
まゆ,カラオケ、楽しかったです
柚,なら良かった！まゆチャン、すっごく歌上手いね！なんていうか、感情こもってた！
まゆ,ふふっ、ありがとうございます♪
柚,それじゃ、次はどこ行こっか？
まゆ,そうですね……この近くにまゆがよく行くお店があるので、そこに行ってみませんか？。このお店、服とか小物とか、よく買ってるんです
