千川ちひろ,プロデューサーさん、ドリンクの時間ですよ
モバP,そうですね
P,つくづく思うんですが、これ飲まないとダメなんですかね
ちひろ,当たり前ですよ。飲むのと飲まないのでは力の出具合が違いますし
P,でもねぇ…入社してからの食事はこれだけって
ちひろ,でも栄養価は抜群ですし肉体の疲労も完全に消し去りますので
P,そうなんですけど…たまには肉とか食べたいですよ
ちひろ,我儘言ってちゃダメですよ。と言うか何年プロデューサーしてるんですか？いい加減慣れましょうよ
P,はぁ…
ちひろ,ほら、一息入れましょう
P,……
ちひろ,どうしたんですか？最近変ですよ
P,いや…先月入った新人最近見ませんね
ちひろ,配置転換になったみたいですよ
P,そうですか
ちひろ,書類どうですか？ドリンクここ置いておきますね
P,新人…あいつドリンク嫌いでしたよね
ちひろ,いなくなった人の話なんてどうでもよくありませんか？
P,いや…ちょっと気になりまして
ちひろ,ドリンクを飲まないから体調崩したんですよ。プロデューサーさんはしっかり飲んで栄養つけてくださいね。ドリンクタイムですよ～
P,さっき飲みましたよ
ちひろ,え？ホントですか？
P,はい
ちひろ,飲んだのならいいのですが…。お昼にしましょう。12時のドリンクです
P,ちひろさん、俺さっき飲みましたんで
ちひろ,……。どうなっても知りませんよ
P,2回抜いただけで眩暈が半端ない…
ちひろ,大丈夫ですか？医務室に行きます？
P,いえ、まだ書類がありますので
ちひろ,そんなこと言ってフラフラじゃないですか。行きましょう
P,……
ちひろ,ほら、着きましたよ
P,ここは？
ちひろ,再……医務室ですよ。ほら、ここに横になって
P,……
ちひろ,じゃあ点滴うちますね
P,……。お、もう昼ですか。ちひろさん1つお願いしまーす
ちひろ,はい＾＾。プロデューサーさんも元気になりましたしよかったです。やっぱり健康は食事からですね
