昔々、ヴァルハラという国があった。ヴァルハラは魔王,グラサン
グラサン,おい、四天王はまだか？
手下,はっ、ただいま、来られるかと…。
ガヴリール,うーい、グラサン！
手下,あっ、ガヴリール様！！
グラサン,四天王の一人、天真＝ガヴリール＝ホワイトか。それより、呼び捨てじゃなく様
ガヴリール,知らん…。
グラサン,まったく！
ヴィーネ,魔王様、ただいま到着しました！！
手下,おぉー、ヴィーネ様！！
ヴィーネ,手下さんもお久しぶり♩
グラサン,月乃瀬＝ヴィネット＝エイプリルか。久しぶりだな、お前はいつも敬意を払っているから感心だよ！！
ガヴリール,よっ、ヴィーネ
ヴィーネ,ガヴ…あんた、また見ないうちに髪も一層ボサボサ、服装もだらしなくなっているわね
ガヴリール,まぁ、これが私だからな！
グラサン,やれやれ…
サターニャ,くっくっく、魔王よ♪大悪魔がわざわざ来てあげたわよ！！
手下,サターニャ様！！
グラサン,お前もか、胡桃沢＝サタニキア＝マクドウェル。いい加減、様を付けて呼べと言ったよな？
サターニャ,フン。大体、私のような大悪魔があんたみたいな弱っちい魔王風情に従ってあげてるんだからむしろ、こっちが感謝されたいくらいよ！
ヴィーネ,相変わらずね、サターニャ…。
サターニャ,あら、ヴィネットじゃないの。それに…
ガヴリール,………
サターニャ,ガヴリール！！くっくっく、ここで会ったが100年目、私と勝負しなさい！！
ガヴリール,やだよ。めんどくせぇ
サターニャ,ちょっとぉーー、久しぶりに会うっていうのにそんな態度はないんじゃないかしら！？そこはもっと、受けて立つとか素直に言えないのっ！！？
ヴィーネ,まぁまぁ。それに四天王同士で争ってどうするのよ！！
グラサン,やれやれだ。まったく
サターニャ,とにかく私と勝負ｓ
ラフィエル,あらあら、面白そうな事になってますね♪
サターニャ,っ！！？
手下,ラフィエル様！？
グラサン,白羽＝ラフィエル＝エインズワースか。
ラフィエル,魔王様、お久しぶりです♪
グラサン,うむ。月乃瀬と同様、お前も敬意はしっかりと払っているな！
ラフィエル,あっ、サターニャさーーん、久しぶりに私の飼い犬になってくれませんでしょうか？
サターニャ,嫌よ！？なんであんた、なんかに飼われなきゃならないのよ！！
ラフィエル,えーー、でも好きなんですよね、犬になって私の足を舐めるのが？♪
サターニャ,好きじゃないわよっ！！？あんたってなんでいっつもドSな考えしかできないのよ！！
グラサン,ただ、性格には問題ありすぎるがな…。でも、まぁ四天王だし、そこは大目に見るとしよう！
ラフィエル,恐縮です。
ヴィーネ,ラフィ、久しぶり！
ガヴリール,よっ！
ラフィエル,あら、ヴィーネさんにガヴちゃんではありませんか！お久しぶりです♡
グラサン,で、お前たちに収集命令が掛けられた訳、分かるよな？
ガヴリール,あぁ…
ヴィーネ,はい！
サターニャ,もちろんよ！！
ラフィエル,えぇ♪
ガヴィーネラフィサタ,奴ら市民の皆さん
グラサン,お、おぉ。その通りだ。四天王4人とも言い方がバラバラで、団結してないな…。まず、天真お前だ！お前は一応、リーダー格だから…大目に奪って来れただろうな？
ガヴリール,もちろん。ほら……
グラサン,おぉー、やるじゃないか！
ガヴリール,大変だったよ…。ゲームやりたいのに出来ないから、その悔しさとか憎しみを奴らに八つ当たりして奪ったからな！！
グラサン,そうか。……ゲームできないことへの刷毛口に、民に八つ当たりする所が天真らしいな。次、月乃瀬！
ヴィーネ,はい。これです、どうぞ……
グラサン,おおぉぉーーっ、天真の倍以上に納めてるな！
ヴィーネ,いやぁ～、市民の皆さんのトラブルの解決に、困ったことなどの相談に乗っているうちにお礼として頂いたものばかりで///
ガヴリール,なんだよ？ヴィーネって悪いことばかりする四天王の一人の癖して、あいつらの為なんかに良い事ばっかしてんのかよ！？
ヴィーネ,何よ、悪いっ！！？
グラサン,まぁ、落ち着け。そこは月乃瀬らしくて、いいじゃないか！
ヴィーネ,魔王様……///
サターニャ,フン。次は私ね！
グラサン,そうだな。胡桃沢！
サターニャ,大悪魔の実力をとくと見なさい♪
グラサン,………
ラフィエル,ぷっ//////
ガヴリール,すっくねぇ…。
サターニャ,どうかしら？
グラサン,……胡桃沢。
サターニャ,なによ？
グラサン,後で、俺の部屋まで来い！
サターニャ,ふっふっふ。ご褒美でも、もらえるのかしら？
ヴィーネ,あっ、お仕置きね、これは……
ガヴリール,ご愁傷様…
ラフィエル,ぷっ、くくくっ///////
グラサン,さいご、白羽！
ラフィエル,ようやく私の番ですね♪
グラサン,おおおおぉぉぉーーー、これはっ！！？
ヴィーネ,す、凄い！？私たちの倍以上だわ！？
ガヴリール,マジかぁ……。
サターニャ,フン、やるじゃないの。まっ、私には適わないでしょうけど…。
ガヴリール,どの口が言うんだ、その言葉は…
グラサン,よくこれだけ集めて、納めることができたな？
ラフィエル,うふふっ、簡単ですよ♪まず、調教…ではなく力で民を制圧し、能力を用いて従順…ではなく純朴な、犬…ではなく寡民に仕立てあげただけです！。後は、素直に納めてもらうだけで完了です！ね、簡単ですよね？
グラサン,そ、そうか…。
サターニャ,怖っ！？100％、洗脳じゃないの！？
ヴィーネ,流石はラフィ、おそるべしっ！！？
ガヴリール,ラフィエルは相変わらずだな…。
グラサン,まぁ、各自各々納めてもらったからひとまずいいが。それにお前たちが納めた物の量と話を聞いて、民とはどのような関係になっているかも分かるしな！。天真は、民からある意味恐れられてる。
ガヴリール,………
グラサン,月乃瀬は、民からの信頼も厚く、慕われている。
ヴィーネ,っ//////
グラサン,胡桃沢は、まぁ……
