剣の乙女,以下、乙女
祝福の聖女,以下、聖女
乙女,成る程……だから……
聖女,あ、あの……大丈夫ですか？
大地の魔女,以下、地女
地女,これは……ちょっと床板の触り心地を確かめてな！うむ！
光の勇者,以下、勇者
乙女,火の四天王の婚約者というのが、誰か知ってる？
聖女,赤龍王……という方みたいです
乙女,ふぅん？聞いたこと無いわね
聖女,あ、あの……大丈夫ですか？
地女,うむ！！うむ！！大丈夫だ！！。いやぁ！この床板は触り心地が最高だな！
勇者,……そいつは良かったな
地女,――焦った！本当に肝が潰れるかと思ったぞ！
勇者,二人は不審がってたけどな
地女,だが！これで完璧に、火の四天王に関しては解決だ！
勇者,……
地女,いやぁ、大地の魔女の姿の――俺に惚れてると思いきや！。赤龍王と婚約発表など、想像以上に良い結果だぞ！
勇者,……。どうして、火の四天王の魔力は急激に弱まったんだろうな
地女,恐らく……マリッジブルーというやつだな
勇者,そうか？
地女,うむ！。火の四天王の魔力の源は――喜びの感情。結婚を前に、不安になっているだけだろう
勇者,……。赤龍王ってのは、どんな奴なんだ？
地女,出来た男だぞ！顔も、性格も良い素晴らしい奴だ！
勇者,そうなのか？
地女,うむ！。火の領地は、火の四天王の父――火龍王。そして、赤龍王の大きな二つの勢力が存在していた！。その二つが一つになれば――繁栄は約束されたようなものだ！
勇者,……そうか。お前は、それに関してどう思う？
地女,予想以上に、最高の結果だ！
勇者,どうしてだ？
地女,うむ！。まあ、火の四天王もな？。俺の様な男よりも、赤龍王と一緒になった方が幸せだと思うのだ。さらに、領地は栄える！。――これを最高と言わずして、何と言う！
勇者,――‘らしく’無い事言ってんじゃねえええええ！！
地女,ゆ……勇者？。ど、どうしたのだ？男の子の日か？
勇者,なんだそれ！？そんなもんねえよ！
地女,ええい！ならば、一体何だと言うのだ！
勇者,わかんねえなら言ってやるよ！。俺の知っている、地の四天王は！。自分の都合で女を振り回す、どうしようも無いクズだ！。それが、何だ！？何だ、今のお前は！。今のお前は、最高に気持ち悪いんだよ！
地女,ぬうう……！どう反応して良いかわからん……！。……しかしなぁ、今更どうも出来んぞ？
勇者,糞が！俺だって、こんな事言いたくねえんだよ！
地女,では、この話は終わりということで……
勇者,終わるな！。――大地の魔女！。お前の言葉が本当なら――。――火の四天王と、赤龍王の結婚は認められない！。俺達パーティーにとって、大きな障害になる可能性がある！
地女,……光の勇者？。お前……何を言っているのだ？
勇者,一枚岩になった火の領地は勢いを増す……そうだな？
地女,うむ……まあ、そうだろうな
勇者,だったら、決まってるだろうが！。光の勇者は！。魔王軍の勢力の一つが、勢いを増すのを止める！。婚約発表だぁ？させるかよ、そんなもん！
地女,光の勇者よ、正気か！？。お前それは……人として、かなり最低だぞ！？
勇者,俺が、どうして気を遣わなきゃならねえんだ！
地女,気遣いを覚える事が、大人への第一歩なのだ
勇者,そういうこっちゃねえんだよ！
地女,むう……？
勇者,お前は……地の四天王はクズだ！。そのくせ、変におせっかいを焼いてきやがって……！。それで、大地の魔女はパーティーメンバーで……！。ああもう！俺にも、よくわかんねえんだよ！。――わかれ！！
地女,……。……光の勇者よ、相わかった
勇者,……
地女,お前は、俺を心配してくれているのだな。婚約者――火の四天王が、俺から離れていく。その事を聞き、俺の様子が普段とは違ったので、だ。うむ……確かに、少し前から‘らしく’無かったかも知れんな。そんな俺を――敵である俺を気遣ってくれた。敵ではあるが、旅の仲間として過ごしてきたのだ……。だが……それを素直に言うのは、気恥ずかしかったのだろう？
勇者,……そこまでわかれとは言ってねえんだよおおおお！！。何なんだよ！お前、本当さぁ！？
地女,だがなぁ……それでもなぁ……
勇者,……何だよ
地女,うむ。せっかく、良い感じに出来たのにだな？。婚約発表を止めに行くとなると……な？。それに、光の加護があってもバレるかも知れん。そうなっては……俺の命が危ない！
勇者,……。……成る程、わかった
地女,おお、わかってくれたか！
勇者,お前は、今の時点から――。俺の、パーティーメンバーじゃねえ
地女,？光の勇者よ、何を言って――。――っ！？。ぬうう！この身を包んでいた、聖なる力を感じぬ！？
勇者,えっ……いや、マジで？。光の加護って、こんなんでオフになるのか！？
地女,光の勇者よ、助けてくれ！。光の加護が無いと、色々とバレてしまう！
勇者,だったら、条件がある。火の四天王に関して、お前の本音を聞かせろ
地女,火の四天王は可愛い！。魔族の生は長いので、結婚なんぞ御免だが！。他にバレずにヤれるなら、ヤっちゃいたい所だ！。他の男にくれてやるなんぞ、勿体無い感が凄い！。――ほれ、パーティーに入れてくれ！
勇者,予想以上にクズで入れたくねえええええ！！
地女,早く！早く入れてくれ！早ーく！
勇者,……駄目だ！
地女,ひっ、ひどいではないか！？騙したのか！？
勇者,……入れて欲しきゃ、さっさと行ってこい！。クズは、クズらしく！。火の四天王の婚約発表をぶっ潰して来い！
地女,ぬうう……ぜ、絶対だぞ！？。戻ったら、絶対入れてくれ！
勇者,……ははは！。光の加護が欲しいなら、急ぐんだな！。……ま、たまには俺が振り回すのも悪くねえだろ？
乙女,――逃げるなクズがあああああっ！
聖女,――勇者様？どうして逃げるんですか？
勇者,誤解だああああっ！！
乙女,おっ、おおっ、お姉様に！。入れてくれと……おっお、おねだりさせるるるるううるうるううう！？
聖女,勇者様のあの時の誓いは嘘だったんですか？。ねえ、答えてください……答えて、答エテ、こタエテ、コタエテ……？
勇者,怖い怖い怖い怖い！！
地女,……ふっ、光の勇者め。婚約発表の場を壊しに行けなど……。はっはっは！勇者らしからぬ言葉よな！。……。やはり、俺が見込んだ通り……天晴な奴だ。まさか、この俺に使いっ走りをさせるとはな！。流れ星……か。……光の勇者よ。お前の出した条件――見事果たして見せよう！
