モバP(以下P),なぁ紗南？
紗南,どうしたのさPさん、なんか不思議そうな顔して
P,事務所のテレビの上に張ってあるあの紙何？
紗南,あ、気づいた？凄いよね
P,気づいた？じゃねぇよ！？何？事務所で何が起こったわけ！？
紗南,いやー、色々あったの。色々
P,ルートってあたりでもうゲームだろ、というかくんってことは乙女ゲーだろ？お前以外に誰がいるってんだ！
紗南,でもほら、ゲームってみんなでやるもんじゃない？
P,乙女ゲーは違うだろ
紗南,いやまぁ発端があってさ？アタシって寮で住んでるじゃない？
P,まぁな。寮でもゲームとかしてるんだろ？
紗南,そりゃもう！みんなで対戦ゲームとか時々してるよ！そんで、ほら。アタシってゲームのお仕事してるじゃん？
P,あー、視聴者からゲームのリクエスト貰ってるよな、あとメーカーの依頼もあったし
紗南,そうそう！それでこの前視聴者さんからゲームが届いちゃってさ！乙女ゲー！あ、ちひろさんにしっかり確認してもらったよ？
P,そらR18あったらまずいしな、それで？
紗南,えっと、やるなら一人でーって思ってたんだけど……。うっわ、ホントに乙女ゲー届いてる……しかも結構あるなぁ……何日かかるだろ
卯月,あれ？紗南ちゃん、大丈夫ですか？
紗南,卯月ちゃん！だ、大丈夫！そんなにダンボール重くないし！
卯月,手伝いますよ、ほら。ちょうど2箱ありますし！
紗南,いや、片手で楽勝だから！いいって卯月ちゃん！
卯月,あ、ほんとだ軽いですね！中身は……ゲーム？
紗南,うん、ほらアタシゲーマーアイドルじゃん？ファンのみんなからこのゲームやって！って時々届くの！
卯月,へぇーすごいですね！なんか変わったファンレターみたいです！
紗南,そんな感じかな？というか卯月ちゃん寮じゃないよね？どうしたの？
卯月,えへへ、美穂ちゃんにお呼ばれしちゃって！PCSのみんなで集まってるんです！
P,ふむふむ、そこまではいいな。それで？
紗南,卯月ちゃんがなんか妙に食いついてきてさ、なんやかんやあって……
P,おいそこ大事だろ、おい
紗南,PCSの女子会で乙女ゲーをみんなでやることに……
P,紗南は？
紗南,さすがに操作わからないとアレだし、一緒にやったよ？アタシだってファンからもらったゲームだし、プレイしたいし？
P,つまり……アレか？ボタン押す係？
紗南,そーゆーこと。選択肢は卯月ちゃん達にお任せ
響子,ど、どうしましょう！なんだか誘われてます！
美穂,えっとえっと……ついて行っちゃおうか？どうしよう？
卯月,で、でも……美術部くんとも話してたような……
紗南,基本的に一人を攻略しないとクリアできないからねー？
美穂,こ、攻略……えっと……二人は誰が……好み？
響子,えっ！？えっと……私はその、美術部くん……かな？
卯月,わ、私は……生徒会長くんがいいかなぁ
紗南,美穂ちゃんは？
美穂,えー……っと……こういうの初めてだからわからないです！紗南ちゃん教えてー！？
紗南,まぁ二股はダメだよね。常識的に。相手によっては相手の友達とかと仲良くならないとダメだけどさ
響子,………
美穂,………
卯月,………うひひ
響子,……
美穂,……
卯月,あわわわ……
紗南,で、3人とも丁寧にドハマりしてさ。次やるときも来て―なんて言われちゃって
P,紗南がPCSの3人と混じってるのは色んな意味で想像できん……
紗南,確かに属性違うし、わからないわけじゃないけどさ……なんかピンクでアタシまで恥ずかしくなってきたよ。そんでもって何度か行ってたんだけどさ。そうすると寮のみんなも気づくじゃない？
P,まぁそうだろな。卯月も何度も寮に来てただろうし
美嘉,ねぇ紗南ちゃん？最近卯月ちゃん達と仲いいねー、何かあったの？
紗南,美嘉さん！えっと……なんというか……
美嘉,歯切れ悪いなー？なーに？別に隠すようなことじゃないじゃん！
