火の四天王,以下、火王
火王,私と奴の婚約は……ずっと、秘密だったと言うのに。……。……うっ……ふぅっ……うぅっ……！
地の四天王,以下、地王
地王,何を泣いているのだ？
火王,……。はいっ！？。ど、どうやって……私の部屋まで！？
地王,石造りの建物など、俺の前では何も無いに等しい
火王,ど、どうして……此処に来た！？
地王,うむ！。まあ、大きな声では言いにくいんだがな？。ちょっと夜這いに来た
火王,本当に大きな声では言えない理由だな！？
地王,俺だって、色々と考えたのだぞ？
火王,なっ、何を考えたと言うんだ！
地王,お前の、婚約発表の場を潰す方法だ
火王,……えっ？
地王,正式に発表されるパーティーに颯爽と登場、とも考えた！。だが、水の四天王と風の四天王が前入りしていたのだ！。いくら俺でも、その状況では無理だ！
火王,待て！待て待て待て待て！。お前は、何を言ってるかわかっているのか！？
地王,当たり前だろう
火王,私は、婚約発表を三日後に控えているんだぞ！？
地王,それならば、延期になるぞ。ちょっと赤龍王をボコボコにしてな。あれは恐らく、二ヶ月は静養が必要だろう
火王,お前は何をやってるんだ！？
地王,いや、最初は話し合いに行ったのだ！
火王,何を話すことがある！？
地王,無論、婚約発表を取りやめる事だ！
火王,断られて、赤龍王を闇討ちしたのか！？
地王,いやぁ……。――火の四天王は、顔こそ美しいとは言えない。――だが……。……まで聞いて、カッとなって手が出てしまったのだ。俺の魔力の源は怒りなので、奴が生き残れたのは奇跡だった
火王,お前は……お前は、本当に何をしている！？
地王,美しくない、なんて……なあ？腹が立つではないか
火王,だが！だが、と……内面を褒めようとしていただろう！
地王,お前は、可愛い！自信を持つのだ！
火王,……うるさい！。お前は……私を捨てて、剣の乙女を選んだだろう！？。そんなお前が、どうして今更私の前に現れる！？
地王,何を言う！酔って、朝起きたらベッドに居ただけだ！
火王,そんな訳があ――……。……。うん
地王,それでな？お姉様と呼ばれていてな？
火王,……ああ、呼んでいたな
地王,そんなのは、なあ？男と言い出しにくいだろう
火王,……まあ……確かにそうだな
地王,覚えてはいないが、ヤっちゃった時は女の姿だった。女同士ならセーフ！という事にならんか？
火王,……な、何とも言えん！
地王,まあ、とりあえず婚約発表の場は潰させて貰った
火王,……そうみたいだな
地王,うむ！
火王,……剣の乙女は、どうする気だ？
地王,……まあ、なんだ。火の四天王よ、お前に任せたい。ただならぬ関係ではあるわけだからな！
火王,えっ！？わ、私が何とかしないといけないのか！？
地王,……まあ、他の事は後で考えるとしよう！
火王,いや、待て！
地王,待たぬ！
火王,おい！勝手にベッドに寝転がるな！
地王,それは違うぞ、火の四天王よ！。俺は、ひっくり返っているのだ！。それが、お前の可愛さを引き出すと知っているからな！
火王,……お前……覚えていたのか？。あの……初めて会った時の事を……
地王,？何を言っている、当たり前だろう
火王,……
地王,あの後、火龍王に半殺しにされたのも良い思い出だ！
火王,……
地王,それに、翼と尻尾が出たらな？やりにくいと思うのだ。後ろからだと、可愛い顔が見えなくなってしまうだろう？。つまり――尻に敷かれに来たのだ！
火王,そ……それって……。本当に……良いのか……？
地王,この、鍛え抜かれた肉体を……ぬう、袖が引っかかって……！
火王,あ……うん、脱ぐの手伝うぞ
地王,おおっ、すまぬな！。――この、鍛え抜かれた肉体を見るが良い！。例え、相手が何者であろうとも！。最後まで――支えきってみせるわ！
火王,……！
地王,むしろな？下から突き上げて――
火王,――嬉しいっ……！
大地の魔女,以下、地女
光の勇者,以下、勇者
地女,光の勇者よ、お前の出した条件は達成したぞ！
勇者,いや、だが……。お前……プロポーズした事になってないか？
地女,なっていないだろう？。上に乗って、存分に腰を振れという意味でしかないぞ？
勇者,そうか……いや、そうか！？
地女,とりあえず、ほれ！パーティーに入れてくれ！
勇者,あ、ああ……お前はパーティーメンバーだ
地女,……おおっ！聖なる力で覆われていく！
勇者,とりあえず……後で、二人の誤解を解いてくれ
地女,全く……お前は、いつも誤解されているな。もう少し、言動には慎重になった方がいいぞ？
勇者,あのな！？全部お前が原因だからな！？。って言うか……お前、やっぱり強いんだな
地女,赤龍王には……まあ、菓子折りでも贈っておこう
勇者,それで良いのか！？
地女,安心するのだ、正体はバレていないぞ！。ボコった時は、この美少女の姿だったからな！。だが、ボコった後……。――貴女のお名前は……？。と、妙に熱っぽい視線を送ってきていてな？。あれは……一体何だったのだろうか……？
勇者,お前はどうしてそう……そう、ぬああああ！？。火の四天王は……どうしたんだ？
地女,とても、幸せそうな寝顔をしていてな……
勇者,……それで？
地女,……うむ。長居して、水の四天王と風の四天王にバレるとも限らんしな。起こさないよう、コッソリ抜け出して戻ってきた。こう……ちゃんと、肩まで布団をかけてだぞ
勇者,それ大丈夫なのか！？。っつーか、最後のくだり要るか！？
地女,光の勇者よ、案ずるな！
勇者,いや、だってお前！
地女,ええい、俺を信じろ！
勇者,お前の、どこを！？
地女,火の四天王は、今回の事は誰にも言わん。火龍王の娘にして、誇り高き武人が、だ。夜這いされてお楽しんじゃいました……。……などと、言える筈が無いだろう？
勇者,……本当クズだな、お前はよぉ！？
地女,だが、祝福の聖女と剣の乙女の誤解を解けるのは？
勇者,ああ、そうだな！お前だけだよクソッタレ！
地女,ふっ……パーティーには、役割というものがあるからな！
勇者,お前のせいで生まれた役割だよ！
地女,ふむ……つまり――。――母なる大地、という事だな？
勇者,お前、本当に言葉を考えてくれない！？。それは今後使うなよ！？絶対、誤解を招く！
地女,誤解など、恐るるに足らんぞ
勇者,少しは恐れてくれ、頼むから！
地女,……光の勇者
勇者,……何だよ
地女,誤解があってもな？。こう、割と何とかなったりするものなのだ！
勇者,だけど……どんどん、状況が悪くなって無いか？
地女,なぁに、何とかなる！。光の勇者よ、明日を信じられぬ者に未来は無いぞ！
勇者,四天王らしくないなぐさめすんじゃねえよ！！
