モバP(以下、P),みんなー。今日は新しいアイドルを紹介する。佐藤心さんだ
心,シュガーハートで呼べって言ってるだろ？
P,痛っ！ハートアタック鈍器のように痛っ！
心,はぁとの心を鈍器とは何だー！？鈍器とはー！。あ、自己紹介しま～す！。はぁ～い♪アナタのはぁとをシュガシュガスウィート☆佐藤心ことしゅがーはぁとだよぉ☆
卯月,なんか凄い人が来たね。何言ってるか分からない
凛,同じパッションとして理解できる？
未央,同じパッションとして断言するよ。不可能です
卯月,菜々さんなら理解できるかもしれないね
菜々,呼びました？
卯月,あ。菜々さん。もしかしてあの人、知り合いですか？
菜々,あ、あのｋ…人ね。知り合いであるような無いような…
心,あ！菜々店長じゃないですか！お久しぶりです！私です！メイド喫茶USAMINでバイトしてた心です！
菜々,し、心ちゃん！？
心,お久ぶりです！私が高校卒業と同時にやめたのでもう8年振りぐらいですね！
菜々,そ、そうだね～
心,あの時の店長…じゃなくて菜々さんのメイド指導は本当に素晴らしかったです！
P,もしかして、2人とも知り合い？
心,はぁ～い♪しゅがーはぁとと菜々先輩はメイド喫茶USAMINでバイトと店ｔｙ―――ﾑｸﾞｯ！
菜々,はいは～い。仕事中に私語をする口はウサミンチャックですよ～！
心,ン――――！ンン――――！く、苦しい！菜々さん！ギブギブ！！
P,今、店長って…
菜々,な、名前だけですよ！一番頑張った店員には店長って称号が与えられるんです！
凛,でも8年前って菜々さんが17歳だと仮定したら、働いていたの9歳？
菜々,じ、実家がメイド喫茶だったんですよ！お手伝いです！
未央,え？でも菜々さんってウサミン星のお姫様なんですよね？だったら実家は王宮とかじゃないんですか？
菜々,お、王宮の中にメイド喫茶があって…！ナナは社会勉強として…
卯月,凛ちゃんが“17歳と仮定”ってつけたのに仮定は否定しないんですね
菜々,真の１７歳はそんなこと気にしませんっ！
卯月,
P,必死に否定する菜々さんかわいい。今日はTV局で番組プロデューサーとの打ち合わせだ。けっこう大きな番組だからな
凛,何か緊張してきた
