本田未央,おはよっ！
渋谷凛,あ、おはよ、みおみお
未央,いやー、最近、めっきり寒……く……
凛,あれ？どうかした？
未央,……んんん？？？
凛,ちょっと、大丈夫？月末復刻が絶対に来ないとわかった時の担当みたいな顔して
未央,方々に謝りなよ。あとそこまで絶望してはないよ。ご、ごめん、ちょっと、もう一度私を呼んでもらってもいいかな？
凛,え？……変なことを言うんだね、一度しか言わないから、よく聞いててね？
未央,回数制限いらなくない？
凛,元気バカ
未央,酷くなってる！？
凛,あ、ごめんごめん、間違えちゃった。みおみお
未央,間違えた方を問い詰めたいんだけど……
凛,どうかした？みおみお。体調悪いの？みおみお。大丈夫？みおみお
未央,みおみおみおみおうるさいな！回数制限どこいったんだよ！！！
凛,怖いみお……
未央,なんか語尾みたいになってるし！！！。し、しぶりん、前まで私のこと"未央"って呼んでたよね……！？
凛,そうだみおよ？
未央,語尾じゃなければセーフだと思うなよ
凛,じゃあ逆に、未央は私のこと、なんて呼んでる？
未央,いや、たった今呼んだじゃん……。"しぶりん"だけど……
凛,ズルいよ！
未央,ええ……？
凛,いつもそうじゃん！みおみおはみんなをニックネームで呼んで！
未央,なんで怒られてるの！？
凛,私だってみんなとの距離を縮めたいのに……！
未央,しぶりん……
凛,そしてあわよくばご飯とか奢ってもらったり……
未央,2秒前の感心を返してよ。でも"みんなを"って、しぶりん、いきなりは難しいと思うけど……
凛,もちろん。だから、今日は考えたあだ名を未央に聞いてもらおうかなって。良さそうだったら、勇気を出して呼んでみることにするよ
未央,あ、"未央"に戻ってる……。……って！なんで残念がってるの私は！
凛,？
未央,な、何でもない何でもない！
凛,じゃ、発表するよ。まずはやっぱり卯月から
未央,おっけ！
凛,むらむら
未央,ストップ
凛,あれ、もう褒めてくれるの？
未央,そのポジティブの出どころはどっから？
凛,うん、私も、思いついたときは思わず肘を叩いたね
未央,相場は膝でしょ！？どんな体勢！？
凛,ポイントはリズムだね
未央,それを覆す程に響きが悪いんだよ！！！
凛,じゃあ"まむまむ"とか？
未央,しまむーだってわからなくない！？ってかさっきから引き出し少ないな！
凛,わかった！"卯っ卯ー"！
未央,ケンカの売り方がアグレッシブすぎるんだってば！！！。というか、とりあえず"しまむー"って呼べばいいんじゃない……？
凛,うーん……まあ、及第点かな
未央,腹立つ！！！
凛,じゃあ次は……、私が普段から関わってる人から発表していこっか
未央,不安だなあ……
凛,というわけで奈緒
未央,"眉毛"って出てきたら帰るからね
凛,続いて加蓮
未央,顔色一つ変えずに！？
凛,加蓮はイモでしょ？
未央,加蓮はイモではないよ
凛,あと、加蓮は病でしょ？
未央,加蓮は病ではないよ
凛,それを踏まえて
未央,踏まえて
凛,やまいも
未央,いっそそれで呼んで怒られてきてよ。一回反省した方がいいよ
凛,確かにあだ名としては最低だけど、発想はいいと思わない？
未央,あだ名として最低なら発表しないでよ！胸に秘めておいてよ！
凛,確かに、"イモコロネ"も候補ではあったんだけど
