シャニP(以下、P),お疲れ様です
七草はづき(以下、はづき),あ、プロデューサーさんお疲れ様です～
P,あれ、事務所にいるのはづきさんだけですか
はづき,少しダンスレッスンハードにしたら皆さんヘトヘトになっちゃいまして。それにもう夜ですしね
P,ははは、はづきさんも少しは手加減してくださいよ……おっと
はづき,あれ、プロデューサーさんどうされました？
P,あ、いえ。近頃歩き仕事が多くて……。ちょっと疲れただけですよ
はづき,それなら早くお帰りになった方がいいのでは？消灯やカギはやっておきますよ
P,スケジュール管理と今後の書類を作成したくて。はづきさんもレッスン明けならもうお帰りになってください。俺は少しソファーで仮眠取りますので。……お疲れ様です。…………ぐぅ
はづき,……
???,……んっ……
はづき,んん……。……ん～……ん……。んぅ……？
Pのp君,疲れてる時特有の臨戦状態になっていい？
はづき,んん……プロデューサーさーん……
三峰結華(以下、結華),おはようございまーす
P,……おぉ、結華か。おはようさん
結華,あれ、今いるのプロデューサーだけ？もしかして三峰一番乗りだったり？
P,おう、そうだぞ。その賞品……ってわけじゃないけど、今コーヒー淹れようとしてるんだが結華もいるか？
結華,おおっ、いいの！？Pたん特性のコーヒーかぁ……早起きは三文の徳だねぇ。あ、砂糖入れずにミルクたっぷりで！糖分管理は乙女の嗜み！
P,おう、了解だ。そうか、結華もまだ19だしなぁ……。若い
結華,なーに言ってるのPたんは！Pたんだってまだ若……ん？
P,……ん？どうした結華、こっち見た途端神妙な顔になって
結華,んー……プロデューサー、コーヒー淹れる前にここのソファ座って
P,あ、あぁ…
結華,ねぇプロデューサー、また無理してるでしょ
P,え？……いや
結華,三峰言ったよねぇ？そういうのわかっちゃうって。その時さらにこんな事も言ったかな？無理を通した上で、何事もなかったように笑っていてって
P,……お、おう。そうだったな
結華,三峰の甘々な採点からしても……笑えてないねぇ
P,……そ、そうか。すまなかった。でも今日の午前はやる事ほぼ無いんだ
結華,仕事が無くても、ここにいるってことは事務所に来た皆と顔を合わせるでしょ。その時にそんな顔じゃなぁ……心配しちゃうだろうなぁ……
P,うっ……
結華,とはいってもプロデューサーに今帰って休め―、だなんて三峰にはそんな権限もないし。……プロデューサー、ちょっと目を瞑って。あと力抜いてね
P,あ、ああ……
結華,…………
P,えっ……
結華,あれ？もしかして目開けてないよね？ダメだよ～、いいよ開けてって言うまでは。プロデューサーはさ、そうやって私の……私達のためにいつも無理しちゃうからさ。けど三峰は止めないよ……。プロデューサーの意思を尊重する。でも……言葉でちゃんと、態度でちゃんと感謝と激励を送んなきゃってさ
P,……
結華,……お疲れ様、プロデューサー。そして今日も頑張ってね。こがたんやめいめいみたいに大きくないけれど……三峰はいつでも胸貸してあげるからさ。勿論、アイドルじゃなくて……一人の人間として、ね？
P,……結華
Pのp君,ちょっと遅いけど朝特有のぽっぷるぅになっていい？
結華,……
P,あっ、結華……(離された…)
結華,あれ、まだ開けていいなんて言ってないよ～。まだ瞑っててね。そして今感じたことはプロデューサーの夢って事で！。あ、目を開ける時だけれど私がドア越しでいいよーって言うまでね。それじゃあ三峰、レッスンしに行くからね。コーヒー貰えなかったけどそれ以上のもの堪能できたから！。ということで、寝ぼすけPたんの朝夢なのでした～
P,……ありがとう、結華
