俺はその女,志希
凛,……お決まりの展開だね
奈緒,たぶん名担当Ｐって言いたかっただけだな
ショタＰ,冒頭からメタ発言やめて
奈緒,えぇ～～～でもそんな綺麗にちっちゃくなっちゃうモンかぁ！？
ショタＰ,なっとるやろがい！！
凛,まあ、例のごとく信じるしかないんだろうけど…………加蓮？
加蓮,むむ……
奈緒,遠い遠い遠い。こっち来いよ話しづらいだろ！
凛,なんでそんなに警戒してるの
加蓮,……いや、だって子供じゃん
奈緒,あれ？お前子供嫌いだったっけ？
加蓮,別に嫌いとかじゃないけど……本当にプロデューサーなわけ？
ショタＰ,そこ疑うのか……。いやいやほんとだって、免許証とかも持ってるし
加蓮,むー。むー
奈緒,微妙に距離があるなぁ
凛,ああ、確かに加蓮って年下の男子に接するの苦手そう……
加蓮,……私を初めてスカウトした場所は？
ショタＰ,渋谷のバーキンの前
加蓮,ＯＫ出すまでにかかった回数は？
ショタＰ,８回
加蓮,最初のレッスンで私は何分遅刻した！？
ショタＰ,６分とちょい！
加蓮,初仕事のご褒美で入ったお店と私が食べたものは！？
ショタＰ,アンドザフリットの全ポテト全ソース食べ比べ！！
加蓮,ぜ、全問正解……本当に本物のＰさんなんだ……っ！
奈緒,お前そんなの全部覚えてんのかよ！
凛,プロデューサーもよく答えられるね……
加蓮,それで元凶って今どこ？
ショタＰ,突然距離がやたら近い
加蓮,え～、いいじゃんＰさんなんだから！でも子供の頃ってこんなだったんだ～。かるーい♪ちいさーい?
ショタＰ,ぐぬぬ成す術がねぇ
奈緒,っておい、くっつきすぎだろ！プロデューサーさん困ってるって！凛も何か……
凛,ふーん、かわいいね
奈緒,撮ってる場合かーッ！
奏,犯人を捕まえてきたわよ
加蓮,あ、奏だ
ロリ志希,つかまったー
凛,こっちも縮んでる！？
ショタＰ,出やがったなマッドハスハス女！どうしてくれる！
ロリ志希,ジンあにきがやれってゆった
奈緒,架空の人物に責任を押し付けるんじゃない！
ロリ志希,んー。流石にあたしまでちっちゃくなっちゃうのは計算外だったもよう
ショタＰ,俺が縮むのは計算のうちだったのかよ！
ロリ志希,違うちがーう、あの原液から薄めて少しずつ慣らしてくつもりだったのー。体を若返らせて、成人病やら生活習慣病を解消ってゆー
ショタＰ,確かに成功すればありがたいが加減しろ馬鹿！
ロリ志希,にゃにお～！同い年のくせして～！
奈緒,ロリショタ二人組が取っ組み合いの喧嘩してる……
凛,なんか平和だからこのままでいい気がしてきた
奏,……それで、解毒薬はあるの？揉み合っていないで教えてくれるかしら
ロリ志希,んー。調合してる最中だけどー
ショタＰ,ふぎぎぎ、はなふぇぇえ
ロリ志希,まだ完成してないんだよねー。この体で仕上げられるかにゃぁ
ショタＰ,むぐぐぐぐ
加蓮,あはは、Ｐさんよわーい♪
奈緒,小１くらいだと女子の方が発育よかったりするからなぁ……ってストップストップ！
奏,仕上げだけ誰かに手を借りることはできないの？あなたは指示すればいいでしょう
ロリ志希,そうなんだけど、ちょっと問題があって――
奏,あら？……あ
美穂,
美嘉,
奈緒,あ……あ～、お二人さん？バッグ落っこちちゃってるぞ～……？
美穂,そ、そ、その、その子達
ショタＰ,……あ、ああ。実は……
美嘉,隠し子！？！？！？
ショタＰ,違うわ！！！！
奏,…………ええそうよプロデューサーさんと志希の隠し子ヤケクソ
ショタＰ,奏ェ！？
美穂,ぽこァ失神
凛,あっ美穂倒れた
ロリ志希,むすめですノリノリ
美嘉,嘘でしょ！？いつから！？いくらなんでも年齢おかしくない！！？
奈緒,ちっ違う！違うぞ！？めんどくなったからってブン投げはダメだろ奏ーっ！！
奏,うふふうふふ
美穂,ぶくぶくぶくぶくぶくぶく。そ、そんなことが……
美嘉,もうっ、この子はホントに……！
ロリ志希,んにー、やめれー
奏,……そういうわけだから、速やかに解毒剤を完成させられないか話してたところ
凛,ん……けど志希、さっき問題があるって言ってなかった？
ロリ志希,うん、それはね……おーいプロデューサー？
ショタＰ,
加蓮,遠ッ！え、何どうしたの！？
美穂,プロデューサーさん！？どうしてそんな隅っこにいるんですか！？
ショタＰ,…………お姉さん達…………誰？
一同,えっ
ロリ志希,あのね、体に引っ張られて記憶や心も子供に戻っちゃうの。さっきまでそこらへんの副作用を調整してたとこなんだけどねー
凛,でも志希はまともなままじゃない？
ロリ志希,それは単に個人差。あたしだっていつ戻っちゃうか――――
奈緒,……志希？
ロリ志希,――……ママ？ママどこ？
