ががんしゃ道,顔射道
みほ,アウトオオオオオッ！！！！
優花里,アウトですよおおおおおっっ！！！！
沙織,学校でやっちゃダメでしょおおおおおおっ！！！
杏,と・こ・ろ・が！世界は広い！！
優花里,なんですか？これ
杏,水商売の人間を育成するっていう架空の学校を舞台にした漫画だよ。主人公はここの教師で、メインヒロインの女の子はフーゾク科所属の生徒
華,ふうぞっ……！
杏,ここの生徒はこけしを支給されてて、毎日こーやって素振りの練習をするのが日課らしいよ
みほ,その手つきやめてください！
柚子,そ、そういうわけで……こういうのがあってもおかしくないってこと……。わ、わかるわよね？
麻子,わからんぞ
桃,わ、わかれ！
杏,そーいうことで、西住ちゃん
みほ,えっ？
杏,顔射道、やるよ
みほ,
優花里,ああっ！西住殿の目が！！
杏,だいじょ～ぶだって～。別にホンモノを使うわけじゃないし～
柚子,というわけで、顔射道用のアレの作り方を紹介します……。撮影用に使われている擬似的なもので、いちばん簡単な作り方だそうです
杏,本職の女王様に教えてもらったやつだから、安心だね
みほ,会長の人脈おかしくないですかっ！？
桃,会長はいつだって本気だ
柚子,桃ちゃんそこでそのセリフ？
杏,ハイ。じゃあいっくよー
みほ,えっ。ふあッ……！やあ、いやあ……ッ！ど、どろどろしてるぅ……。うぺえ……く、口に垂れてきてます……。あっ、でっ、でも、味は甘くておいしいかも……
優花里,オゴッ
沙織,み、みぽりん、いやらしすぎ……
華,なんだか、いけないものを見ているのでは……
麻子,
杏,ぐッ……さすが西住ちゃん……
桃,会長！鼻血！！
沙織,みぽりん大丈夫？
柚子,これで拭いてください。あったかいおしぼりです
みほ,あ、ありがとうございます……
麻子,なんでおしぼり……生々しすぎるぞ……
柚子,顔射道は、顔にかけられたときの反応で、評価が決まるそうです
杏,文句なしだね……
優花里,…………
西住みほ：評価Ａ,備考：良く似合っている
みほ,コレって褒められてるんですかっ！！？
麻子,顔にかけられるのに、似合うもクソもないだろ……
杏,いやいや～。絶対にあるよ。似合う人とそうじゃない人
沙織,何を根拠に……
杏,じゃあ、あの子で想像してみてよ
みほ,？
優花里,誰でありますか？
杏,知波単学園の、福田ちゃん
西,福田！しっかり受け止めるんだぞ！
福田,ハイッ！。うああッ！隊長！く、苦しいであります……息が……。うえぇっ……め、メガネにかかって何も見えません……！
西,弱音を吐くな！知波単魂を見せてみろ！！
福田,ｹﾞﾎ……ｳｴｯ……ご、ごれ゛っで本当に戦車道に必要なのでありまずがっ！？
西,……そ、そうだ！やり遂げたら貴様も一人前だぞっ！
福田,ｸﾞｽ……は、はいっ……福田、知波単のために立派になれるよう頑張ります……
沙織,いやあーーッッ！！絶対イヤ！！想像したくない！！
華,あ、あああ……なんという罪悪感
優花里,ガチの犯罪臭がただよってます！
みほ,福田さんが何も知らずに、トレーニングの一環と信じ込んでいるのがまた……
麻子,ていうか何もかもおかしいだろ。西隊長こんなキャラだったか？
福田：評価ＮＧ,備考：やっちゃダメ感がすごい
杏,これでわかったでしょ？似合う子と似合わない子で分かれるって
みほ,はあ……
優花里,認めざるを得ませんね
沙織,いやいや普通に考えて似合う子のほうが少なくない！？
華,でも、あの方はちょっと似合う可能性が……
みほ,？
華,ほら、プラウダの隊長さん……
みほ,カチューシャさんですかっ！？
沙織,よりによって一番小さい子じゃない！なんで！？
華,あのう、たいへん申し上げにくいのですが……。なんだか副隊長の方が、やりそうで……
沙織,ってみんな納得しちゃったよ！！
優花里,似合うというのはシチュエーションもそうですが、かける側がいるかどうかも大きく作用するわけですね
桃,なるほど。かけがえのない人ほど、かけ甲斐があるということだな
柚子,桃ちゃん何言ってるの？バカなの？
カチューシャ,ふあ……食べたら眠くなっちゃったわ。ノンナ
ノンナ,はい。ベッドを用意しました
カチューシャ,ありがと。むにゃ……。ＺＺＺ……
ノンナ,…………。……フフ、フフフ……。お食事に甘～いおくすりを仕込んだ甲斐がありました。これで３０分は何をされても目を覚ますことはないでしょう。では
カチューシャ,ＺＺＺ……
ノンナ,ウフフ……顔じゅうどろどろ、かわいいカチューシャ。カチューシャはそのままでいてくださいね……そう、何も知らない。知られちゃいけない……。カチューシャのこんな姿を知っているのは私だけ……。……さて、堪能したところで、カチューシャのお顔をきれいにしましょう。ﾍﾟﾛ……んっ……ﾁｭｯ……。あむ……カチューシャのお顔……おいしい……
カチューシャ,ＺＺＺ……
沙織,怖ッ！！！
みほ,闇が深すぎます！！！
カチューシャ：評価測定不能,備考：猛毒が滴り落ちるような狂気
華,これは似合う似合わないを超越してませんか？
優花里,ある意味完成されたホラーですね……
沙織,ありえない状況とはみんな思わないんだ……
杏,ま、これは例外として、大洗で誰が一番似合うか確かめてみない？
みほ,なんでですかっ！
杏,だって、このままだと西住ちゃんが暫定1位で顔射道チャンピオンだよ？
みほ,それはイヤですけどっ！！
沙織,もう♪えっちなんだからあ♪。でも、ちゃ～んと受け止めてあげるからね？
麻子,わざわざメガネまでかけて……
みほ,意外とノリノリだあ……
沙織,あっ♪あっ♪やああっ♪。すごおい……どろどろ……♪
杏,う～ん…………なんか違う
沙織,えっ
優花里,ノリノリすぎるのがいけないんでしょうか
華,やはり……ほどよくイヤがるのがコツなのかも知れません
武部沙織：評価Ｂ,備考：なんか違う
沙織,ちょっとお！！
杏,次は五十鈴ちゃ～ん
華,っ！？
優花里,戦車を洗っていたときの、水にぬれた五十鈴殿もとってもセクシーでしたので、これは高得点？
華,そ、そんな。心の準備が……。ああッ！な、なまぐさい……卵白が。うう……すごいにおい練乳の甘さ
みほ,は、華さん……
優花里,おおう……これはまた……
五十鈴華：評価Ａ,備考：すぐれた嗅覚が高ポイント
華,新しい感覚に目覚めてしまいそうです……。もしかしたら、お花を活けるにあたっての新境地につながるかもしれません
麻子,それはない
沙織,あっちゃいけないとおもう！
華,そうだ。せっかくなので、この姿の写真を母に送ってみましょうか？
優花里,卒倒しますよ！！！
みほ,絶対やめてくださいね！！！
優花里,あ、あのうっ。次は私なんですけど……。私、西住殿にかけてもらいたいです！
みほ,えっ！？ほ、ホントにやるの……？
優花里,は、はい！西住殿、おもいっきりお願いします！
みほ,え、えいっ
優花里,あッ！ああッ！すごい！！。えへ、えへへ……にしずみどのぉ……にしずみどのがいっぱいで、しあわせですぅ……
沙織,ゆ、ゆかりん……女の子がしちゃいけない顔してる……
秋山優花里：評価Ａ,備考：心の底からうれしそう
優花里,ヒヤッホォォォウ！最高だぜぇぇぇぇ！！。うへへ……じゃあ次は冷泉殿……ウヒヒ……
みほ,優花里さんがハイになってる……
麻子,…………。……顔が気持ち悪い
優花里,あれ？
冷泉麻子：評価Ｃ,備考：無反応
みほ,麻子さんは、まったく動じなかったですね
沙織,単に低血圧でテンションが低いだけなんじゃ……
華,それでは今度の早朝、麻子さんの寝込みを襲って、寝顔に思い切りぶちまけるというのはどうでしょう？。そうすれば、違った反応を見せてくれるかも知れませんよフフ……
麻子,！？
優花里,五十鈴殿は鬼ですかっ！！？
みほ,匂いにやられて華さんのテンションもおかしくなってる……
杏,う～ん……みんなに試してみたけど、やっぱ西住ちゃんが１番ってことが逆に揺るがなくなった気が……
みほ,ええ～～っ……
杏,うん。決まり！あんこうチームの射長しゃちょう
みほ,射長！？
優花里,車長ではなくて！？
沙織,やだもー！
麻子,これほどまでに下品な肩書きがあっただろうか……
杏,なにげに優勝候補
華,何故です？
杏,スピンオフとはいえ、公式のキャラクターにあれをさせるのはなかなか勇気がいると思うよ
優花里,わかりました！漫画版リボンの武者３巻のあのシーンですね！
みほ,確かにちょっとドキッとしましたね
典子,……喜んでいいの？
あけび,ちょっと違うんじゃ……
杏,それじゃ、アヒルさんチームの射長を決めるよ
典子,！？
忍,射長っ！？
妙子,車長ではなくてっ！！？
杏,あ、そのくだりはもうやったから
あけび,何の話ですかっ！？
