怠惰とはすなわち,情熱の欠如、欝屈、憂鬱
※神崎蘭子著,ブリュンヒルデ黙示録(ルビ：アプカリュプス)～七つの大罪編～
P,んーっ……もう五月も中旬か。しっかし本当、暑くなってきたなぁ。ついこの間まで寒かったってのに。連休明けたからかな……これからは気を引き締めていかないと。おはようござい……ん？
ちひろ,た、大変です、プロデューサーさんっ！
P,千秋の奴がまだ来ない？
ちひろ,それでつい先程電話したんですけど……
P,？……繋がってるんですか？電話
ちひろ,ちょっとプロデューサーさん、代わってもらえませんか
P,いいですけど……。もしもし？。なにー？って……お前、今日仕事だろ？。千秋？。……は？。な、何言ってんだよいきなり！？。一週間丸々休むだなんて……。ついこの間までトップになるために頑張るって、自分で言ってたじゃないか！。方針転換？。そ、そんなのある訳ないだろっ！千秋、今すぐ事務所に。お、おい！？
ちひろ,どの子もそんな感じで、まともにとりあってくれなくて……
P,……いやいやいや、そんなまさか……。ちょっと女子寮見てきます。駐車場を見るに、まだ外出した形跡はないみたいだが……。クソッ！誰一人まともに出ないなんて。こんな事は初めてだ。一体何が起きて……
泰葉,プロデューサー、おはようございます
P,あぁ、おはよう泰……泰葉っ！？
泰葉,？……どうしました？
P,ちょ、おま……なんちゅう格好をして……！
泰葉,え？
P,せめてパジャマはボタンを留め……し、下はどうした！？
泰葉,あ、これですか？最近暑くなってきましたし、ズボンは最初から履かないんです。おかげで汗でベタ付かないし、とっても快適なんですよ。気分もさわやかです
P,快適って……
泰葉,プロデューサーもいかがです？開放的になっては
P,確かに蒸し暑くなりはしてるが、俺が脱いで得をする奴なんていないから
泰葉,はぁ、涼しい……クールビズってこういう事なんですね、プロデューサー
P,いや、クールビズじゃねーからそれ！単にだらしがないってだけ……
美優,あ、プロデューサーさん
P,あぁ美優さん！丁度良かった、美優さんからも何か言って……美優さんっ！？
美優,？
P,……そ、その、スケスケ紫のネグリジェは……
美優,こ、これは、その……ついこの間、奮発して取り寄せたんですけど……似合い、ますか？
P,え、えぇ、似合います、けど……ちょっと、過激すぎやしませんか
美優,さ、最初はそう思ったんですけど……抵抗もなく、すんなり着れてしまって。プロデューサーさんの前でも、全然恥ずかしくなりませんし……
泰葉,あ、普段着感覚ですね。私も分かりますそれ
P,そ、それを普段着にしちゃダメですよ！絶対ダメです！！
美優,……や、やっぱり、似合いませんか……？
P,い、いやいやいや、そうじゃなくてですね……あぁもう！。――と言う訳なんだよ。この様子じゃあ恐らく、寮全体がおかしくなっちまってる……。晶葉なら、何か気付いてないかと思ってな。晶葉？。ん？。えっ、あ……お、おい！ちょっと待て！。ってか、どうして晶葉の部屋だけインターホン付きなんだ……！
美優,そう言えば泰葉ちゃん、朝食はもう済ませた？
