Target8.佐藤心,しゅがーはーと
佐藤,ぜぃ…ぜぃ…
トレーナー,よし。今日はこれでダンスレッスンは終わりだ。佐藤。昨日より身体のキレが悪いぞ。本番までに仕上げてこい
佐藤,ま…任せろ☆はぁとはファンのみんなに、スウィーティーなLiveを届けてやるんだからな☆。…ぜぃ…ぜぃ…で、でも、ちょいキッツイぞ…☆
トレーナー,あまり時間はないぞ。後でマッサージも受けてしっかり身体のケアをしておけ。いいな？
佐藤,お、おいっす…。はぁ～、レッスンだけはぜんっぜんスウィーティーじゃないよな…。でもぉ～☆ファンのために努力は怠らないなんて…いやぁーん♪しゅがーはぁとは健気な女～☆そう思うだろ？。それにー、可愛いだけじゃなくて自分を応援してくれている人にはちゃんと恩も返す☆くぅ～、しびれちゃうぅー☆そう思うだろ？。…おい、さっきから無視してんじゃねーぞ☆プロデューサー☆
P,…。佐藤。騒ぐなら外でお願いしてくれる？
佐藤,おいおいっ☆しゅがーはぁとって呼べよ☆呼べ？☆呼んでぇ～☆。…ていうか、体力ゼロなのに空元気出してんだから、呼び方くらいはさ、いたわってよ
P,佐藤さん。お疲れ様です
佐藤,もうテンプレやめて～☆
P,大変そうだな。特にダンスレッスン
佐藤,まあね。やっぱ25を過ぎると体力落ちるわ。あー…でも、早苗さんとか川島さんは、バイタリティに満ちてるんだよな…
P,あの2人は特別だから
佐藤,しゅがーはぁとも負けてらんねー☆
P,体力面はともかく。最近、楽しそうにしてるよな。佐藤
佐藤,もう一回佐藤って呼んだら流石に泣くぞ☆…まあ、ファンが付いたからなのかLiveとかテレビの仕事も増えてるし、充実はしてるわ☆。昔はアイドルの真似してるのが楽しいだけだったんだけど、いまはちょい違くて、ファンのみんなに楽しんでもらえてるのが嬉しいんだわ。…。いやーん☆しゅがーはぁとの本音？漏らしちゃった～☆感動したか？したよな？☆
P,感動はしてない
佐藤,おい☆
P,けどやる気はかなり出た。これからもしっかり支えてくよ
佐藤,…ありがとな
P,おう。仕事は倍に増やしてやる
佐藤,いや、それ流石に死ぬから抑えて
P,ふぁっふぁっふぁ
佐藤,その笑い方、最近のお気に入りなのかよ…。ところで机の上に置いてある香水はなんなの☆女？女からもらったやつか☆
P,おまっ！ちょい、やめて！。うげっ、使っちまった！
佐藤,ほぇ～♪いい香りじゃん☆。…
P,さ、佐藤さん…？
佐藤,…
P,佐藤…大丈夫？
佐藤,ひっく…
P,お、おい。どうしたんだ？
佐藤,ひっく…うっ…うっ…
P,…？
佐藤,うわっー！また佐藤って言った～！！
P,！？
佐藤,しゅがはって呼べって言ったのに～！
P,…えぇ。ナニコレ
佐藤,しゅがーはぁと、って名前が痛いのは知ってるけど呼ばれたいのよー！呼んで！呼んでよ！プロデューサー！
P,…。しゅがーはぁと…ちゃん？
佐藤,…んふふ～☆それでいいんだよ☆
P,うえっ！？
佐藤,何だよ～☆理由がなくちゃ抱きついちゃダメなのか？いいだろ☆お願い…ね？
P,うっ…。素の話し方で上目遣いされると断りづらいな…。味付けはファンキーかつエキセントリックだが、素材自体は美人だからなぁ…こいつ
佐藤,ほらほら…しゅがーはぁとのこと。ちゃんと抱きしめててくれよ～☆。…抱きしめられたら元気出るから、さ…ワガママかもしれないけどいいかな？
P,…
佐藤,～☆。落ち着くわー…☆。悪いけどもう少しだけな…☆もう少しだけさせてくれたら頑張れるからさ…
P,…。しおらしくされると弱いよなぁ…自分勝手に見えて、普段から周りに気を使ってる奴だしなぁ…。あー、てか、めっちゃバニラの香りがする。こいつ香水までメルヘンチックなんだ…
佐藤,プロデューサーに抱きついてると安心するな…☆
P,…。可愛いんだが…なんか負けた気分になるな…
佐藤,…そうだ☆こうやってラブリィ～で、甘あまぁ～な展開もいいけど☆はぁとにも、プロデューサーを労らせておくれ☆
P,ん？
佐藤,ほら…立って…じっとしてろよ…☆
奈緒,きーみの手で～♪きーりさーいて～♪。とーおいひの～きーおーくーを～♪。ふんふふんふんふーん～♪。いやー、昨日、ナナの家で見た鋼の錬金術師のアニメは面白かったなぁ～。前に少しだけ漫画読んだことあるけど、途中から展開がかなり違っていたのも新鮮だったわ。あと、画面が4:3のサイズになってたのはなんでだろう…？。ま、いっか。結構早めに着いちゃったな…まあ、プロデューサーあたりはどうせいるだろうし。適当に時間潰してよーーー
佐藤,ほら…動くなよプロデューサー☆
奈緒,ん？
佐藤,じっとしてぇ…はぁとに全部任せろ…☆プロデューサーのはただでさえ太いんだからよ☆
奈緒,！？。！？
P,そこまでじゃないだろ
佐藤,今まで見た中では1番かも☆
P,そうかそうか
佐藤,ていうか、すうぃーてぃ～☆な抱擁を朝からしたばっかだと…気持ちが高ぶる～☆
奈緒,！！？？
佐藤,プロデューサーの胸の中…最高だったぞ☆
P,はいはい。話はいいから、さっさとシテくれよ。佐藤
奈緒,シテ！？
佐藤,いやーん☆他人行儀～☆
奈緒,な、な、な、中でナニやってんだよっ！2人ともぉー！？
P,お。そうやってくわえながらするのか？
佐藤,ふぁーねー☆
奈緒,くわえ！？。…///。…ど、どうしよう。…。え、ええい。ままよ…！。ち、ちょーっと待ったぁっ！！2人とも事務室でナニやってんだよぉ！！！
佐藤,ふぁ？
P,ん？
奈緒,アレ？
佐藤,おふぁよ☆
P,おはよう。奈緒
奈緒,お、おはよう…何してるわけ？
佐藤,ふふのさいすんふぁかってる☆
P,服の採寸を測ってる、だってよ。口にペンくわえてるからわからないだろうけどな
奈緒,…あ、そうですか
佐藤,ふぃごろのおれいだふぉ☆
P,日頃のお礼をしてくれるそうだーーー服は着るかどうかわからんけどな
佐藤,ふぃろよ☆
P,気が向いたらな
佐藤,ふふぉ～☆もっとふぁとふぃあまふぇておくれ☆
P,もっとはぁとに甘えておくれ、で合ってる？
佐藤,ふぁふぁ！☆
P,さすが☆
奈緒,…。なんか2人ともゴメン…あたしの勘違いだったよ…
P,ん？
佐藤,？
しゅがははPに甘える姿より、Pに甘えられて喜ぶイメージが強いですね。家事とか育児とかを手際よく,センスはともかく
アナウンス,本日もキャッツの応援に来ていただき～ありがとうございました～。気をつけてお帰りくださいませ～
ユッキ,いや～♪今日も快勝、快勝♪ありがとねプロデューサー。観戦に付き合ってもらっちゃってさ♪
P,暇だったしな
ユッキ,200人弱をプロデュースしてて暇ができるってどういうこと？
P,手際がいいんじゃないか？
ユッキ,そっか。流石だね～♪
P,まあな。はっはっは。テキトーな説明でも納得してくれるんだよなぁ…この子…
ユッキ,で、帰りはどこで飲んでいこうか♪
P,飲みに行くのは決定事項なんだな
ユッキ,無理なの？
P,行けるで
ユッキ,やったー！じゃあどこにする？プロデューサーの家？それともあたしの家？
P,そこの居酒屋でいいだろ
ユッキ,えー
P,いや、逆になんで宅飲みなんだよ
ユッキ,いや、どうせあたし酔い潰れるっしょ？いつも通りに
P,酔い潰れないように気をつけてほしいが、酔い潰れるだろうな。いつも通りに
ユッキ,で、毎回、毎回、プロデューサーにおんぶしてもらってるわけじゃん？
P,おんぶしてるわけですね
ユッキ,それはちょっと申し訳ないなぁ、って最近思うようになったわけよ
P,今さらかよ
ユッキ,わ、悪い！？…まあ、その、プロデューサーも、迷惑じゃないかなー…ってさ
P,…うん。まあそう思うようになったことは素晴らしいな
ユッキ,思うだけじゃなくて行動に移したいわけさ。あたしとしてはね
P,友紀。いいことを教えてやろう
ユッキ,なに。呼び方まで改めて
P,人は生きている限り誰かに迷惑をかけ続けるものなんだ。例えば、電車で席に座れば席に座れない人が出てくるし、スーパーのセール品を取ればセール品を買えない人が出てくる。人は何かをすれば、知らず知らずのうちに迷惑をかけるのが当然なわけだ
ユッキ,はい
P,もちろん迷惑をかけるのが当然だから開き直れって話じゃない。迷惑をかけている分、誰かを笑顔にしたり、親切にしたりして、迷惑分をプラスに変えればいいわけだ
ユッキ,それでマイナス分がちゃらになるわけなの？
