戦闘力以外割とポンコツな主任,以後貴虎表記
貴虎,ふぅ…取り敢えずはこれで一段落、といったところか。…。沢芽市も随分元の姿に戻ってきたものだな。話題作りに巨大風車を作るなどといった案もあったが、別の市と被ってしまうからな。…だがまだまだ油断は出来ない。街並が戻ってもあの戦いの爪痕はまだ根深く市民の心に残っている。我々の戦いはまだここからが本番だ。…とは言え流石に腹が減ったな。思えば朝からコーヒー程度しか口にしていなかったか。だがまだ仕事が残っている。ゆっくり食事を取っている余裕も無いな。またラーメンでも食べるとするか。だがここからだと以前の店は少し遠いな…。…折角だ。また別の店を探してみるとしよう。…む？何だ、この匂いは…。香ばしい油の香り…ここか。どうやら見たところカツ丼の店のようだな。…思えばこういった店は今までほとんど入ったことが無かったな。よし、丁度良い機会だ。行ってみるとしよう
店員,いらっしゃいま……あ、兄貴！？
貴虎,確かに私は兄だが君の兄ではない
店員,……失礼をした。お好きな席にどうぞ
貴虎,わかった。…なるほど、ここは食券ではないのだな
店員,しかし似ているな…スコルピオに
貴虎,チェーン店のようだが、中々盛況だな。１人な訳だしカウンターでいいだろう。さてメニューを見るとするか。…ふむ、やはりメインはカツ丼か。…何ぃ？ソースカツ丼だと…！。丼にソースをたっぷりと浴びたカツとキャベツ…無難にカツ丼にしようと思っていたが、よもやこのような伏兵がいるとは！。腹は空いているからがっつりと食べて英気を養い午後からの職務に励みたいところだ。この選択は間違えられんな…。おお、カツカレーもあるのか。カレーか…久しく食べていないな。ん？こっちにもページがあるのか。な、なんだと…！カツ丼だけでなく天丼まで…！しかも丼だけでなく定食もあるのか！。完全に侮っていた…！どうすればいいのだ、初志貫徹でカツ丼に行くか？いやこのソースカツ丼というのも興味を惹かれる…。だが久しぶりにカレーを食べたいという気持ちもある。だがカレーなら別にここでなくても食べられる…くっ！プロデェクトアーク以来の苦悩だ！。戦いを挑むには致命的に情報が足りん。ここは他の客の様子を伺ってみるとしよう
黎斗,私には神の才能があるのだからなぁ！見ろパラド、カツの味を引き立たせるレモン塩の性能を！
パラド,おいおい、カツにはソースだろ？あんまり俺の心を滾らせるなよ
貴虎,…駄目だ、参考にならん
店員,注文は決まったか
貴虎,…すまない、まだ決めかねているところだ。すまないが、何かお勧めのメニューは無いだろうか
店員,そうだな。この新メニューのタルタルソースカツ定食はどうだ？
貴虎,ソースとタルタル…何て恐ろしい組み合わせだ。そうか、定食でいくのも手だな
店員,ここの定食メニューは味噌汁代わりに豚汁が付属する。腹も舌も満足するだろう
貴虎,豚汁！そんなところにまで伏兵が紛れていたか…。よし、では定食で頼む
店員,タルタルカツでいいのか？
貴虎,いや…折角だ、色々と味わってみたい。この海老ヒレメンチカツ定食を頼もう
店員,他に何か注文はあるか
貴虎,いや、これだけでいい
店員,了解した。注文を受けたらすぐに用意するのが店員のルールだろう
