青木鉄弘,３２
テロップ,青木鉄弘３２
青木,長かったポスドクの期間を経て、僕は常勤の講師になれた……。ポスドクのころは生活が苦しく、かけもちのバイトまでしていた……。僕はようやく、安定した身分と待遇を得ることができた……。僕の趣味は……、これだ……
プラモの箱には、,スーパープチ四駆
東京、六本木ヒルズ。建物の中で、,六本木プチ四駆グランプリ
青木,いいぞ……！アストロフェニックス……！
レーサーA,ああっ！！
レーサーB,またコースアウトだ！！
青木,このマシン、なかなかやるな……。アストロフェニックス、逃げ切ってくれ！。よし、もうすぐゴールだ……！……ああっ！！
レーサーたち,レースの初めはビリだった黒いマシンが……、最後は1着でゴール……。波乱のレースだ……！！
喪黒,これが、プチ四駆のレースですか……。初心者とはいえ、いい経験になりましたよ
青木,え？あなた初心者なんですか……？プチ四駆の初心者で、レースで1着になるなんて……！
喪黒,ホーッホッホッホ……。私は運が良かっただけですよ。勝負には、運の要素もつきものですから……
青木,は、はあ……
喪黒,人生や仕事も運の要素がつきものですよ。あなたも最近、お仕事で運が向いてきたでしょう？
青木,いや、僕はその……
喪黒,例えば……。長い間ポスドクだったけど、ようやく大学の常勤の講師になれたとか……
青木,そ、その通りですよ！今の僕がそれです！あなた、勘が鋭いですね……
喪黒,いやぁ……。仕事柄、長年、人間観察を行ってきた賜物ですよ。何しろ、私はこういう者ですから
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
青木,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
青木,なるほど……。セールスマンの方ですか……
喪黒,詳しいことは、会場を出てから話しましょう。いい店がありますからね……
BAR,魔の巣
喪黒,最近、大人たちの間でプチ四駆のブームが起きているようですなぁ
青木,はい。小学生のころにプチ四駆に夢中になった世代が……
喪黒,おそらく、青木さんもそうだったんでしょうねぇ
青木,ええ、そうです。ポスドク暮らしをしていたころ……。僕は、何かの気まぐれで模型店の中に入りました
喪黒,何かにつかれたように、プチ四駆にのめり込んだ……ということでしょうなぁ
青木,そういうことです。今じゃあ……。プチ四駆は、僕にとってかけがえのない趣味の一つとなっています
