モバＰ(以下、Ｐ表記),ウﾞオﾞオﾞオﾞオﾞオﾞ
千川ちひろ,…………
Ｐ,ウﾞオﾞオﾞオﾞオﾞ
ちひろ,…………
Ｐ,ウﾞオﾞオﾞ……
ちひろ,…………
Ｐ,…………
ちひろ,……気は済みましたか？
Ｐ,はい
ちひろ,…………
Ｐ,…………
ちひろ,……何です？さっきの
Ｐ,ゾンビごっこです
ちひろ,いい歳こいた大人が何やってるんですか
Ｐ,いやぁ。暇なので
ちひろ,仕事してくださいよ
Ｐ,マインスイーパーに飽きちゃって
ちひろ,おい
Ｐ,なんというか、結局運ゲーですよね
ちひろ,ずっと真剣な顔で画面睨んでるなーと思ったら……
Ｐ,あﾞ～ﾞ疲れた。もう仕事したくない
ちひろ,つべこべ言わずに仕事してください給料泥棒
Ｐ,ディスプレイの見過ぎで目がヤバいんですよ
ちひろ,目薬持ってないんですか？
Ｐ,ちょうど切らしてます。ところでドライアイって労災認定されましたっけ？
ちひろ,んなわけねえだろ
Ｐ,えー……なんか目薬に金払うの癪だなぁ
ちひろ,さっさと下のココカラ〇ァイン行ってきてください
Ｐ,ココカラファ〇ンってなんか、男性お断りみたいな独特のアトモスフィア漂ってません？
ちひろ,絶対気のせいですから。黙って目薬買ってきてください
五十嵐響子,お疲れ様です！
Ｐ,うぉっ、響子
ちひろ,あら、響子ちゃん
響子,こんにちはっ！
Ｐ,今日は元気だね
響子,五十嵐響子、元気です！ぶいっ！
Ｐ,オイオイ元気が有り余ってんな
響子,ボンバー！
Ｐ,それはちょっと違うかな
ちひろ,響子ちゃん響子ちゃん
響子,ちひろさん。どうなさいましたか？
ちひろ,ちょっとお使いを頼みたいのだけど、いいかしら？
響子,はい♪卵と牛乳ですか？
ちひろ,ではなく
響子,では、挽き肉と玉ねぎとパン粉ですか？
ちひろ,勝手にハンバーグ作ろうとしないで。そもそも食べ物じゃなくて
響子,？じゃあ、液体洗剤ですか？
ちひろ,いや、洗剤でもなくて……そんな顔をされても、その、困るのだけど……
響子,目薬？
ちひろ,ええ。頼めるかしら？
響子,分かりました。一番ドギツいやつ買ってきますね
Ｐ,やめて
響子,熱濃硫酸って薬局で売ってますっけ？
Ｐ,売ってないし欲しくもないから。はい、これ5000円札。一応多めに渡しておくから
響子,承りました。行ってきま～す♪
Ｐ,行っちゃったよ……。今日の響子、なんかキャラが変じゃない？
ちひろ,さぁ……。気のせいじゃないですか？
Ｐ,何か心境の変化があったんですかね？
ちひろ,心境の変化でもキャラは変わりませんよ
Ｐ,あ、帰ってきた
響子,ただいま戻りました！
ちひろ,お帰りなさい
響子,買ってきましたよ～
Ｐ,お、ありがとう響子。さっそく……
P,ん？。響子、これは？
響子,歯ブラシです！
P,ん、えと、頼んだの目薬だよね？
響子,お金が余ったので、買っちゃいました！
P,あ、そうなの。まぁいいけど
響子,安売りされていたので！
P,それで？目薬はどこ？
響子,？
P,？
響子,全部歯ブラシですよ。この袋の中
P,いや、目薬は？
響子,全部歯ブラシです！
P,あの
響子,歯ブラシってすごいんですよ！排水溝のお掃除が出来ちゃうんです！
P,うわすっげ。マジで全部歯ブラシだ
ちひろ,どうしたんですか？
P,ちひろさん。響子が何故か歯ブラシばっかり買ってきてしまって……
ちひろ,えぇ……？何その状況……
P,見てくださいよこの大量の歯ブラシ。業者かよ
ちひろ,うわぁ。狂気
響子,ふふふ……ｸｸｯ……
P,？響子……？
響子？,ｸｯｸｯｸｯ……
P,！お前は、まさか！
響子？,……
P,歯ブラシ響子！
歯ブラシ響子,如何にも。私が歯ブラシ響子ですっ！暗黒微笑
P,おのれ出おったか！畜生、こんな日に限って！
ちひろ,え、何です？待ってください、え？
歯ブラシ響子,久しぶりですね、Pさん♪
P,クソッ、本物の響子をどこへやった！
歯ブラシ響子,五十嵐響子ちゃんなら、そうですね……。女子寮でスヤスヤ眠ってますよ♪
P,ちくしょう！オフを堪能しやがって！普通に羨ましい！
ちひろ,あの、
歯ブラシ響子,ふふっ。見てくださいPさん。このパーカーの下、どうなってると思います？
P,！まさか！やめろ！パーカーを脱ぐな！
歯ブラシ響子,ふふっ♪
P,ええい！その手を下ろせ！
歯ブラシ響子,じゃん♪見てくださいPさん！この、表に大きくプリントされた歯ブラシの絵を！
P,う、うわぁぁぁぁ！絶望的にダサい！！！美穂のクマTシャツの比じゃねえ！！！
ちひろ,えっと、その、
歯ブラシ響子,ヴィレッジヴァン〇ードで売ってました！
P,おのれヴィ〇ヴァン……許せねえ
歯ブラシ響子,ふふっ♪本物の響子ちゃんの命が惜しいのなら、今すぐ歯ブラシのCM出演のお仕事を取ってきてください！
P,ぐっ……。五十嵐響子の家庭的アイドルというブランド力を上手く利用した絶妙なイメージ戦略……
ちひろ,……。茶番やってないで仕事しろおおおおおおお！！！！！！
P,ﾊｲ
響子,ｽﾐﾏｾﾝﾃﾞｼﾀ
ちひろ,何故あんなことをした？
P,正座
響子,椅子に着席
ちひろ,全然ハロウィン関係ないじゃないですか。Pさんならまだしも響子ちゃんまで……
響子,それはその……Pさんに脅されてて
P,おまっ、ちょっ、嘘吐くな！
響子,Pさんが……協力しなかったら、女子寮にお掃除ロボットを導入するって……
ちひろ,Pさん？
P,いやいやちひろさん！響子の目、泳ぎまくってるじゃないですか！
響子,う、嘘じゃないです……よ？
ちひろ,……………………はぁ～～～～～
P,…………
響子,…………
ちひろ,ちゃんと心を改めて仕事してくださいね
P,はい
響子,御意
ちひろ,響子ちゃんのそのキャラは何なの……
P,ところでちひろさん
ちひろ,はい？
P,この大量の歯ブラシ、どうしましょうかね？
ちひろ,知りませんよそんなの……。考えてなかったんですか？
響子,……ハロウィンですし、トリックオア歯ブラシだとか適当なことを言って捌きませんか？
P,適当って言っちゃったよこの子
ちひろ,というか、歯ブラシ一体いくつあるんです？
響子,買えるだけ買いましたからね
P,ちょっと数えてみます
響子,店員さんに凄い目で見られましたよ
ちひろ,そりゃそうですよ……
P,数え終わりました。15本あります
ちひろ,バカじゃねえの
響子,えへへ
ちひろ,照れないで
P,ちひろさん、15人兄弟だったりしません？一人一本配れば収まりが良いですよ
ちひろ,アフリカかよ
P,ところで
響子,はい
P,響子に5000円渡しちゃったせいで、昼食代がない
ちひろ,バカじゃねえの
響子,ごめんなさい……
P,いやいや。響子は悪くないよ
ちひろ,流石に響子ちゃんのせいでしょうが
P,もう歯ブラシ食って耐え凌ぐしかねえ
ちひろ,やれるものならやってみてくださいよ
響子,Pさん、ファイトです！
ちひろ,背中を押すな
響子,その、罪滅ぼしってわけでもないのですが、今日の昼食、私がお作りしましょうか？
P,マジで？！やったぁ！
響子,ちひろさんも、どうです？
ちひろ,……ご厚意に甘えて
響子,はいっ！五十嵐響子、バキボキ腕を奮っちゃいます！
P,擬音の使い方おかしくない？。お、誰か来た
？,お疲れ様です……
ちひろ,あら、響子ちゃ……ん！？
響子,Pさんにちひろさんと…………えっ！？
響子？,えっ
P,えっ
ちひろ,んん！？
