宇崎月(以下宇崎母),んっ…ん、はぁ…
桜井真一(以下桜井)――,いつか、抱いてみたいな
宇崎母,ぁ、はぁ…はあっ、あ、あっ…んっ♡。あっ♡あんっ、ん、んーっ♡はっ、はぁ…。あっ、あっ…クる、クるっ♡イク、イクっ…イっ…♡。きゃっ！？。花からだわ…もしもし
宇崎花(以下宇崎),あーもしもしお母さーん？急で悪いんだけどー…
宇崎,これから先輩が一人でウチに遊びに行くけど良いよね？
宇崎母,…！？
桜井,はあっ！？マジかよっ、今朝約束しただろ！？
宇崎,ホンットーに申し訳ないっス、先輩…このあと前々から約束してた用事があったの、すっかり忘れてて…
桜井,それじゃあ今日お前の家に行って猫とお近づきになるって言う約束は…
宇崎,また後日、日を改めてと言う事で…
桜井,お前俺の今日一日のワクワクを返せっ！
宇崎,どんだけ楽しみにしてたんスか！？
桜井,……っはあぁーーっ…
宇崎,うっわ、ガチ凹み…あーもうしょうがないっスねー。それじゃあ、先輩一人でウチに来ますか？
桜井,えっ、良いのかそれ…
宇崎,今の時間ならお母さんいると思うんでちょっと電話してみますねー
宇崎母,な、何で桜井君が花がいないのに家に来るのよ？
宇崎,今日先輩を家に連れて行くって約束してんだけど、別の用事があったのうっかり忘れててー。とりあえず様子見して、触って、大丈夫そうなら抱くだけだから(猫を)
宇崎母,！？
宇崎,ねーお母さん良いでしょー？
宇崎母,何言ってるの、良い訳ないじゃない！
宇崎,……
桜井,……
宇崎,大丈夫だって、先輩なら心配無いからっ
宇崎母,し、心配無いって
宇崎,それじゃあ30分位で先輩そっちに行くからよろしくねーお母さん！
桜井,…かなり強引だったな、本当にお前んち行って大丈夫？
宇崎,今回悪いの私なんで、ちょっと無理に押しきりました。お母さん普段ヒマしてるんで、良かったら先輩が相手してあげて下さいよ
桜井,まあ、お前がそう言うならせっかくだから行かせてもらうが。…何かお前、不機嫌になってね？
宇崎,べっつにー？
宇崎母,だ、大丈夫って…自分の母親を抱こうとしている男と二人っきりで何が大丈夫なの…
宇崎――,触りたいんスか？先輩。ちょくちょく通って慣れてくればそのうち向こうから触らせてくれるかもしれないスよ
桜井,ふっ、ふっ…そろそろイクぞっ、宇崎っ！
宇崎,は、はいぃ♡私、もっ、イクっス♡イクっ、イック…♡。あっ、あぁー♡はっ、はっ、はっ♡…はぁーー…っ♡
桜井,っふぅー…出た出たぁ
宇崎,あんっ♡
桜井,それじゃあいつも通り、掃除頼むわ
宇崎,はーいっ♪了解っス。私を気持ち良くしてくれた、先輩のチンポ…ちゅっ♡。ん、んふっ…ぇう♡あむぅ、じゅるぅ、ぢゅちゅぅ～♡
桜井,んっ…良いぞ、大分上手くなって来たな
宇崎,んぽっ、えへへっお褒めに預かり光栄っす…ぁむぅ、んっふぅ♡。んっ、は♡んちゅ、ぺろっ、んっ…はぁ…♡はむっ♪んくっ、んっ♡んーーっ♡。っはー…どうっすか先輩？お掃除完了っス♡
桜井,バカだと思ってたけど以外に飲みこみ早かったな、最初の内は臭いを嗅ぐのも嫌がってたのに
宇崎,何言ってんスか、先輩がこうやって飲みこめる様にならないと、もうシてやらないって言うから必死で覚えたんスよ？
桜井,それで実際ヤるあたり、お前も大概スケベだって事だろ、今はもうあんな熱心に舐め取って、味も匂いも好物なんだろ？
宇崎,……っ♡
桜井,ほらほら、照れてるヒマがあったらマッサージもさっさとしてくれ
宇崎,はーい♪。胸で、挟んで…ぇーっ♡唾液をブレンドした、特製ローションで、マッサージ…っと♡
桜井,ふぅー…いやー本当に最高だわ、お前のデカチチ
宇崎,大きくて良い事なんて無いと思ってたんスけどねー、お母さんに感謝っス♡
桜井,…お前のおふくろもデカいんだ、顔とスタイルは？
宇崎,…？そーッスね、身内褒めになりますけど美人だしスタイルも…ってまさか先輩！？。ひゃんっ♡せ、先輩…乳首、摘まな…。あっ、ふっ♡んんっ…♡
桜井,宇崎、今度俺をお前の家に連れていけ
宇崎,お、お母さんにも手を出すつもりっスか…？
桜井,まず実際に見てみない事にはな、手ぇ出すかどうかはそっから決めるさ
宇崎,…どーせ、私は拒めないじゃないっスか、イヤだって言ったらもうシてやらない、とかままた言うんでしょ
桜井,そんな事は言わねーよ、さすがに家族巻き込むのは罪悪感デカいからな、無理強いはしないさ…ただ――
宇崎,…？
桜井,お前の家に連れてってくれるって約束するんなら…ご褒美に今日はいつもの何倍もイカせまくってやる
宇崎,っ！…っ♡
桜井,選ぶのはお前だ、イヤだって言ってもこの関係は変わらないぞ…どうする？
宇崎,そ、そんなの…。先輩を家に連れてくに決まってるじゃないっスかぁ♡♡
桜井,…はっ、随分と俺好みのオンナになったな…花
宇崎,あっ♡それっ♡ダメっす♡今興奮して変になってるからっ♡名前で呼ぶのダメぇ♡
桜井,名前で呼ばれるの好きだもんな、今日は名前を呼んで一日中してやるからな、花
宇崎,えへっ、えへへっ♡それじゃあマッサージは途中ですけどここまでっス♡。今日は一杯して下さいね…ご主人様♡
宇崎母,はっ、はっ、はっ…はぁっ♡はぁっ♡はぁっ♡。こ、こんなに濡れてるなんて…触ってもいないのにっ♡。だ、ダメッ、ダメ、なのにぃ♡手、止まらな…。ひっ、ひっ♡こんなの…知らな、っ…イクっ、イクぅ～～♡
桜井,こんにちわ、以前お邪魔した桜井です
宇崎母,さ、桜井君！？…ごめんなさい、片づけるから少しだけ待ってて貰えるかしら
桜井,分かりました
宇崎母,桜井君、お待たせしてしまってごめんなさいね
桜井,いえ、こちらも突然一人でおしかけてしまって申し訳ございません。それで、花さんから電話でお伝えしてあるとは思うんですが…。猫を抱く為に、上がらせて頂いてもよろしいでしょうか？
宇崎,それで、どーっスか先輩？私のお母さんは
桜井,あー宇崎、今日はオシオキ決定な
宇崎,うぇ、何でっスか！？私きちんと家まで案内したじゃないっスか
桜井,あんな上玉ずっと隠してやがって、だからオシオキ
宇崎,…って事は合格？
桜井,あぁ、さっさとあの可愛い猫ちゃんをアンアン喘がせたくて堪らないぜ
宇崎,あー、猫は言いえて妙っスね、最初は警戒しますけど先輩ならすぐに抱けると思いますよ
桜井,という訳で、何かあったらお前にも協力してもらうかも知れないからな、だから今日はオシオキだ…花
宇崎,…先輩バカっスねー、そう言うのはオシオキじゃなくて…ご褒美って言うんスよ♡
宇崎母,…ええ、花から聞いているわ。ゆっくりして行ってちょうだい
桜井,ありがとうございます。それではお邪魔します
宇崎母,ただ…
桜井,？
宇崎母,簡単に触れたり、あまつさえ抱けるとは思わない方が良いわよ(私を)
桜井,あー、それはちょっと手こずりそうですね。でも安心して下さい、無理やり抱いて嫌われるなんて言うのは、こちらも望む所ではありませんので(猫に)。失礼します…ん？。ふふっ
宇崎母,…っ
桜井,いやあ、さっきの忠告で少し身構えていたんですけど…。そんなに嫌われていないみたいで、安心しました
宇崎母,あっ…
桜井,えーっと、奥さん
宇崎母,え…あ、な、何かしら？
桜井,その、何もしないって言うのも手持ち無沙汰なんで…。良かったら、何かお話でもしませんか？。………………。………………………………。…んんんんんんんんんんん！？？？
宇崎母,………………。はぁ…。はぁ、はぁ…
桜井,……………。そろそろ触っても、大丈夫ですかね
宇崎母,……えっ？。…あっ
？？,にゃあー
宇崎母,…？
桜井,……おぉ。よぉーし…よぉーし。いやー良いですねえ
宇崎母,っ…！
桜井,こうやって、自分の方から身体を差し出してくれると、抱いても良いんだって分かりやすくて助かります
宇崎母,……あぁ。…さ、桜井君、お願いがあるのだけれど。…少し、遅くないかしら？。…っ。はぁ、っ…♡。…さ、桜井君、お願いがあるのだけれど
桜井,…？はい、何でしょうか
宇崎母,…………私を、抱いてくれないかしら？
桜井,
宇崎母,…？
桜井,…………
