美城常務,さて、全員集まったようだな。では、今月のプロジェクトクローネ会議を行う
神谷奈緒,ちょっと慣れてきたのがイヤだな
常務,今回も、それぞれの今月の活動方針を、決定している範囲で確認するだけのものだ。肩の力は抜いてくれてかまわない。何か質問は？
大槻唯,アーニャちゃんはどしたのー？
常務,ああ、アナスタシアは、自転車に乗り遅れたので休むそうだ
渋谷凛,それアーニャ次第じゃないの！？
奈緒,よく聞くジョークだけどさぁ！
北条加蓮,そもそもアーニャは自転車で来てないでしょ！？
常務,では出欠をとらない
奈緒,とれよ！！！
常務,YUIOHTSUKI
唯,YES！！！
奈緒,とるんかい！！！あとなんだそのキャラ！！！
常務,塩見周子
加蓮,そこで切る！？
塩見周子,んー
凛,ただの塩になっちゃったよ
常務,宮本？フレデリカ？
奈緒,なんで自信ないんだよ
宮本フレデリカ,は……い……？
橘ありす,そこは自信持ちましょうよ
常務,速き水を奏でし者
加蓮,どうしたの
速水奏,血が滾るわはい元気です
奈緒,乗っかった！？
常務,鷺沢文香氏～ｗｗｗ
奈緒,ウザっっっっ！！！！！
文香,常務氏～ｗｗｗ
ありす,文香さん！！！
常務,橘ありす
ありす,は、はい
常務,……
ありす,え？……え？……
常務,ふっ……
ありす,なんなんですか！？
常務,以下省略
奈緒,呼べよ！！！
凛,あと3人なのに！？
加蓮,思考回路が読めないんだけど！
常務,では会議に移るが……。最近、今月に入ったあたりからか、少したるんでいるように感じられる
文香,常務のお腹のお話ですか？
ありす,そこでケンカを売る意味！！！
常務,それはまた別の話だ
奈緒,否定しないのかよ
常務,五月病と呼ばれるものかもしれないが、気を引き締めてもらいたい。どのような部分がたるんでるのかは、後々、各自に言うこととする
フレデリカ,じょーむは五月病にはならないのー？
常務,見くびらないでもらいたい。まだ打ち合わせを２回すっぽかしただけだ
ありす,1番ダメじゃないですか！！！
常務,ではまず大槻
唯,はーい！
常務,CDデビューのイベントもひと段落してきたな。よくやった
唯,楽しかったー！有香ちゃんが暴れまわるのを、夕美ちゃんと響子ちゃんと飛鳥ちゃんが頑張って止めてるのがおかしくって！
凛,有香！？
常務,なによりだ
加蓮,ホントに話聞いてる！？
常務,しかし大槻
唯,？
常務,少したるんでる時があるんじゃないか？
唯,え～？ゆいはいつもいっしょーけんめーだよ！？
加蓮,手を抜くタイプには見えないけど……
常務,スタッフからキャンディーを５本同時にくわえてる時に意思疎通ができないとクレームが来ている
奈緒,５本同時に！！？？
唯,おいしくってー……
ありす,限度がありますよ……
常務,次から、５本くわえる時はテレパシーを覚えてくれ
奈緒,解決方法がナナメ上だな！？
唯,は～～～い！！！！！
加蓮,うわっ！？聞こえた！？
常務,うわぁ
奈緒,指示しといて引いてんなよ！！！
常務,続いて塩見
周子,ほいほいー、お仕事？
常務,ああ。つぼみを題材にしたステージに立ってもらいたい
周子,うんうん、他のメンツはどんなんなんー？
常務,花好き、猫、酔っ払い、マッドサイエンティストだ
奈緒,だからそのふざけたRPGみたいな言い方やめろって！！！
周子,どの酔っ払い？
凛,どのって
常務,泣きぼくろの
加蓮,楓さんって言ってあげなよ
周子,オッドアイの？
ありす,絶対わかってますよね
周子,楓さんと志希にゃんかー……。みくにゃんと夕美ちゃんには荷が重いから、せめてあたしはおとなしくしてよっと
ありす,その気遣いをなぜこの会議でしないんですか
フレデリカ,LIPPSの時もそう言って、結局は悪ノリしてたじゃーん！
周子,バレたかー
凛,美嘉……
奈緒,美嘉……
加蓮,美嘉……
常務,ただ、塩見には特にたるんだ様子は見られないな
周子,まあいつもこんな感じだもんねー
常務,ただ今回の譜面はクソ難しいので、イベントを投げないように頼む
奈緒,急にメタいな！！！クソとか言うなよ！！！
文香,あれで難易度２５を名乗るとは、吐き気を催す邪悪と形容する他にないですね
ありす,言い方かっこいいけどただのいちゃもんですからね！？
常務,そして、たるんでる筆頭の宮本
加蓮,嫌いなの？
フレデリカ,遺憾の意
凛,いつ覚えたの
常務,不思議の国のアリス公演、ご苦労だった
フレデリカ,どうだった？どうだった？
常務,自由すぎる
奈緒,あんたが言うか！！！
フレデリカ,ナナちゃんのツッコミが冴えわたってたね！
ありす,あまり負担をかけないであげた方が……
唯,17歳ならへーきへーき！
奏,17だものね
文香,17ですから
ありす,ここぞとばかりに！！！
常務,しかし、宮本のウリがその自由さであることも事実だ
フレデリカ,うんうん♪
常務,責任は私がとる。自由に頑張れ
フレデリカ,かっこいー！
奈緒,苦労するのは現場の人間なんだけどな
常務,最悪クビにするだけだ
ありす,最低じゃないですか！！！
常務,速水には大きな仕事が入っているな
奏,あら、緊張しちゃうわね
常務,第一問
ありす,！？
常務,はいさーいなどの
フレデリカ,はい！
文香,宮本さん速かった
フレデリカ,ぬー！
常務,残念！おてつきだ
唯,読みは悪くないよー！
奈緒,なんだコレ！！！！！
常務,というわけで、沖縄で撮影とファンとの交流の仕事だ
加蓮,“というわけで”はそんなに万能じゃないと思う
ありす,というかフレデリカさんが押してたボタンはどこから
フレデリカ,ノリ！
ありす,ええ……
奏,沖縄とは、大きく出たわね
常務,まあ、速水は手を抜くことはないだろう。クレームも来ていない
奏,せっかくだから楽しんでこようかしら。お土産、希望はある？
唯,鳩サブレ！！！
ありす,沖縄って言ってるじゃないですか！！！
フレデリカ,平和
ありす,お土産ですからね！？
文香,国士無双
ありす,平和から麻雀の流れに！？
周子,無事に帰ってきたら……パーティーしようね！
ありす,なんでフラグ立てちゃったんですか！！！
？？,怒涛のツッコミ……、まさにありすちゃん、酷使無双ですね……
ありす,侵入者―――！！！！！
常務,次は鷺沢と橘だが、2人は同じイベントに出演してもらいたい
ありす,あ、そうなんですか
常務,先ほどの塩見達のつぼみ
文香,どのような題材なのですか？
常務,“生存本能ヴァルキュリア”だ
ありす,……はい？
常務,もう一度言う。“生存本能ヴァルキュリア”だ
奈緒,アイドル……だよな？
ありす,そ、そんなロボットアニメのような！？
フレデリカ,かっこいいじゃーん！
ありす,そ、そうですが……
常務,まさかアイドルゲームがロボットアニメになるなんて前代未聞だろうからな
凛,それ以上はやめた方が
文香,この部屋、少し暑いですね……。微熱が出てしまいそうです
加蓮,チキンレースをしない！
唯,大変だ！S.O.Sしなきゃ！
奈緒,もう知らないからな！！？？
常務,他のメンバーは、相葉、高森、新田だ
ありす,文香さん以外はまともそう……なんてさすがに言えないですね
常務,ちなみに相葉は忙しすぎてちょっと壊れてきてるらしい
ありす,休ませてあげましょうよ！？
奏,確かに、出ずっぱりだものね
唯,ソロでCD出してー、つぼみ歌ってー、そのロボットみたいなやつも歌うんでしょ？
フレデリカ,もしかして、疲れが吹っ飛ぶ花とか草とか
奈緒,それ以上はアウトーーーー！！！！
常務,さて、最後に、渋谷凛
凛,っ！はい普通だ……
常務,神谷奈緒
奈緒,は、はい
常務,北条政子
加蓮,北条違い！！？？
奈緒,歴史ネタかよ！！
加蓮,凛には何もなかったのに！
常務,そろそろ代官山をいじるのも飽きてきたからな
凛,ちゃっかりいじってるじゃん！！！
文香,今回は東横線ですか……
フレデリカ,寝過ごしても横浜中華街に行けるね！
奈緒,冷静に路線の解説を始めるな！！！
常務,まあ、今月も頑張ってくれ。私は帰って寝る
奈緒,急に締めるな！！！働け！！！！！
