モバＰ(以下Ｐ),ふたりともおつかれ様。今日のイベントはこれで終了だ
飛鳥,ここのところ地方での仕事が多いね
ありす,そういえば飛鳥さんは前にも名古屋でお仕事があったみたいですね
Ｐ,こうした遠征もファンを増やすために必要な仕事だよ
飛鳥,別に不満があるわけじゃないさ
Ｐ,ならいい……そういえば、ふたりとも弁当に手を付けてなかったけど、腹減ってないのか？
飛鳥,ステージに上がる際に満腹だと、どうも頭も体も鈍る気がしてね。ある程度空腹の方が集中できるんだ
ありす,と、飛鳥さんが言ってたので。同じ控室なのにひとりだけで食べるのもどうかと思いましたから
飛鳥,そうだったのかい？ありすに気を使わせてしまったかな
ありす,別に大丈夫です。でも、終わったらお腹空いてきました……
Ｐ,それじゃあ前回は食い損ねたし、今度こそ名古屋飯でも食べていこう。リクエストあったら言ってくれ
飛鳥,ボクは特にこれといったものは浮かばないかな。ありすは何かあるかい？
ありす,でしたら……この喫茶マウンテン？というお店に行ってみたいです
Ｐ,ちょっとタブレット見せてくれ……うん、車で行けばそう遠くないな
飛鳥,喫茶マウンテン、か……まさかその名を聞くことになるとはね
Ｐ,知っているのか飛鳥！
飛鳥,この界隈では有名だよ。ありすはもちろんアレが目当てなのだろう？
ありす,はい。一度行ってみたかったお店なので
Ｐ,俺はよく知らんが、有名なら名古屋飯ってことでいいか。よし、その店に決定だ
飛鳥,名古屋飯、と言えなくもないのか……いや、しかし……
Ｐ,着いたぞ、見た目は山小屋風といったところか。さすがはマウンテン
飛鳥,看板が大きくてかなり目立つね。そこそこ盛況のようだ
ありす,他県ナンバーの車が多いですね
Ｐ,これを目当てに来てるとしたら、味も期待できそうだな！
飛鳥,……そう思えるキミは幸せ者だね
Ｐ,ん？それはどういう意味だ？
飛鳥,このセカイには知らない方がいいこともある、ということさ
ありす,お2人とも何をぶつぶつ言ってるんですか？早く入りましょう
Ｐ,さて、席にもつけたし早速メニューを……って、かなり種類が多いな
ありす,文字だけでこんなにびっしり書いてあると、目がチカチカします……
Ｐ,ありす、ここの名物は何なんだ？
飛鳥,それならパスタメニューの４項目めを見たまえ、キミならすぐに理解できるよ
Ｐ,パスタの項目はトマトベース、ホワイトソース、和風、甘口……あまくち？
ありす,ここの甘口いちごスパ、有名なので前から食べてみたかったんです！
飛鳥,甘口抹茶小倉スパ、イカスミジュース、ゴーヤかき氷なんてのもあるね
Ｐ,名古屋名物って言っても、そういうあれなのか……
飛鳥,その奇天烈なメニューの数々から登山者が後を絶たない、それが喫茶マウンテンさ
ありす,私はいちごパスタで決まってますけど、お2人はもう決まりましたか？一人一品注文が約束のようですよ
飛鳥,ここのメニューは一人前でもかなりのボリュームだから、メインはシェアした方がいいと助言しておこう
Ｐ,じゃあ俺と飛鳥はコーヒーだけにしとくか……すみませーん、注文お願いします
店員,ご注文は？
ありす,この甘口いちごスパをください
Ｐ,ホットコーヒーをふたつ
飛鳥,あとはオムハンライス赤、以上で
ありす・Ｐ,！？
店員,畏まりました、少々お待ちください
ありす,飛鳥さん、さっきのオムハン？というのは何なんですか？
飛鳥,オムハンライスとは、ハンバーグ付オムライスのことさ。ちなみに赤はケチャップ、白はホワイトソースがかかっているよ
Ｐ,いちごスパもかなりボリューミーなんだろ？それなのにまたメインを注文して大丈夫か？
飛鳥,ふっ、マウンテン初心者にありがちな発言だね
