モバＰ,俺が菜々を満足させる。
菜々,へへ、ほんとですか？Ｐさん♪
Ｐ,ああ、もちろんだ。
菜々,確かに、メイドからアイドル…しかもこんなに人気になれるなんて…菜々嬉しいです！キャハっ☆
Ｐ,まるでシンデレラストーリーだな。
菜々,じゃあ、Ｐさんは私を輝かせてくれた魔女さんですね！
Ｐ,…それではお姫様、なにかやってみたいことはありますか？
菜々,ピピッ！じゃあもっとアニメの収録をしてみたいです！
Ｐ,ではお姫様、このお仕事はどうでしょうか？
菜々,相変わらず早いですね、Ｐさん！！
Ｐ,菜々お姫様の為ですから。
菜々,ウサミンボイスを日本中にビビッと発信できるなんて…
Ｐ,それでは参りましょうか。
菜々,はーいっ、Ｐさん♪。歌って踊れるアイドル、ナナが皆に浸透してますね、プロデューサー
Ｐ,大成功だったな。
菜々,さえない女子高生達がカラフルメイドにメルヘンチェンジ!って設定がナナ最高でした！！
Ｐ,その中でも一番の人気キャラはナナだよ。
菜々,フリフリ衣装で歌って踊ってアイドル声優って楽しいですね！
Ｐ,演技も最高だったよ。
菜々,ホントですか！？
Ｐ,アニメを見てくれたファンがラブリーウィーンク!キャハ☆って言葉をすごい気にいってな。男女問わず菜々が登場するとみんな叫んでくれているらしいぞ。
菜々,そ、そういえば、ライブでもすごかったですね。
Ｐ,だろ？
菜々,ナナまた一つ願いがかないました。
Ｐ,そりゃよかった。
菜々,あ、ナナ今度はユニットで活動したいです！
Ｐ,ユニット？
菜々,はいっ！今回のアイドル声優ユニットが楽しかったので
Ｐ,そうか、指定はあるか？たとえば…同年代がいい、こういう活動がしたい！とか
菜々,ウサミンパワー全開！ウサミンボイスでいやしをお届けっみたいなコンセプトでやりたいです！
Ｐ,わかった、ならこの子がいいだろう。おーい...
こずえ,よんだー...？
Ｐ,ああ、ちょうどよかった。おいで、こずえ
こずえ,このおばさんだれ―…？
菜々,お、おばさん！？
Ｐ,あ、説明してなかったな、こずえはこの人と一緒に活動してもらうことにしたよ。
菜々,Ｐさんも否定してくださいよ！ナナは17才なんだよ、おねえさんだよ。って
Ｐ,はいはい、こずえ…このお姉さんと組んでくれるか？
こずえ,…うー…わかったぁー…ふわぁ
Ｐ,ありがとう、こずえ。
こずえ,なな…こずえとよろしく…してねー…
菜々,よろしくね、こずえちゃん(子供なのに手が冷たい…)
こずえ,…てがつめたいひとはねー…やさしいんだってぇー
菜々,え!?(心が読めるの!?この子…)
Ｐ,あとはこの子だ。
美玲,ウチに構うなよ、ウチは一匹狼ﾀｲﾌﾟって言ったろｯ!
Ｐ,まぁ落ち着けって。とりあえずやってみないか？
美玲,ふんｯ！気に食わなかったら即解散だからな。
菜々,美玲ちゃん、Ｐさん合わせて4人で頑張って行きましょうね。
美玲,しかたないな、ファッションは任せろ！
こずえ,んー…ぷろでゅーさーも…いっしょにがんばろー…
Ｐ,よし、頑張ろうな。
美玲,なっ…アイドルのレッスンってこんなにきついのかよ。
菜々,筋肉痛が2～3日後に来るときついですよね！
美玲,？
菜々,あ、あれ？
美玲,筋肉痛って次の日に来るだろ？。変なリーダー…
こずえ,こずえ…おうた…うたうぅ……
菜々,今日はダンスよ…こずえちゃん。
こずえ,……………へへー…。かしよんだの…もうおぼえちゃったよー…?つぎのはー?
美玲,おっ、早いなこずえっ！負けないぞ！！
こずえ,なな…たいへんそー…
菜々,え、だ、大丈夫よ、ウサミンパワーでビビッっと覚えるからねっ♪
美玲,よし、覚えた！あとはリーダーだけだな
菜々,まっかせてー！ウサミンパワー全開！！(若い子を見るとつい素に戻っちゃいそうだわ…)
こずえ,ぷろでゅーさー…こずえと…おはなししてー…?
Ｐ,おう、いいぞ。
こずえ,…こずえはねー…ここじゃないところからー…きたんだってぇ
Ｐ,…知ってるよ。
こずえ,なーんだ…おんなじなんだー…
Ｐ,そうだよ、こずえ…
こずえ,あのねぷろでゅーさー…おねがいがあるのー｡つれてってー?
Ｐ,ああいいとも、みんなの夢がかなったらみんなで帰ろうな。
こずえ,ぷろでゅーさー…すきー…ふわぁ
