まゆ,あらぁ、愛海ちゃん。おはよう
愛海,おっかしーなー、あたし自分の部屋にちゃんと鍵かけてたんだけどなー
凛,愛海、気をつけないとだめだよ？最近物騒なんだから
愛海,うん、ありがとう凛さん。気持ちは嬉しいから模範になってくれるとありがたいかなって
雫,元気ないみたいだけどー、枕にして寝たほうがいいんじゃないでしょうかー
愛海,え、胸を？胸をでいいんだよねその体勢？？。というわけでハーレムだよプロデューサー！
P,。なんばしよっとね……
愛海,あたしはただ、仲良くなりたくて……
P,そいで？
愛海,揉むでしょ？
P,うん
愛海,スキンシップでしょ？
P,うん
愛海,なんか、こう……心が通じ合った、みたいな？
P,なるほど
愛海,胸を打つってやつだね、あはは
P,それはハートじゃなくてバストだと思うぞ
愛海,ただね、こう……
P,どげんしたと？
かな子,あっ、愛海ちゃん。クッキー食べる？
愛海,ありがとうかな子さん、ちょっといいかな？
かな子,うん。あ、あとプロデューサーさんもいかがですか？
P,おう、ありがとう
愛海,こうさ、みんなに求められるとさ
かな子,私も食べようかな……んっ、おいしい♪
P,どれどれ……おぉ、本当に美味いなぁ
愛海,なんか違うんじゃないかなとも思うわけなんだ
かな子,えへへ、ありがとうございます
P,なるほど。なにがちがうんだ？
愛海,あたしはさ、女の子のやわらかいところが好きなんだ
かな子,クッキー美味しい……今回は大成功かな♪
P,うんうん
愛海,ただやわらかいだけなら、プリンでもビーズクッションでも構わないけど
かな子,あっ、お茶もいれてくればよかったかな……
P,そうだな
愛海,やっぱり女の子が、っていうのが大事なんだよ。わかるかな？
かな子,どうしようかな……
P,わかるわ
愛海,そっか、よかった
桃華,あら、愛海ちゃまにかな子さん。Pちゃまも……ごきげんよう
かな子,あっ、桃華ちゃん
桃華,なにをなさっているのかしら？
かな子,愛海ちゃんと、プロデューサーさんといっしょにクッキー食べてるの
愛海,よかったらいっしょに食べない？美味しいよー
P,いいのか、かな子？
かな子,私は大丈夫ですよ？どうかな、桃華ちゃん
桃華,ふむ、それではお茶だけでも用意しますわ♪
愛海,お茶かー、いいね。嬉しいよ
かな子,おねがいしますっ
P,よかよか。仲良きことは美しきかないいようもんな
桃華,つい先日、雪乃さんと買い物にいきましたの。オススメの一品ですわ♪
愛海,おぉー、いい香りだねー
かな子,本当、落ちつくね……
P,美味しそうだなぁ
愛海,じゃあ飲もうかな……
桃華,さて、と
愛海,……あのぅ、桃華ちゃん？膝に座られると飲みにくいなーって
桃華,手が止まってらしてよ、愛海ちゃま
愛海,……そういうことね？
桃華,うふふ♪
P,なるほど。おまえたちはそれでいいのか？
桃華,それ、とはどれでしょう？
かな子,あっ、このお茶本当に美味しい……
愛海,むむむ、これじゃ飲めない
P,いや、なんというか
桃華,愛海ちゃま、はい。お口を開けてくださいまし♪
愛海,え？ん、んー……あれ、熱くない。あったかいけどちょうどいいや
桃華,ちゃんと温度も考えていますの♪
かな子,あっ、じゃあクッキーは私が食べさせてあげるね？
愛海,うん、ありがとう
P,問題ないか
桃華,素敵なティータイムでしたわ♪
かな子,また作ってくるね？
愛海,うん、２人ともありがとう。またね
P,気をつけて帰るんだぞ
愛海,……というわけなんだ
P,なるほど、だいたいわかるわ
愛海,わぁい
P,結構なお手前で
愛海,いえいえそれほどでも
P,何かが足りないのか？
愛海,うーん、むしろみちみちてるよ。ムチムチですよ
P,じゃあつるつるは？
愛海,愛してるけど
P,わぁい
愛海,髪じゃないよ？
P,うん知ってる。張り合いがないのか
愛海,ハリはあるんだけどね
P,礼子さんとか、志乃さんは？
愛海,しっとりすいつくよ
P,なるほど
愛海,結構揉み疲れもでるしねぇ、たいへんだなぁって
P,へんたいかなーって。ならやめればよかろうに
愛海,揉むのをやめたあたしが、あたしでいられるわけないでしょ？
P,なるほど
愛海,あたしは揉むよ。今日も明日も明後日も、未来をこの手で揉み続けるよ
P,腱鞘炎には気をつけような
愛海,うん、がんばる。それで、どうしたらいいと思う？
P,どうって……どうしたいんだ？
愛海,わかんない
P,そうか
愛海,おっぱいはねー、何も答えてくれないんだ……
P,おっぱいはしゃべらないもんなぁ
愛海,でもしゃべったら揉みがいもなくなりそうかもしれないし、このままでいいのかな
P,お前がそう思うならそうなんだろう、たぶん
愛海,まゆさんはねぇ、すごく反応がよくってさ
P,ほう
愛海,燃えたよ、あたし
P,そうか、手錠いるか？
愛海,のーさんきゅー。だいたい、事情聴取は受けたよ？
P,えっ
愛海,えっ？
P,……この前のぼや騒ぎか
愛海,うん。ほどほどにって怒られた
P,そりゃあなぁ、発火はだめだな
愛海,杏ちゃんと同じ事をいうんだね
