橘ありす,おはようございます
結城晴,おーっす
ありす,結城さんだけですか
晴,あぁ。だから暇でよー。サッカーやるか？
ありす,やりません。私はこれから日課のニュースチェックがありますから
晴,んなもんくる途中にやればいいじゃん
ありす,歩きスマホはダメです
晴,タブレットだろ
ありす,揚げ足を取らないで下さい
晴,ハイハイ
ありす,ハイは一回で十分です
晴,は～～い
ありす,まったく。……ふむ？
晴,なんか面白い話あったか？
ありす,いえ。大御所男性アイドルの方が結婚を発表したそうです
晴,ふーん。相手は？
ありす,グラビアアイドルの方みたいですね。……こ、これは！
晴,なんだよ、実は相手がうちのアイドルだったとかか？
ありす,2人の年の差が、24！？
晴,24！？ほとんど親子じゃねぇかよ！
ありす,……っふ、ふふっ
晴,ありす？……た、橘ー？
ありす,っしゃあぁぁあ!!!!
晴,ひっ！？
ありす,これは私にとってもまたとない朗報！よくやった○島ぁ?
晴,ど、どうしたんだよ急に！
ありす,分からないんですか結城さん！年の差24歳での結婚ということは、例えるなら龍崎さんが315プロの硲さんと結婚するようなものなんですよ?彼らは23歳差ですけれど！
晴,そ、そう考えるとすげぇ年齢差だな。……で？
ありす,つ・ま・り！日頃から年齢差を理由に私の求婚を聞かない振りをしているプロデューサーをこの記事で論破できる訳ですよ?
晴,……それだけじゃねぇと思うんだけどなぁ
ありす,何か言いましたか？
晴,別に？
ありす,24歳差に比べたら10と数歳差なんてあってないようなものです
晴,そうか？
ありす,はぁ、早くこのニュースをプロデューサーにも伝えたいですね
晴,な、なぁありす？
ありす,どうしました結城さん。友人代表のスピーチですか？それは櫻井さんや的場さんと相談してください
晴,そうじゃねーよ！そもそもお前とプロデューサーが結婚できるって話はどこから来たんだよ
ありす,あのですね？プロデューサーは私に一度ウェディングドレスを着せているんですよ。これは将来に向けての予行練習に違いありません
晴,ふーん？
ありす,最初は私も小学生にウェディングの仕事を取ってくるだなんておかしいと思ったんです。ですがそう考えれば何もおかしいことは無かったんですよ!!
晴,なぁありす
ありす,どうしましたか結城さん。私の一分の隙も無い推理にぐうの音も出ませんか
晴,ウェディングの仕事なら俺や千枝もやってるんだけど
ありす,っっっ！！？！？！？？！
晴,どんだけ驚いてるんだよ、アイドルがしちゃいけない顔してるぞ？
ありす,あ、あ、あの浮気者っっっ!!!!
晴,そもそも付き合ってないだろ
ありす,でっでっでっでっでっで、でもっ！待てますかって聞いて！待てるよって言われました!!!!
晴,何回も聞いたことあるよ。でもよ、それって“参列者としてのドレス”を着てる時に聞いたんだろ？しかも何を待てるかを言わないでよ
ありす,そ、それは……。でも！ウェディングのお仕事で待てるかって聞かれたら普通私が結婚できる年齢になるまで待っててくれますか？ってことだってわかるじゃないですか?
晴,……プロデューサーだぞ？
ありす,はうっ！
晴,そこは信じてないんだな
ありす,でもそんなところも魅力的なんですっ??
晴,ハイハイ
ありす,ハイは一回！
晴,は～～い。でもよぉ
ありす,はい？
晴,プロデューサーがちゃんとありすの言葉の意味を分かってなかったとすると、もう誰かと付き合ったりしてるんじゃねぇか？
ありす,……はぁああ？？？結城さん貴女何を言ってるんですか？
晴,だ、だってプロデューサーもいい大人だろ？恋人がいたっておかしくない、って…話、です……
ありす,もしそんな不誠実なことをしていたとしたらそれこそ許しませんよ?せっかく年の差という障害が取り払われたのに!!!!
晴,あっちは元から2人とも大人なんだけどな……
ありす,何か問題でも！？
晴,無いでーす
ありす,まぁいざとなったらこちらも奥の手を使います！
晴,奥の手？
ありす,身体を使って誘惑します！プロデューサーに青い果実を堪能していただくんですよ！
晴,プロデューサーが捕まるだろ！
ありす,婚約者ってことなら多分平気です！
晴,落ち着けって！
ありす,プロデューサー！貴方のありすが今行きますよ?
晴,行くってどこに…って早ぇ！？待てよありすー！
ありす,橘ですーっ?
晴,今さらかよー!!
