第1話,きのこの国
そこに1台のモトラド,二輪車・空を飛ばないものを指す
ノノ,･･･いいんですよアスカ。旅はこれくらいのほうが楽しいものです
アスカ,･･･いつもそうやってあとで後悔するじゃないか
ノノ,そ、そんなことはないんですけど。いつも万全なんですけど
アスカ,･･･この前餓死しかけたばっかりなのによくそんなこと言えるね君は
ノノ,････結局今生きているので問題ないです
アスカ,そうかい？ならもう何も言わないさ
ノノ,･･･お腹すきました
アスカ,･･･携帯食料を食べればいいじゃないか
ノノ,国が近くにあるのにおいしくない携帯食料なんて食べてられないです。私は美味しいものが食べたいです
アスカ,･･･餓死しないでね。あ、きのこだ、しかもいっぱい
ノノ,きのこですか･･･さすがに躊躇しますね。しかし風景が変わったということはそろそろ国が見えてくるのではないですか･･･ね？
アスカ,ついたみたいだね。･･･食料と燃料があるといいけど
門番,いらっしゃいませ･･･ふひ。きのこの国へようこそ、･･･入国希望ですか？
ノノ,････はい、3日でお願いします、私はノノ。こちらは相棒のアスカです
アスカ,よろしく
門番,･･･念のためこちらではパースエイダーをお預かりすることになりますが、よろしいですか？
ノノ,･･･････あ、そうなんですか。どうぞ
門番,ふひ･･･銃だ･･･すっごい･･･ようこそ･･･旅人さん･･･歓迎しますよ
ノノ,････これは。････すごいですね
アスカ,キノコワールドってやつかな？少し狂気さえ感じるよ
ノノ,とりあえず見て回ってみますか
アスカ,そうだね。そうしよう。きのこだ
ノノ,きのこですね
村長,や、やあ旅人さん。よくいらっしゃったね
ノノ,･･････あ、どうも
アスカ,こんにちは
村長,･･･旅人さん今日はどこに泊まるんだい？や、宿屋はうちの国にはないんだ。よ、よろしかったらでいいんだけど････ウチにとまらないかい？ご飯も出すから
ノノ,･･･そうですね。お話も聞いてみたいです
村長,ほ、ほんと？フヒ･･･旅人さんを招く。これはリア充････
ノノ,･･･できればこの国の成り立ちもお聞きしてもいいでしょうか･･････？
村長,う、うん。いいよ。わ、私も人とはなすの久しぶりなんだ･･･ついてきて
アスカ,やっぱりきのこだ
村長,な、中にはいって･･･あ、モトラド君もどうぞ
アスカ,本当に？ありがとう
ノノ,･･･お、お邪魔します
村長,い、いま食事を用意するね？ちょっとまってて
ノノ,ありがとうございます。うまっ！これうまいんですけどぉ！フルコースなんですけどぉ！
村長,き、気に入ってくれて何より･･･フヒヒ
アスカ,･･･行儀が悪いよ。ノノ
ノノ,いや、これほんとに美味しいんですよ、すごいですよこれ
村長,わ、私はあまり食べれないんだけど。す、すごいね。旅人さんは
ノノ,･･･ノノは今この国に来てよかったと心から思っています
アスカ,･･･そうかい。それはよかったね
村長,い、いまお茶淹れるね？そしたらこの国について話そうか。･･･こ、この国はね、昔は何もなかったんだ。本当に何もなかった。資源も人も。実は城壁もきのこなんだ。カワラタケっていう固いやつだけど石に比べれば柔らかいんだ
アスカ,だから火気厳禁なんだね？旅人に銃を持ってこられても引火してもこまるから
村長,そ、そうなんだ。万が一火事になったらこの国がどうなるかわからない、この国では石も鉄も貴重なんだ
ノノ,･･･そうですか。すいません。面倒な思いをさせて
村長,き、きにしないで。久しぶりに料理ができて楽しかったよ
ノノ,･･･でも大変だったでしょうね。毒キノコとかも混ざってるでしょうし
村長,え？あ、ああ、それは心配いらないんだ。これがあるから
アスカ,その帽子がどうかしたのかい？
ノノ,国民のみんなつけてましたね。そういえば
村長,こ、これは帽子じゃないんだ。正式名称アタマタケ、これは私達に寄生しているきのこなんだ
アスカ・ノノ,･･･え？
村長,これは人の頭に寄生し、全てのきのこの毒物を無効化してくれるんだ、しかも何の毒かわかるんだよ。毒を無効化すると言っても旅人さんにはそれはできないからね。安全なものだけ使っているよ
ノノ,･･･これはどうやって寄生させるんですか？
村長,私達が生まれた時に頭に母親の胞子をつける、そして、ともに成長していくんだ。毒物が完全体制がつくまで約10年くらい、それまでは毒キノコの料理は食べられない
アスカ,面白いね。じゃあノノは子供向けの料理を食べてるわけか。まあ子供だしね
村長,いや。普段も食べるよ？私たちはきのこと共に生きる。今までも。そしてこれからもね
ノノ,･･･とても興味深いお話でした。ありがとうございました。･･･お世話になりました
アスカ,どうもね
村長,あ、ああ私も楽しかったよ。いつでも来ていいからね？また歓迎するよ
ノノ,ありがとうございます。行きましょう。アスカ
