今回のキャラは両方とも台詞を考えるのがなかなか難しかったです。,小並感
こちらは今までのSSになります。,未読でも今回のssは楽しめます
アレッシー,ふゥ～ん、キミが新人アイドルか.......
こずえ,ふわぁ...よろしくね...
アレッシー,えらいねェ～自分からあいさつできるなんてねェ～
こずえ,プロデューサーのなまえ...なに...？。アレッシー...かわいい...なまえ...
アレッシー,ン！？そんなこと言われたのは初めてだぜ...
こずえ,あ...そのかおも...かわいい...
アレッシー,この話はもう終わりにしよう！今日はこの後レッスンがあるから準備してねェ～
こずえ,ふわぁ...わかったぁ...こずえ、じゅんびするー...
アレッシー,えらいねェ～
トレーナー,君が今日から入ってきた新人の子だな！ビシバシしごくつもりだから覚悟しろ！
こずえ,ねえ...しごく、って...なあに～...？
アレッシー,ン～そうだねェ...。あのお姉さんがしっかりとこずえちゃんのことを鍛えてくれる、ってことかなァ～
こずえ,ふわぁ...こずえ、すこしねむいけど...がんばるー...
アレッシー,お、えらいねェ～オレはここで見ているからがんばるんだよォ～
トレーナー,それでは早速、レッスンをはじめるぞ！。よし、これで今日のレッスンは終わりだ！また次回も頑張ってくれ！
アレッシー,こずえちゃん、おつかれさま...よく頑張ったねェ～
こずえ,ふわぁ...こずえ、ねむい...
アレッシー,おい！ここで寝ちゃダメだぞ！。もう寝ている...しょうがねえ、ソファーまで運んでやるか...
こずえ,zzz...
アレッシー,今日はいよいよ、こずえの初ライブか...。緊張していないといいんだけどねェ～
こずえ,ふわぁ...それじゃ...いってくるよ...
アレッシー,お、頑張ってきてねェーー！。こずえちゃん、最ィィ高ゥゥだったよォ～！
こずえ,えへへ...こずえ、がんばったよ...もっとほめて...ほめろー...
アレッシー,いくらでもホメてやるよ...。えらいね～～～
こずえ,ふふふ...
アレッシー,こずえちゃん、大きな仕事が入ってきたよォ～！
こずえ,ふわぁ...どんなしごと...？
アレッシー,なんと、今をときめくアイドルあの安部菜々サンとの合同ライブだぜェ～！
こずえ,こずえ、ねむいけどがんばるー...
アレッシー,そういってくれると思ったぜ...早速、そのライブで踊るダンスのレッスンだ...。レッスンルームでトレーナーさんが待っているから早く行くんだよォ～
こずえ,うん...。じゃあねー...プロデューサー...
アレッシー,あの初ライブ以降、こずえちゃんには仕事がガンガン入ってきたな...。モチロンおれのプロデュースがうまくいったということもあるがやっぱり...。こずえちゃんの努力が1番ンンだろーなァ～。おれもえらいけどこずえちゃんは本当にえらいネェ～～。帰ってきたら褒めてやるかなァ～。あれからもう3時間か...。レッスンルームに行ってみるか...。ペロロロロペペロロペロ～～ッ。入るよぉぉ～～～～んこずえちゃ～～ん
トレーナー,ヒッ！？。なんだ、アレッシーさんですか...。もうちょっとふつうに入ってこれないんですか？。何でわざわざ舌をペロペロ動かしながら...
アレッシー,冗談はさておき...。こずえちゃんがまだ戻ってきてないんですよねェ～
トレーナー,はて？それはおかしいですね...？。遊佐さんは1時間ほど前にレッスンが終わったはずですが...
アレッシー,なんだってッ！
トレーナー,とりあえず事務室に戻ってみてはどうでしょうか？すれちがいになっているかもしれませんし...
アレッシー,誰もいないねェ～
トレーナー,そうですね...
アレッシー,ン！？留守番電話が一件入っているな...
？？？,フフフ...アイドル事務所の346プロだな...？。おたくのアイドルの遊佐こずえはこちらが預かっているッ！無事に返してほしくばァ～～。1億円用意しろッ！。おっと、警察に連絡するのはやめとけやめとけ！おれは会社からは配達とか使いっ走りばかりさせられているんだが、用心深いことではひけをとらないつもりだ...。遊佐こずえの命が惜しければ今夜の12時までにカメユーデパートの倉庫に来いッ！。楽しみに待っているぜ...
アレッシー,......
トレーナー,あわわわ...どうしましょう、アレッシーさん...！？
アレッシー,しょうがないねェ～。オレが直接...。こずえちゃんを助けるッ！
トレーナー,本気ですか、アレッシーさん！？。ハッ！？。もういない...
？？？,来たようだな...
アレッシー,たしかに来たぜ...。こずえちゃんはどこだッ！
？？？,フフ、遊佐こずえはこの倉庫のどこかにいる...。カネを渡した後ゆっくり探すんだな...
アレッシー,そうかァ～それなら...。思う存分セト神を使えるぜッ！
？？？,..............？。な、なにッ！ドンドン身体が小さくーーッ！
アレッシー,もうキミは2～3歳レベルまで小さくなる...。もう一度人生をやり直すんだねェ～。オレがこずえちゃんを見つけるまで少し眠っていてもらうぜ...。さァてェーこずえちゃんはどこかなァーーー。お、ここにいたか...。やはりというかなんというか...
こずえ,ZZZ...
アレッシー,寝ているねェ～。ま、このままおんぶして帰るか...
こずえ,ふわぁ...あれ...？なんでプロデューサーがここに...いるのー...？
アレッシー,あ、起こしてしまったかな...ごめんねェ～
こずえ,こずえ...しらないおじさんと...ずっといっしょだったから...すこし...こわかったよー...
アレッシー,泣かなかったかいィ～？
こずえ,うん...いつかかならずプロデューサーが...くるってわかっていたから...
アレッシー,そこまでオレのことを信じてくれていたのかい...。......えらいねェ～～～
こずえ,プロデューサー...すこし...ないているーー...？。こずえがなでなで...してあげるー...。よしよし...えらいね...
