・作者の癖として、三点リーダ,…
提督,――んだけど、どうしたらいいかな？
妙高・足柄・羽黒,……………………
提督,えっ、なにその沈黙
足柄,いや、だって
妙高,そもそも…
羽黒,司令官さん、姉さんのことが好きだったんですか？
提督,あれっ、気づかれてなかった？
羽黒,はい、全く……
提督,うーん……毎日秘書艦に指名したり、毎回旗艦に任命したり、毎晩寝酒に付き合ったりしてたから、てっきり那智以外にはバレバレなのかと
足柄,ああ…そう言われると、確かにそうかなって思うけど
妙高,私たち姉妹の中で…いえ、重巡の中で最も早く着任したあの子に、戦友としての気安さで接しているものだとばかり思っていました
提督,あー…那智の方はそう思ってるかもしれんが
三人,でしょうねー
提督,そう思うだろ？あいつにとって俺はどこまで行っても戦友でしかないのかなーとか考えるとさ、理由もなく焦るわけよ
妙高,それで、姉妹艦である私たちに相談を？
提督,ああ。俺が那智と結ばれるため、ぜひ協力してほしい
羽黒,私は姉さんにも司令官さんにも幸せになってほしいですから…協力します！
足柄,あ～あ、那智が羨ましいわねぇ。提督と那智をくっつけたら、私もいい人探そうかしら
妙高,…そうですね、提督は軽薄で規律に緩く、私生活もだらしない人間ですが、それでも成果を出している不思議な方です。提督になら、那智を任せてもいいでしょう
提督,妙高さんの発言になんか釈然としないけど、三人ともありがとう！それじゃあ早速、策の提案を頼む――。……いきなりド直球すぎないか？
足柄,何言ってるの、こういうのは勢いよ、勢い！
妙高,そうねぇ、那智みたいに鈍感だとその方がいいのかも
羽黒,お酒の場で愛を告げるなんて…なんだかオトナな雰囲気でロマンチックかも///
提督,むう……ひとまずやってみるか
那智,…………
提督,よ、よう、那智
那智,ん？…ああ、貴様か
提督,一人か？
那智,見ての通りだ。…よかったら、一杯どうだ？
提督,そそそうだな、うん。せっかくだしな
足柄,提督ったら、目に見えて動揺してるわね
妙高,あの人、いつも肝心なところで失敗しますから…心配です
羽黒,はわぁ…グラスを傾けあう二人…絵になってるなぁ
那智,……
提督,……
那智,………
提督,………
那智,…………
提督,…………
足柄,あ～、じれったいわねもう～
妙高,仕方ないでしょう。そろそろ酔いで気が大きくなる…はずです
羽黒,ﾄﾞｷﾄﾞｷ
那智,……何かあったか？
提督,え！いや何も
那智,そうか？……いつもより随分ペースが早いようだが
提督,あー…たまには、そんな日もある
那智,……ふぅん？
提督,…………
那智,…まあいい。こうして貴様と飲む時間は……悪くない
提督,ｷｭﾝ
妙高,ここです！
足柄,提督、押して押して！
羽黒,ｷｬｰ///
提督,那智……！
那智,うん……？
三人,ｺﾞｸﾘ…
隼鷹,――ﾋｬｯﾊｰ！なっちゃん、今日もやってる～？
千歳,お酒は楽しく飲まないとね～……あら、提督
三人,ｽﾞｺｰ
羽黒,お早うございます、司令官さん…
提督,お早う、頭痛い……
羽黒,あの、私も一応その、作戦を考えてみたんですけど…
提督,おお、ありがとう……
羽黒,その……パ、パンを咥えた状態で、曲がり角でぶつかるのはどうでしょうか！？
提督,…………。あー……うん。ﾅﾙﾎﾄﾞﾅｰ棒
羽黒,ダ、ダメですか……？涙目
提督,！い、いやあ素晴らしい考えだ！さすが羽黒、これで成功間違いなしだな！ﾊｯﾊﾊﾊ
羽黒,ﾊﾟｱｱｱｱ
提督,……こいつは難題だな
羽黒,……姉さんは毎朝、この廊下を通って食堂へ向かいます。私がタイミングを教えますから、合図したら飛び出してください
提督,う、うむ……
羽黒,…！来ました！。まだです……。待ってください、まだまだ……。近づいてきました……。もうすぐですよ……
提督,…………
羽黒,…………はい、今！
提督,うわたっ！？
那智,むっ！？
提督,つつつ……
那智,何かと思えば貴様か……一体何をやっている
提督,す、すまん…
那智,……なぜ食パンを咥えているのだ？
提督,……気に留めないでくれ
那智,？…まあいい。これから朝食だろう？
提督,え？…あ、ああ、そうなんだよ
那智,昨夜は少し飲ませすぎたからな。二日酔いに効くものでも教えてやろうと思っていたところだ
提督,おお、そりゃ助かる…。案の定と言うか、告白する空気にはなりそうもないが…。これはこれで成功と言えなくもないか？ありがとう羽黒…
那智,何してる、行くぞ
提督,おう…
羽黒,…………。うう……司令官さん、すみませぇん……涙目
妙高,やはり無理がありました
足柄,というと？
妙高,鈍感な那智に、ヘタレな提督が、いきなり告白できるわけがありません
足柄,冷静に考えると、確かに
提督,えぇー…
妙高,一緒に朝食を食べたぐらいで浮かれるとか……遅めの思春期でも来てるんですか？
提督,…ぐうの音も出ない
妙高,まずは目標を一歩下げて、那智をデートに誘いましょう
羽黒,で、でぇと！///
提督,でぇー…十分ハードル高いよ…
妙高,だまらっしゃい
提督,ﾊｲ
妙高,心配しなくても那智はデートだとは思いませんよ、おそらく。提督も変に意識せず軽い気持ちで誘って下さい。自然体の那智と提督がどんな様子なのか……それを見て次の策を練ります
提督,なるほど、分かった。……努力してみます
妙高,…………やりますと、言いなさい？
足柄,ﾋｨｯ
提督,……や……やります
那智,…………
提督,…………
那智,……おい、手が止まってるぞ
提督,……ん、ああ、すまん
那智,…………
提督,…………
那智,やはり昨日から、様子がおかしいような……？
提督,…………よし、言うぞ。…………なぁ
那智,…何だ？
提督,明日さぁ、お互い休日だろう？
那智,ああ…そうだな
提督,んー……よかったら、一緒にどっか出かけないか？
那智,…………。ああ、構わんよ
提督,ﾎｯ
那智,……何か相談事だろうか？。…………
足柄,那智～、ちょっといい？
那智,…足柄か。何だ？
足柄,明日ショッピングに出かけるつもりなんだけどぉ、暇なら一緒に来てくれないかしら？
那智,…無理だ。悪いが、司令官と先約があるのでな
足柄,ふ～ん……デート？
那智,馬鹿を言え。昨日今日と、何やら妙な様子だったからな。何かの相談だろう
足柄,……うーん、脈なしか。…ま、そういうことなら仕方ないわね。妙高姉さんにでも頼んでみるわ、それじゃ。――といった様子だったわ
妙高,やっぱりデートという発想はないみたいね。それにしても提督の不器用さといったら……
足柄,ともかく、これでどうなるか様子見ね
妙高,本当、どうなるんだか…
羽黒,はぐぅ、自分のことじゃないのに緊張して眠れそうにないよぅ///
足柄,――といった様子だったわ
妙高,やっぱりデートという発想はないみたいね。それにしても提督の不器用さといったら……
足柄,ともかく、これでどうなるか様子見ね
妙高,本当、どうなるんだか…
羽黒,はぐぅ、自分のことじゃないのに緊張して眠れそうにないよぅ///
提督,ﾄﾞｷﾄﾞｷ
那智,悪いな、待たせたか？
提督,！い、いや、今来たところだ
那智,そうか
提督,えーと……そう、とりあえず、昼でも食べに行くか
那智,そうだな。歩けばちょうどいいくらいか――
妙高,――海沿いに歩いた後、やはり海の見える年季の入ったレストランで昼食……。書店で時間を潰した後、寂れた映画館に行き……。その後、古ぼけた喫茶店で一服した後……
足柄,あー……何だって休日にこんな労苦を……
妙高,山の中腹の展望台に向かう、と……。ベタというか凡庸というか……そもそも選んだお店がすべてレトロな雰囲気なのはいったい……
羽黒,今日の二人…お店の雰囲気と相まってますます絵画みたいだったなぁ…
提督,ｾﾞｪﾊｧ
那智,おい、情けないぞ。もう少しだからしゃっきりしろ
提督,は？ｾﾞｪﾊｧ
那智,そうか。……なら、もう少し足を速めても問題ないな
提督,！…も、問題ねーし
那智,ｸｽｯ
提督,あ゛ー、やっと着いた……
那智,まったく、だらしないな
足柄,……そう言いつつ肩を貸してあげているあたり、那智もまんざらではなさそうなんだけど
妙高,というか、自分からこの場所を提案しておいてあの体たらく……本当にもう、提督ときたら……
羽黒,で、でも、夕暮に染まる空と海がとても素敵ですよ
提督,おお……
那智,ほう、これは……。夕焼けの影響もあるが……こうして離れて見てみる海というのも、悪くないな
提督,そう言ってもらえると、頑張って登った……もとい、誘った甲斐がある
那智,そうか…
提督,ああ…
那智,…………
提督,…………
那智,……少しは、気が晴れたか？
提督,へ……？
那智,先日から、何かは知らんが何事か悩んでいるのだろう？
提督,あ、いや…
那智,話せないというのなら、無理には聞かん。だがな。私でよければいつでも気晴らしに付き合ってやる。相談にも乗ってやるし、貴様を支えてやる。それだけ、覚えておいてくれ
提督,…………那智
那智,ん……！？
三人,！！
提督,……思わず抱きしめてしまった
那智,…………
