佐久間まゆ,ハッピーバレンタイン♪はい、まゆからのプレゼントです
P,ありがとう、結構大きいな
まゆ,うふふ。良かったら、この場で開けてもらえませんか。プロデューサーさんと一緒に食べたくて……
P,そっか、わかった。さて、どんなものが出てくるか……。なん……だと…………？
まゆ,どうしました？
P,まゆ、バレンタインというものを分かってる？
まゆ,なにをそんなに困惑されているのかは分かりませんが……。バレンタインのなんたるかは、理解しています
P,言ってみて。誰が、誰に、なにを贈るのか
まゆ,女性が
P,うん
まゆ,好きな男性に
P,そう
まゆ,チョコ焼きそばを贈る日です
P,違うっ！！
まゆ,……？
P,きょとんとしないで。可愛くラッピングされたものを渡されたけど、一平ちゃんだよ？コレ。まゆから受け取ったものは一平ちゃん夜店の焼きそばチョコソースだった
まゆ,もしかして一平ちゃんはお嫌いでしたか？
P,そうじゃないんだよなぁ。一平ちゃんは好きだよ。でもさ……。バレンタインにまゆからもらうなら、普通のチョコが良かったの。いくらチョコ味だからって、まさか一平ちゃんとは思わなかったよ
まゆ,普通のって……板チョコとかですか？
P,うん。まゆだったら板チョコを材料に手作りするかもしれないけど
まゆ,チョコ焼きそばを？
P,それはない
まゆ,あの……あまりこういうことは言いたくないんですが
P,なに？
まゆ,頭打ったりしてないですよね？。たとえプロデューサーさんの希望でも、バレンタインに板チョコだなんてありえないです
P,いやっ、別に板チョコ限定じゃなくてさ、チョコケーキとか、チョコアイスとか、チョコクッキーでも！
まゆ,どっちにしろ焼きそば以外なんてありえないですよ
P,えぇ～……
まゆ,でも……ちょっと気になったんですけど
P,うん？
まゆ,チョコケーキ、チョコアイス、チョコクッキー……。それらが良くてどうしてチョコ焼きそばがダメなんですか？
P,だって焼きそばじゃん。ケーキ、アイス、クッキー……どれも甘いものだろ。焼きそばは基本的に甘くないの。ソースとか塩ダレの味なの！
まゆ,もちろん分かってますよぉ。そんな焼きそばのチョコ味だから、バレンタインに最適なんじゃないですか
P,なんだろうなぁ。まるでそこだけ違う異世界に来たみたいだよ
まゆ,まあ、そんなことはまゆにとってどうでもいいです。そこにプロデューサーさんがいれば。口ぶりからして、チョコ焼きそば食べたことないですよね？
P,そうだけど、どうしてそう思った？
まゆ,一度でも食べたことがあれば、あの反応はありえないからです
P,つまり、それくらい美味しいものだと？
まゆ,はい、早速食べましょう。そうすればバレンタインにチョコ焼きそば以外はありえない、と分かってくれるはずです
P,……分かった。もともとそういう話だったしな。もし、あとで食べると判断して……家でラッピングを開けて一平ちゃんが出てきたら……。本気なのかギャグなのか、軽く一時間は悩んだな……
まゆ,いかがですか？
P,うん、想像ほど不味くはない
まゆ,美味しいですよね
P,美味いとも言ってないが
まゆ,……
