モバマスより小日向美穂,たぬき
Ｐ,……
ちひろ,……
茄子,あら～……
美穂,あわわわわ……
Ｐ,ち、智絵里が……
黒智絵里,ﾊﾞﾊﾞｰﾝ
Ｐ,悪堕ちしてる！？。ど、どういうことだ智絵里！？何があった！？イメチェン！？
黒智絵里,ふふふ……智絵里？そんな女の子はもういません……。今の私は……ブラック・チエリ！
美穂,ぶらっくちえり！！？
黒智絵里,緒方智絵里の中にある悪の心が、体の主導権を持つほどに膨れ上がった存在……。それが……ブラック・チエリ！
Ｐ,くっ！なんてことだ……！！
茄子,こうなった智絵里ちゃんは恐ろしいですよ～。きっとたくさんの悪事を働いちゃいます
美穂,あ、悪事！？一体どんな……っ！？
黒智絵里,…………。ブラック・チエリ！！
Ｐ,ごまかした
ちひろ,思い付かなかったんですね
Ｐ,というか智絵里の中に悪なんて概念があったこと自体にびっくりだわ
ちひろ,天使かなんかかと思ってました
美穂,かわいいですしねっ
茄子,もふもふですし♪
黒智絵里,はわっ……と、とにかく！悪になった私は、たくさん悪いことをします！。悔しかったら止めてみてくださいっ！おばかさん！おまぬけさーんっ！
美穂,ああっ、智絵里ちゃん！
Ｐ,罵倒も控えめだ！
黒智絵里,・ｘ・≡・ｘ・
Ｐ,テンションたけーなぁ
黒智絵里,打ち合わせの時間にいつもより遅く来ちゃいますっ
Ｐ,お、来たな智絵里。ちゃんと５分前には着くようにしてて感心感心
黒智絵里,ﾌﾝｽｯ
Ｐ,でも珍しいな、普段は３０分は前に来てるのに。電車遅れたか？
黒智絵里,いつもより遅く来て困らせる、それが……ブラック・チエリ！！
Ｐ,…………。うんまあいつもより２５分遅いだけでちゃんと予定より早く来てくれてるよな
黒智絵里,あれ？あ……はい
Ｐ,よし、じゃあ打ち合わせ始めるか
黒智絵里,はーい。……あれ？。ファンのみなさんに塩対応しちゃいます。つーんっ
ファン１,うおおっ！？智絵里ちゃんの素っ気ない顔！？
ファン２,激レアだ！！
ファン３,これはこれで！！
ファン４,はぁぁ顔がいい……顔がいいアイドルのツン顔いいよぅ……無限に蔑んでほしい……やまない範囲で……
Ｐ,むっ、新境地……！今の良かったぞ智絵里。新しいファン層も拓けるかもしれない
黒智絵里,わぁ、ほんとですか……！？。……あれ？。四葉のクローバーさんをもぎもぎして隠しちゃいます……！。あっ、あった♪ふふふ、これをちぎり取って、誰にも見つからないように……！。押し花にして、閉じ込めて……！。寮の本の隙間に隠せば、作戦完了です……っ！！
由愛,わぁ、かわいい押し花……♪智絵里さんが作ってくれたんですか……？
紗枝,ほんまに綺麗に押してはって、雅な栞どすなぁ♪
黒智絵里,えへへ……。……あれ？。ちょ、ちょっと露出の多い服を着て、みんなをドキドキさせちゃいますっ
加蓮,なになに智絵里イメチェンするの？
美嘉,だったらアタシらがコーデしてあげるよ★
莉嘉,原宿にいいお店あるんだーっ！一緒に行こーよ☆
黒智絵里,え、あっ、あっあっあっ
ギャルファッション黒智絵里,ﾊﾞﾊﾞﾊﾞｰﾝｯ
加蓮,おぉー、いいじゃんいいじゃん♪
美嘉,うん、めっちゃかわいい！
莉嘉,ぜんぜんイメージ違って見えるねーっ！
黒智絵里,そ、そうですか？えへ、えへへ……。……あれ？。嘘をついてみんなを混乱させちゃいます……！。――というわけで、この状態は封印されたダークうさぎパワーが顕在化した状態なんです
蘭子,おぉおおぉ……！！
美玲,そ、それで！？それでどうなるんだッ！？
黒智絵里,ダークうさぎパワーは宇宙のバランスを保つ二つの力の片割れ。ライトうさぎパワーが強まるにつれ、こちらの力も増す……。やがて二つのバランスが崩れた時、光のうさぎと闇のうさぎが激突し、ウサー・ウォーズが勃発することでしょう……！
蘭子,う、うさぎの生態にかような謎があったとは……っ！！
美玲,オマエ大丈夫なのか！？う、ウチが加勢してやろうかッ！？
蘭子,魔眼！！！！
黒智絵里,ふふふ……心配無用。やがて宇宙はあるべき姿になることでしょう。そう、闇の世界に……！
蘭子,か、か、かぁっこいい……！！！！
美玲,な、なんかワクワクするなッ！今度続き聞かせてくれよな！
黒智絵里,ふっふっふ……ウサー・ウォーズの話でよければ、いくらでも……。……あれ？。置きっぱなしのプロデューサーさんの上着にいたずらしちゃいます……！。ふふふ……内ポケットに、電動で動く毛虫さんのおもちゃを……。…………。くん……。くん、くん。……♪
Ｐ,あーしくったしくった。四月とはいえジャケットなしじゃ寒かったわ。ん？
黒智絵里,くぅ……くぅ……
Ｐ,智絵里が俺の上着抱きしめたまま寝とる
まゆ,気持ちよさそうですよねぇ
Ｐ,うわあびっくりした！！
まゆ,まゆの上着に何かよからぬことをしそうだったので、監視してましたが……幸せそうなのでセーフ判定です♡
Ｐ,なるほど。……いや、まゆのじゃなくて俺の上着だからね？
まゆ,まゆの、プロデューサーさんの、上着
Ｐ,ノンノン、俺の、上着
まゆ,プロデューサーさんの、まゆの、上着？
Ｐ,ノンノンノン
まゆ,プロデューサーさんは、まゆの？
Ｐ,ノーンッ！
まゆ,うふふっ。でもまゆはプロデューサーさんのものですよぉ♡
Ｐ,絶対にノゥッ！
まゆ,またまたぁ♡
黒智絵里,うーん……むにゃむにゃ……。……あれぇ……？。夜中におやつ食べちゃいます……！
響子,智絵里ちゃん？
黒智絵里,ひえっ
Ｐ,そろそろ聞いていいかな。なんで悪堕ちしたの？
智絵里,ふふふ……それは私の中の悪のエナジーが……！
Ｐ,そもそもどうしてその悪エナジーが強まったんだってばよ！？
美穂,ひょ、ひょっとして何か悩みがあるとか……！？
芳乃,智絵里さんの如く、神格を持つものはー、周囲の自然や霊気、信仰に己が存在を左右されまするー。さては風水の乱れかと思えど、そのような気配もございませんでしたゆえー……
黒智絵里,ふぇっ。い、いや私はただの使いですから、神格なんて立派なものはっ
芳乃,しからば、いかがされましてー？
周子,なんか良くないことあったら相談乗るよー？ほら、あたしら慣れてるし
黒智絵里,あ、ぅ……あ、悪に意味などありませんっ。決してあなたたちの思う通りにはなりませんっ。それが……
Ｐ,ブラック・チエリ！
黒智絵里,あっ……と、取らないでくださいっ
Ｐ,ムッハッハ。ムッハッハッハ
周子,何イチャコラこいとんねや
茄子,呼ばれず飛び出て～
周子,あっ茄子さんだ
Ｐ,拝んどけ拝んどけ
茄子,うふふ。いぇ～い♪。おっほん。それで、智絵里ちゃんの件なんですけど……
美穂,やっぱり、何か大変なことの前兆だったり……？
Ｐ,ゴクリ……
茄子,単純に、もふもふが足りてないんじゃありません？
Ｐ,もふもふが
美穂,足りてない？
芳乃,なるほどー……さもありなんー。そなたー。近ごろ、智絵里さんをもふもふなされましたかー？
Ｐ,ん？ああ……そういえば、最近すっかりご無沙汰な気がするなぁ。いやほら新しい子も増えたし、年度末の仕事とか数々のヘンテコ事件で忙しくて……
美穂,ぽこーっ！！
Ｐ,グワーッ肉球ぱんち！
美穂,それはダメですよっプロデューサーさん！！
Ｐ,み、美穂……えっ今なんで一瞬たぬきに戻ったの？
美穂,私なりに怒ったんですっ
芳乃,美穂さんのおっしゃる通りですー。そなたー、それはいささかよろしくなきことー。もふもふも立派な信仰でしてー。そなたが智絵里さんを放っておいてしまえば、彼女の中に澱は溜まっていく一方ー
Ｐ,そうだったのか……
芳乃,此度の変化は、放置されてなお言い出せぬ、智絵里さんの奥ゆかしき心が裏目に出た結果でしょうー
黒智絵里,つ、つーんっ
Ｐ,そうとも知らずに仕事にかまけ、もふもふを軽んじて……。俺って奴は……っ！
茄子,今ならまだ間に合いますよっ。智絵里ちゃんをもふもふしてあげてください～！
黒智絵里,なにを今更……。もふもふなんかしたって、私のダークうさぎパワーはちょっとしか払えません……っ
周子,払えることは払えるんや
Ｐ,智絵里、すまなかった……！今償うからな……！
黒智絵里,ち、近付かないでっ。そんなことで誤魔化されませんからっ
周子,絵面がヤバすぎるし
黒智絵里,ﾑｰｯ!ﾑｰｯ!!
Ｐ,うさぎモードでめっちゃ威嚇してきてますが
茄子,嫌よ嫌よも好きのうち、ですよ♪
芳乃,そなたー、ぐいっとー。ささ、一思いにぐいっとー
美穂,うさぎモードでもちゃんと黒うさぎなんだ……
Ｐ,ええい……ままよ！
黒智絵里,ﾌﾟｰ!
Ｐ,うおおおおおおおおおお！！
黒智絵里,ｼﾞﾀﾊﾞﾀｼﾞﾀﾊﾞﾀｼﾞﾀﾊﾞﾀ
Ｐ,どおおおおおりゃあああああああああ！！！
黒智絵里,ｼﾞﾀﾊﾞﾀｼﾞﾀﾊﾞﾀ……ｼﾞﾀ……ﾊﾞﾀ……
Ｐ,そおおおおおおおおおおおおおおおおおおおいっ！！！！
黒智絵里,………………
智絵里,……はひゃぁあ……♡
美穂,戻った！！
周子,結構ちょろかった！！
芳乃,よきかなよきかなー。智絵里さんの鬱憤が払拭されたのでしょうー
