姫川友紀,…着いたー！
二宮飛鳥,フム…良い風だ。杜の都とはよく言ったものだよ
友紀,そっか。飛鳥ちゃんは、仙台初めて？
飛鳥,ああ。先日のLIVEには、同行できなかったからね
友紀,宮城良いとこだよー？ねっ、美玲ちゃん！。…？美玲ちゃん？
早坂美玲,ここが、こぼすた…！
飛鳥,どうかしたのかい？美玲
美玲,うん。ウチ、ここに来るの初めてなんだ…ッ
飛鳥,へぇ…。地元なら、もう何度も来ているものかと思っていたよ
美玲,…だからぁ！ウチは元々、そこまで楽天追っかけてたわけじゃないんだってば…
飛鳥,フフッ、そうだったね。失礼した
友紀,まぁ…野球ファンだからって、必ずしも球場に通うとは限らないもんね！
飛鳥,…キミの口からでは、今一つ説得力に欠けるような気がするんだが…
美玲,こぼぱでいーぐるすの試合観れるなんて初めてで…ウチ、ちょっと緊張してきた…ッ
飛鳥,それはボクも同じさ。…まさか、球場にまで来ることになるとは
美玲,…意外というか、ミスマッチすぎるな…アスカと球場って…
飛鳥,フッ、自覚はしているつもりさ
友紀,…正直、あたしも最初は２人が来てくれるとは思わなかったよ
飛鳥,おや、誘った張本人がそれを言うのかい？
友紀,だって元々、あたしがお仕事で球場に来るだけの予定だったし
美玲,あれ？関係者席あるからって話じゃなかったか？
友紀,そうそう。試合前の始球式を是非！ってオファーをもらったのが始まりなんだけどね
美玲,コラボ先の始球式なんて、大仕事だなッ！
友紀,うん！…そしたら、向こうが３席ぐらいなら、って用意してくれたの。…まぁ、どっちにしろ観て帰るつもりだったんだけど
美玲,それで、声かけまくってたのかッ
友紀,どうせなら一緒に観に来てくれる子いないかなって！
飛鳥,あぁ…なるほど、そういう話の流れだったのか。理解したよ
美玲,…アスカも、知らずに着いてきてたのか
飛鳥,ボクは、２人が行くというから誘いに乗ることにしただけだ
美玲,えぇ…それでよく仙台まで来る気になったな…
飛鳥,先日よりキミたちからレクチャーを受けている身としては、最高のタイミングじゃないか。未知から既知へ…その出会いに、理由なんていらないのさ
美玲,お、おう…？
飛鳥,それに…何事も、直接触れなければ理解らない感覚というものがあるだろう？
友紀,うんうん！球場にしかない熱気とか興奮とか、いっぱいあると思うよ！
飛鳥,ボクの知らない新鮮な風と煌めきを、身を以て経験してみるのも悪くないと、そう感じた。ただそれだけのこと
美玲,うーん…？相変わらず、よく分かんないヤツだな…。でも、それを言ったらウチだって、友紀に誘われたから来てやっただけなんだぞッ！
友紀,あ、そうなの？
美玲,だって、席があるって言うから…丁度休みだったし、帰省みたいなものだし。…それに、
飛鳥,それに？
美玲,…いーぐるすの話できる相手がいるのも、ちょっと楽しいっていうか…
友紀,？
美玲,…ほ、ほら！友紀にいーぐるすのこと、ちょっとだけど教えてやっただろッ？それの報酬だ、ホーシュー！
友紀,あぁ、なるほど！ありがとね、美玲ちゃん！
美玲,フンッ
飛鳥,…素直じゃないね
美玲,アスカにだけは言われたくないッ！
パリーグコラボの出番も決まり、(地獄の）交流戦・そしてキャッツの連敗を,満身創痍で
友紀,えーっと、控え室ってどこに行けば良いのかなぁ…
美玲,…なぁ、アスカ
飛鳥,なんだい？
美玲,ウチらもこっちに来て、良かったのかな…？
飛鳥,座ろうにも座席を知らないのでは、仕方がないだろう。プロデューサーの到着が遅れているのに問題がある
美玲,だけどさ…
飛鳥,それに、こちらには友紀がいる。一緒に居さえすれば、ボクらも立派な関係者だよ
美玲,…そんなに堂々としていられるの、なんかすごいな…
飛鳥,…むしろ、今日のキミが小心なのではないかな。いつもの強気な早坂美玲は、何処へ行ったんだい？
美玲,き、緊張してるんだってばッ！
飛鳥,そんなものかな…
美玲,だって初めてなんだぞッ？なんかこう…色々あるだろッ！
飛鳥,色々、か……フム。ボクの知らない景色や感情が、また１つ明るみに出たね。…興味深い
美玲,れ、冷静に分析しなくていいってば…
友紀,あ！ここかな！
美玲,！着いたのかッ？
友紀,うん、多分ここだと思う！失礼しまーす！
？？？,………！
美玲,えっ
友紀,うわっ
飛鳥,…！
？？？,…ｱ、ﾄﾞﾓ……
友紀,あ、あれ…？部屋、間違っちゃったかな…あは、あはは…
美玲,ぉ、おじゃましました…ッ
友紀,…
美玲,…
飛鳥,…
美玲,…なあ。何なんだ、今の…？
友紀,楽天の選手…じゃあ、ないよね
美玲,試合前の選手が、あんな格好してこんなとこにいるわけないだろッ！
飛鳥,だが、ユニフォームは着ていたね
美玲,それ以前の問題だッ
飛鳥,…仮装大賞か何かかもしれないよ
友紀,カラスとかかな
美玲,仮装！？アレが？。頭に変な黒い鳥被ってるだけのおっさんじゃないかッ！
飛鳥,…もしくは余興の出演者、だろうか。何か聞いていないのかい？友紀
友紀,知らないよぉ…あたし、始球式させてもらうってしか知らない…
美玲,…あ！もしかしたら、始球式で打席に入る人なんじゃないかッ？
友紀,嘘…あたしさっき、思いっきり目逸らしちゃったんだけど…
飛鳥,いや…それは正常な反応だろう。大丈夫、こんなところで自身を失くしてはいけない
友紀,というか、そもそも関係者なのかな…？不審者とかだったら…
飛鳥,鳥の被り物をした侵入者だって？それこそ聞いたこともないぞ…
P,…何してんのお前ら、こんなとこで
友紀,！ぷ、プロデューサーぁ！
美玲,お、遅いぞッ！
P,ごめんごめん、ちょっと用事で遅れちゃってさ
飛鳥,…やぁ、待っていたよ…。どうにかしなければいけないと、そう思っていたところだったからね…
P,悪かった…って、どうにか？なんか問題でもあったの
友紀,大問題だよぉ！このままじゃ、控え室に入れない！
P,は？…鍵でも閉まってんの？
美玲,あっ、ストップ、ストップ…ッ！
飛鳥,止せ！これ以上、パンドラの箱を開けてはならない！
P,ってなんだ、開くじゃないか…
？？？,……
P,ﾋｴｯ
飛鳥,…理解ってくれたかい
美玲,やばい奴がいるんだよッ！
友紀,スタッフの人なのかな…？プロデューサー、何か知らない？
P,…あぁ、クロワシさんか！
美玲,…へ？
クロワシさん,…どうも……
友紀,くろ
美玲,わし
飛鳥,…さん？
友紀,誰？
飛鳥,知り合いかい？
P,いや違うけど。えーっと…今年から、いーぐるすがたまに黒いユニフォーム着てる時あるんだけど。美玲は知らないか？
美玲,ぅえ…っと、何となく…見たことあるような、ないような…
P,ホームで黒ユニ着て試合する日のことを、ブラックいーぐるすデーって呼んでるらしいんだけどさ
飛鳥,…フム
P,その時だけ特別に現れる、楽天の新しいキャラクターだよ
友紀,あぁ、なるほど！つまり、ねこっぴーみたいな…。キャラクタァ！！？
飛鳥,！？
美玲,はァ！？。嘘だッ！
P,嘘なんかつかないよ
美玲,だって！露骨に人間じゃないかッ！
飛鳥,これをキャラクタ扱いするのは、流石に無理があるだろう…
P,ちゃんと公式サイトにも乗ってるんだぞ
友紀,もっとこう…マスコット的な感じじゃないの、普通
P,俺に言われても。それに、すごいんだぞクロワシさん。観てた今年の試合は、今のところ３戦全勝だ
美玲,絶対嘘だッ！
P,本当だってば
飛鳥,仮に本当だとしても…彼との因果関係は無いに等しいだろう
P,いやでもさぁ、見てたら勝つってなんかすごくね？
友紀,そりゃちょっと羨ましいけど…
クロワシさん,あ、あの…
P,？どうかしましたか
クロワシさん,…その……。なんか、すみません……
友紀,謙虚だ！
美玲,声が小さいッ！
飛鳥,普通に喋るのか…
P,あぁいえ、こちらこそ騒がしくしてしまってすみません
クロワシさん,…
P,ほら、友紀
友紀,ぅええっ！？は、はい！
P,今日の始球式でお邪魔させてもらってます、うちの姫川です。よろしくお願いします
友紀,ぅ…よろしく、おねがいします…
クロワシさん,…そう、だったんですか…こちらこそ、お願いします…
美玲,ま、マジメだッ
飛鳥,頭に乗ってるものがなければ、もう少しマシな絵面なんだが…
P,今日はいつ頃の出番なんですか？
クロワシさん,ええと…最初と、あと中盤頃、ですかね…
友紀,…
P,最初…というと、始球式も見ていただけるんでしょうか
クロワシさん,はい…お話には聞いていましたし…是非見たいと、思ってます…
P,そうですか！それはよかった…
友紀,…
美玲,…あ、友紀が戻ってきたぞッ
飛鳥,耐え切れなくなったのだろう…無理もない
友紀,なんか普通のおじさんだった
美玲,うん。ウチも、見ててそれは分かった
飛鳥,まるで楽屋の挨拶回りのようだったよ
友紀,キャラクターの筈なのにね
美玲,アレで良いのか…？
P,っと、電話だ。すみません、失礼します
友紀,ええっ！？ちょっと、行っちゃうの！？
P,すぐ戻るから。本番まで、少し待ってて！
友紀,待ってってば！置いてかないでよぉ…。…プロデューサーのばかーー！
美玲,えぇ…
飛鳥,…
クロワシさん,…。…
友紀,…
飛鳥,…
美玲,…おい、どーするんだこの空間ッ
飛鳥,…どうと言われても…友紀に任せるよ
友紀,任されても困るよぉ…
飛鳥,今日の主役だろう？…それに、この中では一番年長なんだ、こんなに頼もしいことはない
友紀,あっズルい！こんな時だけ年上扱いして！
飛鳥,ズルくない。現状、それが一番丸く収まるだろうという判断さ。…なに、本番までの時間を稼いでくれるだけで良い
美玲,…なんか、アスカの扱いが一番辛辣な気がするんだけど…
飛鳥,ボクは彼を、マスコットキャラだと認めた訳じゃない。それだけのことだよ
美玲,うーん…。でも確かに、友紀がいくのが一番良いような気がするッ
友紀,美玲ちゃんまで！？最近の１４歳ってみんなこうなの！？
美玲,だってウチ、あいつと会話する自信ないんだモン…
友紀,あたしだって１人じゃ嫌だよ！公平にいこう、公平に
飛鳥,しかしだ。この状況で、どうやってフェアな人選ができるというんだい…？
美玲,あ、それなら簡単だッ！じゃーんけーん……
飛鳥,…
クロワシさん,…
友紀,…やっぱ、あたしが行くべきだったかな
美玲,じゃんけん弱いアスカが悪いッ
友紀,ちょっと罪悪感が…
飛鳥,…これが、俗にいう言い出しっぺの法則、というヤツなのか。友紀に押し付けるような妙な真似、しなければよかった。…良いだろう。これが、天が与えし試練だと言うのならば…望むところだ、受けて立とうじゃないか…！
クロワシさん,…、…？
友紀,すっごくマジメな顔で何か考えてるよ、飛鳥ちゃん
美玲,クロワシさんも困惑してるな
飛鳥,…さて
クロワシさん,…
飛鳥,初めまして、かな…フフッ。まずは自己紹介をするとしよう。ボクはアスカ、二宮飛鳥だ
クロワシさん,はぁ…どうも……
飛鳥,…先程から、ずっと考えていたことがある。…宮城という緑あふれるこの地でこうして巡り合ったのは、果たして偶然なのだろうか…ってね
クロワシさん,は、はぁ…？
飛鳥,宮城に…しかも、野球を観に、だなんて。それまでのボクなら、絶対にあり得ない選択肢だった。…ハズなんだ。にも関わらず、ボクはキミとこうして会話を重ねている。キミのキャラクタとしての在り方に、思うことは多々あれど…。こうして出会ってしまったのも何かの縁。あるいは、星の導き。そうは考えられないだろうか…
クロワシさん,…？
友紀,あっ、これクロワシさんのためにもあたしが行くべきだったやつだ
美玲,遠慮ってやつを知らないのかアスカはッ！
友紀,会話になってないんだよなぁ…
飛鳥,…しかし。こんな奇妙な巡り合わせも、そうはないね。キミの名前、"クロワシ"だったかな…フフ。なかなかカッコいいじゃあないか
クロワシさん,…そうですか
飛鳥,アスカ。飛ぶ鳥と書いて、飛鳥。…同じく鳥を名に持つ者として、何かシンパシーめいたものを感じるよ。もし良ければ、聞かせてくれないだろうか。キミの名は…そして、キミに課せられたストラテジーには。一体どんな想いが込められているのかを
クロワシさん,…はぁ
飛鳥,…
クロワシさん,…えぇと
飛鳥,…
クロワシさん,……
