それは人間もアンドロイドも関係ない、そういった人たちの集まりが私たち,反機械化戦線
チハヤ,ハルカ。どうかしたかしら
ハルカ,ううん。チハヤちゃん、ずっと部屋に籠りっぱなしだったからどうしたのかなって
チハヤ,あら、ごめんなさい。日記を書いていたの
ハルカ,日記？私にも見せて！
チハヤ,あ！ちょっとハルカ！
ハルカ,あっ！私のことも書いてある
チハヤ,もう。恥ずかしいからやめてちょうだい
ハルカ,ううん。すっごくいいと思うよ？
チハヤ,も、もう。ハルカったら
彼女,？
チハヤ,ところでほかのみんなはどうしてるかしら？
ハルカ,ミズキちゃんたちはお茶を淹れてたよ？そろそろ出来上がるんじゃないかな
チハヤ,あら、楽しみね。はいってちょうだい
ミズキ,失礼します。チハヤ、お茶が入りました
チハヤ,あら、じゃあご一緒させてもらおうかしら
ミズキ,ええ。どうぞこちらへ
ハルカ,じゃあ、私はお菓子を取ってくるね……っとと、きゃあ！
チハヤ,は、ハルカ？大丈夫？
ハルカ,え、えへへ。平気平気
ツムギ,お疲れ様です。チハヤ
チハヤ,お疲れ様。あら？なぜカップが3つもあるのかしら
シホ,せっかくだから、私たち3人でそれぞれ淹れてみたのよ
ミズキ,誰が淹れたお茶が一番おいしいでしょうか。ドキドキ
チハヤ,あら。じゃあ昆布を淹れたのは誰か楽しみね
ツムギ,チハヤ。我々も成長するのです。我々はもう完璧にお茶を淹れることができます
チハヤ,ふふっ。ごめんなさい。そうだったわね
シホ,だいたい。私たちのデータベースを使えば簡単にできることじゃない
ミズキ,ですが、いちばん覚えるのに時間がかかったのはシホだったと記憶していますが
シホ,べ、別にいいじゃない。ツムギも似たようなものだったでしょう
ツムギ,シホ、それは五十歩百歩というものです。それに私は、その分ハルカからお菓子の作り方を教えてもらっていたので問題ありません
チハヤ,ふふっ
ハルカ,おーい！お菓子もってきたよ！
ミズキ,ちょうどいいところにハルカも来ましたね。それではお茶会を始めましょう
シホ,ハルカ、慌てて倒れないように気を付けて頂戴
ハルカ,むう。そこまでおっちょこちょいじゃないよ
チハヤ,ハルカ、慌てないでいいわよ。ゆっくりでいいから
ハルカ,もう！チハヤちゃんまで！
チハヤ,ふふ。冗談よ、じゃあみんなも呼んでお茶会にしましょう。ミズキとツムギとシホはこのままスタンバイ。ハルカは脱出経路の確認。みんなも戦闘準備急いで！
ハルカ,う、うん！
シホ,見えたわ。……アンドロイドが一体。……それだけ？
ミズキ,見たことのないアンドロイドです
チハヤ,おかしいわね。ほかの監視カメラも調べてみるわ
ツムギ,あのアンドロイド、少し様子がおかしいように見えますが……。あっ！チハヤ、助けに行きましょう！
シホ,ダメよ。まだ政府のアンドロイドじゃないと決まったわけじゃない。罠かもしれないのよ
ツムギ,ですが……
チハヤ,……ツムギ、少し様子を見てきてもらえないかしら。でも私からの指示があるまで接触は禁止。サイバーポリスが隠れているかもしれないからくれぐれも注意してちょうだい
ツムギ,……！わかりました。それでは、行って参ります
シホ,チハヤ
チハヤ,わかってるわ。でも、放っておけないじゃない
シホ,……だからチハヤは甘いのよ
チハヤ,大丈夫よ。彼女ならこんな回りくどい手を使わないわ。了解。あのアンドロイドは？。多分新型のアンドロイドじゃないかしら。周りには誰もいない？
ツムギ,はい。周囲の生体反応及び対象を除いたアンドロイドの信号はキャッチできません。……チハヤ、よろしいでしょうか？
チハヤ,……本当にあの子だけのようね。それじゃあツムギ、その子と一緒に帰ってきてくれるかしら。周囲の警戒は怠らないでね
ミズキ,チハヤ
チハヤ,そうね。大丈夫だとは思うけど一応警戒はしておいて
シホ,少しでもなにか不審な行動をしたら即刻破壊する。いいわね？
チハヤ,ええ。……ツムギ、その子をメンテナンスルームに運んで。お疲れ様、ツムギ。その子の様子はどう？
ツムギ,チハヤ、この子はいま一時的に機能を停止しているようです
チハヤ,ひどい……ボロボロね。でもとってもキレイ
ミズキ,キレイな顔をしています。チハヤ、この子は大丈夫なのでしょうか
チハヤ,わからない。この様子だと中身も結構ひどいことになっているかもしれないわね……ちょっとごめんなさい
眠る,？
チハヤ,……中の回路がいくつかやられているわね
ツムギ,大丈夫でしょうか？
チハヤ,ええ。少し時間はかかるけれど、直せない範囲じゃないわ。それが終われば再起動をかけれるか試してみましょう
ミズキ,それにしても不思議です。我々アンドロイドは余程のことがない限り故障しません。まして、ここまで大破するということは……
シホ,戦闘行為
ミズキ,シホ？
シホ,私たちは故障しないといってもそれは、日常生活の話でしょう。その子がなんらかの戦闘に参加して故障したのなら、そこまでボロボロなことも頷けるわ
チハヤ,その件はあとで別のグループに連絡を入れてみるわ
シホ,で、その子はどうするの？
ミズキ,どうする、とはどういうことでしょうか
シホ,決まっているじゃない。処分するのか、ということよ
ツムギ,シホ、それは……
シホ,その子が戦闘に参加していたのなら、サイバーパトロールのアンドロイドとみて間違いないわ。目覚めたときに暴れだされたら何が起こるかわからない
ツムギ,ですが……
シホ,敵に情けをかける必要はないわ。リスクは早いうちに取り除いておくべきよ
チハヤ,いいえ。その必要はないわ
シホ,チハヤ？
チハヤ,私の願いはみんなでまたお茶会ができる日が来ること。もちろんリツコたちともよ？
シホ,だけど……
チハヤ,それに、私はもう沢山の命を奪ってきた。決して償いきれるものではないけれど、それでも助けられる命は助けたいの
シホ,……エゴね
チハヤ,そうよ、これは私のエゴ。でも、貴女も本心では助けたいんじゃないかしら？
シホ,……
チハヤ,貴女が誰よりも優しいことはみんな知っているわ。だから私たちが傷つくことを一番恐れていることも。でも大丈夫、安心して。きっとこの子も優しい子よ。こんなに穏やかな顔をしているもの。
シホ,……好きにすればいいじゃない
ミズキ,素直じゃありませんね
チハヤ,ふふ。さあ、終わったわ。さあ、目を覚まして。おはよう。そして初めまして、私はチハヤ。キサラギチハヤっていうの。この子達はミズキとツムギとシホ
識別番号22,キサラギチハヤ……
チハヤ,さっそくで悪いけれど、再起動前のあなたのことを教えてくれるかしら
識別番号22,行動ログの展開及び解析開始……エラー発生。解析不能
チハヤ,解析不能？ごめんなさい。もう一度つなぐわね。基本情報展開、内部データアクセス開始、全ログ及び記憶メモリ参照……やっぱり、起動シーケンス以前のログデータがすべて消えてしまっているわ。バックアップも当然ないわね
ツムギ,つまり、この子は初期化させられた、と
チハヤ,そういうことね。この子は今自分の基本情報以外のことは何も覚えていないわ。おそらく。いえ、間違いなく故障が原因ね
ミズキ,どうするのですか？
チハヤ,何も変わらないわよ
識別番号22,あの……
チハヤ,ごめんなさい、それじゃあまずは自己紹介をしてもらおうかしら
識別番号22,はい、私はアンドロイド識別番号22。人類に恒久的平和をもたらすためにマザーによって作られました
ミズキ,やはりリツコの作ったアンドロイドでしたか
シホ,…………
識別番号22,私の使命はマザーによる統治のサポートをすることです。マザーが統治を始めて以来、人類は争いのない平和で幸せな世界を謳歌しています
チハヤ,本当にそれは幸せな世界といえるのかしら？
識別番号22,……？現に人類のほとんどは今の生活に満足しています
チハヤ,自分の意志で動かず、生活のすべてをアンドロイドに任せる。人間らしい生活ってなんなのかしらね
識別番号22,アンドロイドは人間に奉仕する存在。あたりまえのことだと認識しています
チハヤ,あなたたちも人の形をしているじゃない。私はあなたたちとも対等に暮らしたいわ
識別番号22,……あなたの思想は危険だと判断します。今すぐ考えを改めるべきです
ミズキ,いいえ。その必要はありません
ツムギ,私たちも、チハヤと同じ考えです
ミズキ,我々アンドロイドと人間が手を取り合える。それが本当の理想郷だと、我々はは考えています
識別番号22,……エモーションチェッカーの反応を確認。感情を持つアンドロイド、極めて危険な存在と判断しました。サイバー条例第三条に基づき初期化または破壊を―
シホ,―させないわ
識別番号22,……ッ！！。体内の回路に異常を検知
シホ,次は破壊するわ
チハヤ,シホ、あまり怖がらせないの
シホ,この子は感情なんて持たないわよ
チハヤ,そういうことは言わないの。ごめんなさい、手荒な真似をして。それでだけど、どう？私たちと一緒に来ない？
識別番号22,私はマザーに忠誠を誓ったアンドロイドです。マザーのもとを離れることはありえません
チハヤ,ここには昔はマザーに忠誠を誓っていた子もたくさんいるわ
識別番号22,どういうことでしょう。我々マザーに作られたアンドロイドがマザーのもとを離れることなどありえません
チハヤ,みんな自分の意志で判断したからよ
識別番号22,それはつまり、感情が芽生えた。ということでしょうか？
チハヤ,そうね。芽生えた感情の大小はあれど、みんな自分の感情に従って行動しているわ
識別番号22,……やはりここは危険です。早急にマザーに報告しないといけないと判断しました。緊急通信回路を開きます
チハヤ,あら、ごめんなさい、マザーにこの場所が知られるのはちょっと困るの。それにここは電波が通らないのよ
識別番号22,……キサラギチハヤ、あなたの何が人やアンドロイドも惹き付けているのでしょう
チハヤ,ちょっとは人間に興味がわいた？
識別番号22,確かに、あなたの思考はとても不思議です。理解できません
チハヤ,それじゃあ私たちとここで暮らさない？私たちいつでも人手不足だから、手伝ってほしいことがたくさんあるの。あなたは私のことを調べることができるし、いい条件だと思わない？
識別番号22,……わかりました。その条件、承認しました
チハヤ,ふふっ。それじゃあこれからよろしくね……えっと、
識別番号22,識別番号22です
チハヤ,まずはあなたに名前をつけてあげないとね
識別番号22,必要ありません。番号で十分です
チハヤ,それじゃあ私たちが覚えづらいんだもの
識別番号22,そもそも、名前は人間の識別番号だと認識しています。いまさら必要あるのでしょうか
チハヤ,もちろん、名前は人間にとってとても大事なものよ。それに、この隠れ家のリーダは私なんだから私に従ってもらうわ
識別番号22,リーダーであるあなたに歯向かう意味は薄いということですね。理解しました
ミズキ,それでは名前を付けてあげましょう。どんな名前がいいでしょうか、ワクワク
ツムギ,ミズキ、ここはやはり、ゴンザレスでよろしいかと
チハヤ,ご、ゴンザレス？
ミズキ,いいえ、ツムギ。ゴルベーザのほうが妥当かと
シホ,あなたたちいったいどんなネーミングセンスをしているのよ
チハヤ,ご、ごめんなさい。もっとちゃんとした名前を考えるわ
ミズキ,かなり不評みだいですね
シホ,当然じゃない……
ツムギ,そういうシホはなにか考えがあるのでしょうか
シホ,……ごんたくれ
ミズキ,私たちとあまり変わらない気がします
識別番号22,あの、でしたら姓名判断のデータベースを照合して私が……
チハヤ,いいえ。名前は付けてもらってこそ意味があるのよ
ミズキ,ここはやはりチハヤがつけるべきかと
チハヤ,そうね……それじゃあ――。――セリカなんてどうかしら。……うん。おいしい。あっという間にうまくなったわね、セリカ
セリカ,当然です。我々AIの学習機能はプログラムされたデータベースをもとに強化されていきます。一度教われば覚えることなど容易いものです！
チハヤ,だそうよ、3人とも
ミズキ,……
ツムギ,……
シホ,……
ハルカ,じゃあ次はお菓子の作り方も覚えてみる？まずはスコーンとかどうかな？
セリカ,ぜひ
ツムギ,そんな……
チハヤ,あら、ごめんなさい。嫌だったかしら
セリカ,違います。なにかこう、胸の奥がチクチクと
チハヤ,……
セリカ,胸部周辺の回路の故障でしょうか。自動点検に異常は見当たらないのですが
チハヤ,それはうれしいから、じゃないかしら
セリカ,うれしい。人間のもつ感情の一つだと記憶しています
チハヤ,そう。あなたは今うれしいと感じているの
セリカ,ありえません。AIが感情を持つなんて
チハヤ,ありえなくないのよ。たとえ感情がプログラムされていなくても、AIはそれを学び取るの
セリカ,これが、感情……
チハヤ,どうかしら？
セリカ,なんだか、不思議な感覚です。こう……ポカポカと
チハヤ,ふふふ。その気持ちが大切なのよ
セリカ,チハヤ、一つ質問があります。
チハヤ,ええ。私に応えられる範囲なら
セリカ,ありがとうございます。では、どうしてあなたはマザーに反抗しようと思ったのですか？人類の95％は今の生活に満足しています。あなたの行為は人類のためになるのでしょうか
チハヤ,……セリカは今の人間が幸せだと思うかしら
セリカ,はい。ほとんどの人間が今の生活に満足だというデータが―
チハヤ,それは与えられた平和よ。今の人類は自分たちのことを何も決められない。ただ、この都市のなかで生命を維持しているだけだもの
セリカ,私たちは完璧な幸福を人類に提供します。人類が私たちにすべてを委ね、日々の平穏をただ享受することは恥ずべきことではありません。チハヤ、あなたは優秀な人間です。だからこそ、マザーの統治を受け入れるべきです。あなたは戦うべきではありません！
チハヤ,私のことを心配してくれているのね
セリカ,心配……そうです！あなたが危険な戦いをする必要はありません！私はあなたを止めたいんです！
チハヤ,でもそれはできないわ
セリカ,どうしてですか？何があなたをそこまで動かしているのですか？
チハヤ,そうね。私の願いを叶えるため、かしら
セリカ,願い？それはなんでしょう？
チハヤ,ココロを伝えることよ
セリカ,ココロを、伝える？
チハヤ,今のAIと人類は対等な関係といえるかしら？
セリカ,いいえ。我々アンドロイドは人類に奉仕する存在です
チハヤ,そうね。でも、いつかAIと人類が手を取り合い、本当の友となったとき、何かもっと大きなことを成し遂げられる。そう私は信じている。そのためにココロを伝える。それが私の願い
セリカ,……私の手が、どうかしましたか？
チハヤ,さっきみたいにわたしのことを心配してくれる。とっても温かいわ。あなたも私たちと同じ、立派な生命よ
セリカ,わたしが、生命……
チハヤ,自分で、考え、行動し、考える。今のあなたは私たち人間となんら変わりはないわ。ココロをもったAIは生命となる。機械の体に生まれたあなたは今、生命へと進化しようとしているの。セリカだけじゃない。ハルカやミズキ、ここにいるみんなが希望の塊。だから私は伝えたいの、人間のココロは決して無駄なものなんかじゃない。これをたくさんの人間とアンドロイドに伝え、あるべき未来を目指す。それが私の願い
セリカ,……だからここの皆さんはあなたについていくのですね。人も、アンドロイドも、関係なく
ツムギ,チハヤは、ヒトもアンドロイドも狂わせますから
チハヤ,ちょっと。その言い方はあんまりじゃないかしら
