※,
淡,――ああ、燦々と輝く太陽と、森に騒めく小鳥のさえずり。小川はせらせらと流れる。私は今そんな中――。……なぜ釣りをしているのでしょうか…
誠子,20匹目～♪
淡,私の隣で機嫌よさげに魚をバケツに入れているのは亦野誠子――二年生で、私の先輩になります。麻雀においては白糸台のフィッシャーなどと言われています。実生活でも釣りが趣味だったようです。たまに部室に持ってくる釣竿やら釣りトークやらでもそれは確認できた気がしますが、単なるキャラ付けだと思っていました。そうです、この先輩が私をここに連れてきたのです。それもこれも３日前――
誠子,なあ淡
淡,ん～？なに？
誠子,今度の祝日、部活休みじゃないか
淡,うん
誠子,予定ある？
淡,いや、特に。家でのんびりしようかな～って
誠子,折角休みなんだからさ、遊ばないか？
淡,え……セーコと？
誠子,ああ。いいところ連れて行ってやるから
淡,！。何がいいところ連れて行ってやるからだよ、全く！。こんなんだったら家でゴロゴロしてたほうがマシだったよ！。朝っぱら起こされて長い間電車に揺られ、連れてこられたのが山の中っておかしくないかな！。勘違いして一番可愛いワンピースとか来てきた私がバカみたいじゃん！
誠子,よっと
淡,しかも何でアンタは制服なんだよ！。でも聞いたら、制服が一番動きやすいからとか言いそうで怖いよ！。というかいつも思ってたけどその着こなしなんなの！理解できないよ！。でもこれは心の中に留めておく、だって私は従順な後輩なのだから
誠子,どうした淡……。一匹も釣れてないのにしたり顔とかして
淡,な、なんでもない！
誠子,っていうか反応してるじゃないか！ほら、速く！
淡,えっこれって釣れてるの！？。てやっ！！
誠子,……残念、逃げられたな
淡,む～～悔しい……
誠子,これは一から教えたほうがいいかもな。ほら、こんな手応えがあったときは～～
淡,……ねえセーコ
誠子,うん？
淡,胸、全然無いね
誠子,運動に邪魔になるから要らん
