ｷｬﾉﾝ･ｿﾙｼﾞｬｰ,ぐああああああぁぁぁぁぁぁ！！！
ﾄｩｰﾝ･ｷｬﾉﾝ･ｿﾙｼﾞｬｰ,うわああああぁぁぁぁぁ！！！
ある決闘者,ファイアウォール・ドラゴンの効果発動！メガキャノン・ソルジャーを手札から特殊召喚！！
デスガイド,銃本体じゃなくて銃弾の方を規制しろって話デスよね！！。けーっきょく１キルやってんじゃないデスか！！！。キャノン・ソルジャーとトゥーンの方は一体何の為に死んだんデスかねぇ……？？
アマゾネスの射手,
クロウLV40,黒い旋風！極北のブリザード！砂塵のハルマッタン！黒槍のブラスト！シンクロ召喚！シルバー・ウィンド！残夜のクリス！精鋭のゼピュロス！
デスガイド,さあこれから忙しく――えっ！？こんなクソ忙しい時期に制限改訂を！？。おのれKONMAI……私を過労死させる作戦デスね……！。こうなったら……カモーン婦警さーん！
デスポリス,はいはーい、何デースかー？
デスガイド,これがこうこうかくかくしかじか四角いムーヴコンテ新登場
デスポリス,えー！？そんなの無理デースよー！？
デスガイド,上手く成し遂げれば、今後はデスガイドSSじゃなくてデスポリスSSで有名になれるデスよ
デスポリス,ぐぬぬ……な、ならば。当たって砕けろデース！！
ＦＷＤ,やあ
デスガイド,死ね
ＦＷＤ,出会いがしらに酷くない！？
デスガイド,そろそろお前巻き添え規制レベルが征竜と同等か、それ越えが見えつつあるんデスよ死ね。正直絶望しか無いデスよ。ここまで主人公エース補正バリアってのが強固で破れないなんて事実がデスよ死ね。アニメじゃロクに効果使われてない癖にデスよ死ね。お前が今まで殺してきたカードの数を数えて見ろデス。射出カード全部殺し尽くすまで居座り続ける気デスか死ね。そしてテメーはお呼びじゃねーんデスよ死ね。本当、本っっっ当に！！残念デス！！残念デスけど！！！お前は今回ノータッチなんデスよ！！死ね！！マジで！！
ＦＷＤ,俺、主人公のエースカードなのに何でここまで嫌われてるんだ……？世界って、残酷だ
デスガイド,さーて、禁止エリアを発ちまして制限エリアへと向かうデスよー。今回、なんと禁止エリアから2枚、出所デスよー
Emﾀﾞﾒｰｼﾞ･ｼﾞｬｸﾞﾗｰ,ヒグルミ何処……ココ……？
デスガイド,ダメジャグおかえりデス。Ｅｍのサーチ、微力ながらも復活デス。それからヒグルミは今でもふっつーに強いので駄目デス
嵐征竜-テンペスト,ゑええ！？！？俺だけ！？マジで！？何で！？！？！？
ﾌﾞﾗｽﾀｰ&ﾀｲﾀﾞﾙ&ﾚﾄﾞｯｸｽ,こおおぉぉの裏切りものおおおおぉぉぉぉぉ！！！！！
デスガイド,草。こういうのは全員ムショか全員出所だと思ってたデスよ。いや、一匹だけ釈放とかマジでビックリデスよ。これが一番ビックリしたデスよ
エクリプス,ｵｲﾃﾞ...
ダークマター,ｵｲﾃﾞ...
テンペスト,わーい！たーのしー！
レダメ,やめろ。マジで洒落になってない
テンペスト,……あれ？そういえば、何で今回のバスは禁止エリアから出発してるんだ？規制強化組みは？
デスガイド,今、デュエルリンクスは5D'sワールド実装でお祭り騒ぎデス。その新規参入者を捌くので今の私は大忙しなのデス。なので、お仕事を減らして貰ったデス。今回の私の担当は帰りの便だけデス。大丈夫大丈夫、彼女ならきっと無事にやり切るデスよ。さあ、テンペストたった1枚だけで環境の名前に征竜の名を刻む事が出来るのか！こう御期待デス！
ﾀﾞﾒｰｼﾞ･ｼﾞｬｸﾞﾗｰ,いや、流石に無理だろ
デスガイド,分かんないデスよー？これから風属性のぶっ壊れテーマが出てきたら一瞬で禁止に逆戻りも見えるデス
ライトニング,！！！
テンペスト,！！！
ライトニング,風と契約を交わした運命の落とし子よ！再び我と一つになる時が来たのだ！！！
テンペスト,刻は――今！！血ではなく魂で繋がれた同志！我等は二つで一つ！久遠の眠りから目覚め再び天へと舞い戻る！！
デスガイド,お次は新たに準制限へと緩和されたカード達を乗せて出発デス。今回、緩和されたのは4枚デス
ﾌﾞﾘｭｰﾅｸの影霊衣,ｱﾄﾜｽﾞｶ...
デスガイド,ショタ枠緩和デスね。ブリューナクの影霊衣が順に戻ってきたデスよ。順調に影霊衣の緩和が進んでるデス。サーチが増えたのは物凄く大きいデスね。このまま行けば完全復活も近いデスね。儀式召喚は別にリンクショックを何も受けてないデスからね、カードさえ戻ればカテゴリーパワー復活デスよ
彼岸の旅人ダンテ,彼岸のデスガイド！オッスオッス！
デスガイド,オッスオッス！おひさ！私を差し置いて緩和とか良い御身分デスね！！。めっちゃ見知った顔のイケメン、彼岸の旅人ダンテが準に緩和デスよ。何度も言ってるデスけど、エクストラの準ってほぼ無制限と同意義なんデスよね。エクストラ取捨選択は多岐に渡り、同名カードを3枚も積んでる枠なんて無いんデスよ。ダンテももうこれ実質無制限デスね。彼岸のリンクモンスターも追加されて波に乗れてるデスよ
真竜皇の復活,復ッ活ッ。真竜皇の復活ッッ真竜皇の復活ッッ真竜皇の復活ッッ
デスガイド,別に毒が裏返って超回復はしてないデスよ
超再生能力,呼んだ？
デスガイド,呼んでないデス
破壊輪,ただいま
デスガイド,おかえり。デストロイドラゴン出し易くなるデスね
超融合,俺と！お前で！超融合！！！
デスガイド,最近、リンクスでもチラ見えしてたデスね。最近はどいつもこいつもリンク召喚リンク召喚
ドイツ,リンク召喚！
コイツ,リンク召喚！
デスガイド,そんな環境なので最強の融合カードが緩和され戻ってきたデスよ。相手のリンクモンスター、食っちまえデス。アライブがあんな事になってるって事はどうせ環境にHEROいっぱいいるんデスよね？
超融合,えっ？
デスガイド,えっ？
真竜皇の復活,あれはHEROなのだろうか……？
デスガイド,相変わらずメカ少女ジャンル需要を満たす環境が続いてるデスが、まあ何はともあれ女は度胸色々試してみるもんデス。環境は修羅の国デスが、まぁ、一応、それなりに、百歩譲って群雄割拠した良環境？デスよ。精々楽しんでこいデス
閃刀姫－レイ,ｼﾞｮｲﾝｼﾞｮｲﾝｼﾞｮｲﾝｼﾞｮｲﾝｼﾞｮｲﾝﾚｨ
レイ,ｼｬｵｳｯ！南斗水鳥拳奥義――
デスガイド,それ以上いけない
ﾌﾞﾘｭｰﾅｸの影霊衣,酷いレベルでバランスが取れている
デスガイド,おらおらー次はいよいよ無制限エリアデスよー
SPYRALGEAR-ﾄﾞﾛｰﾝ,ﾃﾞｸﾞﾁﾉﾋｶﾘｶﾞﾐｴﾃｷﾀﾖ
デスガイド,なんか許されるの随分早いような気がするデスよ。あの地獄の環境を生み出した奴デスからもう２年位ゆっくり寝てて良いとか思っちゃうデスね
召喚師アレイスター,順当な順位ですね
デスガイド,くっ、アレイスターに負けた……！。超融合も帰ってきて良い感じデスね。でもメルカバーはまだ収監中デス
ｶﾞｽﾄｸﾗｰｹ,……へえ
デスガイド,……んー？。イビリチュア・ガストクラーケが無制限デスか……。このカード、確かハンデス効果だったはず……やっぱりそうデスね。ハンデス効果が規制喰らって、その後完全釈放ってかなりのレアケースな気がするデスよ？。ハンデスを許すって、どうしちゃったんデスかね？ハンデスには厳しいイメージだったんデスが
