江頭陶子,３８
テロップ,江頭陶子３８
宅間書店。,週刊ユウヒ芸能
編集者A,江頭さん。あなたのおかげで、暴力団関係の特集記事はかなり充実した内容になりましたよ
陶子,ありがとうございます
編集者A,ところで、江頭さん。こういった闇社会関係の取材をして、死の恐怖を感じたことはないんですか？
陶子,それはありませんね。職業柄、私は自分が畳の上で死ねないことを覚悟していますし……
陶子が立ち去った後、会話をする,ユウヒ芸能
編集者A,それにしても……。いつもながら、ずいぶん勇ましいよなぁ。江頭さんって……
編集者B,ああ……。だけど、彼女は人を寄せ付けないような雰囲気があるんだよな
陶子,人間は、最後は一人……。だから、私も一人で生きて、一人で死んでいく……。私は……、一人だ……
喪黒,江頭陶子さん……ですね
陶子,！！。私としたことが、うかつだった……！
喪黒,私は、山王組が送り込んだ殺し屋ではありませんよ。江頭陶子さん
陶子,あ……、あなたは一体何者なの！？
喪黒,これはこれは……。自己紹介が遅れましたな。私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
陶子,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
陶子,……怪しいお仕事ですね
喪黒,怪しいお仕事ではありませんよ。私のやっていることは、ボランティアみたいなものですから
陶子,そんなことはありません！！
喪黒,まあまあ……。そうやって、肩肘を張った生き方ではストレスがたまる一方ですから……
陶子,私は、自分の生き方を人に指図されるつもりはありません！
喪黒,そうですか。ところで、江頭さん……
陶子,なっ……！！
喪黒,ほう……、図星ですか……。老婆心ながら、これだけは言っておきますが……
陶子,…………
喪黒,よろしかったら、私があなたの相談に乗りましょうか？
BAR,魔の巣
陶子,烏龍茶をお願いします。私は車を運転する身ですから……
喪黒,江頭さん。あなたの新著の六代目山王組分裂、なかなかの力作でしたよ
陶子,そりゃあ、どうも……
喪黒,江頭さんは闇社会に詳しいジャーナリストですが、他にもタブーにかなり切り込んできましたねぇ
陶子,気が付いたら、そうなっていたんですよ
喪黒,江頭さんの人生を変えた決定的な事件は……。おそらく、あなたのご両親が非業の死を遂げたことのはず……
陶子,おっしゃる通りです。私が小学生のころ、いつものように帰宅した時……。両親は死に、家もなくなっていました
喪黒,その後、江頭さんは大学卒業後に宅間書店に勤務し……。週刊誌の記者を経てジャーナリストとなったわけですが……
陶子,そうです。後に、大きくなってから私は知ったのですが……
喪黒,江頭さんの特徴とでもいうべき……。社会悪を憎み、真実を追求する気持ち。死を恐れない勇敢さ……
陶子,私の両親の死が、人格形成に影響を与えたことは確かでしょう
喪黒,……とはいえ、江頭さんの両親の死はこんな形でも、あなたの人格形成に影響を与えました
陶子,それは言えているかもしれませんね
喪黒,江頭さんは、ご両親の愛を受けることができずに育ったのです。だから、人を愛することができない性格となりました
陶子,……そうかもしれませんね。今、あなたに指摘されるまで気付きませんでした
喪黒,はっきり言いましょう。江頭陶子さんの心のスキマとは……。すなわち、愛に関することでしょう！！
陶子,！！！
喪黒,江頭さんは他人を愛せない性格ですから……。おそらく、男性との恋愛関係も一度もなかったはずですよねぇ
陶子,ご名答ですね……。まさにその通りですよ
喪黒,江頭さん。一度でもいいから、あなたは燃えるような大恋愛を経験すべきなのです！
陶子,そうですか……。喪黒さんのおっしゃりたいことはよく分かりますが、今の私の年齢ではすでに手遅れ……
喪黒,そんなことはありません。あなたに運命の恋人は必ず見つかるはずです。あなたは、近いうちに運命の恋人を必ず見つけます！！そして、燃えるような大恋愛をします！！
陶子,キャアアアアアアアアアアアア！！！。ムグッ……
テロップ,ロバート・オオモリ４２
