二宮飛鳥,ふぅ……
飛鳥,静かだ……。聞こえるのはボクが本を捲る音だけ……。まあ、多少の騒音には慣れたものだけれど……こういう静寂も、久しく忘れていたようだね……。願わくば、この平穏が永く－－
一ノ瀬志希,お、読書中かな〜？何の本？やっぱり哲学とか？ダメだよ〜、そういうのは原文から見なきゃ微妙なニュアンスとか
飛鳥,はぁ……
志希,ありゃ、閉じちゃうの？
飛鳥,続行が不可能だと悟ったからね
志希,ふ〜ん？ま、でもそれは正解かもね〜
飛鳥,……どういう意味だい？
志希,さあさあ！寄ってらっしゃい見てらっしゃい！タクシーイチノセの開業だ！
飛鳥,そうか。ボクは上がらせてもらうよ
志希,そうは問屋がオントロジー！！！
飛鳥,うわ！？は、離せ……力強っ！？
志希,おやおや？シキちゃんに恐れをなしちゃった感じかい？
飛鳥,ああ、何を考えているかわからないという意味では恐ろしいね
志希,じゃあ飛鳥ちゃんでもわかるように解説してしんぜよう！
飛鳥,そもそも聞いていない
志希,昨日のことなんだけど……あー、メンドいから英語でいい？
飛鳥,いいわけないだろう
志希,フレちゃんがさ？なんか面白そうなことを……あー、メンドいからフランス語でいい？
飛鳥,いいわけないだろう！。もっと母国の言語をしっかりと扱え！
志希,メンドいからアラビア語でいい？
飛鳥,誰がわかるんだ！
志希,مرحباهناك
飛鳥,強行突破をするな！
ライラ,أناجائع.
飛鳥,！？
志希,お？釣れた釣れた！
飛鳥,……狙ってたのか？
ライラ,釣られてしまったのですねー
志希,ジーニアスは釣りでもジーニアスなのだ！
飛鳥,どうでもいいけど、今度こそボクは退散させてもら
志希,風が吹いたらオントロジー！！！
飛鳥,さっきからそのシリーズなんなんだ！！！
志希,はーい、注目！
ライラ,はーいですよー
飛鳥,どうしてボクまで……
志希,2人とも、”タクシーフレデリカ”って聞いたことあるかな？
飛鳥,……フレデリカが誰かを背負って運んでいるのはよく見るが
ライラ,ライラさんもよく運んでもらうのですよー
志希,飛鳥ちゃんは使ったことある？
飛鳥,あるわけないだろう
志希,なるほど、飛鳥ちゃんは1割の方のニンゲンと……
飛鳥,き、9割が利用経験があるのか……！？
志希,今や我が事務所の旅客輸送のほとんどはフレちゃんが担っていると言っても過言ではないのだ！
飛鳥,過言だろ。というかみんな歩け
志希,さてさて、ここまでくればもうわかるでしょ？
ライラ,シキさんもタクシーデビューなのですねー？
志希,そゆこと！需要あるとこに供給をする！これぞビジネスのキホン！
飛鳥,……ビジネスと言うが、そもそもフレデリカは無償で運んでいると聞いたけど
志希,もちろん、シキちゃんもタダで働くよ～！
飛鳥,あの志希が……？あの志希が……？
ライラ,アスカさんは素直ですねー
志希,こういうのは、奉仕の心が大切なんだよ？決して借りを作っておけばパフュームとかコロンとか開発した時に実験台にしやすいとかそんなことは全く考えてないんだよシキちゃんは素直ないい子だから
飛鳥,だいたいわかった。みんなに警告のメッセージを送っておくことにしよう
志希,も～、すぐそうやってヒトのやる気を削ぐ～
飛鳥,悪いが、みんなの安全が優先だ
志希,まま、そんな目的とか置いといてさ？楽しそうだなーって思ったのは本当だし？
ライラ,みんなをおんぶしながら話をしているフレデリカさんは、とっても楽しそうでしたねー
志希,というわけで、どうすればタクシーフレデリカからお客さんをごうだ……誘致できるのか、知恵を貸したまえ！
飛鳥,強奪って言いかけたな？
志希,まずは敵の分析から！
飛鳥,そもそも敵なのか
志希,そのために、よくタクシーフレデリカ……メンドいね、略してタクフレを使っているライラちゃんに来てもらったのさ！
ライラ,ですねー
志希,じゃ早速、タクフレの良さをプレゼンして～？あ、シキちゃんに遠慮しなくていいからね
ライラ,タクシーフレデリカさんのいいところ……？ええと……言った場所に運んでくれますねー……？
飛鳥,最低限すぎる
志希,なるほど……！あたしもちゃんと目的地には運ばなきゃだねぇ……！
飛鳥,運ばないつもりだったのか？？？
ライラ,あとはですねー、コイキなトーク？が楽しいのですねー
志希,フレちゃん、コミュ力強いもんねー。飛鳥ちゃんと違って
飛鳥,何故ボクは煽られたんだ
志希,でもでも、あたしのレポートによると、タクフレには欠かせない、キーパーソンがいるんだって！わかる？
飛鳥,欠かせない……？ああ、もしかして、ありすのことか？
志希,ご名答～！アメあげる
飛鳥,何が入っているかわかったものじゃない。遠慮するよ
志希,ﾁｯ
飛鳥,聞こえてるぞ
ライラ,確かに、アリスさんはいつも隣を歩いてるのですねー？
志希,仲良しだからね～
飛鳥,ありすは巻き込まれてるようにしか見えないけどね
志希,それをわかって着いて行くんだから、やっぱり仲良しだと思うけどねえ
飛鳥,本人はその評価に不満だろう
志希,仲良し……まるであたしと飛鳥ちゃんみたいに！
飛鳥,肩を組むな……！
ライラ,ライラさんもー
飛鳥,……
志希,なんで振りほどかないかな！！！
飛鳥,ざ、罪悪感が……
ライラ,？
