ありす(22),いつまでだって言いますよ
ありす,多少遠回しだったとは自分でも思いますけど、乙女の一世一代のプロポーズをあの人は！あの人は！
晴(22),買ってきたモン冷蔵庫入れちまうぞ
ありす,あの人はぁぁぁ！
晴,もう遅い時間なんだからあんま騒ぐなよ。テーブル叩くな枝豆飛び散るだろ
ありす,うにゅぅぅぅぅ～…！
晴,ったく…。お互い明日オフだからって宅飲みに誘っといてお前先に出来上がってんじゃねぇか
ありす,飲まずに、やってられないんですよぅ…
晴,ほどほどにしとけよ。そうじゃなくても最近事務所で高垣２号
ありす,初耳なんですけど。あれ、前はユッキ２号
晴,これ以上不名誉な称号増やしたくないならもうちょいシャキッとしろよ。仕事中はマトモな癖に
ありす,…仕事に支障が出たらプロデューサーさんにご迷惑じゃないですか
晴,その分別を１割でいいからプライベートにも向けてくれよ。ほれ、一度空き缶ビニールに詰めるから寄こせ
ありす,晴さんも飲みましょうよ、たまには
晴,あっコラ。人が片付けてるのに開けんな！
ありす,この前は久しぶりに思いっきり飲んだじゃないですかぁ
晴,…そういう時だってあるんだよ。オレにも
ありす,プロデューサーさんからお子さんが出来たって報告受けた夜は凄かったですもんねぇ
晴,るせぇ！忘れろっ！
ありす,忘れられる訳が無いじゃないですかぁ～！
晴,そっちじゃねぇよ！あーもう！最初からクライマックスじゃねぇかこの酔っ払い！
一応コレの続き,？
晴,適当に冷蔵庫に突っ込んどくからなー。…うっわ、イチゴと酒しか入ってねぇじゃんか
ありす,…
晴,橘、ちゃんと飯食えよ？
ありす,食べてますから大丈夫ですよ。まあ、それ以上にお酒飲んでますけど
晴,大丈夫な要素がねぇよ！。ったく…オレだってそう頻繁に飯作りにこれねぇんだからな？
ありす,そう言いながらちょくちょくうちに来て洗濯してくれたりご飯用意してくれたりする晴さん大好きですよ
晴,オレだって別に橘の事嫌いじゃねぇよ。しかしまぁ…何て言うか。ほんと、橘ってＰにフラれてから一気にダメ人間になったよなぁ
ありす,まだフラれてませんよぉ！
晴,テーブルをチューハイ缶で叩くな
ありす,ただ２０回ほど告白してお断りされただけです。フラれた訳ではありません。はい論破っ
晴,どういう理論だよ。断られた時点でフラれてるだろ
ありす,最後の最後に勝てば良いんです。勝つまで続けることが重要なんですよ
晴,ここまで来ると情念深いっつーか怨念だろ…
