モバP(以下Pですよ、きゃは☆),そうかぁ？俺は結構いいと思うんだけどなぁ、島村
P,そもそも、なんで凛は島村が嫌なんだ？
凛,うーん、これはあくまで私個人の意見なんだけどさ
P,あぁ
凛,服のセンスがあんまりよくない……からかなぁ。ほら、私も一応女の子だしおしゃれには気を遣ってるんだよ
卯月,。私……センスよくなかったんだ……。私だってアイドルだから、おしゃれしてたつもりだったんだけどなぁ……
P,いやいや、それは凛の偏見ってもんだよ。確かにまぁ……微妙だったりするときもあるけど、割とセンスいいのだってあるぞ？。それに、俺が島村を好きな理由は。安い。これが一番の理由だな
卯月,
P,普段使いのなんてわざわざ高いの買わなくてもにっきゅっぱとかのやっすい奴でいいんだよ。その点では島村は最高だな。それにな？島村の良いところは他にもあるんだ
凛,随分と熱弁するね
P,そりゃあ、俺は普通に島村好きだからな。あとは、あれだ。たまに、こっそりとコラボしてるところだな。俺が知ってる奴で一番新しい奴だと……ガルパンの奴だな
凛,あぁ、プロデューサーが前ハマってるって言ってたやつ？確か、ガールズパンツとかそんな感じの
P,ガールズ＆パンツァーな。その作品とコラボしてあんこうチームのTシャツとか売ってたんだよ。マジで何の告知もなくて、Twitterで画像が出回ってて初めて知ったくらいだしな
凛,ふーん？
P,なんだよ、あんまり興味なさそうだな
凛,実際、興味ないしね。まぁ、プロデューサーがその作品が好きだって言うならそのTシャツを買ってペアルックにするのも吝かじゃないけど
P,あー、どうだろう。今は置いてるのかなぁ。ネットで探せばあるかもしれないけど
未央,やっほー、しまむー！扉のところで何丸くなってんの？
卯月,うわらば⁉み、未央ちゃんびっくりさせないでください！
未央,びっくりしたのはこっちだよー。アイドルがそんな秘孔突かれたみたいな悲鳴出すんだもん。で、どったの？
卯月,じ、実はしましまうづうづで
未央,なぬぅ！ちゃんちゃんみおみおだとぉ⁉おのれ、プロデューサーったら本人が居ないところでそんな陰口を！。ちょっと、プロデューサー！
卯月,み、未央ちゃん！私なら大丈夫だから！
P,お、未央。おはよう、朝から元気だな。それに卯月もおはよう
凛,おはよう、卯月、未央
未央,おっはー！って違う違う！聞いたよ二人とも！しまむーの居ないところで陰口叩いてたんだって⁉そんな陰湿な事、未央さんは許しませんよ！
P,へ？
凛,は？
P,俺達、卯月の悪口なんか言ってたか？
凛,そんなのあり得るわけないでしょ。私の親友の悪口なんて絶対に言わないし
未央,でも、しまむーは確かに聞いたって言ってるよ？島村はないとかなんとか
卯月,あうぅ……
P,……あぁ！違う違う！服屋の方のしまむらの話だ！
卯月,へぁ？
凛,あぁ、そういう事……。卯月、プロデューサーの言うとおりだよ。私達は、服屋の方のしまむらの話をしてたの。プロデューサーが、服は全部しまむらで買ってるっていうから、アイドルのプロデューサーとしてそれはどうなのかなって話をね
未央,と、いうことは
卯月,私の勘違い……？
P,せやな
凛,卯月ったら勘違いしちゃって、かわいいね
卯月,///
？,ちくわ大明神
P,今の誰だよ
卯月,私ったら勘違いして///こうなったら、穴掘って埋まってますぅ……
P,卯月、それはよその事務所のアイドルだ。彼女の専売特許を奪ってはいけない
未央,しまむーの勘違いはおいといて……確かに、私達のプロデューサーともあろう人がしまむら御用達ってのはいただけないね
P,凛にも行ったが、安くていいんだぞ？最近は、割と普通にけっこうオシャンティーな服も売ってるし
未央,オシャンティーって……よっし、決めた！ねぇ、プロデューサー！
P,ん？
未央,今度のオフに、しまむーと一緒に服を買いに行ったら？そこで、しまむーにおしゃれな服を選んでもらいなYO
卯月,ほぁ⁉
P,なんでそうなるんだ
未央,勘違いとはいえ、一人の乙女の心をひどく傷つけたんだよ？一緒に買い物に行くくらいしないと罰が当たるってものだよ
P,そういうものなのか？
未央,そういうものなのです。ね、しぶりん
凛,そこで私に振るんだ……。でもまぁ、卯月を不安にさせちゃったのは事実だしね。償いの意味も込めて一緒に行ったら？
P,俺は別に構わないが、肝心の卯月が何て言うか……
卯月,わ、私も大丈夫でしゅ！ふ、二日酔いな者ですがよろしくおねがいしましゅ！
凛,卯月、それ色々間違ってるから
未央,しぶりんしぶりん。顔が怖いよ。全力で寒中水泳をした金剛力士像みたいな顔してるよ
P,まぁ、卯月が良いっていうなら……今度のオフはよろしく頼むぞ？
卯月,はい！
未央,しまむーの次は私ね！
凛,あ？
未央,だから、しぶりん顔が恐いてば！
ちひろ,……仕事しろよ
