モバP(以下P),美由紀の実家からカニ送られてきたから……食うぞ
紗南,うわぁ雑な導入だねPさん……
P,おいこらそういうのやめろ。いいだろカニ、美味いんだから
紗南,まぁそうだけどさ……美由紀ちゃんのところだよね？
美由紀,うん！いつも事務所のみんなにお世話になってるからって！
美玲,それで送ってくる量じゃなくないか……ウチこんないっぱいのカニ見たことないぞ
七海,明らかに大手業者の仕入れくらいれすねー。まぁ事務所のみんなで食べればすぐれす
颯,見てみてなー！カニだよカニ！すっごい量！
凪,ズワイに毛ガニ、松葉に越前スベスベマンジュウ…カニフィーバーだな？
七海,全部タラバれすけどね？あと最後のは毒れすよ？
美由紀,もー凪ちゃん！わざとでしょー？
ナターリア,ナァ！酢飯！酢飯用意してイイ！？
晶葉,ふふ、安心しろ！そういうと思って全自動酢飯ロボを用意しておいた！
ナターリア,さすがアキハ！
晶葉,米を炊いたあと、用意した酢を投入することでお手軽に酢飯をだな
乃々,それって普通の炊飯器だと思うんですけど……
幸子,ふふーん！しょうがないですねぇ、カワイイボクも手伝ってあげますよ！
ナターリア,ホントか！ならスシにするためにいっぱいいっぱい剥いてほしいナ！
幸子,へっ？これをですか？待って！まだみんな揃ってないですよ！？
乃々,もうカニが配られ始めてるんですけど……
美羽,蟹……カニ……カニのカーニバル……なんか違うよねー
裕美,食べながらなら……いいのが浮かぶんじゃないかな？
美羽,そっか！裕美ちゃんも浮かんだら教え……ないで披露してね！
裕美,えっ？ダ、ダジャレなんて……浮かぶかな？
光,大丈夫だ！裕美ちゃんならできる！
飛鳥,無理に考える必要なんてないさ、そういったものはふと天から降ってくるものだよ
蘭子,然り！言の葉の導きは天啓に至りて届くもの！
光,確かにヒーローも最初の変身は頭に浮かんだ言葉から変身することってあるからな！
紗南,話ずれてない？。カニって美味しいけど……つい無言に
乃々,もりくぼ的には静かでいいんですけど……
紗南,乃々ちゃんナターリアちゃんの手伝いはいいの？
乃々,愛海さんが手伝うって走っていったので……
紗南,ナターリアちゃんだもんねぇ
美由紀,みんなカニ美味しい？
紗南,もちろん！美味しいよ……って早っ！？
乃々,もりくぼの3倍は早いんですけど……真っ赤なんですけど
美由紀,そーかなー？でもうちのおばちゃんと勝負して勝ったことあるよ？
紗南,プロより早いんだ……美由紀ちゃんそんなに剥いてどうするの？
美由紀,剥くの苦手な人もいるかなーって、そしたらその人に分けてあげるといいよねっ
乃々,えっと美由紀さん、ここの爪ってどうやれば……
美由紀,そこはねっ！ハサミをこんな感じにいれて……
紗南,今日は柳瀬無双かな？美由紀ちゃん一番上手いし
美由紀,ふふん、今日はみんなに美味しく食べてほしいからねっ！みゆき、みんなの先生しちゃおうかな！
颯,むむ……ここの足硬い……なー、カニフォークある？
美羽,カーニバル以外だとクラブとか？
凪,カニのダジャレとは難しいな、確かに
美羽,それっ！それ確かに！うー、颯ちゃんも何か浮かばない？
颯,えっ？うーん、とりあえずなーも美羽ちゃんも食べない？
凪,おぉありがたい、座りしままに食うは久川……これが天下カニか
颯,はーも久川だけどね？はーが剥いて……それだと織田って誰になるの？
美羽,第六天魔王ならここにっ！
颯,そうだっ！美羽ちゃん信長役だったんだっけ！……美羽ちゃんカニ捕るの？
美羽,ふふん、ほら！取ったよっ！
凪,なんという逆転の発想、時間の流れがぐーるぐる
光,時間移動で信長の話っ！？。ごめんごめん、この前見た映画でそういうのがあったからつい……
美羽,信長の映画？光ちゃんが見たってことは特撮で？
光,あぁ！紗南と麗奈も一緒に行ったんだけど楽しかった！
颯,映画かー、こっちの映画館って凄そうだもんね
光,そうなんだよっ！颯も凪も今度一緒に行こう！せっかく同じ徳島なんだし！
凪,確かにいい案、徳島クラブ、というわけだな？凪は大賛成です
美羽,あ゛ー！さらっとカニジョーク混ぜるのずるいよ凪ちゃん！
裕美,……………
美玲,お、おい裕美？目が怖いというか……
幸子,美玲さんも眼帯したままよくカニ剥けますね……？
美玲,これはウチのアイデンティティだからなっ！で、だ幸子
幸子,えぇ、いい加減放置はダメですよね？。絶対鈴帆さん入ってますよ、絶対カニの着ぐるみ着て！
美玲,鈴帆も一緒にカニ食べたほういいしな……おーい、鈴帆―
裕美,…………よし、一個できたっ
幸子,裕美さんもマイペースですね？
裕美,ごめんね、つい真剣になっちゃって……美味しい
美玲,おーい鈴帆―、そろそろ一緒にカニ食べないか？
鈴帆,ふふふ、呼ばれてしまったならしょうがなか！。ウチのこと……優しく……た・べ・て？
幸子,なんでカニじゃないんですかっ！？
七海,実はタラバガニってカニじゃなくてヤドカリの仲間なんれすよ
美玲,あ、そうなのか？……いやそれでも鈴帆、それ重くなかったのか？
鈴帆,ふふん、その時のために用意しとったからね、ゆずれんばい！
裕美,……………
鈴帆,むむ、真剣な眼差し……これはやっぱりストレートにサマカニでいくべきだったと？
幸子,いやアレは鈴帆さんの手前のカニを吟味してるだけですよ
七海,基本的に太めの足が切りやすいし食べやすいれすよー？
鈴帆,そんなウチのこの魅惑の美脚を……剥いちゃう？
美玲,そこは自分で着ぐるみを剥けばいいんじゃないか？
