MegamiMAGAZINEDELUXEVol.19：特別付録,咲-Saki-阿知賀編episodeofside-A
竜華,よし！早速買ってきたでー！。さてさて、あれから怜のお胸は成長してるのかなぁと。ま、そんな短期間で大きくなるわけ…。……。でかっ！！。……。……。いやいや、まさかそんな…。でかっ！！。な、なんでや…この前見た時にはもっと慎ましかったのに…。はっ！？。ま、まさか…。ここに写ってる誰かに揉まれたんか！？。怜ぃ…浮気なんて酷すぎるわぁ…。竜華のおっぱいになりたいわぁ
船Ｑ,なにしてはるんですか？
竜華,あ！船Ｑ！。聞いてや船Ｑ～～、怜が浮気しとったんよ～
船Ｑ,は？浮気？
竜華,まぁまずはこれを見てや
船Ｑ,ほうほう、これは皆さんなかなかのものを…。…園城寺先輩、やたらおっきくありません？
竜華,せやろ！絶対先鋒の子達に揉まれてでかなっとるんや～
船Ｑ,はぁ…しかしこれは驚きですね…早急にデータの更新を
竜華,きっと玄ちゃんに右、新道寺に左を揉まれてチャンピォンにコークスクリューマッサージとかされてるんよ！
船Ｑ,落ち着いてください、全く意味が分かりません。でもこれは一大事ですね…泉と江口先輩も招集しましょか
竜華,そやね！皆で怜のおっぱいが大きくなった秘密を探るで！
セーラ,んで？怜以外呼び出しってなんかあったん？
泉,まあ先輩は今日は病院で休むって言ってはりましたけど
竜華,二人とも、一大事なんや、まずはこれを
セーラ,なんやこれ？ポスター？
泉,わー、阿知賀の子かなり際どいですねー、新道寺も背のわりになかなか
セーラ,よーこんな水着着れるなー、ウチやったら絶対無理やわ
泉,アハハ、ウチもちょっと…
竜華,二人とも、見るとこはそこじゃないで
セーラ,わかってるって、怜やろ？怜も病弱やのによくこんな水着…
泉,先輩？どないしたんで…
セーラ泉,でかっ！！
竜華,せやろ！！前私が見た時にはこんなでかなかったのに！。きっとこれは誰かに揉みしだかれたからに決まってるんや！。くそっ、あの時にもっとしっかり見ておけば…
泉,なんかテンパってて凄い事暴露してはりますね
セーラ,いつもの病気や、気にしたらあかん
船Ｑ,まあ先輩の意見はともかく。盛ってるにしても流石に大きすぎじゃないですか？ってことですよ
セーラ,確かに…怜が着やせするなんて聞いたことないしなぁ
泉,園城寺先輩が着替えてるとこをそもそも見たことないんですけど
竜華,いーや！私はちゃんと覚えてる！。この前の体育のとき怜の着替えをガン見しとったからな！
船Ｑ,部長、もう喋らん方がええと思いますけど
セーラ,ならなんでこんなおっきくなったんやろなぁ…
泉,…どうやっておっきくなったか聞いてみたいですわ
竜華,怜ぃ…おっぱいおっきい怜なんて怜じゃ…。…アリじゃない？
船Ｑ,いやホンマもう黙っといてください。まあとにかくやる事は二つですわ。一つ目は本当に園城寺先輩の胸が大きくなったかを確認する事。二つ目はもし大きくなってたらその手段を聞く事
竜華,そして怜が浮気してるかどうかを確かめる事や！これが一番重要やで！
船Ｑ,はいはいそうですね、じゃあそれも追加で
セーラ,つってもどないするん？直接問いただすんか？
泉,素直に答えてくれますかねぇ…
竜華,直接なんてアカン！もし怜の口から浮気してるなんて言われたら…。…もうこの太ももに怜の頭を貼り付けるしか
セーラ,手段が猟奇的やなオイ！
泉,めっちゃ歩きづらそうですね…
船Ｑ,じゃあ一人ひとり意見を聞いていきましょか、まず泉から
泉,ウチですか！？いきなり言われても困りますけど…。そうですねぇ…ありきたりですけど海に誘うとかどうですか？。合法的に水着を見れますしなにより着替えてるとこも見れるじゃないですか
船Ｑ,えーと、海に誘う･･･と
セーラ,いやいや、もう流石にそんな時期じゃないやろ…二色ノ浜でも開いてないで
泉,あ、やっぱそうですかね
船Ｑ,まあそこらへんは温水プールでも代用できますし、ええ案やと思いますけど。じゃあ次は江口先輩、なんかあります？
セーラ,うーん…直接聞くのが一番やと思うんやけど…
竜華,
セーラ,なら一緒に写ってる人らに聞いたらどう？直に見てるんやから違和感あれば教えてくれるとおもうんやけど
船Ｑ,ほうほう、それはいいですね
セーラ,へへっ、せやろー
船Ｑ,じゃあ…、一応聞きますけど先輩は何か？
竜華,怜のおもち…なかなかのなかなか…えへへ、怜ぃ…
泉,こわっ！！
船Ｑ,はい、じゃあないということで二人の案を採用しようかと…
怜,ごめんごめん、お待たせー
セーラ,と、怜！？
船Ｑ,泉ポスター隠して！
泉,は、はい！
怜,ん？もしかしてミーティング中？
セーラ,い、いやぁ、ただの雑談や
怜,ふ～ん
船Ｑ,どうですか？見た目なんか変化あります？
セーラ,特別おっきいようには見えへんけど…
泉,やっぱり着やせするタイプなんですかねぇ
怜,ちょ、目の前でヒソヒソ話とか感じ悪いで
船Ｑ,ああすんません、ちょっとね…
怜,なんや内緒話か？ウチの悪口でもいっとるんやろー
泉,そ、そんなんちゃいますって！
怜,あれ、泉それなにもってるん？
泉,！？！？！？！。こ、これはぁ～…
船Ｑ,泉！耐えて！
セーラ,絶対見られたらアカンで！
怜,なんで後ろに隠してんの？ウチにもみしてーな
泉,これはですねぇ…そのぉ…。無理！無理です船久保先輩！
船Ｑ,…しゃーない。いや実はですね、泉が自分で書いてきた漫画を持ってきたんですけど
泉,え？
怜,マジで！？ウチにもみしてー
船Ｑ,その内容が…。クッソ汚いホモ漫画なんですよ！
泉,えええええええええ！？
怜,へ、へぇ…泉にそんな趣味が…
船Ｑ,ええ、まったくですよね
泉,ちょ、いや、あの
セーラ,いやウチらもドン引きやったんやけどな、これはちょっと怜には見せられへんなぁって話しとったんよ
泉,江口先輩！？
怜,ま、まあ趣味は人それぞれやし…別にウチは気にしてへんよ
泉,はい…もうなんでもいいです…
船Ｑ,で、園城寺先輩もどうですか？
怜,い、いやぁ…ウチはちょっといいかな…
泉,やっぱり引いてるじゃないですかぁ！
セーラ,泉…後でなんかおごっちゃるからな…
怜,ま、まあところで竜華は？
船Ｑ,そこでうずくまってますけど
竜華,
怜,うわっ、暗…おーい竜華ー？
竜華,ｳﾌﾌ…怜の声が聞こえる…私を迎えに来てくれたんやね…
怜,いや迎えに来たというかなんというか
竜華,怜ぃ！
怜,ちょっ！いきなりどうしたん
竜華,
怜,んんっ･･･！
船Ｑ泉セーラ,直接いったーーーっ！！！？？
竜華,……
怜,やっ、りゅうかぁ、いきなりっ
竜華,……
怜,んんんっ、ちょっ、アカンてっ
竜華,…同じや
怜,ふぇ…何が…
竜華,胸の大きさが前と同じや！！
怜,当たり前やろっ！！
竜華,痛っ！なにするんよ怜ー
怜,それはこっちのセリフや！セクハラはウチの専売特許やろ！！
船Ｑ,いや、それもどうかと思いますけど
怜,で、どういうことなん？
船Ｑ,実はですね…
怜,あ、あのポスター見たん…？
竜華,ちゃんと保存用と観賞用と使用用に3枚買ったから！！
セーラ,使用用ってなに？
泉,…江口先輩はそのままでいてください
セーラ,？？？
船Ｑ,まあ正直失礼な話なんですけど、流石に盛りすぎちゃいます？
怜,ちゃ、ちゃうんよ！あれはなんというか…
竜華,やっぱり浮気か！ウチ以外の子に揉ませてたんか！
怜,竜華以外に揉ませるわけないやろ！
竜華,怜…
怜,竜華…
船Ｑ,なんですかこれ
泉,で、実際のところはどうなんですか？
怜,いやぁ、ほら、ちょっと前にあれでたやん？マウスパッド
竜華,ああ、ウチと怜のやつやったっけ？
怜,そうそう、アレ作ってる人がやべぇ、盛りすぎた。んで今までとった写真やと正面向いてるのがなくて。この際やからこのサイズにしようってことになって…。…別にちっちゃくないやんな？
竜華,むしろウチ的にはジャストサイズやで？
船Ｑ,まあ普通ですよね
せーら,ウチより大きいやん
泉,私よりも…
怜,まあそんなわけで実際にはそんなもんやっちゅー話やな
セーラ,なーんや、竜華が一大事っていうから何事かと思ってたわ
泉,大きくなる秘訣を教えてもらおうと思ったんですけど…
怜,そんなんあったらウチが教えて欲しいくらいやわ
船Ｑ,まあまあ、なんもなくてよかったやないですか、ねえ先輩
竜華,ウチは最初から怜を信じとったよ！
セーラ,
泉,
船Ｑ,
怜,。なあ竜華…やっぱりみんな平等であるべきやと思うんよ
竜華,と、怜？いきなり何ゆってんの？
船Ｑ,そうですね、先輩一人ってのは不公平ですよね
泉,みんなに分け与えるってのが部長と思いますよ
セーラ,まあこれも部長の定めってやつやな
竜華,ちょ、皆手つきがやらしい…あれ？これピンチ？
怜,素直にそのおっぱいを明け渡すなら軽めで許したる
竜華,それ結局やってるやん？4人の軽めっておもすぎってレベルじゃないやん？
怜,問答無用！おっぱいよこせええええええ！
竜華,や！ちょ！ひにゃあああああああああ！！
哩,のう花田
煌,なんですか部長？
哩,これ…かなり盛ってねか？
煌,……
哩,どっち向いとる
煌,その質問は…すばらくないですね…
哩,お前…
煌,いいじゃないですか…初めてポスターになったんですから…ちょっとくらい
哩,まぁ…気を落とさんごっに
煌,はい…
照,……
菫,おい照、このポスター…
照,何も…言うなっ…
菫,…すまん
