モバP(以下P),正反対だったら
ちひろ,まーたこの人は、仕事中に訳の分からない事を……
P,いや、そんな事言わずに聞いてくださいよ。うちのアイドル達って皆個性的じゃないですか
ちひろ,たまに個性が爆発してる子もいますけどね
P,良くも悪くもそんな個性が受けてる昨今。もし、その個性が正反対だったり、別方向だったりしたらどうなるかなってふと思ったわけです
ちひろ,ほう、それは少し面白そうですね。まぁ、溜まってた仕事が片付いて少し暇なのでプロデューサーさんの戯言に付き合ってあげましょうか
P,ありがとうございます。そういうなんだかんだノリの良いところ好きですよ
ちひろ,そ、そんなお世辞はいりませんから早くその脳内に溜まった妄想を吐き出してください！///
P,そうですねぇ……例えば
菜々,おっはようございまーす！
P,本当に17歳で墓穴を掘らないウサミンとか
菜々,藪からスティックになに朝から失礼な事言ってるんですか！ナナは墓穴掘ったことありませんし、正真正銘の17歳です！
P,ソウダネ
菜々,心がこもってないです！
P,それでですね
菜々,無視⁉。ウサミン星からやってきた安部菜々、17歳です☆ウサミン星は、実は月の裏側にあるんですがウサミン星の化学力で皆に見つからないように隠れてるんです！。今日のライブが楽しみで徹夜しちゃいましたけど、若さでカバーしちゃいますよ！
P,みたいな？
ちひろ,すごい……墓穴を掘らない菜々さんの違和感がやばいです！プロデューサーさんの妄想なので若干古さが隠し切れませんがそれでも若さに満ち溢れていることを感じます
菜々,だ、だから菜々は墓穴を掘りませんし17歳ですってば……！
P,菜々さん、夢のクレヨン王国のOPってなんて名前でしたっけ
菜々,ン・パカマーチですか？あれって、妙に耳に残るんですよねぇ。なつかし……くないです！たまたまYouTubeで見たんで知ってただけです
ちひろ,それでこそ菜々さんです
※夢のクレヨン王国の放送期間は1997年,平成9年
P,とまぁ、こんな感じです
ちひろ,大体わかりました。もし上手くハマればアイドルの子たちを別の方向性で売り出せるかもしれませんね
P,そういう事です。では、次行ってみましょう
菜々,ナナにはフォローなしですか⁉
P,……自分に自信のない幸子
ちひろ,ほほう？
幸子,ボ、ボクは可愛くないですしひんそーでちんちくりんです……。ラ、ライブとか失敗したらどうしましょう……！こんなボクは、穴を掘って埋まってた方がいいんです！
ちひろ,これはいけません。レギュレーション違反です
P,ダメですか？
ちひろ,ダメと言うか、これって完全に765プロダクションさんのあのアイドルですよね？
P,まぁ、可愛いのに自信が無いアイドルって言うとどうしてもその子が浮かんじゃいますからね。……でも、自信のない幸子もよくありませんか？こう、ワシャワシャ撫でて精いっぱい励ましたい
ちひろ,一理ある。プロデューサーさんの妄想力も中々なものですね？
P,でしょう？私の妄想力は53万です
ちひろ,どこの宇宙の帝王ですか。馬鹿な事言ってないで次行きましょう、次
P,ちひろさんも段々乗ってきましたね。それじゃあ
卯月,おはようございます！島村卯月、今日も頑張ります！
P,頑張らない不真面目しまむー
卯月,ふぇ⁉な、何の話です？私、不真面目でしたか⁉
P,ああ、ごめんごめん。そうじゃないんだ。実は、かくかくしかじかで
卯月,しましまうづうづですね！理解しました！
P,それじゃ、不真面目なしまむーまで３、２、１
卯月,あ、そこは私がやるんですね。え、えーと、その……
P,……
ちひろ,……
卯月,し、島村卯月頑張りません。えーと、その……ワ、悪い子なのでレッスンもさぼっちゃいますよ！。あと、そのお酒……はダメなので炭酸とかたくさん飲んじゃいますよ！
P,ふぅ……大天使ウヅキエルの御姿が見れたので、もうこの世に未練はありません。ちなみに、卯月と菜々さんはレッスンに行きました
