何！？今日は紗枝はんの誕生日だと！？,カン☆コーン
紗枝,けほっ・・・こほっ・・・。・・・。寂しいなぁ・・・。？誰やろ？。周子はん！けほっ・・・
周子,思ったより元気無さそうやね
紗枝,風邪なんかひくんえらい久しぶりやからなぁ・・・
周子,ほい、差し入れ
紗枝,あ、助かるわぁ・・・丁度なーんもあらへんとこやってん
周子,あんまり食欲無いかなーって思ってさ
紗枝,ほんまおおきにﾀﾞｷｯ
周子,おーよしよしﾅﾃﾞﾅﾃﾞ。んじゃあたしもう行くね
紗枝,けほっ・・・もう行ってまうん？
周子,ん～・・・手渡したらすぐ帰れって言われてるんだよねぇ・・・うつるからって
紗枝,そらしょうがあらへんなぁ
周子,んじゃ！回復したら改めて誕生日パーティやるからってさ
紗枝,おおきにな～・・・けほっけほっ。こほっ・・・。・・・寝よか。？今度は誰やろ？
？？？,・・・。・・・
紗枝,友紀はん？
友紀,やっほー！紗枝ちゃん
紗枝,おばんどす友紀はん・・・そちらの方は？
？？？,・・・ふっふっふっふ
幸子,ボクです！ﾄﾞﾔｧｧｧｧ
紗枝,幸子はんやったんかぁ・・・せやけどその恰好は？
幸子,これですか？カワイイボクが外に出ると目立つので変装です！
友紀,悪い意味で目立ってたけどね
紗枝,あかん方で目立っとったんやろなぁ
幸子,まぁ管理人の方には無言でお腹にパンチを食らいましたがそれだけボクの変装が完璧ってことですね！
紗枝,けほっ大丈夫やったん？
幸子,・・・あれくらいジャングルの奥地で謎の召喚儀式の生贄にされるよりマシです
友紀,幸子ちゃん本当に強くなったね・・・涙
幸子,それはともかくボク達からの差し入れです！
紗枝,おおきになぁ
友紀,良かったら今からうどん作ろうか？
紗枝,有難いけど今から寝よかと思とったとこやねん
友紀,そっか！じゃあ早く元気になってね！
幸子,もう本当に番組で友紀さんの面倒ボク一人で見るの辛くて・・・だから早く帰ってきてください
紗枝,あはは・・・こほっ。・・・。プロデューサーはん！？。いやええねんけどどないしはったん？。けほっ・・・今開け・・・・・・・・・・・・。・・・。１時間くらい待っといてぇなこほっ
モバＰ,で、食欲は？
紗枝,あんまりあらへんわぁ
モバＰ,とりあえず体温まるもんがいいな・・・冷蔵庫の中見るぞ？
紗枝,けほっ・・・かまへんよ
モバＰ,・・・何だこの充実のラインナップ・・・俺持ってきた食材がほとんど被ってる。とりあえずまず果物だな・・・桃とみかんの入った缶詰開けておいたから先に食べてろ
紗枝,おおきになぁ
モバＰ,少しはマシになったか？
紗枝,ちょっとだけ元気になったわぁｷｭ～
モバＰ,食欲があるってことは良い事だ。ほれ
紗枝,ほな頂きます♪
モバＰ,生姜も入ってるから暖まるはずだ
紗枝,ほんま暖かいわぁ
モバＰ,極めつけはこれ
紗枝,しょうが湯？
モバＰ,飲んで寝れば完璧だな
紗枝,ちょっと眠たぁなって・・・
モバＰ,そのまま横になって寝るといいさ。後片付け終わったら俺も帰るから
紗枝,ん～・・・。プロデューサーはん？
モバＰ,ん～？
紗枝,背中拭いてくれへんやろか？
モバＰ,。なにやってんのぉぉぉ！？！？
紗枝,？？？うち汗かいてもうて気持ち悪いさかい拭いてもらおかと？
モバＰ,紗枝顔赤いぞ！熱上がってるだけじゃねぇの！？
紗枝,ほならはよぉ・・・うち身体硬いさかい届かへんしこのままやと寒いわぁ・・・
モバＰ,いや・・・無理無理無理無理無理
紗枝,ほ～？どないしはったん？なぁ・・・はよぉ～・・・
モバＰ,。・・・・・・・・・・・・・・・・背中だけだぞ
紗枝,おおきになぁ
モバＰ,うわっ・・・華奢で肌すべすべ・・・髪サラサラだし・・・いい香りが・・・
紗枝,お母はん思い出すなぁ・・・
モバＰ,耐えろ！耐えるんだ！！今はまだ私が動く時ではない！！！。疲れた
紗枝,なぁプロデューサーはん・・・
モバＰ,ん～・・・ぐったり
紗枝,寝るまで手ぇ握っててもろてええ？
モバＰ,まぁそれくらいなら
紗枝,おおきにな・・・。すぅ～・・・
モバＰ,・・・まだ１５歳で一人暮らしだもんな。そりゃ寂しくもなるか・・・
紗枝,んっ・・・すぅ～・・・
モバＰ,さて・・・俺も帰るとする・・・ん？。・・・。マジか。指一本ずつそ～っと・・・。・・・。俺も疲れた・・・寝るか
紗枝,すぅ～・・・。ん・・・んんぅ・・・
モバＰ,ｚｚｚ・・・ｚｚｚ・・・
紗枝,。ｷｭ～
