同僚,お、今日は愛妻弁当か。いいなぁ～
男,いいだろぉ～。……あれ。いつもはご飯に梅干し乗せてくれてるのに、今日は乗ってないな。！。どこからともなく、ご飯の上に梅干しが飛んできた……。……ん。こんな季節にハエか……うっとうしいな。シッ、シッ！。！。ハエが狙撃されて、砕け散った……
新人女,せんぱ～い、これ分からないんで教えて下さぁい
男,ああ、これはね……
新人女,あぁ～、そうなんですかぁ～。ありがとうございますぅ～
男,ちょ、近いって……香水の匂いが……。いでっ！。あうっ！はうっ！？
新人女,？
男,柔らかい弾が、僕に向かって何発も……！。ただいまー
嫁,お帰り
男,……今日も僕のことを狙撃銃で狙ったろう
嫁,なんのことだ？
男,とぼけちゃって……。ああそれと……その迷彩柄のエプロン、よく似合ってるよ
嫁,！……あ、ありがとう。夕食の支度をするから、少し待っててくれ
男,うん
嫁,スープの中に……砂糖を発射！。続いて、塩を発射！
男,狙撃銃使わずにフツーに作りなよ！
嫁,この方がおいしく出来上がるものでな……。どうだ？
男,…………。うん、おいしい！
嫁,本当か！。祝砲！。祝砲！
男,ちょっ、やめて！。そろそろ寝ようか。電気消そう
嫁,ならば、狙撃で電気のスイッチをオフにしよう
男,なんて便利なんだ……。君の狙撃銃は、何でも飛ばせるし、何でもできるんだね
嫁,ああ、昔は銃弾しか飛ばせなかったが、そのように改造したからな
男,どう改造したらそうなるんだか……。しまった、寝坊した～！
嫁,あれほど起こしたのに……！
男,今日は遅刻するとまずいんだよなぁ、会社の健康診断もあるし……
嫁,…………。だったら、あれしかないな
男,あれって？
嫁,この大砲で、あなたを会社に狙撃する
男,……え
嫁,さあ、砲の中に入れ
男,入れって……たしかドラえもんの道具でこんなのあったけどさ……
嫁,会社は……あっちの方角だったな。点火！
男,あの、まだ心の準備が……
嫁,発射！！！
男,うおおおおおおおおおおおおおおおおおおっ！！！。おお……？。空気抵抗やらなにやらで、砲弾になってる僕がどんどん減速して……。着いた
課長,おはよう。今日はずいぶん早いねえ
嫁,たまには二人でショッピングというのもいいものだな
男,うん、このところ忙しかったしね。どれ、洋服でも買うかい？
嫁,いいのか！？ならば、新しく出た迷彩色の――
後輩,先輩！。よかった、先輩が近くにいて助かりました！
嫁,なんの用だ？
男,この人は、特殊部隊時代の後輩か……
後輩,実は、立てこもり事件が発生しているんです。犯人は体にダイナマイトを巻いており、一触即発の状況で……。どうしても先輩の力をお借りしたいんです！
嫁,私はすでに引退した身、しかもこの通りデート中なんだが……
男,いいじゃないか。手伝ってあげなよ
嫁,あなたがそういうなら……
後輩,ありがとうございますっ！
嫁,詳しい状況や犯人の位置を話してもらおう
後輩,はいっ！
嫁,じゃあ、狙撃銃貸して
後輩,ど、どうぞ！
嫁,発射。終わった。返す
後輩,え！？
男,え！？
後輩,！
嫁,ほらな？
後輩,あ……ありがとうございますっ！
男,せめて見て撃ってあげなよ……なんだか犯人が可哀想になる
嫁,すまん……
男,嫁さんは、かつて所属してた特殊部隊に未だに頼られてて、狙撃の指導をすることもある
後輩,はっ！。くそっ、わずかに中心から外れた！
嫁,今外れたのは姿勢が悪かったせいだ。どれ、私が直してやろう
後輩,お願いしますっ！
嫁,まず、もっと腰はこう……ギュッとして！
後輩,こ、こうですか？
嫁,両眼でしっかりターゲットをビッと見て、腕はこうバーッとする！。そして、ガッと引き金を引くのだ！グワッと！
後輩,は、はぁ……
嫁,コラ！もっと腰はグンッといったろう！グンッ！
後輩,さっきはギュッていってましたけど……
嫁,そんなこといってないぞ！さあ、もっと腰をギュルッと曲げて……
男,教えるのはヘタクソなようだ……。ふぅ……
嫁,どうした？元気がないな
男,実は……この前の健康診断で再検査しなきゃいけないことになって……
嫁,再検査……！
男,まあ、何でもないと思うんだけど、ちょっと憂鬱でね
嫁,その通り！絶対何でもない！病気なんか私が狙撃してやる！
男,おかげで元気出たよ。ありがとう
嫁,それは何よりだ
医者,精密検査の結果、ご主人の脳に腫瘍が見つかりました。手は尽くしますが、今の状態が続くと、余命はあまり長くないかもしれません……
男,…………
嫁,そんな……！何とか、何とか取り除けないのか！？
医者,手術では取り除けないデリケートな箇所に出来ており……外科的な措置はまず不可能です。しかし、投薬や他の治療法を試してみましょう。決して希望は捨てないで下さい
男,分かりました
嫁,くっ……！。…………
男,どうしたの？今度は君が元気をなくしちゃって
嫁,夫が長く生きられないといわれて、元気をなくさない妻がどこにいる！
男,夫の遺産目当てで結婚した妻なら、あるいは
嫁,冗談をいってる場合か！
男,ごめんごめん
嫁,みんな、私を“狙撃手”と見る中、あなたははじめて私を“女”として見てくれた男だった。おじいさんおばあさんになるまで、ずっと一緒だと思ってた。それなのに……！
男,泣かないで
嫁,！
男,大丈夫……僕は死なないよ。お医者さんも言ってたろう？希望を捨てるなって。絶対助かってみせるから……
嫁,……うん
医者,こちらがご主人の最新の脳の画像です。腫瘍の大きさは変わっていません。それどころか、より悪質なものに変性しています
男,そうですか……
嫁,…………
医者,しかし、他にも治療法はあります。決して諦めず――
嫁,あ、あのっ！
医者,なんでしょう？
嫁,もう一度、今の画像を見せてもらえるだろうか。出来れば色んな角度から
医者,？かまいませんが……
嫁,…………
男,どうしたの？
嫁,ドクター、頼みがある
医者,なんでしょう？
嫁,この腫瘍の除去……私にやらせてもらえないだろうか
医者,はい？おっしゃる意味が――
嫁,私が狙撃でこの腫瘍を取り除いてみせる！
医者,は！？。なにいってんです！？狙撃で……って。外科手術で取り除くのは無理だと、何度も説明したでしょう！
嫁,この画像を見ると、この角度から極めて小さい弾丸で腫瘍を狙えば。脳を傷つけずに腫瘍を取り除ける可能性がある
医者,奥さん、落ち着いて下さい。ヤケになってはいけません。今すぐ死ぬわけではありませんし、他にも治療法はあるのですから――
男,……いいかもしれない
医者,ちょっ！？。なにいってんの！？。狙撃で脳腫瘍を撃ち抜くなんて聞いたことがない！。一ミリでもずれたら、どころのレベルじゃないんですよ！？まず即死、最低でも脳死！。ただの自殺――いや殺人だ！断じて認められるわけがない！
嫁,頼む、ドクター
男,お願いします、お医者さん
医者,…………！。夫婦揃って、私を撃ち抜くような目つきしやがって……。……いいでしょう。ただし、くれぐれも自己責任でやって下さいよ
嫁,むろんだ
男,ありがとうございます
医者,ああ……なんで許可しちゃったんだろ私。では、麻酔医を呼んできますので……
男,いや、麻酔はいりません。立ったままで狙撃を受けたいので
医者,はぁ！？
