モバマスより小日向美穂,たぬき
美穂,ん……ぅ……。ふぁあぁ～……。おはよぉ、プロデューサーくん。え、と……着替えて……今日はお昼から収録が……。おはよう、みんな
蘭子,煩わしい太陽ね！
響子,朝ごはんもうできてますよ！さっそく食……べ…………
蘭子,？……！？
紗枝,はてぇ？
由愛,あ、あれ……？
美穂,え？み、みんなどうしたの？私の顔に何か付いてる？
周子,いや……付いてるってか、付いてないってか
みく,ね、ねぇ美穂チャン。アホ毛、どこいっちゃったのにゃ？
美穂,アホ毛……って、え？。！！？。な、無い！？なんでっ！？
菜帆,あらほんと～……お布団に置いてっちゃったのかしら～？
芳乃,ふむー
菜帆,芳乃ちゃん、何か知ってるんですか～？
芳乃,さきほど玄関先で掃き掃除をしておりましたところー、なにやら天翔けるものがー。黒いぶーめらんの如きものでしたがー……もしやあれこそがー
美穂,飛んでっちゃったの！？どどど、どうしよう～っ！！
響子,アホ毛って飛ぶんだ……
由愛,知らなかった……
美穂,芳乃ちゃんっ！それってどこに飛んでったの！？
芳乃,北東ー……事務所の方角でしてー
美穂,お、お、追いかけなきゃ！！
響子,あ、でも朝ごはん、えと……そうだ！おにぎりにしますね！
みく,みくＰチャンに電話してくるにゃ！
周子,すぐタクシー呼ぶわ！
美穂,うぅう、無いってわかったら急に気分が……
蘭子,魔力の枯渇か！？
美穂,だ、大丈夫。でもなんだか、頭とおしりがむずむずするような……
芳乃,今一度、気配を探ってみるのでしてー。むむん。これはー……事務所に着いてしまったようですー
周子,やっば。なんかわからんけど、早いとこ捕まえなきゃマズい気がする。美穂ちゃん、あたしも付き合うわ。芳乃ちゃんも来てくれる！？
芳乃,無論でしてー
Ｐ,――と、今日のスケジュールはざっとそんな感じになってる
奏,わかったわ。今日も楽しませてね、プロデューサーさん？
Ｐ,おう……ん？みくから電話だ。はいもしもし。どうしたそんなに慌てて……。……美穂のアホ毛が飛んでいったぁ？？
奏,……？
Ｐ,ハハハこやつめ。ギャグにしても脈絡ってものをだな
奏,ねえ、窓の外に何か……。あﾞ
Ｐ,奏ーッ！？。アホ毛が窓突き破って奏の頭に刺さった！！。と、とにかく一旦切るぞ！――奏、大丈夫か！？
奏,ぅ……ん、大丈夫、なんともないわ
Ｐ,ちょっと見せてみろ！ええと、前髪の生え際に刺さって……。……ない？傷一つ無いし、普通に髪として生えてる感じが……
奏,ええ。どこも痛くないし、気分も悪くはないけど――
Ｐ,どうした？やっぱりどこかマズいのか？
奏,いえ……言ったでしょう？気分は悪くないの……けど……。……不思議だわ。彼って、こんなに……その……魅力的だったかしら？
Ｐ,って、なんか熱っぽくないか？一回病院行った方が……！
奏,心なしか声も、匂いも……いつもより、響いて……。ごめんなさい、やっぱり少し体が熱いかもしれないわ……
Ｐ,やっぱりか。くそっ、よくわからんがこのアホ毛のせいなのか……？
奏,かも、しれないわね
Ｐ,んお！？
奏,プロデューサーさん。熱、測ってくれるかしら……？
