友紀,幸子ちゃん誕生日おめでとー！
幸子,フフーン！世界一カワイイお誕生日様の凱旋ですよ！
まゆ,お誕生日おめでとうございます幸子ちゃん
幸子,ありがとうございます。皆さんの太陽輿水幸子の生誕祭にお集まり頂きありがとうございます！
輝子,い、いつにも増して絶好調だな…あ、おめでとうございます
幸子,ご丁寧にどうもありがとうございます。でも耳元でクラッカーはやめてくださいキーンてしますので
小梅,お誕
幸子,えっ何ですか全然聞こえません！
紗枝,おめ
幸子,淡泊っ
あの子,お誕生日おめでとうございます。これからも元気で明るく健やかでいてください。いつも応援してます
幸子,丁寧っ
楓,乾杯～♪
幸子,未成年ですよ
りあむ,えっ？なにこれ何の騒ぎ？誰かやらかしたの？
幸子,把握すらしてない
時子,豚
幸子,輿水家の幸子です
紗枝,幸子はん幸子はん
幸子,はい？
紗枝,おめ
幸子,淡泊ゥ！
卯月,祭りの場所はここですか！
幸子,腕白ゥ！
モバＰ,以降Ｐ表記。アデュー
Ｐ,それじゃあお先に失礼します
ちひろ,あ、ちょっと待ってくださいプロデューサーさん
Ｐ,えっ？何ですかもうすぐアサルトタイムなんですけど
ちひろ,そんなの後で芳乃ちゃんにハイパークロックアップしてもらってください
Ｐ,お前うちの可愛い芳乃を何だと思っとる
ちひろ,明日は幸子ちゃんとデートに行くんですよね？
Ｐ,デートて。お誕生日様をしこたま祝うだけですよ
ちひろ,参考までに、明日はどのようなプランで？
Ｐ,プライバシーという言葉をご存じですかなチッヒさんや
ちひろ,今度奢りますから
Ｐ,まずは秘境グンマーにあるというまだ人の手が入っていない未開の洞窟に…
ちひろ,出だしからアウトです
Ｐ,失礼な！ちゃんとその後は海底神殿、天空の城と巡る予定ですよ！
ちひろ,陸海空揃えろって問題じゃないです。はぁ…まともなデートプランも立てられないんですかこの人は。無駄に女たらしの癖に
Ｐ,ハハッ人にデートとはどうあるべきかを説けるほど経験がおありとは知りませんで痛い痛い小刻みなローキック痛い
ちひろ,念の為に聞いておいて正解でしたねこれは。…ちょっと耳貸してください。いいですか？ゴニョゴニョゴニョ…
Ｐ,うんうん…なるほど、大体わかった
ちひろ,大丈夫ですか？ちゃんと出来ます？
Ｐ,お安い御用ですよその程度。幸子の手を捻るようなものです
ちひろ,お誕生日様捻るなや
凛,あれ、プロデューサーの匂ゲフン姿が見えないけど
未央,忘れたの？今日はさっちーのお誕生日お祝いデートに行くって言ってたじゃん
凛,ああそうだったっけ。ごめん、つい不都合な記憶だったから消しちゃってた
未央,くれぐれも邪魔しちゃ駄目だからねー？お誕生日様はその日一日エグいぐらい甘やかされるのが３４６プロのルールなんだから
凛,・嫌だな、それくらいちゃんと弁えてるって
未央,今まさにプロデューサーに電話かけようとしてなきゃ信じられたんだけどなぁ
凛,未央はいいよねえ、つい最近もシンデレラガール祝いでプロデューサーと２人きりでお出掛けしたらしいし
未央,し、しぶりんだって３代目お祝いでナンジャタウン行ってたでしょ！？
凛,やだ！私も未央みたいにもっとムーディーな場所に行きたかった！。…。…ところでさ
未央,うん？
凛,頭の上に乗っかってる小っちゃい卯月は何？
未央,えっ？お出かけしようとするプロデューサーに駄々捏ねたからよしのんに教育的指導されてしまむーだけど
うづき,ｼﾏｰｯ
Ｐ,へーちょ。う～…凛と未央あたりが噂してんのかな。…。今日一日幸子おちょくり禁止かぁ…。……自信無いなぁ
幸子,フフーン！ボク、参上！
Ｐ,おはよう幸子。お待たせ
幸子,プロデューサーさんの方が早く来てるじゃないですか。待ち合わせした時間より随分早いですよ？
Ｐ,そりゃあデートに遅刻するようじゃ紳士失格だからな
幸子,まぁこれくらいは当然ですけどね！曲がりなりにもボクと一緒にお出掛けするんですから
Ｐ,それはそうとして一つ聞いてもいい？
幸子,はい？
Ｐ,そのゴツいリュックは何なん？
幸子,もちろんいつものサバイバルアイテム一式ですけど
Ｐ,いらんて
幸子,えっ？……ああ、確かに最低限ナイフ１本あればどうにでもなりますしね
Ｐ,いらんいらん
幸子,えっ……流石に１からナイフは作れませんよ。製鉄スキルはまだ持ってませんし
Ｐ,いいから取り合えず着替えてきなさい。どこの探検隊だよその恰好
幸子,はい？どこぞの秘境の洞窟に行くんじゃないんですか？
Ｐ,行きません
幸子,…あ、海底神殿？
Ｐ,行かんて
幸子,まさかの天空の城ですか！
Ｐ,その果て無き冒険スピリッツは何なん！？
幸子,着替えたボク、再び参上！
Ｐ,うん、おかえり
幸子,フフーンどうですかプロデューサーさん。滅多に見られないカワイイボクのカワイイプライベート私服姿に何か言う事があるんじゃないですか？
Ｐ,そのワンピース、前に遊園地に行った時の色違いか。ああヘアピンと合わせてるんだな。良く似合ってるよ
幸子,…なーんてどうせプロデューサーさんの事だからすぐにからかったりせずに的確に気付いてくれて褒め……え？
Ｐ,その帽子はこの前買い物に付き合わされた時に買ったやつか。結局そっち選んだんだな
幸子,えっ、えっ？
Ｐ,うん？どうした？
幸子,え、あの…プロデューサーさん、どこかお加減が？
Ｐ,健康診断で医者がキレるくらい健康だけど
幸子,…。さてはドッキリですね！？
Ｐ,いつも頑張ってくれてる娘の誕生日にそんな事しないっての
幸子,…。ほ、本物のプロデューサーさんはどこですか正体を現してください！
Ｐ,正真正銘お前のプロデューサーご本人だよ
幸子,う、嘘です本物のプロデューサーさんなら疑り深い輿水は横ハネペッタンコの刑に処すでごぜーますよ
Ｐ,地味に傷つくけど日頃の行いだと真摯に受け止めておこう
幸子,…何を企んでいるんです？
Ｐ,お誕生日の幸子を祝う気持ちしか無いよ
幸子,……それはそれで何か気恥ずかしいですね
Ｐ,素直に褒めたんだから照れ隠ししないで素直に受け入れなさいな。あ、日頃の行いか
幸子,じゃあつまり今日一日プロデューサーさんはボクに絶対服従という事ですよね！よぉし日頃の恨みぃ！
Ｐ,俺たちの日頃って一体
幸子,さぁさぁ行きますよ！ボクを独り占め出来る貴重な時間は１分１秒だってプライスレスなんですから！。フンフンフフーフンフフーン♪フフーンフフーン♪
Ｐ,ご機嫌な様子で何よりでごぜーますよ
幸子,そう言えばプロデューサーさん、今日は珍しい服装ですよね
Ｐ,そうか？え、変？
幸子,まぁスーツ姿じゃないってだけで大分違和感ありますけど…何というか今日はその…何といいますか
Ｐ,あくまで主役は幸子なんだし全体的にシックに且つ幸子の隣を歩くのだからフォーマルでスマートな中にもムーディーに仕上げてみたんだけど
幸子,ちょっと何言ってるのか分かんないんですけど
Ｐ,え、変？
幸子,変じゃないですけど、いやよくお似合いなんですけど…何でしょう、落ち着かないというか何というか
Ｐ,ちょっと何言ってるのか分かんないけど、幸子の御眼鏡に適ったのなら何よりだよ
幸子,…
Ｐ,どうした？行かないのか？
幸子,やっぱり何か企んでますね！？
Ｐ,あ、すいませんタピオカミルクティー２つ。激甘と里美スペシャルで
幸子,聞いてくださいっ！
Ｐ,別に何も企んでないっての。ほら幸子の分
幸子,…本当ですか？
Ｐ,本当だよ
幸子,本当に本当ですか？
Ｐ,本当に本当に本当に本当にライオンだよ。ハハッ幸子絶好調だなぁ。爆甘っ！！
幸子,何やってるんですかもう…。糖分の暴力っ！！。さぁ！今日一日しっかりボクに付いてきてくださいねプロデューサーさん！
Ｐ,ハッハッ幸子が楽しそうで何より
幸子,…で、まずはどうしましょう？
Ｐ,付いてこいと言った直後なのに
幸子,も、もちろん前々から今日の予定は色々と考えていたんですよ！？ショッピングとか映画とか遊園地とかナンジャタウンとか…
Ｐ,流石に今日一日で全部は無理じゃね？
幸子,…い、移動時間を限りなく０に出来れば何とか
Ｐ,遊園地とか遠出はまた今度付き合ってあげるから。今日一日でそんな無理やり詰め込まなくてもいいだろ
幸子,そんな事言って次はいつ遊びに連れて行ってくれるか分かったもんじゃないじゃないですか！
Ｐ,そこは悪いとは思うけどオッサンだって忙しいんだよ
幸子,フーン、毎日女性をとっかえひっかえですもんねぇ
Ｐ,アイドルプロデュースと言いなさい
幸子,…まぁ仕方ないですから遊園地はまた今度にしてあげます。ボクの心はこの地球より広いですからね
Ｐ,あれ、さっきより若干心狭くなってない？
幸子,じゃあまずは映画ですね映画！デートげっふん！お出掛けの定番中の定番ですしね！
Ｐ,了解。幸子は何が観たい？
幸子,そうですねぇ…やっぱり最近話題のこれですかね
Ｐ,ああ泰葉のドラマの劇場版か。よし行こうか
幸子,当然ここはプロデューサーさんの奢りですよね？
Ｐ,勿論でございますお誕生日様
幸子,あ、ポップコーンはキャラメル味でお願いしますね
Ｐ,お飲み物はホットココアで宜しいでしょうかお誕生日様
幸子,フフーン♪
Ｐ,横ハネがピコピコしとる…分かりやすい奴め
幸子,…ヒック、グスッ……ふぐぅ……
Ｐ,騙された…序盤あんな茶番劇だったのに…何なんだあの感動巨編は
幸子,よかった…本当によかったです…ハッピーエンドで終わって…
Ｐ,芸歴探偵ＶＳ怪盗フゴフゴ、これは後世に残る名作になるな
幸子,ＤＶＤとブルーレイ絶対買います…
Ｐ,俺もだ。…ほらスタッフロール終わったぞ？涙拭いて鼻ちーんしなさい。はいティッシュ
幸子,グスッ…ティッシュどうも…。はぁ…こんなに泣いたのは久しぶりです。特殊部隊の訓練を受けた時に味わった催涙弾より泣けました
Ｐ,俺も年甲斐も無くグッと来ちゃったよ…きっとこの作品は長くシリーズ化するな
幸子,…あ、ボクちょっとお花を摘みに。プロデューサーさんは先に出ていていいですからね
Ｐ,ん。パンフレットは？
幸子,ボクの分もお願いします
Ｐ,はいよ
