島村卯月,お、おはようございますっ！
Ｐ,おう、卯月。おはよう。ずいぶん早いな。今日の番組収録まで、まだまだ時間あるぞ？
卯月,あ、あはは……。やっぱりそうですよね。でも今日は番組のゲストで……、しかも五代目シンデレラガールとしての出演ですから……。もう昨日の夜から緊張しちゃって！なんだか居てもたってもいられなくなっちゃって、ですね……！
Ｐ,まあ、気持ちは分かるけどな。でも番組からのオファーも、それにシンデレラガールに選ばれたのだって、卯月自身がこれまで積み重ねてきたことの成果だ。そこは自信を持って、胸を張っていいんだぞ
卯月,そ、そんな！私なんて……！。確かに、私、頑張るのは得意ですけど……。でも、それもプロデューサーさんのおかげですよ。ずっとアイドルに憧れてて――だからアイドルになれた時はすっごく嬉しくて……。でもアイドルになってからは、例えば凛ちゃんや未央ちゃんみたいに、一口にアイドルって言っても色んなカタチがあるんだなって知って――。私の憧れていたものにはまだまだ先があって、知らない世界が広がっていて……。それをすごいって思うと同時に――。怖くも、なりました。輝く人たちが創る、魅力的で、彩られた世界を知って――今まで自分の思い描いていたものや抱いていたものなんて、ちっぽけで、頼りないものなんじゃないかって……。私の目標としていた地点は――ここでは、なんの価値もないんじゃないかって……。でも――。それでも、プロデューサーさんはそんな私をいつでも支えてくれました。直接、褒めてもらったり励ましてもらったりもそうですし――。プロデューサーさんが持ってきてくれる色んなお仕事や体験をしていると、私にもこんなに素敵な面や応援してもらえるような顔があるんだよって、そう言ってもらってるみたいで。私、嬉しいんです。頑張りますって、私の口癖ですけど――頑張りますって言えることがすごく嬉しい。私は、ここで頑張れるんだって。輝くために頑張っていいんだって。送り出してくれるプロデューサーさんに、そう自信を持って応えられるのがとっても幸せなんです。アイドルになって広がった世界を、怖いじゃなくて、楽しみだって、今は思えるんです。私の夢は叶ったけど――夢はまだまだ終わらないんだって。その夢の先まで、私の夢だって言えるように――そう、育ててくれたのはプロデューサーさんです。プロデューサーさん。これから私、もっと頑張ります！だからこれからもプロデュース、よろしくお願いしますね！
Ｐ,………………
卯月,って、なんだか私、恥ずかしいこと言っちゃってますよねっ///。あ、あの、ちょっと舞い上がっちゃって！。ごめんなさい、今のことは忘れて――
Ｐ,天使
卯月,へ？
Ｐ,卯月……尊い……
卯月,ぷ、プロデューサーさん……？。な、なに！？。プロデューサーさんの身体、だんだん薄くなって……。き、消えていってる！？。こ、これって一体――！？
五十嵐響子,おはようございます
卯月,きょ、きょーこちゃんっ！
響子,あ、卯月ちゃん。おはよ――
卯月,きょ、響子ちゃん！あの、大変なんですっ！！。ぷぷぷ、プロデューサーさんが！あのっ！
響子,プロデューサーさんが？。――ってこれはっ！？。プロデューサーさんが、き、消えかかってる！？
