ﾋﾟｰﾝﾎﾟｰ,いるよー！。いるってばー！
加蓮,お邪魔しまー…って誰かと思ったら紗南か
紗南,んー、お邪魔してまーす
杏,ひぎぃ…
加蓮,…えーっと、何時から？
紗南,十時位かなー
加蓮,…で、紗南が来たのは？
紗南,んー…たしか八時位ー
加蓮,…。もう８時だけど
紗南,あり？もうそんな時間？
加蓮,１２時間も遊びっぱって…Pさん聞いたら怒るよ？
紗南,あー…まだ暗いからそんな時間だと思わなかったよ
加蓮,…？。…朝からやってたんだよね？
紗南,ううん、昨日から
加蓮,馬鹿じゃないの、今すぐやめなさい
杏,あへぇ…
紗南,ん～…あと十分だけー…
加蓮,ダーメ、ってか杏も寝すぎでしょ、そろそろ起きなよ
杏,ん～…あと十日～…
加蓮,死ぬよ
紗南,大丈夫大丈夫、私のああああはイベントの為に十日連続で寝てたから
加蓮,何言ってるの？いいから止めなさいって
紗南,なんか加蓮さんお母さんみたーい…
加蓮,いや誰でも二十四時間続けて何かしてたら止めるって
紗南,途中休憩とってるから大丈夫だよー…
加蓮,…何分位？
紗南,…。…。さあ…？
加蓮,やっぱり今すぐ止めなさい
紗南,分かったよー…セーブするからちょっとだけ待ってー…
加蓮,…
紗南,…
杏,あひぃ…
加蓮,ねえ
紗南,んー？
加蓮,私ファミコンの事は分からないんだけどさ
紗南,うんー…これファミコンじゃなくてプレステだよー…
加蓮,どっちでもいいよ…あのさ、その、さっきからキャラが壁にぶつかり続けてるんだけど。それでセーブってできるの？
紗南,あははー何言ってんの加蓮さんってばー。壁にぶつかってセーブできたら私は今頃ラグナロクだよー
加蓮,…。…は？
紗南,プリレンダリングが発達した現代だからこそ四連鎖からのドリフト技術が必要だからー。あたしのカードを引く番に選択肢の上から二番目を選んどいてねー。そうすればﾁｮﾝ避けで896＋Pさんの超必演出が出るからさー。徳政令カード持って置いて良かったよー
加蓮,。はい、紗南ちゃーんちょっとこっちおいでー
紗南,んー、あと十分で終わるからー
加蓮,こっち来たらPさんが新作ゲーム買ってくれるからちょっとだけおいでー
紗南,あー…ほんとに～？じゃあ行く～
加蓮,はい、じゃあちょっとここに横になってねー
杏,むぎゅっ！
紗南,ん～…
加蓮,ちょっとだけ目を閉じてようねー
紗南,ん～？まだあたしねむｋ…。くぅ…
杏,ぐぅ…
加蓮,はぁ…
杏,誰だー…？杏の眠りを妨げるものはー…
加蓮,むしろ永遠の眠りから起こしてやったんだけど
杏,へへぇ…ずっと寝てていいのぉ…？
加蓮,いや比喩表現だから、可愛く言っても死んでるから
杏,…？
加蓮,…
杏,…
加蓮,…？
杏,…。ぐぅ…
加蓮,あ、こら寝るな寝るな
杏,んむぅ…なぁにぃー…あんず眠いのー…
加蓮,もう十分寝たでしょー
杏,んんぅ…
加蓮,はぁ…杏ー？飴買ってきたよー
杏,うぇ…？ちょーらい…
加蓮,はいお食べー
杏,んまんｍ…ゲホッ！ゴホッ！
加蓮,…
杏,か、かｒウェッホ！ガハッ！いゲホ！
加蓮,…
杏,みエホっ！ウェッホ！みじゅ！
加蓮,美恵穂？新しいアイドル？
杏,みじゅー！！。はぁはぁ…加蓮は杏を殺す気なの？
加蓮,いつまでも起きないあんたが悪い、１０時から寝てたんでしょ？もう８時だよ
杏,ぷはぁ…ん？でも外暗いじゃん
加蓮,は？だから朝から寝て夜の８時だって
杏,？
加蓮,？。…あんたまさか１０時って…昨日の？
杏,うん
加蓮,。片や２４時間ゲームし続け…片や２２時間寝続け…。あんたらなんでそんなにバランス悪い事やってんのよ
杏,あー…紗南に負けちゃったかー…
加蓮,アホな事言ってないで顔洗って来なさい
紗南,ふにゅぅ…
杏,ふぅ…で、さっきの劇物は何？青酸カリ？
加蓮,なんで起こす為に永遠の眠りにつかせるのよ…これ
杏,…プロデューサー特製激辛飴…？。え、ちょっと、何これ
加蓮,いざって時の為に渡されたんだよ
杏,どんな時？杏を拷問する予定でもあるの？
加蓮,いやなんか火事とかになった時に杏が寝てたら使うようにって
杏,ええぇ…
加蓮,命には変えられないからって
杏,…じゃあ別に今じゃないよね？
加蓮,あと杏が馬鹿の事やって人に迷惑がかかった時のお仕置きにもって
杏,え、ひどくない
加蓮,そしてはいこれ
杏,飴ー…。はっ、しまったいつもの癖…なにこれぇ…めっちゃおいしいぃ…
加蓮,喉に悪いから食べ終えた後はそのPさん特製療養飴をって
杏,ふぇぇ…あんじゅばかになっちゃぅぅ…
加蓮,しかし友達の蕩けきった顔は見たくなかった
杏,いやまあ言うほどの物ではないんだけどね
加蓮,顔戻ってないよ
