モバＰ(以下Ｐ),杏のヌイグルミだ
Ｐ,相変わらず扱いが悪いな。小汚なくてソファーに投げられている。そういえば杏はよくこれを枕替わりにしていたよな。つまりこの汚さは杏のアロマが詰まっているというのか。これはプロデューサーの特権だな。Oh…ベリースイートスメル…シーハーシーハー。特権より基本的人権、生存権、最低限度の文化的な生活を出来るようにちひろさんにお願いしたいものだが...。この匂いだけで全てが満たされる。石鹸と芳醇な女の子の匂いがハーモニーを奏で時々感じる汗臭さが絶妙なアクセントを加える。まさに匂いのオーケストラ、至高のの嗜好品。愉悦の時。ふむ、そして微かに香るこのコロンは……きらりのものか。きらりの使っているコロンはカーネーションベース。バラでありながら優しく伸びやかなどこか可憐な雰囲気を持つ。ここであんきらを持ってくるとはなんと風流な...。ふむ。この匂いはヌイグルミの耳の付け根からする。むふふ……いいぞあんきらいいぞ！高まってきた！。はっ！いかんいかん。鼻息を荒くしてはせっかくの匂いを浪費してしまう。あんきらは王道。異論は認めない。きらりは一見自分のことを中心に考えているようで、誰よりも周りをきにしているからな。杏も実は……やめておこうか。さて、その他には…。茶色い染みか。折角だし舐めてみよう。醤油？…いやこれはウスターソースか…。そういえば杏が言ってたな。杏の姉さんまじ姉さん！。杏は普段から年下の面倒はみるからな！これテストに出るぞ！！！。杏検定四級ぐらいの問題だな。最近杏はニートと名乗りつつちゃんと働いているからな。ファンの中には杏が働いているから自分も働こうという人も結構いるらしい。さて、他には何かないかな？。ふむ。ぬいぐるみのポケットの中に飴の包み紙が入っているな。この包みどこかでみたことあるような・・・。そうか。この前唯から貰った飴がこれだったかな。この後結局ソファで寝た唯に千夏さんが毛布をかけたのは別の話。唯はコミュ力高いからな誰とでも仲良くなってランチに行く。かく言う俺も唯とランチに行ったことがあるが。彼女の交友関係の広さには驚かされる。共演した人と仲良くなるのは当然。その友達と友達にもなる。事務所でもっとも交友関係の広い一人ではないかと思う。そんな唯と一番仲がいいのは千夏さんという真逆のタイプという。そういえば唯も杏も花も恥じらう17歳だ。全く同い年に見えないがな。さて他には何かないかな？。杏のぬいぐるみを使って妄想してる。ん？
杏,それ杏のだから早く返してよ
Ｐ,…いつからいた？
杏,おっこれは杏のぬいぐるみかの所から
Ｐ,…いくら払えばいい？
杏,お金はいいからお休み頂戴
Ｐ,分かったできる限りな
杏,後これからこういうことやらないで
Ｐ,そうだな
杏,分かればいいよ。Ｐが変態なの今に始まった訳じゃないしね
Ｐ,じゃあ俺は外回りに行ってくるから
杏,ぬいぐるみ持ったまま行くの？
Ｐ,ああ、これはな…
杏,返して
Ｐ,はい
杏,はよ
Ｐ,ああ
杏,じゃあいってらっしゃい
Ｐ,行ってくる
杏,…。……。そんなに臭うかな？
