姫川友紀,えー、ラジオネーム二番ショートさんからのおたよりだよ
友紀,ラジオのタイトルがまだ正式決定していないそうですが、姫川・向井のヒットエンドラジオというのはどうでしょうか。スタッフにこのおたよりを見せた結果、コレで決まりました
向井拓海,語呂がいいしな
友紀,エンドランだからゴロがいいってね
拓海,誰が上手いこと言えと
友紀,というわけで改めてこんにちはー！パーソナリティーの姫川友紀だよー！
拓海,同じくパーソナリティーの向井拓海だ。夜露士苦な！
友紀,というわけで、放送第2回にして正式タイトルが決まったわけだけどさ
拓海,第1回でラジオのタイトルに仮
友紀,ゲームだったら見たことあるんだけどねー
拓海,……そういやあったな
友紀,前回の放送はまるまるフリートークな感じだったけど、今回からはいろいろコーナー用意してるらしいからね
拓海,流石に全部フリートークはしんどいモンがあるわ
友紀,そんなに間を持たせられないしねー
拓海,冒頭にも1通読んだが、いくら来ても大歓迎だからな！
友紀,読めるだけ読んでくから、みんなもどしどし送ってね！。……というわけでですね
拓海,どうした改まって
友紀,そろそろゲスト紹介していい？
拓海,別に紹介しなくてもいいんじゃねえか？
？？,ちょっ
友紀,いやでもさぁ、さっきからずっとあたしたちの目の前にいるんだよ？
拓海,確かに何か居るな
？？,ゲストに向かって何かってなんなの！？
友紀,それじゃあゲストさん、自己紹介どうぞ
前川みく,拓海チャン、今日ひどくない…？あ、前川みくだよー。よろしくにゃ！
拓海,というわけでゲストはバッファローズファンの
みく,バ・ファ・ロー・ズ！わざと間違えてるでしょ！！！
拓海,お約束だろ
みく,要らない！そのお約束要らない！
友紀,拓海ちゃん、今日はえらいイジってくね
拓海,イジれるゲストなんてそうそう来ねえからな
友紀,今のうちにイジりポイントを溜めていく方針？
拓海,そうだな
みく,イジりポイントって何！？
拓海,誰かをイジると溜まって、誰かにイジられると減ってくポイント制度だ
友紀,拓海ちゃん、それ絶対収支がプラスにならないよね？
拓海,安心しろ、絶賛マイナスだ
友紀,というわけで今日も30分、野球に関する話題で通していきたいと思います
拓海,姫川・向井のヒットエンドラジオ、スタートだァ！！！
友紀,この番組は、ミゾットスポーツの提供でお送りします
みく,え、ほんまに？
友紀,うそです
拓海,何だ嘘か
みく,エイプリルフール！！！
友紀,はい、お便りのコーナーでーす
拓海,というわけで、お便り読んでくぞー
友紀,はーい
みく,はーい
拓海,えー、ラジオネームバンビちゃんからのお便りだ。みなさんこんにちは、世間ではセンバツ高校野球が行われていますね
友紀,そだねー
みく,なぜにカーリング？
拓海,私の母校の東邦高校は早くも敗退してしまいましたが、皆さんの都道府県の代表はまだ勝ち残っていますか？だとさ
友紀,あたしの所はね、2つ出たけどもう負けたね
拓海,あれ、友紀オマエどこ出身だっけ
友紀,宮崎
拓海,あー、延岡学園と富島か
友紀,そうそう。割とあっさり負けちゃった
みく,みくの所はまだ生き残ってるにゃ！
拓海,大阪桐蔭とかブッチギリの優勝候補だしな
友紀,今日も花巻東をイジめてたね。ヤバいぐらい強いよあのチーム
みく,ふふふ、今年のセンバツはもらったよ！
拓海,アタシの所も、東海大相模が生き残ってるな
友紀,あー、東海大相撲
みく,文字に起こすとややこしいやつにゃ
拓海,相模と相撲ってパッと見間違えるよな
みく,ゲシュタルト崩壊するやつ！
友紀,このまま順当に勝ち上がったら千秋楽であたるのかな
みく,千秋楽言うなし
友紀,大相撲甲子園場所
拓海,相撲要素が監督の体形だけじゃねえか！！！
友紀,次のお便りはラジオネームドラ息子さんからだねー
拓海,カープ女子に対抗してんのか？
友紀,姫川さん、向井さん、ゲストの前川さんこんにちは
拓海,おーっす
みく,こんにちはー！
友紀,いよいよ2018年ペナントレースが開幕しましたが、わがドラゴンズは開幕からどん底状態です
みく,なんかスゴイボコられてたにゃあ
友紀,どうしたらいいですか、助けてくださいだってさ
拓海,オマエんとこがゲレーロ獲るからだろ
