※○○Ｐのように各アイドル毎に担当Ｐあり。,今回は一人しか出てきませんが
ほたるＰ,よ、おはようほたる！
ほたる,あ……プロデューサーさん、おはようございます……
ほたるＰ,って、髪また凄い事になってんな……どうした？
ほたる,あはは……鳥に絡まれてしまって……
ほたるＰ,うーん。やっぱり俺が迎えに行ったほうがいいんじゃないか？
ほたる,だ、大丈夫です。いつもの事ですし、それにプロデューサーさんにも迷惑がかかりますから……
ほたるＰ,俺は別に大丈夫だって。何より俺に迷惑がかかるよりも、担当アイドルに何かある方が心配だ
ほたる,でも……
ほたるＰ,明日から朝、迎えに行くから。な？
ほたる,……お願い、します
ほたるＰ,よし、任された。そんじゃ今日の予定だけど……
ほたる,この人が私のプロデューサーになったのは３週間前のこと
ほたるＰ,俺は武神たけがみ
ほたる,新しいプロデューサーさんが入ったんだ……
ほたるＰ,特技は……うーん。ちひろさん、履歴書にも書いたアレでいいですかね？
ちひろ,武神さんの特技は特技じゃなくて、何というか、常時装備というか……他にないんですか？
ほたるＰ,すみません。それ以外脳がないもので……
ちひろ,まぁ、武神さんのイメージがダイレクトに伝わりますから、一応それでいいですけど……
ほたるＰ,ありがとうございます。えーと、改めまして。特技は、強い事です。あれ。何か間違えましたか俺？
有香,あの、質問いいですか？
ちひろ,はい有香ちゃん
有香,押忍！その、武神さんのいう強いはどのような強いなのでしょうか？
ほたるＰ,そのまんまの意味だ。喧嘩とか、戦闘とか
有香,……ふーむ。なるほど
ほたるＰ,何か荒事があったらこれからは俺に任せてくれってところだな
有香,果たして本当に強いのでしょうか？
ほたるＰ,ん？
有香,ちひろさん！あたし、武神さんと手合わせを願います！
ちひろ,えっ、その、有香ちゃん。本当に止めた方がいいわよ。この人の言ってる事、本当だから
有香,自分で体験してみないとわからない事があると思うんです！
早苗,同感ね
ちひろ,早苗さんまで
早苗,本当に強かったとしたらあたしの仕事も減るから助かるけど……あたしより弱かったらこの事務所は任せられないし
ちひろ,そうかもしれませんけど、この人は……
ほたるＰ,構いませんちひろさん。ちゃんと怪我のないようにしますから
ちひろ,……わかりました。でも場所はどうするんですか？
有香,あたしの家の道場まで来て下さい。そこならいくら暴れても大丈夫ですから
早苗,ルールは？
ほたるＰ,そうだな……何でもいいが、個人的には何でも有りがいいな。喧嘩ってのはそういうもんだろ？
早苗,おーけー。後悔しないでよ？
ちひろ,それじゃあ一旦ここは解散します。武神さんの強いの意味を知りたい人は有香ちゃんの道場に移動して構いません
ほたる,……変な人、ですね。でも悪い人じゃなさそう……。強い……ですか
有香,押忍！お願いします！
ほたるＰ,おう。お手柔らかに頼むぜ
のあ,……ジャッジは私が行うわ
ほたる,何でのあさん……？
のあ,試合開始
有香,……ハァッ！。……ってええっ！？
ほたる,凄い勢いで武神さんに突撃したはずの有香さんが宙に浮いていました。い、一体何が起こったんでしょう……？
ほたるＰ,よっと、弱めに投げたが大丈夫か？今のが合気道っつーやつだ
有香,は、はい……
のあ,絶対違うと思うわ
ほたるＰ,最初の踏み込みも気迫が入っててよかった。ただまだどこかに慢心があったな、気をつけな
有香,……お、押忍！師匠！
ほたるＰ,弟子は取らない主義なんだけどなぁ
早苗,……あのさ、ちひろさん
ちひろ,はい？
早苗,あの人、何者？
ちひろ,あの人は……正直、よくわかりません
早苗,えぇ……
ちひろ,神奈川県の川神に仕事で向かった時、智絵里ちゃんと美穂ちゃんが男の人数人に囲まれてて……。どうしようか悩んでたら、あの人がその男の人全員を一瞬で地面にめり込ませたんです
早苗,……頭から？
ちひろ,頭から。正直目を疑いましたが、同時にこの人ならあの子を衛ってくれるんじゃないかと思いまして
早苗,もしかしてそれって……
ちひろ,はい。私は彼をほたるちゃんのプロデューサーに当てたいと思っています
早苗,なるほどね……
ちひろ,さて、それじゃああの人の強さを実感してきてくださいな
早苗,あたた、急に腰痛が……
ちひろ,ご遠慮なく♪
早苗,いーやーよ！その話聞いたり、有香ちゃんの様子見てたらあたしなんか―――
ほたる,その後、早苗さんは見事に宙を舞っていました。ちなみにきらりさんは高い高いをされていました。きらりさんを高い高いできる人を初めて見ました。武神さんが正式に私のプロデューサーになる事を聞かされたのは、それから２日後の事でした
ちひろ,武神さーん
ほたるＰ,は、はいー！
ちひろ,資料のこの部分、間違えてるんで修正お願いします
ほたるＰ,げっ、わ、わかりましたー！
ほたる,強い事以外は結構苦手な事が多いみたいで
ほたるＰ,ぎゃー！コーヒーがぁあああ！
麗奈,作戦大成功っ！ぷぷっ！
ほたるＰ,麗奈ぁ、いい度胸だなお前
麗奈,えっ、いつの間に背後に痛い痛いいいい！
光,あれが瞬歩……！
ほたる,なんだかんだで他のアイドルにも好かれています
ほたるＰ,さてほたる、今日はライブ会場の下見だ
ほたる,……外に出るんですか？
ほたるＰ,ああ。だから準備しとけよ
ほたる,……はい
ほたるＰ,んーな心配そうな顔するなって。俺が衛ってやるからさ
ほたる,でも……私の不幸は……
ほたるＰ,なぁほたるぅ
ほたる,はい……？
ほたるＰ,お前、もしかして自分は不幸だとか思ってないか？
ほたる,え、あの、その
ほたるＰ,世の中にはな、お前より不幸な人間なんて数えるほどいるんだぜ。生きたくても生きられない人、外に出る事さえ出来ない人。それに比べたらお前はよっぽど幸運だよ。まだ平凡に生活できて、尚且つ、人に恵まれてるんだから
ほたる,人、に？
ほたるＰ,ああ。柚とか忍を見ろよ。お前が不幸な事を気にしてるか？
ほたる,……いえ
ほたるＰ,ここにいるみんな、お前が不幸だって事はわかってる。でもそれを理由にお前から距離を取る人はいないだろ
ほたる,森久保さんは
ほたるＰ,あいつは例外だろ……ほぼ全員と距離取ってんだから。周りに自分を理解してくれる人がいる。それは幸運なんだよ。自覚しようぜ。不幸は気からって言うしな。これを期に考えを改めたら不幸だって直るかもしれないぞ？
ほたる,……私は、幸運？
ほたるＰ,まぁ俺が言いたいのはそんだけ。これ以上続けるとつまんねぇ説教になっちまうしな
ほたる,……武神さんは
ほたるＰ,んー？
ほたる,武神さんは……周りに理解してくれている人が、いたんですか？
ほたるＰ,……どうだろうな。いなかったと思うぜ、俺の事を理解しようとしてくれる人なんて。でも今は幸せだ。俺の強さなんて気にしないで話しかけてくれる人もいるし。何より、ほたるみたいな美少女のプロデュースができるんだからさ
ほたる,っ、き、着替えてきますっ
ちひろ,あんま担当アイドルを口説かないでくださいね
ほたるＰ,口説いてるわけじゃないですよ。あくまで自信をつけたいだけです。それに、見ました？
ちひろ,何をですか？
ほたるＰ,今ほたるのやつ、一回も転ばずに更衣室まで辿り着けてました。あんなに慌ててたら、いつもなら転ぶでしょうに
ちひろ,あ……
ほたるＰ,早速効果が出てるようで俺としては嬉しいです
ほたる,きゃあっ、い、衣装台が倒れてー！
ほたるＰ,……まぁ、完全に不幸をなくす事は難しいかもしれませんが
ありす,調べたい事があるからパソコンを貸してほしい、ですか
ほたる,は、はい。マキノさんは何だか忙しそうだったので……
ありす,マキノさんには新しいプロデューサーさんが付く事になりましたからね……
ほたる,それで、大丈夫ですか？
ありす,構いません。しかし壊されると困るので、操作はこちらでさせてもらいますね
ほたる,はい。それで大丈夫ですというか、それでお願いします……
ありす,それで、何について調べたいんですか？
ほたる,私の、プロデューサーさんの事です……
ありす,あの、とにかく強い人の事ですか
ほたる,はい……
ありす,わかりました。少し待っててください。……これって
ほたる,橘、さん？
ありす,これを見てください
ほたる,新聞記事……？武神、全試合出場禁止って……
